DenMISEMeanLog,ReturnMax,DenMISELogLast,LQGsigma,IWLastEpisode,ReturnMin,MISE,IWNorm2,IWNorm1,TimeElapsed,ReturnLastEpisode,DenMISELogFirst,Iteration,ReturnMean,IWMax,ReturnAbsMax,target_sum_log_mean,LQGmu,IWMean,IWFirstEpisode,Bound,ReturnStepMax,URet,TimestepsSoFar,IWMin,SqrtESSClassic
17.704332,14.857655,17.162804,[[0.11]],1.0,,14.193365,3.3166249,11.0,1.2992894649505615,14.532,18.60218,11,14.193365,1.0,14.857655,17.704332,[[-2.5]],1.0,1.0,23.152868,0.9382648,15.981831934844298,220,,3.3166246
17.749504,14.857655,18.246395,[[0.11]],1.0,,14.143535,3.4641016,12.0,1.3496456146240234,13.595392,18.60218,12,14.143535,1.0,14.857655,17.749504,[[-2.5]],1.0,1.0,22.721605,0.9382648,14.915323238434668,240,,3.4641018
17.249325,14.857655,11.24715,[[0.11]],1.0,,14.0756855,3.6055512,13.0,1.4005367755889893,13.261499,18.60218,13,14.0756855,1.0,14.857655,17.249325,[[-2.5]],1.0,1.0,22.31723,0.9382648,14.52209442494831,260,,3.6055512
17.261108,14.857655,17.414305,[[0.11]],1.0,,14.039941,3.7416575,14.0,1.4543702602386475,13.575256,18.60218,14,14.039941,1.0,14.857655,17.261108,[[-2.5]],1.0,1.0,21.981691,0.9382648,14.89668453883403,280,,3.7416573
17.331339,14.857655,18.31459,[[0.11]],1.0,,14.079488,3.8729835,15.0,1.5391361713409424,14.633162,18.60218,15,14.079488,1.0,14.857655,17.331339,[[-2.5]],1.0,1.0,21.751947,0.9382648,16.12606820408073,300,,3.8729832
17.285133,14.857655,16.592031,[[0.11]],1.0,,14.077101,4.0,16.0,1.5987036228179932,14.04129,18.60218,16,14.077101,1.0,14.857655,17.285133,[[-2.5]],1.0,1.0,21.505928,0.9382648,15.419993071855453,320,,4.0
17.328156,14.857655,18.01651,[[0.11]],1.0,,14.032436,4.1231055,17.0,1.662445306777954,13.317787,18.60218,17,14.032436,1.0,14.857655,17.328156,[[-2.5]],1.0,1.0,21.239458,0.9382648,14.586744966096749,340,,4.1231055
17.379482,14.857655,18.252035,[[0.11]],1.0,,14.003531,4.2426405,18.0,1.7268943786621094,13.512152,18.60218,18,14.003531,1.0,14.857655,17.379482,[[-2.5]],1.0,1.0,21.007496,0.9382648,14.830356594383396,360,,4.242641
17.410105,14.857655,17.961304,[[0.11]],1.0,,13.997983,4.358899,19.0,1.7934832572937012,13.898121,18.60218,19,13.997983,1.0,14.857655,17.410105,[[-2.5]],1.0,1.0,20.815144,0.9382648,15.263377889386504,380,,4.3588986
17.387753,14.857655,16.963097,[[0.11]],1.0,,13.947553,4.472136,20.0,1.862351894378662,12.989389,18.60218,20,13.947553,1.0,14.857655,17.387753,[[-2.5]],1.0,1.0,20.592098,0.9382648,14.253917565036087,400,,4.472136
17.367609,14.857655,16.964718,[[0.11]],1.0,,13.939717,4.582576,21.0,1.9332685470581055,13.783014,18.60218,21,13.939717,1.0,14.857655,17.367609,[[-2.5]],1.0,1.0,20.42413,0.9382648,15.136539448277373,420,,4.582576
17.191362,14.857655,13.49018,[[0.11]],1.0,,13.975885,4.690416,22.0,2.006477117538452,14.735404,18.60218,22,13.975885,1.0,14.857655,17.191362,[[-2.5]],1.0,1.0,20.31121,0.9382648,16.232203915670624,440,,4.690416
16.793316,14.857655,8.036285,[[0.11]],1.0,,13.991353,4.7958317,23.0,2.0813541412353516,14.331619,18.60218,23,13.991353,1.0,14.857655,16.793316,[[-2.5]],1.0,1.0,20.187424,0.9382648,15.759094556957024,460,,4.795831
16.832594,14.857655,17.735983,[[0.11]],1.0,,13.960725,4.8989797,24.0,2.159719944000244,13.256275,18.60218,24,13.960725,1.0,14.857655,16.832594,[[-2.5]],1.0,1.0,20.026337,0.9382648,14.546045322686131,480,,4.898979
16.907276,14.857655,18.699642,[[0.11]],1.0,,13.980053,5.0,25.0,2.239494562149048,14.443911,18.60218,25,13.980053,1.0,14.857655,16.907276,[[-2.5]],1.0,1.0,19.923115,0.93919957,15.908418845729736,500,,5.0
16.907839,14.857655,16.921925,[[0.11]],1.0,,13.961473,5.0990195,26.0,2.320615768432617,13.497026,18.60218,26,13.961473,1.0,14.857655,16.907839,[[-2.5]],1.0,1.0,19.789125,0.93919957,14.813969034951729,520,,5.0990195
17.040096,14.857655,20.478786,[[0.11]],1.0,,13.956789,5.196152,27.0,2.4887287616729736,13.834993,18.60218,27,13.956789,1.0,14.857655,17.040096,[[-2.5]],1.0,1.0,19.675503,0.93919957,15.192703337029762,540,,5.1961527
17.009745,14.857655,16.190237,[[0.11]],1.0,,13.960475,5.2915025,28.0,2.6123034954071045,14.059994,18.60218,28,13.960475,1.0,14.857655,17.009745,[[-2.5]],1.0,1.0,19.57614,0.93919957,15.453282304864613,560,,5.291503
17.080498,14.857655,19.061567,[[0.11]],1.0,,13.957392,5.3851647,29.0,2.76859974861145,13.871063,18.60218,29,13.957392,1.0,14.857655,17.080498,[[-2.5]],1.0,1.0,19.475386,0.93919957,15.240447210760145,580,,5.3851647
16.876608,14.857655,10.963816,[[0.11]],1.0,,13.93302,5.477226,30.0,2.9275357723236084,13.22625,18.60218,30,13.93302,1.0,14.857655,16.876608,[[-2.5]],1.0,1.0,19.358269,0.93919957,14.455991311095579,600,,5.4772253
16.673872,14.857655,10.591843,[[0.11]],1.0,,13.9103985,5.5677643,31.0,3.0185775756835938,13.231761,18.60218,31,13.9103985,1.0,14.857655,16.673872,[[-2.5]],1.0,1.0,19.247425,0.93919957,14.506613274650054,620,,5.5677643
16.624043,14.857655,15.079361,[[0.11]],1.0,,13.921068,5.656854,32.0,3.111926794052124,14.2518,18.60218,32,13.921068,1.0,14.857655,16.624043,[[-2.5]],1.0,1.0,19.174042,0.93919957,15.676305028139973,640,,5.656854
16.648823,14.857655,17.441761,[[0.11]],1.0,,13.934672,5.7445626,33.0,3.2054972648620605,14.370001,18.60218,33,13.934672,1.0,14.857655,16.648823,[[-2.5]],1.0,1.0,19.107445,0.93919957,15.79014030043868,660,,5.7445626
16.706354,14.857655,18.604906,[[0.11]],1.0,,13.938682,5.8309517,34.0,3.3013503551483154,14.070993,18.60218,34,13.938682,1.0,14.857655,16.706354,[[-2.5]],1.0,1.0,19.034815,0.93919957,15.449214170175512,680,,5.830952
16.765982,14.857655,18.793255,[[0.11]],1.0,,13.95272,5.91608,35.0,3.3982229232788086,14.430008,18.60218,35,13.95272,1.0,14.857655,16.765982,[[-2.5]],1.0,1.0,18.975525,0.93919957,15.875032500896838,700,,5.9160795
16.70264,14.857655,14.485692,[[0.11]],0.99999905,,13.9590225,6.0,36.0,3.480421781539917,14.179634,18.60218,36,13.959023,1.0,14.857655,16.70264,[[-2.5]],1.0,1.0,18.911575,0.93919957,15.5896065273543,720,,6.0
16.615595,14.857655,13.481951,[[0.11]],1.0,,13.918729,6.0827627,37.0,3.6096975803375244,12.468193,18.60218,37,13.918729,1.0,14.857655,16.615595,[[-2.5]],1.0,1.0,18.803896,0.93919957,13.65664023257006,740,,6.0827622
16.617718,14.857655,16.69631,[[0.11]],1.0,,13.929842,6.164414,38.0,3.711426258087158,14.340997,18.60218,38,13.929842,1.0,14.857655,16.617718,[[-2.5]],1.0,1.0,18.750301,0.93919957,15.78930878319281,760,,6.164414
16.643621,14.857655,17.627974,[[0.11]],1.0,,13.9303665,6.2449975,39.0,3.8210289478302,13.950308,18.60218,39,13.9303665,1.0,14.857655,16.643621,[[-2.5]],1.0,1.0,18.688623,0.93919957,15.288041829541347,780,,6.2449985
