target_sum_log_mean,ReturnMean,TimestepsSoFar,IWLastEpisode,IWMean,ReturnLastEpisode,ReturnStepMax,Bound,TimeElapsed,DenMISEMeanLog,DenMISELogLast,Iteration,LQGmu,ReturnMax,SqrtESSClassic,DenMISELogFirst,IWMin,IWFirstEpisode,IWNorm2,IWMax,URet,IWNorm1,ReturnAbsMax,ReturnMin,MISE,LQGsigma
18.60218,15.553135,20,1.0,1.0,15.553135,0.9224761,46.659405,0.2077491283416748,18.60218,18.60218,1,[[-2.7]],15.553135,1.0,18.60218,,1.0,1.0,1.0,17.164345745103184,1.0,15.553135,,15.553135,[[0.11]]
19.957481,15.28717,40,1.0,1.0,15.021207,0.9224761,37.282623,0.9994797706604004,19.957481,21.31278,2,[[-2.7]],15.553135,1.4142135,18.60218,,1.0,1.4142135,1.0,16.540509871115336,2.0,15.553135,,15.28717,[[0.11]]
20.361197,15.127835,60,1.0,1.0,14.809165,0.9224761,33.087048,1.0330350399017334,20.361197,21.168627,3,[[-2.7]],15.553135,1.7320509,18.60218,,1.0,1.7320508,1.0,16.300630331445443,3.0,15.553135,,15.127835,[[0.11]]
19.958935,14.852739,80,1.0,1.0,14.027451,0.9224761,30.405874,1.1174471378326416,19.958935,18.752157,4,[[-2.7]],15.553135,2.0,18.60218,,1.0,2.0,1.0,15.432174194730262,4.0,15.553135,,14.852739,[[0.11]]
18.72694,14.977362,100,1.0,1.0,15.475849,0.9224761,28.888508,1.1629254817962646,18.72694,13.798967,5,[[-2.7]],15.553135,2.236068,18.60218,,1.0,2.236068,1.0,17.07499514756191,5.0,15.553135,,14.977362,[[0.11]]
18.418013,14.942548,120,1.0,1.0,14.76848,0.9224761,27.64163,1.2508909702301025,18.418013,16.873373,6,[[-2.7]],15.553135,2.4494896,18.60218,,1.0,2.4494898,1.0,16.27882139407169,6.0,15.553135,,14.942548,[[0.11]]
18.515263,14.952189,140,1.0,1.0,15.01004,0.9224761,26.709253,1.3348519802093506,18.515263,19.098753,7,[[-2.7]],15.553135,2.6457515,18.60218,,1.0,2.6457512,1.0,16.549025871591223,7.0,15.553135,,14.952189,[[0.11]]
17.956116,14.96376,160,1.0,1.0,15.044755,0.93208736,25.961487,1.3844678401947021,17.956116,14.042101,8,[[-2.7]],15.553135,2.828427,18.60218,,1.0,2.828427,1.0,16.539342947590498,8.0,15.553135,,14.96376,[[0.11]]
18.187344,15.001112,180,1.0,1.0,15.299936,0.93208736,25.36987,1.4485814571380615,18.187344,20.037153,9,[[-2.7]],15.553135,3.0,18.60218,,1.0,3.0,1.0,16.859450385008266,9.0,15.553135,,15.001112,[[0.11]]
17.758486,14.856455,200,1.0,1.0,13.554517,0.93208736,24.693121,1.5032281875610352,17.758486,13.89876,10,[[-2.7]],15.553135,3.1622777,18.60218,,1.0,3.1622777,1.0,14.911074632884034,10.0,15.553135,,14.856455,[[0.11]]
17.704332,14.895432,220,1.0,1.0,15.285231,0.93208736,24.274326,1.58317232131958,17.704332,17.162804,11,[[-2.7]],15.553135,3.3166246,18.60218,,1.0,3.3166249,1.0,16.84796279248487,11.0,15.553135,,14.895432,[[0.11]]
17.749504,14.84909,240,1.0,1.0,14.339308,0.93208736,23.828697,1.657844066619873,17.749504,18.246395,12,[[-2.7]],15.553135,3.4641018,18.60218,,1.0,3.4641016,1.0,15.772689285057394,12.0,15.553135,,14.84909,[[0.11]]
