Bound,TimeElapsed,SqrtESSClassic,DenMISEMeanLog,LQGsigma,DenMISELogLast,ReturnMin,ReturnMean,ReturnLastEpisode,IWNorm2,ReturnAbsMax,URet,MISE,IWMax,Iteration,DenMISELogFirst,IWMin,IWFirstEpisode,IWMean,IWLastEpisode,ReturnStepMax,target_sum_log_mean,TimestepsSoFar,IWNorm1,ReturnMax,LQGmu
45.750965,0.2836129665374756,1.0,18.60218,[[0.11]],18.60218,,15.250321,15.250321,1.0,15.250321,16.81635030080855,15.250321,1.0,1,18.60218,,1.0,1.0,1.0,0.92074776,18.60218,20,1.0,15.250321,[[-2.6]]
36.54327,0.8543808460235596,1.4142135,19.957481,[[0.11]],21.31278,,14.976059,14.701796,1.4142135,15.250321,16.17137415743296,14.976059,1.0,2,18.60218,,1.0,1.0,1.0,0.9266037,19.957481,40,2.0,15.250321,[[-2.6]]
32.426895,0.8935983180999756,1.7320509,20.361197,[[0.11]],21.168627,,14.817342,14.499912,1.7320508,15.250321,15.942192457163637,14.817342,1.0,3,18.60218,,1.0,1.0,1.0,0.9266037,20.361197,60,3.0,15.250321,[[-2.6]]
29.816727,0.9492306709289551,2.0,19.958935,[[0.11]],18.752157,,14.566406,13.813597,2.0,15.250321,15.182008795715547,14.566406,1.0,4,18.60218,,1.0,1.0,1.0,0.9266037,19.958935,80,4.0,15.250321,[[-2.6]]
28.331753,0.998603343963623,2.236068,18.72694,[[0.11]],13.798967,,14.69145,15.191626,2.236068,15.250321,16.747215566712903,14.69145,1.0,5,18.60218,,1.0,1.0,1.0,0.9266037,18.72694,100,5.0,15.250321,[[-2.6]]
27.111515,1.0486721992492676,2.4494896,18.418013,[[0.11]],16.873373,,14.65968,14.500835,2.4494898,15.250321,15.967977794603371,14.65968,1.0,6,18.60218,,1.0,1.0,1.0,0.9266037,18.418013,120,6.0,15.250321,[[-2.6]]
26.196346,1.0982084274291992,2.6457515,18.515263,[[0.11]],19.098753,,14.668187,14.719222,2.6457512,15.250321,16.21317639435761,14.668187,1.0,7,18.60218,,1.0,1.0,1.0,0.9266037,18.515263,140,7.0,15.250321,[[-2.6]]
25.450796,1.1474618911743164,2.828427,17.956116,[[0.11]],14.042101,,14.667191,14.660217,2.828427,15.250321,16.094723847327185,14.667191,1.0,8,18.60218,,1.0,1.0,1.0,0.9290206,17.956116,160,8.0,15.250321,[[-2.6]]
24.867077,1.1958754062652588,3.0,18.187344,[[0.11]],20.037153,,14.700195,14.964228,3.0,15.250321,16.47248344994603,14.700195,1.0,9,18.60218,,1.0,1.0,1.0,0.9314247,18.187344,180,9.0,15.250321,[[-2.6]]
24.216908,1.2455394268035889,3.1622777,17.758486,[[0.11]],13.89876,,14.571756,13.415813,3.1622777,15.250321,14.746786232503712,14.571756,1.0,10,18.60218,,1.0,1.0,1.0,0.9314247,17.758486,200,10.0,15.250321,[[-2.6]]
23.803051,1.2982959747314453,3.3166246,17.704332,[[0.11]],17.162804,,14.606762,14.956814,3.3166249,15.250321,16.469341991184283,14.606762,1.0,11,18.60218,,1.0,1.0,1.0,0.9314247,17.704332,220,11.0,15.250321,[[-2.6]]
23.364273,1.3522529602050781,3.4641018,17.749504,[[0.11]],18.246395,,14.559497,14.039566,3.4641016,15.250321,15.425633812527145,14.559497,1.0,12,18.60218,,1.0,1.0,1.0,0.9314247,17.749504,240,12.0,15.250321,[[-2.6]]
22.953508,1.423130989074707,3.6055512,17.249325,[[0.11]],11.24715,,14.494152,13.710021,3.6055512,15.250321,15.038440970760602,14.494152,1.0,13,18.60218,,1.0,1.0,1.0,0.9314247,17.249325,260,13.0,15.250321,[[-2.6]]
22.60862,1.4788463115692139,3.7416573,17.261108,[[0.11]],17.414305,,14.456981,13.973768,3.7416575,15.250321,15.356380965024625,14.456981,1.0,14,18.60218,,1.0,1.0,1.0,0.9314247,17.261108,280,14.0,15.250321,[[-2.6]]
22.368702,1.5365676879882812,3.8729832,17.331339,[[0.11]],18.31459,,14.49347,15.00432,3.8729835,15.250321,16.550674362504946,14.49347,1.0,15,18.60218,,1.0,1.0,1.0,0.9314247,17.331339,300,15.0,15.250321,[[-2.6]]
22.11889,1.5956430435180664,4.0,17.285133,[[0.11]],16.592031,,14.49373,14.497613,4.0,15.250321,15.943165701101925,14.49373,1.0,16,18.60218,,1.0,1.0,1.0,0.9314247,17.285133,320,16.0,15.250321,[[-2.6]]
21.84727,1.6569082736968994,4.1231055,17.328156,[[0.11]],18.01651,,14.449777,13.746542,4.1231055,15.250321,15.08154200659108,14.449777,1.0,17,18.60218,,1.0,1.0,1.0,0.9314247,17.328156,340,17.0,15.250321,[[-2.6]]
21.610233,1.7201058864593506,4.242641,17.379482,[[0.11]],18.252035,,14.421163,13.934725,4.2426405,15.250321,15.315788625982375,14.421163,1.0,18,18.60218,,1.0,1.0,1.0,0.9314247,17.379482,360,18.0,15.250321,[[-2.6]]
21.413376,1.7855799198150635,4.3588986,17.410105,[[0.11]],17.961304,,14.416048,14.323974,4.358899,15.250321,15.75363737927514,14.416048,1.0,19,18.60218,,1.0,1.0,1.0,0.9314247,17.410105,380,19.0,15.250321,[[-2.6]]
21.183632,1.8527717590332031,4.472136,17.387753,[[0.11]],16.963097,,14.3634815,13.36472,4.472136,15.250321,14.684465021439605,14.3634815,1.0,20,18.60218,,1.0,1.0,1.0,0.9314247,17.387753,400,20.0,15.250321,[[-2.6]]
21.01049,1.9222583770751953,4.582576,17.367609,[[0.11]],16.964718,,14.354704,14.179159,4.582576,15.250321,15.593431540813597,14.354704,1.0,21,18.60218,,1.0,1.0,1.0,0.9314247,17.367609,420,21.0,15.250321,[[-2.6]]
20.892311,2.0019209384918213,4.690416,17.191362,[[0.11]],13.49018,,14.389553,15.121366,4.690416,15.250321,16.67411825650852,14.389553,1.0,22,18.60218,,1.0,1.0,1.0,0.9314247,17.191362,440,22.0,15.250321,[[-2.6]]
20.765131,2.0968809127807617,4.795831,16.793316,[[0.11]],8.036285,,14.405308,14.751928,4.7958317,15.250321,16.2415994866357,14.405308,1.0,23,18.60218,,1.0,1.0,1.0,0.9314247,16.793316,460,23.0,15.250321,[[-2.6]]
20.60009,2.168410301208496,4.898979,16.832594,[[0.11]],17.735983,,14.374171,13.658044,4.8989797,15.250321,15.007898857908181,14.374171,1.0,24,18.60218,,1.0,1.0,1.0,0.9314247,16.832594,480,24.0,15.250321,[[-2.6]]
