MISE,DenMISELogFirst,IWFirstEpisode,IWNorm2,Bound,LQGsigma,DenMISEMeanLog,ReturnStepMax,IWMean,Iteration,DenMISELogLast,ReturnLastEpisode,TimestepsSoFar,SqrtESSClassic,ReturnMin,ReturnAbsMax,URet,IWLastEpisode,LQGmu,IWNorm1,IWMin,ReturnMax,ReturnMean,IWMax,target_sum_log_mean,TimeElapsed
9.789253,18.602179,1.0,4.582576,14.133207,[[0.11]],17.367609,0.9407754,1.0,21,16.96472,9.689835,420,4.582576,,9.953249,10.547196326288773,1.0,[[-1.6]],21.0,,9.953249,9.789253,1.0,17.367609,2.111022710800171
9.794428,18.602179,1.0,4.690416,14.038507,[[0.11]],17.191362,0.9407754,1.0,22,13.490181,9.903125,440,4.690416,,9.953249,10.774166194079653,1.0,[[-1.6]],22.0,,9.953249,9.794428,1.0,17.191362,2.177163600921631
9.7997265,18.602179,1.0,4.7958317,13.950519,[[0.11]],16.793316,0.9407754,1.0,23,8.036287,9.916283,460,4.795831,,9.953249,10.785841339115922,1.0,[[-1.6]],23.0,,9.953249,9.7997265,1.0,16.793316,2.246586561203003
9.79758,18.602179,1.0,4.8989797,13.860977,[[0.11]],16.832592,0.9407754,1.0,24,17.735981,9.748208,480,4.898979,,9.953249,10.611013083332146,1.0,[[-1.6]],24.0,,9.953249,9.79758,1.0,16.832592,2.316516399383545
9.797364,18.602179,1.0,5.0,13.778664,[[0.11]],16.907274,0.9407754,1.0,25,18.699642,9.792193,500,5.0,,9.953249,10.655825333605293,1.0,[[-1.6]],25.0,,9.953249,9.797364,1.0,16.907274,2.5167157649993896
9.799937,18.602179,1.0,5.0990195,13.703922,[[0.11]],16.907839,0.9407754,1.0,26,16.921925,9.864257,520,5.0990195,,9.953249,10.733996876971442,1.0,[[-1.6]],26.0,,9.953249,9.799937,1.0,16.907839,2.5929758548736572
9.799016,18.602179,1.0,5.196152,13.630023,[[0.11]],17.040096,0.9407754,1.0,27,20.478788,9.775047,540,5.1961527,,9.953249,10.636978054954383,1.0,[[-1.6]],27.0,,9.953249,9.799016,1.0,17.040096,2.6751105785369873
9.7996235,18.602179,1.0,5.2915025,13.561598,[[0.11]],17.009745,0.9407754,1.0,28,16.190237,9.816035,560,5.291503,,9.953249,10.67987044081968,1.0,[[-1.6]],28.0,,9.953249,9.7996235,1.0,17.009745,2.758185386657715
9.798493,18.602179,1.0,5.3851647,13.495037,[[0.11]],17.080498,0.9407754,1.0,29,19.061567,9.766855,580,5.3851647,,9.953249,10.63271229957052,1.0,[[-1.6]],29.0,,9.953249,9.798493,1.0,17.080498,2.846332311630249
9.798281,18.602179,1.0,5.477226,13.4326935,[[0.11]],16.876608,0.9407754,1.0,30,10.963818,9.792107,600,5.4772253,,9.953249,10.650140135388432,1.0,[[-1.6]],30.0,,9.953249,9.798281,1.0,16.876608,2.9368393421173096
9.798297,18.602179,1.0,5.5677643,13.37361,[[0.11]],16.673872,0.9407754,1.0,31,10.591842,9.79878,620,5.5677643,,9.953249,10.660983566318025,1.0,[[-1.6]],31.0,,9.953249,9.798297,1.0,16.673872,3.036594867706299
9.797572,18.602179,1.0,5.656854,13.316577,[[0.11]],16.624043,0.9407754,1.0,32,15.079362,9.775113,640,5.656854,,9.953249,10.63702790627312,1.0,[[-1.6]],32.0,,9.953249,9.797572,1.0,16.624043,3.1881513595581055
9.800576,18.602179,1.0,5.7445626,13.265853,[[0.11]],16.648823,0.9407754,1.0,33,17.441761,9.896684,660,5.7445626,,9.953249,10.765478715012666,1.0,[[-1.6]],33.0,,9.953249,9.800576,1.0,16.648823,3.314795732498169
9.802124,18.602179,1.0,5.8309517,13.216061,[[0.11]],16.706354,0.9407754,1.0,34,18.604906,9.853245,680,5.830952,,9.953249,10.717754375238348,1.0,[[-1.6]],34.0,,9.953249,9.802124,1.0,16.706354,3.4344921112060547
9.804716,18.602179,1.0,5.91608,13.169529,[[0.11]],16.765982,0.9407754,1.0,35,18.793257,9.892842,700,5.9160795,,9.953249,10.763560535951862,1.0,[[-1.6]],35.0,,9.953249,9.804716,1.0,16.765982,3.5296621322631836
9.802736,18.602179,1.0,6.0,13.120486,[[0.11]],16.70264,0.94246256,1.0,36,14.485689,9.733433,720,6.0,,9.953249,10.593391436682326,1.0,[[-1.6]],36.0,,9.953249,9.802736,1.0,16.70264,3.6281208992004395
9.798349,18.602179,1.0,6.0827627,13.070957,[[0.11]],16.615595,0.94246256,1.0,37,13.481952,9.640401,740,6.0827622,,9.953249,10.497160543250903,1.0,[[-1.6]],37.0,,9.953249,9.798349,1.0,16.615595,3.727631092071533
9.796738,18.602179,1.0,6.164414,13.025998,[[0.11]],16.617718,0.94246256,1.0,38,16.696308,9.73712,760,6.164414,,9.953249,10.59889543510046,1.0,[[-1.6]],38.0,,9.953249,9.796739,1.0,16.617718,3.8254787921905518
9.798547,18.602179,1.0,6.244998,12.986137,[[0.11]],16.643621,0.94246256,1.0,39,17.627974,9.867301,780,6.244998,,9.953249,10.730340755731051,1.0,[[-1.6]],39.0,,9.953249,9.798547,1.0,16.643621,4.149868488311768
