DenMISEMeanLog,TimeElapsed,LQGmu,SqrtESSClassic,Iteration,IWNorm1,IWMin,ReturnMin,IWLastEpisode,MISE,ReturnLastEpisode,ReturnStepMax,DenMISELogLast,DenMISELogFirst,IWMax,URet,TimestepsSoFar,ReturnMax,ReturnAbsMax,ReturnMean,IWNorm2,LQGsigma,target_sum_log_mean,IWMean,Bound,IWFirstEpisode
18.60218,0.21234536170959473,[[-0.6]],1.0,1,1.0,,,1.0,9.313461,9.313461,0.5431424,18.60218,18.60218,1.0,10.23073916494047,20,9.313461,9.313461,9.313461,1.0,[[0.11]],18.60218,1.0,27.940384,1.0
19.95748,0.7428579330444336,[[-0.6]],1.4142135,2,2.0,,,1.0,9.871149,10.428838,0.6729023,21.312778,18.60218,1.0,11.491861819333408,40,10.428838,10.428838,9.871149,1.4142135,[[0.11]],19.95748,1.0,24.619753,1.0
20.361195,0.8290624618530273,[[-0.6]],1.7320509,3,3.0,,,1.0,10.1175375,10.610313,0.68499404,21.168627,18.60218,1.0,11.710528740101369,60,10.610313,10.610313,10.1175375,1.7320508,[[0.11]],20.361195,1.0,22.369272,1.0
19.958935,0.8907811641693115,[[-0.6]],2.0,4,4.0,,,1.0,10.683727,12.382298,0.8554173,18.752157,18.60218,1.0,13.709216918808186,80,12.382298,12.382298,10.683727,2.0,[[0.11]],19.958935,1.0,23.066025,1.0
18.72694,0.9773926734924316,[[-0.6]],2.236068,5,5.0,,,1.0,10.4138975,9.33458,0.8554173,13.798967,18.60218,1.0,10.253823823402273,100,12.382298,12.382298,10.4138975,2.236068,[[0.11]],18.72694,1.0,21.488962,1.0
18.418013,1.056272268295288,[[-0.6]],2.4494896,6,6.0,,,1.0,10.451229,10.637884,0.8554173,16.873373,18.60218,1.0,11.72139252733879,120,12.382298,12.382298,10.451229,2.4494898,[[0.11]],18.418013,1.0,20.561333,1.0
18.515263,1.145658254623413,[[-0.6]],2.6457515,7,7.0,,,1.0,10.405914,10.134029,0.8554173,19.098753,18.60218,1.0,11.14832622647889,140,12.382298,12.382298,10.405914,2.6457512,[[0.11]],18.515263,1.0,19.766052,1.0
17.956116,1.2338850498199463,[[-0.6]],2.828427,8,8.0,,,1.0,10.39336,10.305471,0.8554173,14.042103,18.60218,1.0,11.399313396242627,160,12.382298,12.382298,10.39336,2.828427,[[0.11]],17.956116,1.0,19.148968,1.0
18.187344,1.2787973880767822,[[-0.6]],3.0,9,9.0,,,1.0,10.301893,9.570161,0.8554173,20.037153,18.60218,1.0,10.537034531789825,180,12.382298,12.382298,10.301893,3.0,[[0.11]],18.187344,1.0,18.556759,1.0
17.758486,1.3276824951171875,[[-0.6]],3.1622777,10,10.0,,,1.0,10.675051,14.03347,0.96156144,13.898762,18.60218,1.0,15.569044052060091,200,14.03347,14.03347,10.675051,3.1622777,[[0.11]],17.758486,1.0,19.550596,1.0
17.704332,1.3777976036071777,[[-0.6]],3.3166246,11,11.0,,,1.0,10.591008,9.750587,0.96156144,17.162806,18.60218,1.0,10.731744791143202,220,14.03347,14.03347,10.591008,3.3166249,[[0.11]],17.704332,1.0,19.053509,1.0
17.749504,1.4296422004699707,[[-0.6]],3.4641018,12,12.0,,,1.0,10.65736,11.387238,0.96156144,18.246395,18.60218,1.0,12.605797862202799,240,14.03347,14.03347,10.65736,3.4641016,[[0.11]],17.749504,1.0,18.759586,1.0
17.249323,1.483828067779541,[[-0.6]],3.6055512,13,13.0,,,1.0,10.773414,12.1660595,0.96156144,11.247149,18.60218,1.0,13.490053455387635,260,14.03347,14.03347,10.773414,3.6055512,[[0.11]],17.249323,1.0,18.557781,1.0
17.261106,1.5400161743164062,[[-0.6]],3.7416573,14,14.0,,,1.0,10.841619,11.728253,0.96156144,17.414305,18.60218,1.0,12.976255789609432,280,14.03347,14.03347,10.841619,3.7416575,[[0.11]],17.261106,1.0,18.342823,1.0
17.331339,1.5980236530303955,[[-0.6]],3.8729832,15,15.0,,,1.0,10.772272,9.801445,0.96156144,18.31459,18.60218,1.0,10.751613730460173,300,14.03347,14.03347,10.772272,3.8729835,[[0.11]],17.331339,1.0,18.019125,1.0
17.285133,1.657754898071289,[[-0.6]],4.0,16,16.0,,,1.0,10.747592,10.377384,0.96156144,16.59203,18.60218,1.0,11.454669004598161,320,14.03347,14.03347,10.747592,4.0,[[0.11]],17.285133,1.0,17.764328,1.0
17.328156,1.72035813331604,[[-0.6]],4.1231055,17,17.0,,,1.0,10.820859,11.993124,0.96156144,18.01651,18.60218,1.0,13.29271580711739,340,14.03347,14.03347,10.820859,4.1231055,[[0.11]],17.328156,1.0,17.628092,1.0
17.379482,1.7868905067443848,[[-0.6]],4.242641,18,18.0,,,1.0,10.883217,11.9433,0.96156144,18.252037,18.60218,1.0,13.220187124395133,360,14.03347,14.03347,10.883217,4.2426405,[[0.11]],17.379482,1.0,17.498657,1.0
17.410105,1.8539361953735352,[[-0.6]],4.3588986,19,19.0,,,1.0,10.8769865,10.764842,0.96156144,17.961308,18.60218,1.0,11.887590760958789,380,14.03347,14.03347,10.8769865,4.358899,[[0.11]],17.410105,1.0,17.315985,1.0
17.387753,1.9349560737609863,[[-0.6]],4.472136,20,20.0,,,1.0,11.013056,13.598376,0.96156144,16.963097,18.60218,1.0,15.093429019101903,400,14.03347,14.03347,11.013056,4.472136,[[0.11]],17.387753,1.0,17.289015,1.0
17.367609,2.010596990585327,[[-0.6]],4.582576,21,21.0,,,1.0,11.030417,11.377644,0.96156144,16.96472,18.60218,1.0,12.572549547055468,420,14.03347,14.03347,11.030417,4.582576,[[0.11]],17.367609,1.0,17.155125,1.0
17.191362,2.084638833999634,[[-0.6]],4.690416,22,22.0,,,1.0,10.968572,9.669821,0.96156144,13.49018,18.60218,1.0,10.626442532597679,440,14.03347,14.03347,10.968572,4.690416,[[0.11]],17.191362,1.0,16.952463,1.0
