DenMISEMeanLog,TimeElapsed,LQGmu,SqrtESSClassic,Iteration,IWNorm1,IWMin,ReturnMin,IWLastEpisode,MISE,ReturnLastEpisode,ReturnStepMax,DenMISELogLast,DenMISELogFirst,IWMax,URet,TimestepsSoFar,ReturnMax,ReturnAbsMax,ReturnMean,IWNorm2,LQGsigma,target_sum_log_mean,IWMean,Bound,IWFirstEpisode
16.793316,2.1678714752197266,[[-0.6]],4.795831,23,23.0,,,1.0,10.930156,10.084999,0.96156144,8.036285,18.60218,1.0,11.103756608496475,460,14.03347,14.03347,10.930156,4.7958317,[[0.11]],16.793316,1.0,16.782516,1.0
16.832594,2.250042676925659,[[-0.6]],4.898979,24,24.0,,,1.0,10.992756,12.432558,0.96156144,17.735983,18.60218,1.0,13.782094149093897,480,14.03347,14.03347,10.992756,4.8989797,[[0.11]],16.832594,1.0,16.721897,1.0
16.907276,2.422161817550659,[[-0.6]],5.0,25,25.0,,,1.0,10.961796,10.218747,0.96156144,18.699642,18.60218,1.0,11.22456369810795,500,14.03347,14.03347,10.961796,5.0,[[0.11]],16.907276,1.0,16.575184,1.0
16.907839,2.557084083557129,[[-0.6]],5.0990195,26,26.0,,,1.0,10.974511,11.292387,0.96156144,16.921925,18.60218,1.0,12.50190401469404,520,14.03347,14.03347,10.974511,5.0990195,[[0.11]],16.907839,1.0,16.478891,1.0
17.040096,2.6524486541748047,[[-0.6]],5.1961527,27,27.0,,,1.0,10.976354,11.024248,0.96156144,20.478785,18.60218,1.0,12.178555394781306,540,14.03347,14.03347,10.976354,5.196152,[[0.11]],17.040096,1.0,16.377838,1.0
17.009745,2.744612693786621,[[-0.6]],5.291503,28,28.0,,,1.0,10.976016,10.966927,0.96156144,16.190239,18.60218,1.0,12.095654790021465,560,14.03347,14.03347,10.976016,5.2915025,[[0.11]],17.009745,1.0,16.280169,1.0
17.080498,2.830352783203125,[[-0.6]],5.3851647,29,29.0,,,1.0,10.969573,10.789164,0.96156144,19.061565,18.60218,1.0,11.915122334508395,580,14.03347,14.03347,10.969573,5.3851647,[[0.11]],17.080498,1.0,16.181473,1.0
16.876608,2.918097972869873,[[-0.6]],5.4772253,30,30.0,,,1.0,11.001955,11.941047,0.96156144,10.963818,18.60218,1.0,13.253267555763232,600,14.03347,14.03347,11.001955,5.477226,[[0.11]],16.876608,1.0,16.126255,1.0
16.673872,3.008096694946289,[[-0.6]],5.5677643,31,31.0,,,1.0,11.034017,11.995813,0.96156144,10.591841,18.60218,1.0,13.303690439552026,620,14.03347,14.03347,11.034017,5.5677643,[[0.11]],16.673872,1.0,16.074987,1.0
16.624043,3.0991878509521484,[[-0.6]],5.656854,32,32.0,,,1.0,11.006306,10.147293,0.96156144,15.079361,18.60218,1.0,11.171206005098725,640,14.03347,14.03347,11.006306,5.656854,[[0.11]],16.624043,1.0,15.967886,1.0
16.648823,3.1919920444488525,[[-0.6]],5.7445626,33,33.0,,,1.0,10.975278,9.9823885,0.96156144,17.441761,18.60218,1.0,11.015136329997834,660,14.03347,14.03347,10.975278,5.7445626,[[0.11]],16.648823,1.0,15.861105,1.0
16.706354,3.2864725589752197,[[-0.6]],5.830952,34,34.0,,,1.0,10.964139,10.596558,0.96156144,18.604906,18.60218,1.0,11.711651972428221,680,14.03347,14.03347,10.964139,5.8309517,[[0.11]],16.706354,1.0,15.777579,1.0
16.765982,3.382127285003662,[[-0.6]],5.9160795,35,35.0,,,1.0,10.9274645,9.680526,0.96156144,18.793257,18.60218,1.0,10.637791346310278,700,14.03347,14.03347,10.9274645,5.91608,[[0.11]],16.765982,1.0,15.671644,1.0
16.70264,3.479994297027588,[[-0.6]],6.0,36,36.0,,,0.99999905,10.927398,10.925085,0.96156144,14.485692,18.60218,1.0,12.03448128539618,720,14.03347,14.03347,10.927398,6.0,[[0.11]],16.70264,1.0,15.605221,1.0
16.615595,3.5816423892974854,[[-0.6]],6.0827622,37,37.0,,,1.0,10.990257,13.253211,0.9732028,13.481952,18.60218,1.0,14.622725190595197,740,14.03347,14.03347,10.990257,6.0827627,[[0.11]],16.615595,1.0,15.604434,1.0
16.617718,3.6894965171813965,[[-0.6]],6.164414,38,38.0,,,1.0,10.983114,10.718803,0.9732028,16.69631,18.60218,1.0,11.782112944745972,760,14.03347,14.03347,10.983114,6.164414,[[0.11]],16.617718,1.0,15.536173,1.0
16.643621,3.800244092941284,[[-0.6]],6.244998,39,39.0,,,1.0,10.964488,10.256732,0.9732028,17.627972,18.60218,1.0,11.351226606173608,780,14.03347,14.03347,10.964489,6.244998,[[0.11]],16.643621,1.0,15.458796,1.0
