LQGsigma,DenMISEMeanLog,ReturnStepMax,DenMISELogLast,IWMean,URet,TimeElapsed,IWNorm2,IWMax,SqrtESSClassic,TimestepsSoFar,DenMISELogFirst,IWLastEpisode,IWFirstEpisode,MISE,ReturnMax,Iteration,IWMin,IWNorm1,LQGmu,Bound,ReturnMean,ReturnMin,target_sum_log_mean,ReturnAbsMax,ReturnLastEpisode
[[0.11]],18.60218,0.92743576,18.60218,1.0,11.472623376949253,0.2716083526611328,1.0,1.0,1.0,20,18.60218,1.0,1.0,10.552718,10.552718,1,,1.0,[[-1.]],31.658154,10.552718,,18.60218,10.552718,10.552718
[[0.11]],19.957481,0.9370531,21.312784,1.0,10.504256341389226,1.0632359981536865,1.4142135,1.0,1.4142135,40,18.60218,1.0,1.0,10.151321,10.552718,2,,2.0,[[-1.]],25.075119,10.151321,,19.957481,10.552718,9.749925
[[0.11]],20.361198,0.94908077,21.168629,1.0,10.416057992794325,1.1029374599456787,1.7320508,1.0,1.7320509,60,18.60218,1.0,1.0,9.990989,10.552718,3,,3.0,[[-1.]],22.176218,9.990989,,20.361198,10.552718,9.670324
[[0.11]],19.958939,0.94908077,18.75216,1.0,9.849075116289285,1.1518948078155518,2.0,1.0,2.0,80,18.60218,1.0,1.0,9.784349,10.552718,4,,4.0,[[-1.]],20.337067,9.784349,,19.958939,10.552718,9.16443
[[0.11]],18.726944,0.94908077,13.798965,1.0,11.029404436078796,1.203916311264038,2.236068,1.0,2.236068,100,18.60218,1.0,1.0,9.8666935,10.552718,5,,5.0,[[-1.]],19.305332,9.8666935,,18.726944,10.552718,10.196072
[[0.11]],18.418015,0.94908077,16.87337,1.0,10.300331553848,1.2829265594482422,2.4494898,1.0,2.4494896,120,18.60218,1.0,1.0,9.815408,10.552718,6,,6.0,[[-1.]],18.431667,9.815408,,18.418015,10.552718,9.55898
[[0.11]],18.515263,0.94908077,19.098755,1.0,10.696826563765105,1.3259015083312988,2.6457512,1.0,2.6457515,140,18.60218,1.0,1.0,9.8271265,10.552718,7,,7.0,[[-1.]],17.80423,9.8271265,,18.515263,10.552718,9.897441
[[0.11]],17.95612,0.94908077,14.042102,1.0,11.189530713933825,1.3728506565093994,2.828427,1.0,2.828427,160,18.60218,1.0,1.0,9.890181,10.552718,8,,8.0,[[-1.]],17.35208,9.890181,,17.95612,10.552718,10.331554
[[0.11]],18.187344,0.94908077,20.03715,1.0,11.158250881683793,1.4207136631011963,3.0,1.0,3.0,180,18.60218,1.0,1.0,9.935451,10.552718,9,,9.0,[[-1.]],16.970596,9.935451,,18.187344,10.552718,10.297609
[[0.11]],17.758486,0.94908077,13.898762,1.0,9.50855131076323,1.470289945602417,3.1622777,1.0,3.1622777,200,18.60218,1.0,1.0,9.827858,10.552718,10,,10.0,[[-1.]],16.501984,9.827858,,17.758486,10.552718,8.859534
[[0.11]],17.704332,0.94908077,17.16281,1.0,11.121375005952103,1.5221679210662842,3.3166249,1.0,3.3166246,220,18.60218,1.0,1.0,9.866894,10.552718,11,,11.0,[[-1.]],16.230423,9.866894,,17.704332,10.552718,10.25725
[[0.11]],17.749506,0.94908077,18.246397,1.0,10.329847014264635,1.5762639045715332,3.4641016,1.0,3.4641018,240,18.60218,1.0,1.0,9.843299,10.552718,12,,12.0,[[-1.]],15.935913,9.843299,,17.749506,10.552718,9.583756
[[0.11]],17.249325,0.94908077,11.2471485,1.0,10.114526893016876,1.6325626373291016,3.6055512,1.0,3.6055512,260,18.60218,1.0,1.0,9.809488,10.552718,13,,13.0,[[-1.]],15.663083,9.809488,,17.249325,10.552718,9.403764
[[0.11]],17.261108,0.94908077,17.414305,1.0,10.036812988324595,1.690403699874878,3.7416575,1.0,3.7416573,280,18.60218,1.0,1.0,9.775436,10.552718,14,,14.0,[[-1.]],15.416101,9.775436,,17.261108,10.552718,9.332761
