IWNorm2,DenMISELogLast,IWMin,DenMISEMeanLog,target_sum_log_mean,DenMISELogFirst,IWMax,IWNorm1,IWLastEpisode,ReturnStepMax,MISE,ReturnAbsMax,IWFirstEpisode,ReturnLastEpisode,ReturnMean,Iteration,ReturnMin,IWMean,TimestepsSoFar,ReturnMax,URet,LQGmu,LQGsigma,Bound,TimeElapsed,SqrtESSClassic
3.3166249,17.16281,,17.704332,17.704332,18.602184,1.0,11.0,1.0,0.939195,8.854088,9.014372,1.0,8.974555,8.854088,11,,1.0,220,9.014372,9.676822495910754,[[-1.3]],[[0.11]],14.289959,1.0846545696258545,3.3166246
3.4641016,18.246397,,17.749504,17.749504,18.602184,1.0,12.0,1.0,0.939195,8.8529825,9.014372,1.0,8.840822,8.8529825,12,,1.0,240,9.014372,9.538830381240153,[[-1.3]],[[0.11]],14.057432,1.1320106983184814,3.4641018
3.6055512,11.24715,,17.249325,17.249325,18.602184,1.0,13.0,1.0,0.939195,8.837638,9.014372,1.0,8.653514,8.837638,13,,1.0,260,9.014372,9.33569827840684,[[-1.3]],[[0.11]],13.837912,1.1822845935821533,3.6055512
3.7416575,17.414305,,17.261108,17.261108,18.602184,1.0,14.0,1.0,0.939195,8.821599,9.014372,1.0,8.613086,8.821599,14,,1.0,280,9.014372,9.292692938596698,[[-1.3]],[[0.11]],13.639983,1.2639474868774414,3.7416573
3.8729835,18.31459,,17.33134,17.33134,18.602184,1.0,15.0,1.0,0.939195,8.821128,9.014372,1.0,8.814535,8.821128,15,,1.0,300,9.014372,9.518532349465215,[[-1.3]],[[0.11]],13.47613,1.3452210426330566,3.8729832
4.0,16.59203,,17.285133,17.285133,18.602184,1.0,16.0,1.0,0.9414906,8.8282175,9.014372,1.0,8.934554,8.8282175,16,,1.0,320,9.014372,9.639895981387419,[[-1.3]],[[0.11]],13.335403,1.3995413780212402,4.0
4.1231055,18.016508,,17.328157,17.328157,18.602184,1.0,17.0,1.0,0.9414906,8.8189745,9.014372,1.0,8.67109,8.8189745,17,,1.0,340,9.014372,9.357944615036862,[[-1.3]],[[0.11]],13.191587,1.4506757259368896,4.1231055
4.2426405,18.252037,,17.379482,17.379482,18.602184,1.0,18.0,1.0,0.9414906,8.814838,9.014372,1.0,8.744524,8.814838,18,,1.0,360,9.014372,9.44458342236567,[[-1.3]],[[0.11]],13.064254,1.511798620223999,4.242641
4.358899,17.961308,,17.410105,17.410105,18.602184,1.0,19.0,1.0,0.9414906,8.812613,9.014372,1.0,8.772558,8.812613,19,,1.0,380,9.014372,9.46560417910094,[[-1.3]],[[0.11]],12.94869,1.6027920246124268,4.3588986
4.472136,16.963099,,17.387754,17.387754,18.602184,1.0,20.0,1.0,0.9414906,8.804977,9.014372,1.0,8.659906,8.804977,20,,1.0,400,9.014372,9.350565312646468,[[-1.3]],[[0.11]],12.836327,1.6952791213989258,4.472136
4.582576,16.964716,,17.367609,17.367609,18.602184,1.0,21.0,1.0,0.9414906,8.79782,9.014372,1.0,8.654676,8.79782,21,,1.0,420,9.014372,9.338917427743032,[[-1.3]],[[0.11]],12.732015,1.7610533237457275,4.582576
4.690416,13.490177,,17.191362,17.191362,18.602184,1.0,22.0,1.0,0.9414906,8.808257,9.027422,1.0,9.027422,8.808257,22,,1.0,440,9.027422,9.74097411280958,[[-1.3]],[[0.11]],12.657562,1.8394222259521484,4.690416
4.7958317,8.036287,,16.793316,16.793316,18.602184,1.0,23.0,1.0,0.9414906,8.814515,9.027422,1.0,8.952188,8.814515,23,,1.0,460,9.027422,9.657948582153638,[[-1.3]],[[0.11]],12.57921,1.944096565246582,4.795831
4.8989797,17.735987,,16.832594,16.832594,18.602184,1.0,24.0,1.0,0.9414906,8.812215,9.027422,1.0,8.75932,8.812215,24,,1.0,480,9.027422,9.455322443115584,[[-1.3]],[[0.11]],12.497644,2.056788206100464,4.898979
5.0,18.699644,,16.907276,16.907276,18.602184,1.0,25.0,1.0,0.9414906,8.811346,9.027422,1.0,8.790481,8.811346,25,,1.0,500,9.027422,9.487778134881063,[[-1.3]],[[0.11]],12.422315,2.228297233581543,5.0
5.0990195,16.921919,,16.907839,16.907839,18.602184,1.0,26.0,1.0,0.9414906,8.815543,9.027422,1.0,8.920478,8.815543,26,,1.0,520,9.027422,9.631276855651185,[[-1.3]],[[0.11]],12.356389,2.3601303100585938,5.0990195
5.196152,20.47878,,17.040096,17.040096,18.602184,1.0,27.0,1.0,0.9414906,8.812884,9.027422,1.0,8.743757,8.812884,27,,1.0,540,9.027422,9.436125958186249,[[-1.3]],[[0.11]],12.28754,2.436495780944824,5.1961527
5.2915025,16.190243,,17.009745,17.009745,18.602184,1.0,28.0,1.0,0.9414906,8.812795,9.027422,1.0,8.810365,8.812795,28,,1.0,560,9.027422,9.503243102311156,[[-1.3]],[[0.11]],12.224839,2.534576654434204,5.291503
5.3851647,19.06157,,17.080498,17.080498,18.602184,1.0,29.0,1.0,0.9414906,8.812943,9.027422,1.0,8.817093,8.812943,29,,1.0,580,9.027422,9.522364090098668,[[-1.3]],[[0.11]],12.165644,2.6306378841400146,5.3851647
5.477226,10.963814,,16.876608,16.876608,18.602184,1.0,30.0,1.0,0.9414906,8.812323,9.027422,1.0,8.794333,8.812323,30,,1.0,600,9.027422,9.481188929303965,[[-1.3]],[[0.11]],12.108671,2.7170093059539795,5.4772253
5.5677643,10.591843,,16.673874,16.673874,18.602184,1.0,31.0,1.0,0.9414906,8.8126,9.027422,1.0,8.820949,8.8126,31,,1.0,620,9.027422,9.517311412313681,[[-1.3]],[[0.11]],12.055346,2.805306911468506,5.5677643
5.656854,15.079365,,16.624044,16.624044,18.602184,1.0,32.0,1.0,0.9414906,8.811935,9.027422,1.0,8.791326,8.811935,32,,1.0,640,9.027422,9.48554495623793,[[-1.3]],[[0.11]],12.003611,2.8960890769958496,5.656854
5.7445626,17.441761,,16.648825,16.648825,18.602184,1.0,33.0,1.0,0.9414906,8.817518,9.027422,1.0,8.996138,8.817518,33,,1.0,660,9.027422,9.706954976747658,[[-1.3]],[[0.11]],11.960464,2.988459825515747,5.7445626
5.8309517,18.604906,,16.706356,16.706356,18.602184,1.0,34.0,1.0,0.9414906,8.820143,9.027422,1.0,8.906763,8.820143,34,,1.0,680,9.027422,9.605862805036002,[[-1.3]],[[0.11]],11.916523,3.0871853828430176,5.830952
5.91608,18.793259,,16.765982,16.765982,18.602184,1.0,35.0,1.0,0.9414906,8.823453,9.027422,1.0,8.936014,8.823453,35,,1.0,700,9.027422,9.644340330498057,[[-1.3]],[[0.11]],11.875278,3.1842308044433594,5.9160795
6.0,14.485695,,16.70264,16.70264,18.602184,1.0,36.0,1.0,0.9414906,8.821483,9.027422,1.0,8.752498,8.821483,36,,1.0,720,9.027422,9.441401864936232,[[-1.3]],[[0.11]],11.830624,3.3095998764038086,6.0
6.0827627,13.481951,,16.615595,16.615595,18.602184,1.0,37.0,1.0,0.9414906,8.813321,9.027422,1.0,8.519491,8.813321,37,,1.0,740,9.027422,9.198065692003365,[[-1.3]],[[0.11]],11.781519,3.4117116928100586,6.0827622
6.164414,16.69631,,16.617718,16.617718,18.602184,1.0,38.0,1.0,0.9414906,8.8103,9.027422,1.0,8.698535,8.8103,38,,1.0,760,9.027422,9.389364676977555,[[-1.3]],[[0.11]],11.739182,3.521510362625122,6.164414
6.244998,17.627974,,16.643621,16.643621,18.602184,1.000001,39.0,1.0,0.9414906,8.812409,9.027422,1.0,8.892568,8.812409,39,,1.0,780,9.027422,9.587890649715698,[[-1.3]],[[0.11]],11.703499,3.702881336212158,6.244998
