IWNorm2,DenMISELogLast,IWMin,DenMISEMeanLog,target_sum_log_mean,DenMISELogFirst,IWMax,IWNorm1,IWLastEpisode,ReturnStepMax,MISE,ReturnAbsMax,IWFirstEpisode,ReturnLastEpisode,ReturnMean,Iteration,ReturnMin,IWMean,TimestepsSoFar,ReturnMax,URet,LQGmu,LQGsigma,Bound,TimeElapsed,SqrtESSClassic
1.0,18.602184,,18.602184,18.602184,18.602184,1.0,1.0,1.0,0.9285723,9.014372,9.014372,1.0,9.014372,9.014372,1,,1.0,20,9.014372,9.728706707457832,[[-1.3]],[[0.11]],27.043116,0.22143864631652832,1.0
1.4142135,21.312784,,19.957485,19.957485,18.602184,1.0,2.0,1.0,0.9285723,8.90743,9.014372,1.0,8.8004875,8.90743,2,,1.0,40,9.014372,9.495728533580275,[[-1.3]],[[0.11]],21.655678,0.723921537399292,1.4142135
1.7320508,21.168625,,20.361198,20.361198,18.602184,1.0,3.0,1.0,0.9340368,8.909569,9.014372,1.0,8.913846,8.909569,3,,1.0,60,9.014372,9.612205251933094,[[-1.3]],[[0.11]],19.31847,0.7523045539855957,1.7320509
2.0,18.752161,,19.958939,19.958939,18.602184,1.0,4.0,1.0,0.9340368,8.83766,9.014372,1.0,8.621935,8.83766,4,,1.0,80,9.014372,9.303453882694578,[[-1.3]],[[0.11]],17.852032,0.7818858623504639,2.0
2.236068,13.798963,,18.726944,18.726944,18.602184,1.0,5.0,1.0,0.9340368,8.862376,9.014372,1.0,8.961245,8.862376,5,,1.0,100,9.014372,9.671650540132203,[[-1.3]],[[0.11]],16.925076,0.8292112350463867,2.236068
2.4494898,16.87337,,18.418015,18.418015,18.602184,1.0,6.0,1.0,0.9340368,8.827876,9.014372,1.0,8.655369,8.827876,6,,1.0,120,9.014372,9.338876079822152,[[-1.3]],[[0.11]],16.18808,0.872443675994873,2.4494896
2.6457512,19.098753,,18.515263,18.515263,18.602184,1.0,7.0,1.0,0.9340368,8.831204,9.014372,1.0,8.851177,8.831204,7,,1.0,140,9.014372,9.554440574754837,[[-1.3]],[[0.11]],15.645428,0.9117281436920166,2.6457515
2.828427,14.042101,,17.956118,17.956118,18.602184,1.0,8.0,1.0,0.9340368,8.85191,9.014372,1.0,8.996847,8.85191,8,,1.0,160,9.014372,9.695125723883724,[[-1.3]],[[0.11]],15.226033,0.9500284194946289,2.828427
3.0,20.03715,,18.187344,18.187344,18.602184,1.0,9.0,1.0,0.9345528,8.869098,9.014372,1.0,9.006602,8.869098,9,,1.0,180,9.014372,9.716657548749172,[[-1.3]],[[0.11]],14.878679,0.9871461391448975,3.0
3.1622777,13.898762,,17.758486,17.758486,18.602184,1.0,10.0,1.0,0.939195,8.842041,9.014372,1.0,8.598532,8.842041,10,,1.0,200,9.014372,9.281858113411483,[[-1.3]],[[0.11]],14.54323,1.0290706157684326,3.1622777
