URet,MISE,ReturnMin,LQGmu,TimeElapsed,Iteration,ReturnLastEpisode,IWNorm1,LQGsigma,IWLastEpisode,IWMax,ReturnStepMax,DenMISELogFirst,IWNorm2,target_sum_log_mean,SqrtESSClassic,IWMin,ReturnMean,TimestepsSoFar,ReturnMax,DenMISELogLast,DenMISEMeanLog,IWFirstEpisode,ReturnAbsMax,Bound,IWMean
13.696307059980429,11.464299,,[[-0.7]],2.703929901123047,21,12.354898,21.0,[[0.11]],1.0,1.0,0.9678648,18.60218,4.582576,17.367609,4.582576,,11.464299,420,13.363872,16.96472,17.367609,1.0,13.363872,17.29677,1.0
10.920896230599805,11.394705,,[[-0.7]],2.86346173286438,22,9.933222,22.0,[[0.11]],1.0,1.0,0.9678648,18.60218,4.690416,17.191362,4.690416,,11.394705,440,13.363872,13.49018,17.191362,1.0,13.363872,17.093079,1.0
11.6423737398846,11.358038,,[[-0.7]],2.9999783039093018,23,10.551352,23.0,[[0.11]],1.0,1.0,0.9678648,18.60218,4.7958317,16.793316,4.795831,,11.358038,460,13.363872,8.036285,16.793316,1.0,13.363872,16.931158,1.0
14.642682184957195,11.434535,,[[-0.7]],3.1173853874206543,24,13.193966,24.0,[[0.11]],1.0,1.0,0.9678648,18.60218,4.8989797,16.832594,4.898979,,11.434535,480,13.363872,17.735983,16.832594,1.0,13.363872,16.890312,1.0
12.017990981852746,11.413532,,[[-0.7]],3.199692964553833,25,10.909502,25.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.0,16.907276,5.0,,11.413532,500,13.363872,18.699642,16.907276,1.0,13.363872,16.75908,1.0
13.369380688811974,11.43758,,[[-0.7]],3.2794365882873535,26,12.038757,26.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.0990195,16.907839,5.0990195,,11.43758,520,13.363872,16.921925,16.907839,1.0,13.363872,16.679321,1.0
13.194792777309301,11.455091,,[[-0.7]],3.364602565765381,27,11.91038,27.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.196152,17.040096,5.1961527,,11.455091,540,13.363872,20.478785,17.040096,1.0,13.363872,16.598848,1.0
13.17169941000446,11.471146,,[[-0.7]],3.4467926025390625,28,11.904636,28.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.2915025,17.009745,5.291503,,11.471146,560,13.363872,16.190239,17.009745,1.0,13.363872,16.522213,1.0
12.814477735239755,11.474571,,[[-0.7]],3.5299782752990723,29,11.570509,29.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.3851647,17.080498,5.3851647,,11.474571,580,13.363872,19.061565,17.080498,1.0,13.363872,16.437788,1.0
14.07191263033546,11.514164,,[[-0.7]],3.6185457706451416,30,12.662324,30.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.477226,16.876608,5.4772253,,11.514164,600,13.363872,10.963818,16.876608,1.0,13.363872,16.393959,1.0
14.396625682057332,11.560171,,[[-0.7]],3.761221408843994,31,12.9403925,31.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.5677643,16.673872,5.5677643,,11.560171,620,13.363872,10.59184,16.673872,1.0,13.363872,16.360615,1.0
11.991105177983243,11.538502,,[[-0.7]],3.864579439163208,32,10.866748,32.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.656854,16.624043,5.656854,,11.538502,640,13.363872,15.079361,16.624043,1.0,13.363872,16.263344,1.0
11.28167519617754,11.498341,,[[-0.7]],3.9527394771575928,33,10.213181,33.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.7445626,16.648823,5.7445626,,11.498341,660,13.363872,17.441761,16.648823,1.0,13.363872,16.151043,1.0
12.158758951953217,11.48333,,[[-0.7]],4.045743942260742,34,10.987935,34.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.8309517,16.706354,5.830952,,11.48333,680,13.363872,18.604906,16.706354,1.0,13.363872,16.0671,1.0
11.44157416628707,11.451912,,[[-0.7]],4.156012058258057,35,10.3837385,35.0,[[0.11]],1.0,1.0,0.9678648,18.60218,5.91608,16.765982,5.9160795,,11.451912,700,13.363872,18.793257,16.765982,1.0,13.363872,15.969725,1.0
13.158378680575348,11.464512,,[[-0.7]],4.252811431884766,36,11.90551,36.0,[[0.11]],0.99999905,1.0,0.9678648,18.60218,6.0,16.70264,6.0,,11.464512,720,13.363872,14.485692,16.70264,1.0,13.363872,15.919136,1.0
12.695852008224366,11.469426,,[[-0.7]],4.331942081451416,37,11.646355,37.0,[[0.11]],1.0,1.0,0.9678648,18.60218,6.0827627,16.615595,6.0827622,,11.469427,740,13.363872,13.481953,16.615595,1.0,13.363872,15.8634405,1.0
12.954211461369033,11.476551,,[[-0.7]],4.4181177616119385,38,11.740162,38.0,[[0.11]],1.0,1.0,0.9678648,18.60218,6.164414,16.617718,6.164414,,11.476551,760,13.363872,16.69631,16.617718,1.0,13.363872,15.812364,1.0
11.580864407081254,11.450387,,[[-0.7]],4.487778902053833,39,10.456145,39.0,[[0.11]],1.0,1.0,0.9678648,18.60218,6.244998,16.643621,6.244998,,11.450388,780,13.363872,17.627972,16.643621,1.0,13.363872,15.730251,1.0
