SqrtESSClassic,ReturnAbsMax,IWMax,LQGmu,Bound,URet,LQGsigma,ReturnLastEpisode,ReturnMin,DenMISELogFirst,IWLastEpisode,ReturnStepMax,Iteration,DenMISELogLast,MISE,ReturnMean,DenMISEMeanLog,IWNorm1,IWFirstEpisode,ReturnMax,target_sum_log_mean,IWMin,TimeElapsed,TimestepsSoFar,IWMean,IWNorm2
1.0,9.602192,1.0,[[-1.5]],28.806576,10.42517655143672,[[0.11]],9.602192,,18.60218,1.0,0.91715974,1,18.60218,9.602192,9.602192,18.60218,1.0,1.0,9.602192,18.60218,,0.20255398750305176,20,1.0,1.0
1.4142135,9.602192,1.0,[[-1.5]],23.125744,10.304189623320955,[[0.11]],9.490198,,18.60218,1.0,0.91715974,2,21.312778,9.546195,9.546195,19.95748,2.0,1.0,9.602192,19.95748,,1.2082500457763672,40,1.0,1.4142135
1.7320509,9.602192,1.0,[[-1.5]],20.642479,10.387704360559113,[[0.11]],9.572074,,18.60218,1.0,0.91874367,3,21.168625,9.554822,9.554822,20.361195,3.0,1.0,9.602192,20.361195,,1.2536051273345947,60,1.0,1.7320508
2.0,9.602192,1.0,[[-1.5]],19.105995,10.155814480591282,[[0.11]],9.350745,,18.60218,1.0,0.91874367,4,18.752157,9.503802,9.503802,19.958935,4.0,1.0,9.602192,19.958935,,1.292201280593872,80,1.0,2.0
2.236068,9.602192,1.0,[[-1.5]],18.102283,10.37391199214537,[[0.11]],9.553893,,18.60218,1.0,0.9289972,5,13.798964,9.513821,9.513821,18.72694,5.0,1.0,9.602192,18.72694,,1.3326733112335205,100,1.0,2.236068
2.4494896,9.602192,1.0,[[-1.5]],17.321003,10.118196388338625,[[0.11]],9.315973,,18.60218,1.0,0.9289972,6,16.873375,9.480846,9.480846,18.418013,6.0,1.0,9.602192,18.418013,,1.3747079372406006,120,1.0,2.4494898
2.6457515,9.602192,1.0,[[-1.5]],16.74104,10.308374888129464,[[0.11]],9.492172,,18.60218,1.0,0.9289972,7,19.098753,9.482465,9.482465,18.515263,7.0,1.0,9.602192,18.515263,,1.418210506439209,140,1.0,2.6457512
2.828427,9.604949,1.0,[[-1.5]],16.2895,10.417222900294576,[[0.11]],9.604949,,18.60218,1.0,0.9343737,8,14.042101,9.497774,9.497774,17.956116,8.0,1.0,9.604949,17.956116,,1.4640817642211914,160,1.0,2.828427
3.0,9.608887,1.0,[[-1.5]],15.916045,10.429263827880046,[[0.11]],9.608887,,18.60218,1.0,0.9343737,9,20.037151,9.51012,9.51012,18.187342,9.0,1.0,9.608887,18.187342,,1.5118787288665771,180,1.0,3.0
3.1622777,9.608887,1.0,[[-1.5]],15.568588,10.129680406072515,[[0.11]],9.322861,,18.60218,1.0,0.9343737,10,13.898761,9.491394,9.491394,17.758484,10.0,1.0,9.608887,17.758484,,1.5617992877960205,200,1.0,3.1622777
3.3166246,9.635729,1.0,[[-1.5]],15.315079,10.452835702381682,[[0.11]],9.635729,,18.60218,1.0,0.94008183,11,17.162806,9.504516,9.504516,17.704332,11.0,1.0,9.635729,17.704332,,1.6124377250671387,220,1.0,3.3166249
3.4641018,9.635729,1.0,[[-1.5]],15.06923,10.338037051086372,[[0.11]],9.522803,,18.60218,1.0,0.94008183,12,18.246395,9.50604,9.50604,17.749504,12.0,1.0,9.635729,17.749504,,1.6643998622894287,240,1.0,3.4641016
3.6055512,9.635729,1.0,[[-1.5]],14.844591,10.231158685812776,[[0.11]],9.4229765,,18.60218,1.0,0.94008183,13,11.247148,9.49965,9.49965,17.249323,13.0,1.0,9.635729,17.249323,,1.7281193733215332,260,1.0,3.6055512
3.7416573,9.635729,1.0,[[-1.5]],14.6392355,10.149871980609488,[[0.11]],9.34665,,18.60218,1.0,0.94008183,14,17.414305,9.488722,9.488722,17.261106,14.0,1.0,9.635729,17.261106,,1.8021016120910645,280,1.0,3.7416575
3.8729832,9.635729,1.0,[[-1.5]],14.462868,10.280972596629843,[[0.11]],9.462873,,18.60218,1.0,0.94008183,15,18.314592,9.486999,9.486999,17.331339,15.0,1.0,9.635729,17.331339,,1.85902738571167,300,1.0,3.8729835
4.0,9.635729,1.0,[[-1.5]],14.309683,10.381835824332475,[[0.11]],9.56411,,18.60218,1.0,0.94008183,16,16.59203,9.491818,9.491818,17.285133,16.0,1.0,9.635729,17.285133,,1.9171323776245117,320,1.0,4.0
4.1231055,9.635729,1.0,[[-1.5]],14.159266,10.187991156828453,[[0.11]],9.38017,,18.60218,1.0,0.94008183,17,18.016512,9.485251,9.485251,17.328154,17.0,1.0,9.635729,17.328154,,1.9816081523895264,340,1.0,4.1231055
4.242641,9.635729,1.0,[[-1.5]],14.023197,10.220857766936534,[[0.11]],9.406425,,18.60218,1.0,0.94008183,18,18.252035,9.480871,9.480871,17.379482,18.0,1.0,9.635729,17.379482,,2.048154354095459,360,1.0,4.2426405
4.3588986,9.635729,1.0,[[-1.5]],13.898675,10.227127663493267,[[0.11]],9.416784,,18.60218,1.0,0.94008183,19,17.961308,9.477499,9.477499,17.410105,19.0,1.0,9.635729,17.410105,,2.1168088912963867,380,1.0,4.358899
4.472136,9.635729,1.0,[[-1.5]],13.782105,10.196271449144962,[[0.11]],9.385064,,18.60218,1.0,0.94008183,20,16.963097,9.472877,9.472877,17.387754,20.0,1.0,9.635729,17.387754,,2.341303825378418,400,1.0,4.472136
4.582576,9.635729,1.0,[[-1.5]],13.671841,10.143353360934741,[[0.11]],9.338221,,18.60218,1.0,0.94008183,21,16.964718,9.466464,9.466464,17.367609,21.0,1.0,9.635729,17.367609,,2.4583492279052734,420,1.0,4.582576
4.690416,9.635729,1.0,[[-1.5]],13.582029,10.44160031754906,[[0.11]],9.617736,,18.60218,1.0,0.94008183,22,13.490181,9.47334,9.47334,17.191362,22.0,1.0,9.635729,17.191362,,2.5525715351104736,440,1.0,4.690416
4.795831,9.635729,1.0,[[-1.5]],13.497639,10.430432768652551,[[0.11]],9.609527,,18.60218,1.0,0.94008183,23,8.036286,9.479261,9.479261,16.793316,23.0,1.0,9.635729,16.793316,,2.617022752761841,460,1.0,4.7958317
4.898979,9.635729,1.0,[[-1.5]],13.41078,10.238429971888975,[[0.11]],9.4252205,,18.60218,1.0,0.94008183,24,17.735981,9.47701,9.47701,16.832594,24.0,1.0,9.635729,16.832594,,2.672616958618164,480,1.0,4.8989797
5.0,9.635729,1.0,[[-1.5]],13.331832,10.30524290681118,[[0.11]],9.490288,,18.60218,1.0,0.94008183,25,18.699646,9.47754,9.47754,16.907276,25.0,1.0,9.635729,16.907276,,2.7297518253326416,500,1.0,5.0
5.0990195,9.635729,1.0,[[-1.5]],13.260179,10.38279183877553,[[0.11]],9.5605955,,18.60218,1.0,0.94008183,26,16.921925,9.480735,9.480735,16.907839,26.0,1.0,9.635729,16.907839,,2.7784523963928223,520,1.0,5.0990195
5.1961527,9.635729,1.0,[[-1.5]],13.189026,10.279977146427587,[[0.11]],9.467176,,18.60218,1.0,0.94008183,27,20.478788,9.480232,9.480232,17.040096,27.0,1.0,9.635729,17.040096,,2.828559160232544,540,1.0,5.196152
5.291503,9.635729,1.0,[[-1.5]],13.123088,10.319003034639987,[[0.11]],9.505199,,18.60218,1.0,0.94008183,28,16.190237,9.481125,9.481125,17.009745,28.0,1.0,9.635729,17.009745,,2.8804051876068115,560,1.0,5.2915025
5.3851647,9.635729,1.0,[[-1.5]],13.059394,10.289431466989997,[[0.11]],9.470972,,18.60218,1.0,0.94008183,29,19.061565,9.480774,9.480774,17.080498,29.0,1.0,9.635729,17.080498,,2.9334206581115723,580,1.0,5.3851647
5.4772253,9.635729,1.0,[[-1.5]],12.998819,10.274814176208645,[[0.11]],9.467981,,18.60218,1.0,0.94008183,30,10.963818,9.480349,9.480349,16.876608,30.0,1.0,9.635729,16.876608,,2.9870481491088867,600,1.0,5.477226
5.5677643,9.635729,1.0,[[-1.5]],12.941766,10.298090409424232,[[0.11]],9.48538,,18.60218,1.0,0.94008183,31,10.591841,9.48051,9.48051,16.673872,31.0,1.0,9.635729,16.673872,,3.0536656379699707,620,1.0,5.5677643
5.656854,9.635729,1.0,[[-1.5]],12.887014,10.28558744896328,[[0.11]],9.472844,,18.60218,1.0,0.94008183,32,15.079362,9.48027,9.48027,16.624043,32.0,1.0,9.635729,16.624043,,3.144481897354126,640,1.0,5.656854
5.7445626,9.635729,1.0,[[-1.5]],12.838507,10.416608493443764,[[0.11]],9.595924,,18.60218,1.0,0.94008183,33,17.441761,9.483776,9.483776,16.648823,33.0,1.0,9.635729,16.648823,,3.239800453186035,660,1.0,5.7445626
5.830952,9.635729,1.0,[[-1.5]],12.790731,10.364557155291468,[[0.11]],9.549348,,18.60218,1.0,0.94008183,34,18.604908,9.485703,9.485703,16.706356,34.0,1.0,9.635729,16.706356,,3.3340682983398438,680,1.0,5.8309517
5.9160795,9.635729,1.0,[[-1.5]],12.74631,10.418413048333997,[[0.11]],9.595409,,18.60218,1.0,0.94008183,35,18.793257,9.488839,9.488839,16.765982,35.0,1.0,9.635729,16.765982,,3.4291813373565674,700,1.0,5.91608
6.0,9.635729,1.0,[[-1.5]],12.6985855,10.220061726922507,[[0.11]],9.410968,,18.60218,1.0,0.94008183,36,14.485688,9.486675,9.486675,16.70264,36.0,1.0,9.635729,16.70264,,3.535400629043579,720,1.0,6.0
6.0827622,9.635729,1.0,[[-1.5]],12.649367,10.086911315620396,[[0.11]],9.282586,,18.60218,1.0,0.94008183,37,13.481951,9.481159,9.48116,16.615595,37.0,1.0,9.635729,16.615595,,3.636767625808716,740,1.0,6.0827627
6.164414,9.635729,1.0,[[-1.5]],12.605427,10.21771906084614,[[0.11]],9.406121,,18.60218,1.0,0.94008183,38,16.696306,9.479184,9.479185,16.617718,38.0,1.0,9.635729,16.617718,,3.7556517124176025,760,1.0,6.164414
6.2449985,9.635729,1.0,[[-1.5]],12.566923,10.363258207375761,[[0.11]],9.550765,,18.60218,1.0,0.94008183,39,17.627975,9.48102,9.48102,16.643621,39.0,1.0,9.635729,16.643621,,3.856189727783203,780,1.0,6.2449975
