DenMISEMeanLog,IWNorm1,ReturnMean,IWMax,ReturnAbsMax,target_sum_log_mean,DenMISELogFirst,MISE,LQGmu,ReturnMax,ReturnMin,ReturnLastEpisode,IWLastEpisode,ReturnStepMax,IWMean,IWFirstEpisode,IWMin,DenMISELogLast,Bound,URet,TimestepsSoFar,TimeElapsed,LQGsigma,Iteration,SqrtESSClassic,IWNorm2
17.367609,21.0,11.752256,1.0,13.023781,17.367609,18.60218,11.752256,[[-0.8]],13.023781,,12.261042,1.0,0.96167606,1.0,1.0,,16.964718,17.4363,13.488289905593126,420,2.273609161376953,[[0.11]],21,4.582576,4.582576
17.191362,22.0,11.711764,1.0,13.023781,17.191362,18.60218,11.711764,[[-0.8]],13.023781,,10.861427,1.0,0.96167606,1.0,1.0,,13.49018,17.265123,11.985942010662558,440,2.3770248889923096,[[0.11]],22,4.690416,4.690416
16.793316,23.0,11.730089,1.0,13.023781,16.793316,18.60218,11.730089,[[-0.8]],13.023781,,12.133236,1.0,0.96167606,1.0,1.0,,8.036285,17.16138,13.46563886222,460,2.471008777618408,[[0.11]],23,4.795831,4.7958317
16.832594,24.0,11.706417,1.0,13.023781,16.832594,18.60218,11.706417,[[-0.8]],13.023781,,11.161965,1.0,0.96167606,1.0,1.0,,17.735985,17.023354,12.179579519971725,480,2.5472660064697266,[[0.11]],24,4.898979,4.8989797
16.907276,25.0,11.74419,1.0,13.023781,16.907276,18.60218,11.74419,[[-0.8]],13.023781,,12.650747,1.0,0.96167606,1.0,1.0,,18.699642,16.953703,14.033846618784017,500,2.6263856887817383,[[0.11]],25,5.0,5.0
16.907839,26.0,11.758338,1.0,13.023781,16.907839,18.60218,11.758338,[[-0.8]],13.023781,,12.112001,1.0,0.96167606,1.0,1.0,,16.921923,16.866684,13.378773662464068,520,2.713651657104492,[[0.11]],26,5.0990195,5.0990195
17.040096,27.0,11.790278,1.0,13.023781,17.040096,18.60218,11.790278,[[-0.8]],13.023781,,12.620724,1.0,0.96167606,1.0,1.0,,20.478783,16.803133,13.94551390588811,540,2.7956910133361816,[[0.11]],27,5.1961527,5.196152
17.009745,28.0,11.823921,1.0,13.023781,17.009745,18.60218,11.823921,[[-0.8]],13.023781,,12.732293,1.0,0.96234125,1.0,1.0,,16.190239,16.746447,14.059553351278222,560,2.8822896480560303,[[0.11]],28,5.291503,5.2915025
17.080498,29.0,11.858368,1.0,13.023781,17.080498,18.60218,11.858368,[[-0.8]],13.023781,,12.822882,1.0,0.96234125,1.0,1.0,,19.061567,16.695278,14.237610846751194,580,2.9718422889709473,[[0.11]],29,5.3851647,5.3851647
16.876608,30.0,11.848653,1.0,13.023781,16.876608,18.60218,11.848653,[[-0.8]],13.023781,,11.566932,1.0,0.96234125,1.0,1.0,,10.963818,16.604265,12.686306470515104,600,3.0571186542510986,[[0.11]],30,5.4772253,5.477226
16.673872,31.0,11.832793,1.0,13.023781,16.673872,18.60218,11.832793,[[-0.8]],13.023781,,11.356987,1.0,0.96234125,1.0,1.0,,10.591841,16.511074,12.451121338078092,620,3.258387804031372,[[0.11]],31,5.5677643,5.5677643
16.624043,32.0,11.86046,1.0,13.023781,16.624043,18.60218,11.86046,[[-0.8]],13.023781,,12.7181225,1.0,0.96234125,1.0,1.0,,15.079362,16.465061,14.117635673393771,640,3.4237136840820312,[[0.11]],32,5.656854,5.656854
16.648823,33.0,11.836749,1.0,13.023781,16.648823,18.60218,11.836749,[[-0.8]],13.023781,,11.078047,1.0,0.96234125,1.0,1.0,,17.441761,16.371048,12.278026918599078,660,3.536942720413208,[[0.11]],33,5.7445626,5.7445626
16.706354,34.0,11.854331,1.0,13.023781,16.706354,18.60218,11.854331,[[-0.8]],13.023781,,12.434507,1.0,0.96234125,1.0,1.0,,18.604906,16.321451,13.815477313863184,680,3.5951268672943115,[[0.11]],34,5.830952,5.8309517
16.765982,35.0,11.8638115,1.0,13.023781,16.765982,18.60218,11.8638115,[[-0.8]],13.023781,,12.186106,1.0,0.96234125,1.0,1.0,,18.793257,16.266653,13.51359954273116,700,3.6895320415496826,[[0.11]],35,5.9160795,5.91608
16.70264,36.0,11.8906765,1.0,13.023781,16.70264,18.60218,11.8906765,[[-0.8]],13.023781,,12.83098,1.0,0.96234125,1.0,1.0,,14.48569,16.231937,14.158054239740956,720,3.877112627029419,[[0.11]],36,6.0,6.0
16.615595,37.0,11.851053,1.0,13.023781,16.615595,18.60218,11.851053,[[-0.8]],13.023781,,10.424625,1.0,0.96234125,1.0,1.0,,13.481955,16.133247,11.272145385070935,740,3.9929981231689453,[[0.11]],37,6.0827622,6.0827627
16.617718,38.0,11.887884,1.0,13.250594,16.617718,18.60218,11.887884,[[-0.8]],13.250594,,13.250594,1.0,0.96234125,1.0,1.0,,16.696312,16.186945,14.65200893454971,760,4.093893766403198,[[0.11]],38,6.164414,6.164414
16.643621,39.0,11.882723,1.0,13.250594,16.643621,18.60218,11.882723,[[-0.8]],13.250594,,11.68663,1.0,0.96234125,1.0,1.0,,17.627972,16.126308,12.98262517377931,780,4.235682010650635,[[0.11]],39,6.244998,6.244998
