LQGsigma,IWNorm1,ReturnAbsMax,URet,TimeElapsed,SqrtESSClassic,IWMax,Iteration,ReturnStepMax,IWNorm2,ReturnMin,ReturnMean,Bound,IWMin,target_sum_log_mean,DenMISEMeanLog,IWFirstEpisode,IWLastEpisode,ReturnMax,DenMISELogLast,ReturnLastEpisode,DenMISELogFirst,LQGmu,MISE,IWMean,TimestepsSoFar
[[0.11]],1.0,10.569866,11.51686950446216,0.15472698211669922,1.0,1.0,1,0.9333038,1.0,,10.569866,31.709599,,18.60218,18.60218,1.0,1.0,10.569866,18.60218,10.569866,18.60218,[[-1.9]],10.569866,1.0,20
[[0.11]],2.0,10.569866,11.32598602800705,0.9313623905181885,1.4142135,1.0,2,0.9333038,1.4142135,,10.4812565,25.429304,,19.95748,19.95748,1.0,1.0,10.569866,21.312778,10.392647,18.60218,[[-1.9]],10.4812565,1.0,40
[[0.11]],3.0,10.569866,11.419890932486538,0.9664218425750732,1.7320509,1.0,3,0.9380995,1.7320508,,10.481495,22.686523,,20.361195,20.361195,1.0,1.0,10.569866,21.168627,10.481971,18.60218,[[-1.9]],10.481495,1.0,60
[[0.11]],4.0,10.569866,11.151892680279726,1.0047085285186768,2.0,1.0,4,0.9388134,2.0,,10.417692,20.987558,,19.958935,19.958935,1.0,1.0,10.569866,18.752157,10.226282,18.60218,[[-1.9]],10.417692,1.0,80
[[0.11]],5.0,10.569866,11.409859131444728,1.0458931922912598,2.236068,1.0,5,0.9388134,2.236068,,10.428408,19.882383,,18.72694,18.72694,1.0,1.0,10.569866,13.798966,10.471272,18.60218,[[-1.9]],10.428408,1.0,100
[[0.11]],6.0,10.569866,11.187496726363248,1.0880286693572998,2.4494896,1.0,6,0.9388134,2.4494898,,10.400178,19.030437,,18.418013,18.418013,1.0,1.0,10.569866,16.873375,10.259034,18.60218,[[-1.9]],10.400178,1.0,120
[[0.11]],7.0,10.569866,11.30051327450408,1.1463117599487305,2.6457515,1.0,7,0.9388134,2.6457512,,10.395474,18.385542,,18.515263,18.515263,1.0,1.0,10.569866,19.098753,10.36725,18.60218,[[-1.9]],10.395474,1.0,140
[[0.11]],8.0,10.641584,11.586913497474189,1.1796245574951172,2.828427,1.0,8,0.94569385,2.828427,,10.426238,17.950974,,17.956118,17.956118,1.0,1.0,10.641584,14.042104,10.641584,18.60218,[[-1.9]],10.426238,1.0,160
[[0.11]],9.0,10.641584,11.431602222939096,1.2267470359802246,3.0,1.0,9,0.94569385,3.0,,10.4335985,17.527988,,18.187344,18.187344,1.0,1.0,10.641584,20.037151,10.492481,18.60218,[[-1.9]],10.4335985,1.0,180
[[0.11]],10.0,10.641584,11.08798142300148,1.2767047882080078,3.1622777,1.0,10,0.94569385,3.1622777,,10.406621,17.13695,,17.758486,17.758486,1.0,1.0,10.641584,13.89876,10.163819,18.60218,[[-1.9]],10.406621,1.0,200
