ReturnLastEpisode,ReturnMax,Bound,IWLastEpisode,MISE,IWNorm2,DenMISELogLast,ReturnMean,ReturnMin,TimeElapsed,Iteration,IWFirstEpisode,LQGmu,URet,target_sum_log_mean,IWMean,IWNorm1,ReturnAbsMax,SqrtESSClassic,IWMax,LQGsigma,ReturnStepMax,DenMISELogFirst,DenMISEMeanLog,TimestepsSoFar,IWMin
10.940847,13.230093,16.458036,1.0,10.683951,4.582576,16.96472,10.683951,,3.1653401851654053,21,1.0,[[-0.5]],12.071932544238985,17.367609,1.0,21.0,13.230093,4.582576,1.0,[[0.11]],0.8510667,18.60218,17.367609,420,
9.580456,13.230093,16.275124,1.0,10.633793,4.690416,13.49018,10.633793,,3.322267770767212,22,1.0,[[-0.5]],10.52754900517079,17.191362,1.0,22.0,13.230093,4.690416,1.0,[[0.11]],0.8510667,18.60218,17.191362,440,
9.900629,13.230093,16.119247,1.0,10.601916,4.7958317,8.036285,10.601916,,3.4817018508911133,23,1.0,[[-0.5]],10.890562160231585,16.793316,1.0,23.0,13.230093,4.795831,1.0,[[0.11]],0.8510667,18.60218,16.793316,460,
11.852817,13.230093,16.055199,1.0,10.6540365,4.8989797,17.735983,10.6540365,,3.544358015060425,24,1.0,[[-0.5]],13.111273890396305,16.832594,1.0,24.0,13.230093,4.898979,1.0,[[0.11]],0.8510667,18.60218,16.832594,480,
10.032624,13.230093,15.921217,1.0,10.62918,5.0,18.699642,10.62918,,3.6005208492279053,25,1.0,[[-0.5]],11.016443994419769,16.907276,1.0,25.0,13.230093,5.0,1.0,[[0.11]],0.8510667,18.60218,16.907276,500,
10.942539,13.230093,15.830503,1.0,10.641233,5.0990195,16.921925,10.641233,,3.7029261589050293,26,1.0,[[-0.5]],12.096000343773216,16.907839,1.0,26.0,13.230093,5.0990195,1.0,[[0.11]],0.8510667,18.60218,16.907839,520,
10.647232,13.230093,15.733719,1.0,10.641455,5.196152,20.478783,10.641455,,3.8073840141296387,27,1.0,[[-0.5]],11.746497878648809,17.040096,1.0,27.0,13.230093,5.1961527,1.0,[[0.11]],0.8510667,18.60218,17.040096,540,
10.548332,13.230093,15.638634,1.0,10.638129,5.2915025,16.190239,10.638129,,3.8983449935913086,28,1.0,[[-0.5]],11.616805847612408,17.009745,1.0,28.0,13.230093,5.291503,1.0,[[0.11]],0.8510667,18.60218,17.009745,560,
10.436274,13.230093,15.544702,1.0,10.631168,5.3851647,19.061565,10.631168,,4.0686235427856445,29,1.0,[[-0.5]],11.509942925678612,17.080498,1.0,29.0,13.230093,5.3851647,1.0,[[0.11]],0.8510667,18.60218,17.080498,580,
11.518762,13.230093,15.491701,1.0,10.660754,5.477226,10.963818,10.660754,,4.176266193389893,30,1.0,[[-0.5]],12.768615913972885,16.876608,1.0,30.0,13.230093,5.4772253,1.0,[[0.11]],0.8510667,18.60218,16.876608,600,
11.522459,13.230093,15.440941,1.0,10.688551,5.5677643,10.591841,10.688551,,4.270735740661621,31,1.0,[[-0.5]],12.755508958909827,16.673872,1.0,31.0,13.230093,5.5677643,1.0,[[0.11]],0.8510667,18.60218,16.673872,620,
9.958487,13.230093,15.343281,1.0,10.665737,5.656854,15.079361,10.665737,,4.397639989852905,32,1.0,[[-0.5]],10.961907087741078,16.624043,1.0,32.0,13.230093,5.656854,1.0,[[0.11]],0.8510667,18.60218,16.624043,640,
9.875749,13.230093,15.247927,1.0,10.641799,5.7445626,17.441761,10.641799,,4.494921684265137,33,1.0,[[-0.5]],10.891282083776705,16.648823,1.0,33.0,13.230093,5.7445626,1.0,[[0.11]],0.8510667,18.60218,16.648823,660,
10.407654,13.230093,15.172796,1.0,10.634912,5.8309517,18.604906,10.634912,,4.585397481918335,34,1.0,[[-0.5]],11.495422654174186,16.706354,1.0,34.0,13.230093,5.830952,1.0,[[0.11]],0.8510667,18.60218,16.706354,680,
9.571386,13.230093,15.077114,1.0,10.604526,5.91608,18.793257,10.604526,,4.673585891723633,35,1.0,[[-0.5]],10.51459877241449,16.765982,1.0,35.0,13.230093,5.9160795,1.0,[[0.11]],0.8510667,18.60218,16.765982,700,
10.48521,13.230093,15.011242,0.99999905,10.601211,6.0,14.485692,10.601211,,4.7536680698394775,36,1.0,[[-0.5]],11.532109262472318,16.70264,1.0,36.0,13.230093,6.0,1.0,[[0.11]],0.8510667,18.60218,16.70264,720,
13.664778,13.664778,15.176961,1.0,10.68401,6.0827627,13.481953,10.68401,,4.832930326461792,37,1.0,[[-0.5]],15.155274894350383,16.615595,1.0,37.0,13.664778,6.0827622,1.0,[[0.11]],0.946692,18.60218,16.615595,740,
10.263727,13.664778,15.106389,1.0,10.67295,6.164414,16.69631,10.67295,,4.91956901550293,38,1.0,[[-0.5]],11.261604288746135,16.617718,1.0,38.0,13.664778,6.164414,1.0,[[0.11]],0.946692,18.60218,16.617718,760,
10.184614,13.664778,15.036661,1.0,10.660429,6.244998,17.627972,10.660429,,5.004069089889526,39,1.0,[[-0.5]],11.26727390202719,16.643621,1.0,39.0,13.664778,6.244998,1.0,[[0.11]],0.946692,18.60218,16.643621,780,
