MISE,SqrtESSClassic,IWMax,ReturnMax,ReturnStepMax,IWNorm2,IWFirstEpisode,Bound,DenMISELogFirst,DenMISELogLast,IWLastEpisode,LQGmu,ReturnLastEpisode,ReturnAbsMax,ReturnMean,LQGsigma,DenMISEMeanLog,Iteration,ReturnMin,target_sum_log_mean,TimeElapsed,TimestepsSoFar,IWNorm1,IWMin,IWMean,URet
15.995437,1.0,1.0,15.995437,0.97585267,1.0,1.0,47.98631,18.60218,18.60218,1.0,[[-3.]],15.995437,15.995437,15.995437,[[0.11]],18.60218,1,,18.60218,0.2953319549560547,20,1.0,,1.0,17.685423022657567
15.380085,1.4142135,1.0,15.995437,0.97585267,1.4142135,1.0,38.001045,18.60218,21.31278,1.0,[[-3.]],14.764734,15.995437,15.380085,[[0.11]],19.957481,2,,19.957481,0.8558263778686523,40,2.0,,1.0,16.285620782516727
15.132718,1.7320509,1.0,15.995437,0.97585267,1.7320508,1.0,33.602657,18.60218,21.168627,1.0,[[-3.]],14.637986,15.995437,15.132718,[[0.11]],20.361197,3,,20.361197,0.9428560733795166,60,3.0,,1.0,16.136563496048996
14.738615,2.0,1.0,15.995437,0.97585267,2.0,1.0,30.73405,18.60218,18.752157,1.0,[[-3.]],13.556302,15.995437,14.738615,[[0.11]],19.958935,4,,19.958935,1.0310750007629395,80,4.0,,1.0,14.92428899344784
14.919233,2.236068,1.0,15.995437,0.97585267,2.236068,1.0,29.225986,18.60218,13.798967,1.0,[[-3.]],15.64171,15.995437,14.919233,[[0.11]],18.72694,5,,18.72694,1.0810868740081787,100,5.0,,1.0,17.289916886218585
14.898293,2.4494896,1.0,15.995437,0.97585267,2.4494898,1.0,27.958511,18.60218,16.873373,1.0,[[-3.]],14.793583,15.995437,14.898293,[[0.11]],18.418013,6,,18.418013,1.1256964206695557,120,6.0,,1.0,16.328930226889952
14.939397,2.6457515,1.0,15.995437,0.97585267,2.6457512,1.0,27.03081,18.60218,19.098753,1.0,[[-3.]],15.186028,15.995437,14.939397,[[0.11]],18.515263,7,,18.515263,1.184767484664917,140,7.0,,1.0,16.767229898637176
14.996313,2.828427,1.0,15.995437,0.97585267,2.828427,1.0,26.306793,18.60218,14.042101,1.0,[[-3.]],15.394724,15.995437,14.996313,[[0.11]],17.956116,8,,17.956116,1.2312164306640625,160,8.0,,1.0,16.971666468188655
15.0645685,3.0,1.0,15.995437,0.97585267,3.0,1.0,25.728193,18.60218,20.037153,1.0,[[-3.]],15.610613,15.995437,15.0645685,[[0.11]],18.187344,9,,18.187344,1.2894597053527832,180,9.0,,1.0,17.23886461187856
14.816648,3.1622777,1.0,15.995437,0.97585267,3.1622777,1.0,24.93305,18.60218,13.89876,1.0,[[-3.]],12.585358,15.995437,14.816648,[[0.11]],17.758486,10,,17.758486,1.362051010131836,200,10.0,,1.0,13.846595465146727
