ReturnLastEpisode,ReturnMean,IWMean,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,URet,ReturnAbsMax,IWMax,IWLastEpisode,LQGmu,TimestepsSoFar,IWNorm1,IWMin,ReturnMax,SqrtESSClassic,LQGsigma,Iteration,ReturnStepMax,DenMISELogLast,MISE,IWFirstEpisode,Bound,target_sum_log_mean,ReturnMin,IWNorm2
10.131239,10.131239,1.0,0.1264514923095703,18.60218,18.60218,11.035486451659715,10.131239,1.0,1.0,[[-1.7]],20,1.0,,10.131239,1.0,[[0.11]],1,0.9229933,18.60218,10.131239,1.0,30.393717,18.60218,,1.0
10.04803,10.089634,1.0,0.94895339012146,19.957481,18.60218,10.945572850797,10.131239,1.0,1.0,[[-1.7]],40,2.0,,10.131239,1.4142135,[[0.11]],2,0.9229933,21.312782,10.089634,1.0,24.41737,19.957481,,1.4142135
10.121476,10.100249,1.0,1.0237934589385986,20.361197,18.60218,11.021462101507694,10.131239,1.0,1.0,[[-1.7]],60,3.0,,10.131239,1.7320509,[[0.11]],3,0.9334977,21.168625,10.100249,1.0,21.798796,20.361197,,1.7320508
9.913533,10.05357,1.0,1.099722146987915,19.958937,18.60218,10.804245924724812,10.131239,1.0,1.0,[[-1.7]],80,4.0,,10.131239,2.0,[[0.11]],4,0.9370307,18.752157,10.05357,1.0,20.184809,19.958937,,2.0
10.091231,10.061102,1.0,1.2208151817321777,18.726942,18.60218,10.99220743316462,10.131239,1.0,1.0,[[-1.7]],100,5.0,,10.131239,2.236068,[[0.11]],5,0.9370307,13.7989645,10.061102,1.0,19.122757,18.726942,,2.236068
9.887007,10.032085,1.0,1.273852825164795,18.418015,18.60218,10.77613450787104,10.131239,1.0,1.0,[[-1.7]],120,6.0,,10.131239,2.4494896,[[0.11]],6,0.9370307,16.873373,10.032085,1.0,18.304207,18.418015,,2.4494898
10.032783,10.032186,1.0,1.3165762424468994,18.515263,18.60218,10.930808712133917,10.131239,1.0,1.0,[[-1.7]],140,7.0,,10.131239,2.6457515,[[0.11]],7,0.9370307,19.098753,10.032186,1.0,17.690681,18.515263,,2.6457512
10.176122,10.050177,1.0,1.3620827198028564,17.956118,18.60218,11.075452802654537,10.176122,1.0,1.0,[[-1.7]],160,8.0,,10.176122,2.828427,[[0.11]],8,0.93943805,14.042103,10.050177,1.0,17.24578,17.956118,,2.828427
10.136375,10.059755,1.0,1.408980131149292,18.187344,18.60218,11.03835861687304,10.176122,1.0,1.0,[[-1.7]],180,9.0,,10.176122,3.0,[[0.11]],9,0.93943805,20.037151,10.059755,1.0,16.843838,18.187344,,3.0
9.886541,10.042433,1.0,1.4577007293701172,17.758484,18.60218,10.778357630056348,10.176122,1.0,1.0,[[-1.7]],200,10.0,,10.176122,3.1622777,[[0.11]],10,0.93943805,13.89876,10.042433,1.0,16.478378,17.758484,,3.1622777
10.185423,10.055432,1.0,1.5084092617034912,17.704332,18.60218,11.087126394187912,10.185423,1.0,1.0,[[-1.7]],220,11.0,,10.185423,3.3166246,[[0.11]],11,0.93943805,17.162807,10.055432,1.0,16.197474,17.704332,,3.3166249
10.074114,10.056989,1.0,1.561232089996338,17.749504,18.60218,10.972689489968113,10.185423,1.0,1.0,[[-1.7]],240,12.0,,10.185423,3.4641018,[[0.11]],12,0.9437717,18.246395,10.056989,1.0,15.937546,17.749504,,3.4641016
9.993402,10.052098,1.0,1.616225004196167,17.249323,18.60218,10.887974174519739,10.185423,1.0,1.0,[[-1.7]],260,13.0,,10.185423,3.6055512,[[0.11]],13,0.9437717,11.24715,10.052098,1.0,15.701954,17.249323,,3.6055512
9.941565,10.044203,1.0,1.677093744277954,17.261106,18.60218,10.832368482231908,10.185423,1.0,1.0,[[-1.7]],280,14.0,,10.185423,3.7416573,[[0.11]],14,0.9437717,17.414303,10.044203,1.0,15.488541,17.261106,,3.7416575
9.989913,10.040585,1.0,1.7416815757751465,17.331339,18.60218,10.888234573013968,10.185423,1.0,1.0,[[-1.7]],300,15.0,,10.185423,3.8729832,[[0.11]],15,0.9437717,18.31459,10.040585,1.0,15.300314,17.331339,,3.8729835
10.102936,10.044481,1.0,1.9864459037780762,17.285133,18.60218,11.002916808526743,10.185423,1.0,1.0,[[-1.7]],320,16.0,,10.185423,4.0,[[0.11]],16,0.9437717,16.592031,10.044481,1.0,15.137193,17.285133,,4.0
9.950349,10.038944,1.0,2.087200880050659,17.328156,18.60218,10.843265232987378,10.185423,1.0,1.0,[[-1.7]],340,17.0,,10.185423,4.1231055,[[0.11]],17,0.9437717,18.01651,10.038944,1.0,14.979601,17.328156,,4.1231055
9.934328,10.033132,1.0,2.274775505065918,17.379482,18.60218,10.829301066856788,10.185423,1.0,1.0,[[-1.7]],360,18.0,,10.185423,4.242641,[[0.11]],18,0.9437717,18.252035,10.033132,1.0,14.834585,17.379482,,4.2426405
9.959354,10.029248,1.0,2.507619857788086,17.410105,18.60218,10.853821055212036,10.185423,1.0,1.0,[[-1.7]],380,19.0,,10.185423,4.3588986,[[0.11]],19,0.9437717,17.961304,10.029248,1.0,14.702641,17.410105,,4.358899
