IWMean,LQGsigma,DenMISEMeanLog,IWMin,Bound,IWFirstEpisode,TimeElapsed,ReturnMin,IWNorm2,LQGmu,IWNorm1,SqrtESSClassic,MISE,ReturnMean,ReturnStepMax,DenMISELogFirst,target_sum_log_mean,ReturnMax,IWLastEpisode,IWMax,ReturnAbsMax,URet,Iteration,TimestepsSoFar,DenMISELogLast,ReturnLastEpisode
1.0,[[0.11]],17.367609,,13.104965,1.0,2.199827194213867,,4.582576,[[-1.1]],21.0,4.582576,8.982825,8.982825,0.94942534,18.602184,17.367609,9.445008,1.0,1.0,9.445008,9.538442187629359,21,420,16.964718,8.881251
1.0,[[0.11]],17.191362,,13.026674,1.0,2.3745687007904053,,4.690416,[[-1.1]],22.0,4.690416,8.999309,8.999309,0.94942534,18.602184,17.191362,9.445008,1.0,1.0,9.445008,10.054935518165227,22,440,13.490178,9.345457
1.0,[[0.11]],16.793316,,12.948223,1.0,2.5213851928710938,,4.7958317,[[-1.1]],23.0,4.795831,9.009382,9.009382,0.9500166,18.602184,16.793316,9.445008,1.0,1.0,9.445008,9.926840893136273,23,460,8.036285,9.231014
1.0,[[0.11]],16.832594,,12.860898,1.0,2.6516530513763428,,4.8989797,[[-1.1]],24.0,4.898979,9.00499,9.00499,0.9500166,18.602184,16.832594,9.445008,1.0,1.0,9.445008,9.569352681697335,24,480,17.735987,8.903952
1.0,[[0.11]],16.907276,,12.780489,1.0,2.754650592803955,,5.0,[[-1.1]],25.0,5.0,9.002485,9.002485,0.9500166,18.602184,16.907276,9.445008,1.0,1.0,9.445008,9.619691304007352,25,500,18.699644,8.942379
1.0,[[0.11]],16.907839,,12.704758,1.0,2.8344621658325195,,5.0990195,[[-1.1]],26.0,5.0990195,9.000121,9.000121,0.9500166,18.602184,16.907839,9.445008,1.0,1.0,9.445008,9.625413424081279,26,520,16.92192,8.941033
1.0,[[0.11]],17.040096,,12.632881,1.0,2.916135311126709,,5.196152,[[-1.1]],27.0,5.1961527,8.997496,8.997496,0.9500166,18.602184,17.040096,9.445008,1.0,1.0,9.445008,9.59762457101621,27,540,20.478783,8.929217
1.0,[[0.11]],17.009745,,12.566614,1.0,2.9991979598999023,,5.2915025,[[-1.1]],28.0,5.291503,8.9967375,8.9967375,0.9500166,18.602184,17.009745,9.445008,1.0,1.0,9.445008,9.639578057619312,28,560,16.190243,8.976279
1.0,[[0.11]],17.080498,,12.50428,1.0,3.0836479663848877,,5.3851647,[[-1.1]],29.0,5.3851647,8.996492,8.996492,0.9500166,18.602184,17.080498,9.445008,1.0,1.0,9.445008,9.677298706901386,29,580,19.061565,8.989633
1.0,[[0.11]],16.876608,,12.444633,1.0,3.1749064922332764,,5.477226,[[-1.1]],30.0,5.4772253,8.995803,8.995803,0.9500166,18.602184,16.876608,9.445008,1.0,1.0,9.445008,9.636489969316889,30,600,10.963816,8.975794
1.0,[[0.11]],16.673874,,12.38764,1.0,3.2630934715270996,,5.5677643,[[-1.1]],31.0,5.5677643,8.994893,8.994893,0.9500166,18.602184,16.673874,9.445008,1.0,1.0,9.445008,9.641734419982996,31,620,10.59184,8.967577
1.0,[[0.11]],16.624046,,12.334598,1.0,3.3534789085388184,,5.656854,[[-1.1]],32.0,5.656854,8.995283,8.995283,0.9500166,18.602184,16.624046,9.445008,1.0,1.0,9.445008,9.681218945309531,32,640,15.079359,9.007406
1.0,[[0.11]],16.648827,,12.29527,1.0,3.4544036388397217,,5.7445626,[[-1.1]],33.0,5.7445626,9.00694,9.00694,0.9500166,18.602184,16.648827,9.445008,1.0,1.0,9.445008,10.101314357183805,33,660,17.441763,9.379966
1.0,[[0.11]],16.706356,,12.250809,1.0,3.6037418842315674,,5.8309517,[[-1.1]],34.0,5.830952,9.011197,9.011197,0.9500166,18.602184,16.706356,9.445008,1.0,1.0,9.445008,9.834466246261593,34,680,18.604908,9.151683
1.0,[[0.11]],16.765982,,12.207048,1.0,3.720564603805542,,5.91608,[[-1.1]],35.0,5.9160795,9.014052,9.014052,0.9500166,18.602184,16.765982,9.445008,1.0,1.0,9.445008,9.799676811860072,35,700,18.793257,9.111098
1.0,[[0.11]],16.70264,,12.161086,1.0,3.8507864475250244,,6.0,[[-1.1]],36.0,6.0,9.01275,9.01275,0.9500166,18.602184,16.70264,9.445008,1.0,1.0,9.445008,9.624469976121482,36,720,14.485697,8.967145
1.0,[[0.11]],16.615595,,12.101959,1.0,4.017444610595703,,6.0827627,[[-1.1]],37.0,6.0827622,8.99646,8.99646,0.9500166,18.602184,16.615595,9.445008,1.0,1.0,9.445008,9.030420280584389,37,740,13.481951,8.410073
1.0,[[0.11]],16.61772,,12.056415,1.0,4.111156225204468,,6.164414,[[-1.1]],38.0,6.164414,8.992049,8.99205,0.9500166,18.602184,16.61772,9.445008,1.0,1.0,9.445008,9.484463948572886,38,760,16.696308,8.828875
1.0,[[0.11]],16.643621,,12.022542,1.0,4.205364465713501,,6.2449975,[[-1.1]],39.0,6.2449985,8.997719,8.99772,0.9500166,18.602184,16.643621,9.445008,1.0,1.0,9.445008,9.905140769150462,39,780,17.627972,9.213154
