ReturnMean,MISE,LQGsigma,TimeElapsed,TimestepsSoFar,SqrtESSClassic,IWLastEpisode,Bound,Iteration,DenMISEMeanLog,ReturnMax,ReturnMin,URet,IWMax,target_sum_log_mean,DenMISELogFirst,IWNorm1,IWMin,IWMean,ReturnAbsMax,LQGmu,DenMISELogLast,ReturnLastEpisode,ReturnStepMax,IWNorm2,IWFirstEpisode
9.222027,9.222027,[[0.11]],0.2523012161254883,20,1.0,1.0,27.66608,1,18.60218,9.222027,,9.984878410942496,1.0,18.60218,18.60218,1.0,,1.0,9.222027,[[-1.4]],18.60218,9.222027,0.91862357,1.0,1.0
9.176494,9.176494,[[0.11]],0.7611877918243408,40,1.4142135,1.0,22.218409,2,19.957481,9.222027,,9.884853415585008,1.0,19.957481,18.60218,2.0,,1.0,9.222027,[[-1.4]],21.31278,9.13096,0.91903734,1.4142135,1.0
9.185893,9.185893,[[0.11]],0.8248605728149414,60,1.7320509,1.0,19.834572,3,20.361197,9.222027,,9.959298259765552,1.0,20.361197,18.60218,3.0,,1.0,9.222027,[[-1.4]],21.168625,9.204691,0.938195,1.7320508,1.0
9.140568,9.140568,[[0.11]],0.8916001319885254,80,2.0,1.0,18.362595,4,19.958935,9.222027,,9.74923246337753,1.0,19.958935,18.60218,4.0,,1.0,9.222027,[[-1.4]],18.752157,9.004596,0.938195,2.0,1.0
9.149409,9.149409,[[0.11]],0.991168737411499,100,2.236068,1.0,17.39784,5,18.726942,9.222027,,9.945332705220473,1.0,18.726942,18.60218,5.0,,1.0,9.222027,[[-1.4]],13.798968,9.184775,0.938195,2.236068,1.0
9.116792,9.116792,[[0.11]],1.0494539737701416,120,2.4494896,1.0,16.646545,6,18.418015,9.222027,,9.694481513403087,1.0,18.418015,18.60218,6.0,,1.0,9.222027,[[-1.4]],16.87337,8.953699,0.938195,2.4494898,1.0
9.117633,9.117633,[[0.11]],1.0996408462524414,140,2.6457515,1.0,16.088829,7,18.515263,9.222027,,9.879130428853966,1.0,18.515263,18.60218,7.0,,1.0,9.222027,[[-1.4]],19.098753,9.122681,0.938195,2.6457512,1.0
9.128916,9.128916,[[0.11]],1.1492795944213867,160,2.828427,1.0,15.649874,8,17.956118,9.222027,,9.95706401346869,1.0,17.956118,18.60218,8.0,,1.0,9.222027,[[-1.4]],14.042101,9.207893,0.938195,2.828427,1.0
9.139939,9.139939,[[0.11]],1.1976318359375,180,3.0,1.0,15.292024,9,18.187342,9.228127,,9.988011140405973,1.0,18.187342,18.60218,9.0,,1.0,9.228127,[[-1.4]],20.03715,9.228127,0.938195,3.0,1.0
9.119635,9.119635,[[0.11]],1.2465181350708008,200,3.1622777,1.0,14.956015,10,17.758484,9.228127,,9.68132023267394,1.0,17.758484,18.60218,10.0,,1.0,9.228127,[[-1.4]],13.898761,8.9369,0.9389981,3.1622777,1.0
9.129726,9.129726,[[0.11]],1.2984368801116943,220,3.3166246,1.0,14.69601,11,17.704332,9.230637,,9.985131317737512,1.0,17.704332,18.60218,11.0,,1.0,9.230637,[[-1.4]],17.162807,9.230637,0.9389981,3.3166249,1.0
9.131726,9.131726,[[0.11]],1.3530418872833252,240,3.4641018,1.0,14.461037,12,17.749504,9.230637,,9.908554034897488,1.0,17.749504,18.60218,12.0,,1.0,9.230637,[[-1.4]],18.246395,9.153734,0.94045234,3.4641016,1.0
9.126209,9.126209,[[0.11]],1.4227161407470703,260,3.6055512,1.0,14.246445,13,17.249321,9.230637,,9.806683956149168,1.0,17.249321,18.60218,13.0,,1.0,9.230637,[[-1.4]],11.247148,9.06,0.9466503,3.6055512,1.0
9.116272,9.116272,[[0.11]],1.457740306854248,280,3.7416573,1.0,14.050255,14,17.261106,9.230637,,9.729125426985323,1.0,17.261106,18.60218,14.0,,1.0,9.230637,[[-1.4]],17.414303,8.987091,0.9466503,3.7416575,1.0
9.116414,9.116414,[[0.11]],1.5156152248382568,300,3.8729832,1.0,13.883095,15,17.331339,9.230637,,9.87825189470808,1.0,17.331339,18.60218,15.0,,1.0,9.230637,[[-1.4]],18.314592,9.118403,0.9466503,3.8729835,1.0
9.120712,9.120712,[[0.11]],1.5758957862854004,320,4.0,1.0,13.736031,16,17.285133,9.230637,,9.942408167044203,1.0,17.285133,18.60218,16.0,,1.0,9.230637,[[-1.4]],16.592031,9.185177,0.9466503,4.0,1.0
9.115181,9.115181,[[0.11]],1.7097887992858887,340,4.1231055,1.0,13.592697,17,17.328154,9.230637,,9.774235910891427,1.0,17.328154,18.60218,17.0,,1.0,9.230637,[[-1.4]],18.01651,9.02667,0.9466503,4.1231055,1.0
9.112037,9.112037,[[0.11]],1.8425264358520508,360,4.242641,1.0,13.4634,18,17.379482,9.230637,,9.81467253479747,1.0,17.379482,18.60218,18.0,,1.0,9.230637,[[-1.4]],18.252035,9.0585985,0.9466503,4.2426405,1.0
9.109753,9.109753,[[0.11]],1.9045600891113281,380,4.3588986,1.0,13.345059,19,17.410105,9.230637,,9.818788956441729,1.0,17.410105,18.60218,19.0,,1.0,9.230637,[[-1.4]],17.961308,9.068644,0.9466503,4.358899,1.0
9.106208,9.106208,[[0.11]],1.9728286266326904,400,4.472136,1.0,13.234274,20,17.387753,9.230637,,9.791116354930887,1.0,17.387753,18.60218,20.0,,1.0,9.230637,[[-1.4]],16.963099,9.0388565,0.9466503,4.472136,1.0
9.100907,9.100907,[[0.11]],2.044887065887451,420,4.582576,1.0,13.129487,21,17.367609,9.230637,,9.739707288495737,1.0,17.367609,18.60218,21.0,,1.0,9.230637,[[-1.4]],16.964722,8.994897,0.9466503,4.582576,1.0
9.108548,9.108548,[[0.11]],2.116147756576538,440,4.690416,1.0,13.060866,22,17.191362,9.269008,,10.034246029565463,1.0,17.191362,18.60218,22.0,,1.0,9.269008,[[-1.4]],13.490179,9.269008,0.9466503,4.690416,1.0
9.114261,9.114261,[[0.11]],2.1928982734680176,460,4.795831,1.0,12.979704,23,16.793316,9.269008,,10.000676380631349,1.0,16.793316,18.60218,23.0,,1.0,9.269008,[[-1.4]],8.036289,9.23994,0.9466503,4.7958317,1.0
9.112631,9.112631,[[0.11]],2.2692041397094727,480,4.898979,1.0,12.8966875,24,16.832594,9.269008,,9.8289096720584,1.0,16.832594,18.60218,24.0,,1.0,9.269008,[[-1.4]],17.735983,9.075144,0.9466503,4.8989797,1.0
9.113132,9.113132,[[0.11]],2.3488221168518066,500,5.0,1.0,12.820736,25,16.907276,9.269008,,9.880063982379644,1.0,16.907276,18.60218,25.0,,1.0,9.269008,[[-1.4]],18.699646,9.125158,0.9466503,5.0,1.0
9.115983,9.115983,[[0.11]],2.430309534072876,520,5.0990195,1.0,12.751587,26,16.907839,9.269008,,9.950199380298534,1.0,16.907839,18.60218,26.0,,1.0,9.269008,[[-1.4]],16.921923,9.187244,0.9466503,5.0990195,1.0
