IWNorm1,ReturnMean,ReturnAbsMax,IWMin,URet,IWMax,SqrtESSClassic,MISE,DenMISELogFirst,DenMISELogLast,LQGmu,DenMISEMeanLog,ReturnMin,TimeElapsed,IWNorm2,IWMean,IWLastEpisode,ReturnLastEpisode,TimestepsSoFar,Iteration,ReturnStepMax,Bound,target_sum_log_mean,IWFirstEpisode,LQGsigma,ReturnMax
1.0,12.2935295,12.2935295,,13.668650231856093,1.0,1.0,12.2935295,18.60218,18.60218,[[-0.9]],18.60218,,0.2636532783508301,1.0,1.0,1.0,12.2935295,20,1,0.9478893,36.88059,18.60218,1.0,[[0.11]],12.2935295
2.0,11.749338,12.2935295,,12.195893077753498,1.0,1.4142135,11.749338,18.60218,21.312782,[[-0.9]],19.957481,,0.8368017673492432,1.4142135,1.0,1.0,11.205146,40,2,0.9478893,29.135014,19.957481,1.0,[[0.11]],12.2935295
3.0,11.508717,12.2935295,,11.997062700205188,1.0,1.7320509,11.508717,18.60218,21.168627,[[-0.9]],20.361197,,0.8910188674926758,1.7320508,1.0,1.0,11.027474,60,3,0.9478893,25.704062,20.361197,1.0,[[0.11]],12.2935295
4.0,11.136037,12.2935295,,10.814816522638063,1.0,2.0,11.136037,18.60218,18.75216,[[-0.9]],19.958937,,0.9263951778411865,2.0,1.0,1.0,10.017999,80,4,0.9478893,23.429565,19.958937,1.0,[[0.11]],12.2935295
5.0,11.353986,12.2935295,,13.471035324987424,1.0,2.236068,11.353986,18.60218,13.798965,[[-0.9]],18.726942,,1.0172450542449951,2.236068,1.0,1.0,12.22578,100,5,0.9495511,22.349651,18.726942,1.0,[[0.11]],12.2935295
6.0,11.309518,12.2935295,,12.073719513507994,1.0,2.4494896,11.309518,18.60218,16.873373,[[-0.9]],18.418015,,1.088573932647705,2.4494898,1.0,1.0,11.087183,120,6,0.9495616,21.347143,18.418015,1.0,[[0.11]],12.2935295
7.0,11.312456,12.2935295,,12.376669618489839,1.0,2.6457515,11.312456,18.60218,19.098755,[[-0.9]],18.515263,,1.178633451461792,2.6457512,1.0,1.0,11.330084,140,7,0.95260394,20.60549,18.515263,1.0,[[0.11]],12.2935295
8.0,11.347027,12.2935295,,12.774051276192935,1.0,2.828427,11.347027,18.60218,14.042102,[[-0.9]],17.95612,,1.2496299743652344,2.828427,1.0,1.0,11.589018,160,8,0.95260394,20.039864,17.95612,1.0,[[0.11]],12.2935295
9.0,11.434652,12.2935295,,13.415486081195278,1.0,3.0,11.434652,18.60218,20.03715,[[-0.9]],18.187344,,1.3061344623565674,3.0,1.0,1.0,12.135658,180,9,0.95279497,19.630339,18.187344,1.0,[[0.11]],12.2935295
10.0,11.244345,12.2935295,,10.253528978075341,1.0,3.1622777,11.244345,18.60218,13.898762,[[-0.9]],17.758486,,1.3652191162109375,3.1622777,1.0,1.0,9.531579,200,10,0.95279497,19.019455,17.758486,1.0,[[0.11]],12.2935295
11.0,11.318294,12.2935295,,13.336245286005582,1.0,3.3166246,11.318294,18.60218,17.162807,[[-0.9]],17.704332,,1.4423339366912842,3.3166249,1.0,1.0,12.057777,220,11,0.95279497,18.731571,17.704332,1.0,[[0.11]],12.2935295
12.0,11.251569,12.2935295,,11.42126697397551,1.0,3.4641018,11.251569,18.60218,18.246397,[[-0.9]],17.749506,,1.4993500709533691,3.4641016,1.0,1.0,10.517605,240,12,0.95279497,18.349241,17.749506,1.0,[[0.11]],12.2935295
13.0,11.1831665,12.2935295,,11.214295988324581,1.0,3.6055512,11.1831665,18.60218,11.247149,[[-0.9]],17.249325,,1.5503363609313965,3.6055512,1.0,1.0,10.362324,260,13,0.95279497,18.00239,17.249325,1.0,[[0.11]],12.2935295
