TimestepsSoFar,LQGsigma_higher,TimeElapsed,ReturnMin,IWLastEpisode,DenMISEMeanLog,ReturnLastEpisode,ReturnMax,Regret/t,Delta,IWFirstEpisode,IWMin,Iteration,IWMean,LQGmu1_actor,ReturnMean,Regret,Bound,LQGmu1_higher,DenMISELogFirst,ReturnAbsMax,ReturnStepMax,DenMISELogLast,IWMax
20,1.0,0.03557157516479492,,1.0,-1.6393774,,,17.4,0.0012158542,1.0,,1,1.0,-1.0118196,,17.4,,-0.1,-1.6393774,,,-1.6393774,1.0
40,0.01831564,12.06875729560852,,67.18723,-1.4870117,17.197517,17.197517,8.801241,0.00030396355,,,2,33.593616,-1.012087,8.598759,17.602482,533.0768,-1.0,-1.6393774,17.197517,18.986778,-1.334646,67.18723
60,0.01831564,23.27662968635559,,,0.51767176,17.194681,17.197517,5.935934,0.00013509492,5.077631e-05,,3,1.6925436e-05,1.0189674,11.464066,17.8078,533.3998,1.0,-2.0448425,17.197517,18.986778,1.7943,5.077631e-05
80,0.01831564,34.941755294799805,,1.8605751e-06,0.47036794,,17.197517,8.80195,7.599089e-05,8.129988e-20,,4,4.6514378e-07,0.9208074,8.598049,35.2078,527.0638,0.9183673,-2.3325076,17.197517,18.986778,1.1914856,1.8605751e-06
100,0.01831564,46.32069802284241,,0.0001312352,0.49468908,1.3849424,17.197517,10.244572,4.8634163e-05,,,5,2.6247038e-05,0.8362452,7.1554284,51.22286,518.22235,0.8367347,-2.5556512,17.197517,18.986778,1.4845474,0.0001312352
120,0.021563897,57.91584324836731,,4.3584427e-07,0.4790361,2.7377145,17.197517,10.980858,3.377373e-05,1.4067957e-07,,6,0.20218407,0.9727139,6.4191422,65.88514,513.0381,0.9591837,-2.7379727,17.197517,18.986778,1.3123528,1.0324764
140,0.01831564,69.24147653579712,,1.4675446e-30,0.47589663,0.49008247,17.197517,11.827866,2.4813347e-05,,,7,5.345463e-05,0.7459867,5.5721335,82.79506,516.26074,0.75510204,-2.8921235,17.197517,18.986778,1.193524,0.00037418242
160,0.01831564,80.65860080718994,,,0.41287112,4.0379486,17.197517,12.019639,1.8997722e-05,,,8,5.147818e-06,-0.8870948,5.3803606,96.15711,514.74786,-0.9183673,-3.0256548,17.197517,18.986778,0.9063585,2.126371e-05
180,0.019873515,92.25978779792786,,28.465027,0.21068373,17.293516,17.293516,10.695955,1.5010546e-05,,,9,3.1627808,-0.8938727,6.704045,96.26359,535.44244,-0.877551,-3.1434379,17.293516,19.083117,-0.46455577,28.465027
200,0.021563897,104.72376012802124,,,0.32418782,17.287405,17.293516,9.637619,1.2158541e-05,3.1202036e-21,,10,0.22823723,0.84780794,7.762381,96.37619,519.4476,0.877551,-3.2487984,17.293516,19.083117,0.867786,1.3252854
220,0.01831564,116.80793905258179,,1.9654514e-19,0.3052335,2.560426,17.293516,10.110523,1.0048381e-05,,,11,0.00043384836,0.66521466,7.289476,111.21576,523.1373,0.67346936,-3.3441086,17.293516,19.083117,0.8529338,0.004772332
240,0.01831564,128.96246528625488,,,0.24377364,5.075748,17.293516,10.295002,8.443432e-06,,,12,4.409148e-06,-0.82959855,7.104998,123.54001,512.26746,-0.79591835,-3.43112,17.293516,19.083117,0.52440655,4.6157467e-05
260,0.01831564,141.20389676094055,,,0.0879873,17.300728,17.300728,9.510714,7.194403e-06,,,13,0.00035144252,0.57778627,7.8892856,123.63928,515.2546,0.59183675,-3.5111625,17.300728,19.089146,-0.8209409,0.004568753
280,0.021563897,153.383385181427,,9.260357e-22,0.026205232,6.065183,17.300728,9.641006,6.203337e-06,,,14,0.23112443,0.81945235,7.7589927,134.97409,515.3188,0.79591835,-3.5852706,17.300728,19.089146,0.1860909,1.7852911
300,0.02339806,165.3557584285736,,,0.009413202,2.990859,17.300728,9.958882,5.403797e-06,,,15,2.952975,-0.81539726,7.4411173,149.38324,515.52423,-0.8367347,-3.6542635,17.300728,19.089146,0.51932853,42.678528
320,0.021563897,177.28014516830444,,2.6880103e-09,0.06539179,17.346502,17.346502,9.339796,4.7494304e-06,,,16,0.11258592,-0.958707,8.060204,149.43674,515.3946,-0.9591837,-3.718802,17.346502,19.1358,0.42165297,0.8262553
340,0.027547687,189.2221007347107,,,0.027953168,17.23478,17.346502,8.800116,4.207108e-06,0.83139944,,17,1.2834344,0.9613051,8.599884,149.60196,517.0858,1.0,-3.7794266,17.346502,19.1358,0.28890207,14.3196745
360,0.01831564,201.02535152435303,,,0.052087493,0.69097525,17.346502,9.239499,3.7526365e-06,,,18,2.177633e-07,-0.7176239,8.160501,166.31097,517.3524,-0.71428573,-3.7888374,17.346502,19.1358,0.4421422,3.8757084e-06
380,0.01831564,212.3605945110321,,,0.0060421103,17.366583,17.366583,8.754969,3.3680174e-06,,,19,0.001427787,0.5029307,8.645031,166.34442,519.5472,0.5102041,-3.8429046,17.366583,19.155731,0.15043499,0.027127953
400,0.021563897,223.80780243873596,,2.4531912e-20,-0.040967174,6.8017287,17.366583,8.847134,3.0396352e-06,,,20,0.36638224,0.69410646,8.552866,176.94269,515.2585,0.71428573,-3.894198,17.366583,19.155731,0.039002344,5.9577527
420,0.01831564,235.37211871147156,,,-0.063250214,4.7181787,17.366583,9.029737,2.7570386e-06,,,21,2.0913101e-05,-0.6575674,8.370262,189.6245,512.1719,-0.63265306,-3.9429882,17.366583,19.155731,0.13990308,0.00043917514
440,0.01831564,246.96679997444153,,,-0.14295624,17.399172,17.399172,8.619333,2.5120953e-06,,,22,0.0002760359,0.46987337,8.780666,189.62532,514.43835,0.42857143,-3.9895082,17.399172,19.18809,-0.83988285,0.00607279
460,0.027547687,258.63020849227905,,,-0.25195184,7.0945187,17.399172,8.692643,2.2984013e-06,2.7208657e-07,,23,0.7510403,0.8886401,8.707356,199.93079,508.3332,0.9183673,-4.03396,17.399172,19.18809,-1.672193,11.613306
480,0.027547687,270.2890872955322,,,-0.24468094,1.9148793,17.399172,8.975663,2.110858e-06,,,24,1.5913283,-0.9899171,8.424336,215.4159,509.41095,-1.0,-4.0765195,17.399172,19.18809,0.2594869,16.65071
500,0.019873515,281.33175230026245,,,-0.20615672,17.205755,17.399172,8.624407,1.9453666e-06,,,25,1.6114293,-0.6904672,8.775593,215.61017,509.785,-0.67346936,-4.1173415,17.399172,19.18809,0.45768842,38.360085
520,0.01831564,292.6398239135742,,6.0811425e-12,-0.2002444,17.396776,17.399172,8.292822,1.7986008e-06,,,26,4.0565055e-08,-0.5850487,9.107178,215.61337,511.25443,-0.5510204,-4.1565623,17.399172,19.18809,-0.07608067,1.0546854e-06
540,0.019873515,304.0947482585907,,95.90483,-0.28925422,17.39523,17.399172,7.985857,1.6678383e-06,,,27,3.5555475,-0.59889084,9.414143,215.61815,533.84,-0.59183675,-4.1943026,17.399172,19.18809,-1.6222608,95.90483
560,0.01831564,315.37923526763916,,,-0.26484606,17.390373,17.399172,7.7009926,1.5508342e-06,,,28,8.315643e-10,0.3757053,9.699007,215.62778,513.63965,0.3469388,-4.23067,17.399172,19.18809,-0.14298409,2.3283796e-08
580,0.021563897,327.19795203208923,,1.070232e-29,-0.3367123,7.8194904,17.399172,7.7658033,1.4457245e-06,,,29,0.3292689,0.62813336,9.634196,225.20828,514.96155,0.63265306,-4.2657614,17.399172,19.18809,-1.3664101,7.917878
600,0.021563897,338.8356263637543,,4.1544546e-11,-0.35753167,5.5123982,17.399172,7.9031973,1.3509492e-06,,,30,4.5467043,0.42654592,9.496802,237.09592,514.43604,0.46938777,-4.299663,17.399172,19.18809,-0.27479988,128.43709
620,0.01831564,350.56503105163574,,,-0.32349858,7.4481397,17.399172,7.969282,1.2651968e-06,,,31,1.9792459e-09,-0.48039746,9.430717,247.04773,509.40543,-0.46938777,-4.332453,17.399172,19.18809,-0.21845628,6.096903e-08
640,0.01831564,362.0695731639862,,,-0.3605411,17.372746,17.399172,7.721094,1.1873576e-06,,,32,3.7989714e-08,0.2822706,9.6789055,247.07501,510.21225,0.26530612,-4.3642015,17.399172,19.18809,-0.5246498,1.2156709e-06
660,0.021563897,373.73914861679077,,,-0.4034114,8.379225,17.399172,7.760479,1.1164868e-06,,,33,0.19775635,-0.72844523,9.639521,256.09583,507.8704,-0.75510204,-4.3949733,17.399172,19.18809,-0.7905681,5.668223
680,0.021563897,385.2554922103882,,,-0.42311478,17.36109,17.399172,7.533373,1.051777e-06,,,34,0.5466574,0.5342198,9.866627,256.13467,508.3481,0.5510204,-4.424826,17.399172,19.18809,-0.27252764,16.528885
700,0.027547687,396.93370056152344,,1.3810765e-25,-0.43709806,6.506269,17.399172,7.629384,9.925341e-07,1.6134234e-17,,35,1.5493243,0.8382573,9.770616,267.02844,507.3998,0.8367347,-4.4538136,17.399172,19.18809,-0.38200578,17.698597
720,0.01831564,408.23449516296387,,,-0.41194794,2.7070382,17.399172,7.825594,9.3815913e-07,,,36,3.200445e-06,-0.38117152,9.574406,281.72137,508.12244,-0.3877551,-4.4819846,17.399172,19.18809,0.18005607,0.00011521602
740,0.01831564,419.72723507881165,,,-0.4425422,17.252644,17.399172,7.6180744,8.881331e-07,,,37,7.4163165e-07,0.19420539,9.781925,281.86874,508.82764,0.18367347,-4.5093837,17.399172,19.18809,-0.5575764,2.7440372e-05
