LQGsigma_higher,Regret,IWFirstEpisode,IWMax,LQGmu1_actor,IWMin,ReturnStepMax,IWLastEpisode,Regret/t,Bound,ReturnMin,TimeElapsed,IWMean,DenMISELogLast,LQGmu1_higher,DenMISELogFirst,ReturnLastEpisode,TimestepsSoFar,ReturnMean,ReturnMax,DenMISEMeanLog,ReturnAbsMax,Iteration,Delta
0.01831564,0.23712158,,,1.0181214,,18.948301,,0.23712158,653.43243,,0.05909109115600586,,-2.550058,1.0,-2.550058,17.162878,20,17.162878,17.162878,-2.550058,17.162878,1,0.0012158542
0.01831564,17.637121,,1.1626261e-06,0.92377764,,18.948301,1.1626261e-06,8.818561,687.37103,,11.906148910522461,5.8131303e-07,1.914331,0.9183673,-3.243205,,40,8.581439,17.162878,-0.66443706,17.162878,2,0.00030396355
0.01831564,33.702057,,3.8618673e-05,0.8234829,,18.948301,3.8618673e-05,11.23402,692.7594,,23.805364847183228,1.2872891e-05,1.9502646,0.8367347,-3.6486702,1.3350596,60,6.1659794,17.162878,-0.06317973,17.162878,3,0.00013509492
0.01831564,48.171494,,,-0.9929119,,18.948301,,12.042873,702.8205,,35.45100259780884,,1.4484395,-1.0,-3.9363523,2.930569,80,5.3571267,17.162878,0.09896672,17.162878,4,7.599089e-05
0.021563897,48.36534,,1.1392889,0.96066415,,18.996227,,9.673068,707.28217,,46.94350600242615,0.2604144,1.4099025,0.9591837,-4.159496,17.206152,100,7.7269316,17.206152,0.18263905,17.206152,5,4.8634163e-05
0.01831564,65.06314,,0.00721711,0.7698741,,18.996227,2.595113e-27,10.843859,719.7758,,58.33612680435181,0.0012028517,1.3158793,0.75510204,-4.3418174,0.70219076,120,6.5561414,17.206152,0.25912926,17.206152,6,3.377373e-05
0.01831564,78.754875,,0.0018831743,-0.8810423,,18.996227,,11.250696,719.3318,,69.80061173439026,0.0002690249,0.82886446,-0.9183673,-4.495968,3.7082694,140,6.149303,17.206152,0.20856258,17.206152,7,2.4813347e-05
0.021563897,78.84674,,48.29216,-0.8734864,,19.098131,48.29216,9.855843,750.51056,,81.39007568359375,6.0365205,-0.97257936,-0.877551,-4.6294994,17.308132,160,7.5441566,17.308132,-0.055886477,17.308132,8,1.8997722e-05
0.01831564,78.94989,,1.1783524e-05,0.68594223,,19.098131,,8.772211,727.42456,,93.3857958316803,1.3092805e-06,0.7758784,0.67346936,-4.7472825,17.29685,180,8.627789,17.308132,0.14862627,17.308132,9,1.5010546e-05
0.021563897,91.529144,,0.71783626,0.85185325,,19.098131,7.539356e-17,9.152914,729.40533,,105.65432906150818,0.11909576,0.5644087,0.877551,-4.852643,4.820761,200,8.247086,17.308132,0.09538019,17.308132,10,1.2158541e-05
0.01831564,106.431305,,0.0015615681,-0.8187582,,19.098131,,9.675573,719.42316,,117.71335768699646,0.00016283372,0.8158216,-0.79591835,-4.947953,2.4978256,220,7.7244263,17.308132,0.08473589,17.308132,11,1.0048381e-05
