Regret,DenMISEMeanLog,IWMin,IWMean,Bound,IWMax,ReturnMean,Delta,ReturnMax,LQGmu1_actor,Iteration,Regret/t,DenMISELogFirst,IWLastEpisode,TimeElapsed,DenMISELogLast,LQGmu1_higher,ReturnStepMax,ReturnAbsMax,LQGsigma_higher,ReturnMin,TimestepsSoFar,ReturnLastEpisode,IWFirstEpisode
0.1255188,-1.2525721,,5.2818966,675.73816,5.2818966,17.27448,0.0012158542,17.27448,-0.9527167,1,0.1255188,-1.2525721,5.2818966,0.03289461135864258,-1.2525721,-0.9591837,19.0642,17.27448,0.01831564,,20,17.27448,5.2818966
0.28137207,1.1154966,,,722.41156,,17.259314,0.00030396355,17.27448,0.96239895,2,0.14068604,-0.108047366,,11.394733667373657,2.3390405,1.0,19.0642,17.27448,0.01831564,,40,17.244146,
17.009552,0.45914268,,0.42120662,725.9352,1.2636199,11.730148,0.00013509492,17.27448,0.9279048,3,5.6698513,-0.5135125,1.2636199,22.95803451538086,-0.04263491,0.9183673,19.0642,17.27448,0.01831564,,60,0.6718166,
33.144073,0.6094641,,10.531496,721.3725,41.12276,9.113981,7.599089e-05,17.27448,-0.8894948,4,8.286018,-0.80119455,,34.57888746261597,1.5719682,-0.9183673,19.0642,17.27448,0.021563897,,80,1.2654804,41.12276
33.24331,0.9288228,,4.7093154e-06,737.27704,2.3544977e-05,10.751338,4.8634163e-05,17.300768,0.8353607,5,6.6486616,1.3987542,,46.18476629257202,0.45195112,0.8367347,19.091038,17.300768,0.01831564,,100,17.300768,
47.892128,0.83847046,,4.813474,727.23126,26.868538,9.417977,3.377373e-05,17.300768,0.97480065,6,7.9820223,1.2164327,3.4955036e-07,57.76350927352905,1.2983121,0.9591837,19.091038,17.300768,0.021563897,,120,2.7511756,
64.83905,1.0413989,,6.706414e-05,734.4864,0.00046944898,8.137278,2.4813347e-05,17.300768,0.7821365,7,9.262722,1.0622821,3.7645982e-31,69.22148299217224,1.1938974,0.75510204,19.091038,17.300768,0.01831564,,140,0.45308122,
78.704056,0.7921009,,6.298078e-08,719.3629,5.0384625e-07,7.5619926,1.8997722e-05,17.300768,0.67523384,8,9.838007,0.92875063,5.0384625e-07,80.79078125953674,-0.018332073,0.67346936,19.091038,17.300768,0.01831564,,160,3.5349953,
91.15058,0.698594,,0.17173724,722.4462,1.1172678,7.2721567,1.5010546e-05,17.300768,0.88276094,9,10.127843,0.8109676,5.818894e-19,92.83977317810059,0.89280295,0.877551,19.091038,17.300768,0.021563897,,180,4.9534707,
106.54089,0.63121176,,0.043825187,724.38873,0.43750113,6.7459106,1.2158541e-05,17.300768,-0.81281006,10,10.654089,0.7056071,,105.2559826374054,0.8094754,-0.8367347,19.091038,17.300768,0.01831564,,200,2.0096984,0.00075067865
106.610855,0.47861412,,3.119173e-05,719.5413,0.00034310902,7.7081037,1.0048381e-05,17.330025,0.60167396,11,9.691896,0.610372,,117.54394125938416,-0.13715607,0.59183675,19.119263,17.330025,0.01831564,,220,17.330025,
118.202194,0.39804244,,0.064976424,721.9846,0.7731722,7.549816,8.443432e-06,17.330025,-0.97250473,12,9.8501835,0.5233606,,129.93660497665405,0.46884865,-1.0,19.119263,17.330025,0.021563897,,240,5.8086634,0.006491185
118.380486,0.3516731,,2.0607927,726.7509,24.95986,8.293809,7.194403e-06,17.330025,0.7989016,13,9.106191,0.44385868,,142.284499168396,0.6927673,0.79591835,19.119263,17.330025,0.021563897,,260,17.221714,
132.48682,0.37739912,,0.015870476,725.7092,0.22218667,7.9366555,6.203337e-06,17.330025,-0.76766074,14,9.463345,0.36975074,,154.6091377735138,0.4718973,-0.75510204,19.119263,17.330025,0.01831564,,280,3.2936647,1.7354738e-16
132.51564,0.29938316,,0.68497026,724.57874,6.188687,8.565624,5.403797e-06,17.371181,0.9917529,15,8.834375,0.30075786,,166.69014048576355,0.15731487,1.0,19.161184,17.371181,0.027547687,,300,17.371181,
149.76608,0.3137804,,4.3595464e-06,724.84076,6.975274e-05,8.039619,4.7494304e-06,17.371181,0.52248055,16,9.36038,0.23621933,,178.79767489433289,0.9079854,0.5102041,19.161184,17.371181,0.01831564,,320,0.14955431,
160.54686,0.24078655,,2.242647e-06,720.54034,3.812499e-05,7.956066,4.207108e-06,17.371181,-0.672052,17,9.4439335,0.1755947,,190.809184551239,0.042874716,-0.67346936,19.161184,17.371181,0.01831564,,340,6.619211,8.216181e-38
