Iteration,LQGsigma_higher,Delta,ReturnMin,ReturnMax,IWLastEpisode,IWFirstEpisode,ReturnAbsMax,Regret,TimestepsSoFar,IWMax,TimeElapsed,LQGmu1_higher,Regret/t,ReturnStepMax,DenMISEMeanLog,ReturnMean,IWMean,LQGmu1_actor,DenMISELogLast,DenMISELogFirst,IWMin,Bound,ReturnLastEpisode
1,0.01831564,0.0012158542,,17.170809,,,17.170809,0.22919083,20,,0.04869675636291504,1.0,0.22919083,18.958992,-2.0051284,17.170809,,1.0215355,-2.0051284,-2.0051284,,653.7344,17.170809
2,0.01831564,0.00030396355,,17.170809,5.04812e-07,,17.170809,17.62919,40,5.04812e-07,11.835053443908691,0.9183673,8.814595,18.958992,-0.49115354,8.585404,2.52406e-07,0.9278886,1.7159685,-2.6982756,,687.68866,
3,0.01831564,0.00013509492,,17.170809,1.4182947e-05,,17.170809,33.763435,60,1.4182947e-05,23.382570505142212,0.8367347,11.254478,18.958992,0.0222888,6.145521,4.727649e-06,0.833335,1.8601035,-3.1037407,,693.07947,1.2657543
4,0.01831564,7.599089e-05,,17.170809,,,17.170809,48.381485,80,,35.10964107513428,-1.0,12.095371,18.958992,0.22334203,5.304629,,-0.99573904,1.6895431,-3.3914227,,703.1452,2.7819524
5,0.021563897,4.8634163e-05,,17.201626,,,17.201626,48.579857,100,1.6743343,46.76981210708618,0.9591837,9.715971,18.990799,0.2915755,7.6840286,0.3603006,0.9688282,1.4570836,-3.6145663,,707.2159,17.201626
6,0.01831564,3.377373e-05,,17.201626,1.5646332e-29,,17.201626,65.42108,120,0.0006586396,58.42015552520752,0.75510204,10.903515,18.990799,0.3641999,6.496485,0.00010977327,0.7696493,1.3249826,-3.7968879,,719.58325,0.55877
7,0.01831564,2.4813347e-05,,17.201626,,,17.201626,79.109665,140,0.00094708026,70.03433060646057,-0.9183673,11.301381,18.990799,0.29983377,6.0986185,0.00013529717,-0.9144108,0.8384312,-3.9510386,,719.14026,3.71142
8,0.01831564,1.8997722e-05,,17.26851,,,17.26851,79.24116,160,1.1065923e-05,81.7332489490509,0.67346936,9.905145,19.05784,0.26949066,7.494855,1.3832404e-06,0.6828501,0.9916731,-4.08457,,718.02167,17.26851
9,0.021563897,1.5010546e-05,,17.26851,1.7018669e-17,,17.26851,91.78185,180,0.93881965,93.77636623382568,0.877551,10.197985,19.05784,0.22022912,7.2020154,0.15157688,0.8663008,0.7684,-4.202353,,721.0481,4.8592963
10,0.01831564,1.2158541e-05,,17.26851,,,17.26851,106.91004,200,0.0012552885,106.29873895645142,-0.8367347,10.691004,19.05784,0.19990218,6.708996,0.00012552885,-0.8342609,0.8197949,-4.3077135,,722.52155,2.2718194
11,0.01831564,1.0048381e-05,,17.33371,,,17.33371,106.976326,220,5.365421e-05,118.63716959953308,0.59183675,9.725121,19.123547,0.1576485,7.674879,4.8776556e-06,0.5886093,0.6880881,-4.4030237,,719.6942,17.33371
12,0.021563897,8.443432e-06,,17.33371,8.693404e-20,,17.33371,118.42607,240,6.529675,130.9877245426178,0.79591835,9.868839,19.123547,0.1143528,7.53116,0.7196744,0.8232942,0.59521997,-4.490035,,717.3542,5.950247
13,0.01831564,7.194403e-06,,17.33371,,,17.33371,132.89268,260,0.0011368486,143.0690279006958,-0.75510204,10.222514,19.123547,0.13079704,7.1774855,8.7449895e-05,-0.7808286,0.6918728,-4.570078,,721.09155,2.9333975
14,0.027547687,6.203337e-06,,17.350986,,,17.350986,132.9417,280,13.094006,155.53334832191467,1.0,9.495836,19.140202,0.01821168,7.904164,1.290953,0.98789287,-0.48208225,-4.6441855,,719.4409,17.350986
15,0.021563897,5.403797e-06,,17.350986,,,17.350986,150.12257,300,3.0719728,167.57215356826782,-0.9591837,10.008171,19.140202,0.08006956,7.3918285,0.30416575,-0.96838135,0.9430802,-4.7131786,,722.99646,0.21912792
16,0.01831564,4.7494304e-06,,17.350986,,,17.350986,150.29178,320,0.0016799178,179.64356899261475,0.5102041,9.393236,19.140202,0.05370398,8.006763,0.00010499486,0.49932948,0.34525076,-4.777717,,723.9987,17.23079
17,0.01831564,4.207108e-06,,17.350986,,,17.350986,160.85718,340,1.4822259e-06,191.70129299163818,-0.67346936,9.462187,19.140202,-0.0012319508,7.9378123,8.718976e-08,-0.6590181,0.0896821,-4.8383417,,719.70264,6.8345904
18,0.021563897,3.7526365e-06,,17.381416,,,17.381416,160.87576,360,5.929639,203.53708481788635,0.71428573,8.937543,19.169485,-0.060669675,8.462457,0.3568367,0.6876171,-0.099417865,-4.8955,,718.20087,17.381416
19,0.021563897,3.3680174e-06,,17.381416,,,17.381416,173.47597,380,31.830393,215.1170289516449,-0.79591835,9.130313,19.169485,-0.07765209,8.269687,1.8492187,-0.7961334,0.27808452,-4.9495673,,720.9691,4.7998157
20,0.01831564,3.0396352e-06,,17.381416,,,17.381416,173.53056,400,0.013453929,226.5957429409027,0.42857143,8.676528,19.169485,-0.059498347,8.723472,0.00067269645,0.41819873,0.11557913,-5.0008607,,721.3932,17.345406
21,0.021563897,2.7570386e-06,,17.381416,,,17.381416,183.41821,420,3.8016658,238.16070938110352,-0.877551,8.7342005,19.169485,-0.10810922,8.665799,0.27781227,-0.87782365,-0.10519643,-5.0496507,,719.8113,7.5123386
22,0.01831564,2.5120953e-06,,17.381416,,,17.381416,183.50842,440,0.03522924,249.6688368320465,-0.59183675,8.341292,19.169485,-0.1348929,9.058707,0.0016013291,-0.5643007,0.020731647,-5.096171,,720.0284,17.309772
23,0.027547687,2.2984013e-06,,17.383606,,,17.383606,183.52481,460,11.44679,261.1434416770935,0.9183673,7.9793396,19.171562,-0.22082122,9.42066,0.7157432,0.9455595,-1.134905,-5.1406226,,716.0285,17.383606
24,0.01831564,2.110858e-06,,17.383606,,,17.383606,199.96048,480,0.014280901,272.76731991767883,0.3469388,8.331687,19.171562,-0.2124085,9.068313,0.00059503753,0.37326986,0.34719113,-5.1831822,,717.3386,0.9643396
25,0.01831564,1.9453666e-06,,17.383606,,,17.383606,209.5244,500,0.9394522,284.1587517261505,-0.5102041,8.380976,19.171562,-0.28701487,9.019024,0.037578087,-0.5313985,-1.0984352,-5.2240043,,714.5817,7.836098
26,0.021563897,1.7986008e-06,,17.398708,,,17.398708,209.5257,520,2.7450607,295.7013967037201,0.63265306,8.058681,19.185827,-0.34328252,9.341319,0.18195397,0.6077703,-0.80634516,-5.263225,,716.6291,17.398708
27,0.021563897,1.6678383e-06,,17.398708,,,17.398708,221.18414,540,53.866737,307.5159316062927,-0.5510204,8.192005,19.185827,-0.3636101,9.207994,3.0484936,-0.5759565,-0.086114965,-5.3009653,,714.49304,5.741533
28,0.01831564,1.5508342e-06,,17.398708,,,17.398708,221.20584,560,2.0856082e-06,319.06022477149963,0.26530612,7.9002085,19.185827,-0.32511252,9.499791,7.448601e-08,0.23164034,-0.12023104,-5.3373327,,714.43335,17.3783
29,0.01831564,1.4457245e-06,,17.398708,,,17.398708,229.98972,580,3.7930727e-06,330.8042891025543,-0.42857143,7.9306803,19.185827,-0.41281015,9.469319,1.3079675e-07,-0.45621598,-1.8857865,-5.372424,,711.7543,8.616122
30,0.01831564,1.3509492e-06,,17.398708,,,17.398708,230.03763,600,4.813504,342.7008898258209,0.18367347,7.66792,19.185827,-0.4774537,9.7320795,0.16045015,0.16598368,-1.3689718,-5.406326,,710.0413,17.352108
31,0.027547687,1.2651968e-06,,17.398708,,,17.398708,238.58377,620,17.149242,354.463214635849,-1.0,7.696252,19.185827,-0.5145174,9.703748,0.8890039,-1.0123502,-0.79154366,-5.4391155,,709.9049,8.853815
32,0.027547687,1.1873576e-06,,17.398708,,,17.398708,238.784,640,16.331629,366.20745968818665,0.8367347,7.462,19.185827,-0.50675,9.938,1.3583362,0.808277,-0.012637332,-5.4708643,,708.97504,17.199818
33,0.01831564,1.1164868e-06,,17.398708,,,17.398708,253.02753,660,1.7546928e-06,377.9662184715271,-0.3469388,7.6675005,19.185827,-0.4886685,9.732499,5.317251e-08,-0.36751086,-0.04953807,-5.501636,,710.16943,3.1564765
34,0.021563897,1.051777e-06,,17.398708,,,17.398708,253.1756,680,5.7218204,389.67815589904785,0.5510204,7.4463415,19.185827,-0.5337539,9.953658,0.24789295,0.54472804,-1.0364215,-5.531489,,711.65173,17.25189
35,0.01831564,9.925341e-07,,17.398708,,,17.398708,264.1726,700,0.12243942,401.2427463531494,0.10204082,7.5477886,19.185827,-0.5525673,9.852211,0.0034982692,0.07623386,-0.4400021,-5.5604763,,709.6569,6.403042
36,0.01831564,9.3815913e-07,,17.398708,,,17.398708,272.5208,720,1.1255912e-05,412.7222328186035,-0.26530612,7.5700235,19.185827,-0.6047207,9.829976,3.126642e-07,-0.24364053,-1.447601,-5.5886474,,708.67554,9.051741
37,0.01831564,8.881331e-07,,17.398708,,,17.398708,272.80426,740,0.9148196,424.2517955303192,0.020408163,7.373088,19.185827,-0.64729595,10.026912,0.024724854,0.005177507,-1.1936427,-5.6160464,,708.023,17.11658
38,0.021563897,8.4200434e-07,,17.398708,,,17.398708,280.86935,760,1.6135161,435.8913097381592,-0.71428573,7.3912983,19.185827,-0.67866087,10.008701,0.049917165,-0.71146077,-0.8768617,-5.6427145,,708.6248,9.334944
