MaxIWNorm,StdIW,TimeElapsed,MeanIW,LQGsigma,EpRewMean,InitialBound,StdIWNorm,EmpiricalD2,ReturnStepMaxmin,J_sample_variance,Bound,MinIWNorm,InitialReturnMax,ESSClassic,ESSRenyi,ReturnStepMax,EpLenMean,MeanIWNorm,EpisodesSoFar,InitialReturnMean,EpThisIter,Iteration,ReturnMeanIW,TimestepsSoFar,MinIW,MeanEntropy,InitialReturnStd,LQGmu,InitialReturnMin,MaxIW
0.047645412,0.9763949,21.046963453292847,0.76956356,[[0.168]],-9.052002031038842,-9.272576,0.006509299,28.206045,17.279669,249.9786,-7.0798798,3.7048214e-06,-0.88417614,57.47647,5.318009,17.279669,20.0,0.0051304237,2550,-9.052001,150,17,-5.9084263,51000,0.0005557232,-0.3718009,7.487025,[[-0.515]],-26.879251,7.1468115
0.117916316,1.5981153,22.198342323303223,0.2856643,[[0.167]],-9.574821051859955,-9.781926,0.010654102,120.525154,18.068436,31.251053,-3.481413,5.348643e-13,-0.569256,4.6443777,1.2445534,18.068436,20.0,0.0019044286,2700,-9.5748205,150,18,-1.2077285,54000,8.022964e-11,-0.8452264,7.634885,[[-0.627]],-25.237978,17.687447
0.01015555,0.20864268,23.421669244766235,0.9868995,[[0.104]],-8.762241554635667,-8.959709,0.0013909512,1.0427451,19.000702,52.113407,-8.690987,0.003033038,-0.2628103,143.58255,143.85107,19.000702,20.0,0.00657933,2850,-8.762241,150,19,-8.489342,57000,0.4549557,-0.8682652,7.018236,[[-0.59]],-24.063595,1.5233325
0.05569436,1.5662698,24.728803396224976,0.7979238,[[0.102]],-8.594587370453667,-8.786201,0.010441799,69.619286,17.263172,159.66505,-5.516326,9.1148416e-07,-0.20205411,30.908081,2.1545753,17.263172,20.0,0.0053194915,3000,-8.594587,150,20,-3.9175436,60000,0.00013672262,-0.91908723,6.8781815,[[-0.597]],-23.350052,8.354154
0.093130864,1.4901111,25.69560480117798,0.9251305,[[0.097]],-8.993956744821617,-9.194243,0.009934073,6.775156,17.774458,622.42993,-8.375397,5.6592644e-06,-0.24133341,41.731976,22.139711,17.774458,20.0,0.006167538,3150,-8.993956,150,21,-7.854071,63000,0.00084888964,-0.94092643,7.9884877,[[-0.49]],-24.406921,13.969629
0.059368733,1.1376113,26.637035846710205,0.73058534,[[0.094]],-8.938573060309722,-9.137561,0.0075840754,30.186674,17.933804,394.17435,-6.8158216,6.4340957e-06,-0.24388927,43.80032,4.96908,17.933804,20.0,0.004870569,3300,-8.938574,150,22,-5.7225356,66000,0.00096511433,-0.92688006,7.3571506,[[-0.545]],-24.248758,8.90531
0.06326171,1.2542104,27.639379501342773,0.7553366,[[0.096]],-8.158221957171275,-8.353524,0.008361403,34.414165,18.523092,112.089134,-5.5658793,2.562936e-06,-0.22019354,39.923916,4.35867,18.523092,20.0,0.005035578,3450,-8.158222,150,23,-4.4201694,69000,0.00038444038,-0.92853636,6.93247,[[-0.609]],-23.79958,9.489256
0.09936607,1.6974053,28.48766279220581,1.0379477,[[0.096]],-7.468167094076501,-7.6600256,0.011316038,13.101319,19.570524,411.3284,-6.4258595,1.7208273e-05,-0.19780298,40.82341,11.449228,19.570524,20.0,0.006919651,3600,-7.4681673,150,24,-5.7314124,72000,0.0025812408,-0.92967635,6.5108256,[[-0.685]],-23.380026,14.90491
0.032704994,0.7981902,29.37745237350464,0.6376797,[[0.096]],-8.130666674706873,-8.326126,0.005321268,40.51746,18.373304,45.56742,-4.7705994,8.0625405e-06,-0.3348512,58.439022,3.7021077,18.373304,20.0,0.004251198,3750,-8.130666,150,25,-3.5264337,75000,0.001209381,-0.9275423,6.649564,[[-0.616]],-23.818823,4.905749
0.006669231,0.00013233027,30.267659902572632,0.99999815,[[0.096]],-8.758319894770043,-8.954109,8.822081e-07,1.0,17.754534,60.32711,-8.9540615,0.006664354,-0.32984066,150.0,150.0,17.754534,20.0,0.0066666543,3900,-8.75832,150,26,-8.758273,78000,0.99965304,-0.9275423,7.7412133,[[-0.543]],-23.858929,1.0003847
