MeanIWNorm,MinIWNorm,MinIW,LQGsigma,InitialReturnMax,J_sample_variance,ReturnStepMaxmin,MeanIW,EpThisIter,InitialBound,ESSRenyi,EmpiricalD2,InitialReturnStd,MeanEntropy,ESSClassic,TimestepsSoFar,ReturnStepMax,EpRewMean,InitialReturnMin,Iteration,EpLenMean,MaxIW,MaxIWNorm,LQGmu,StdIW,StdIWNorm,EpisodesSoFar,ReturnMeanIW,InitialReturnMean,Bound,TimeElapsed
0.012697585,0.001334995,0.1334995,[[1.]],18.415579,1040.085,0.99995726,1.2697583,100,17.040462,13.980054,7.153048,0.5647148,1.5681175,29.389442,2000,0.99995726,17.225545366215066,16.07781,1,20.0,16.126232,0.16126232,[[-0.466]],1.9681587,0.019681588,100,21.4892,17.225544,20.994192,0.5821635723114014
0.03954587,1.2759734e-10,1.2759734e-08,[[1.161]],18.38911,361818.72,0.9999973,3.9545877,100,16.797775,0.25209576,396.67465,0.55591524,1.2156857,1.2307206,4000,0.9999973,16.982593135085825,15.474674,2,20.0,355.91467,3.5591466,[[-0.566]],35.42684,0.3542684,200,66.944046,16.982592,63.263092,1.5645809173583984
0.010322219,0.0012692884,0.12692884,[[0.816]],18.708126,47.775303,0.999924,1.032222,100,16.715952,85.543884,1.1689906,0.89343816,1.1707897,84.690895,6000,0.999924,16.903977283985697,14.227624,3,20.0,2.3605769,0.023605768,[[-0.127]],0.43886364,0.004388636,300,17.276201,16.903976,17.07291,2.437130928039551
0.013585161,7.827807e-05,0.007827807,[[0.78]],18.658327,3406.0664,0.9998717,1.3585161,100,16.588747,21.728828,4.602181,1.017098,0.9922488,11.02492,8000,0.9998717,16.7762694215672,13.041914,4,20.0,36.507195,0.36507192,[[-0.078]],3.859324,0.038593236,400,21.492819,16.77627,21.09053,3.304987668991089
0.011229759,0.0023166318,0.23166318,[[0.653]],18.61584,171.99469,0.99994266,1.122976,100,15.515334,56.004593,1.7855679,1.5604355,0.9940612,53.828293,10000,0.99994266,15.702430019360836,12.32605,5,20.0,6.4868555,0.064868554,[[0.022]],1.0400473,0.010400472,500,16.392904,15.702431,16.142897,4.081406831741333
0.013846486,3.4347274e-06,0.00034347276,[[0.654]],18.18985,1675.6105,0.99989736,1.3846486,100,14.958214,5.0381994,19.84836,1.6801884,0.9332919,26.865223,12000,0.99989736,15.14102892613132,11.317816,6,20.0,11.622866,0.116228655,[[0.077]],2.2845798,0.022845797,600,23.743868,15.141029,22.9294,4.645936727523804
0.013668346,1.6215902e-09,1.6215903e-07,[[0.615]],18.600449,10188.3955,0.99999887,1.3668345,100,16.714937,0.258925,386.21222,1.0363312,0.8326836,6.0068407,14000,0.99999887,16.901879445548193,13.672012,7,20.0,45.027092,0.45027092,[[-0.072]],5.4068093,0.05406809,700,25.118273,16.90188,21.444445,5.501899003982544
0.024665771,2.3888714e-13,2.3888716e-11,[[0.556]],19.011253,35794.137,0.9999783,2.466577,100,18.08799,0.094154924,1062.0793,0.40914702,0.68064845,5.819441,16000,0.9999783,18.27906030523,16.387362,8,20.0,79.93583,0.79935825,[[-0.309]],9.9228115,0.09922809,800,46.631382,18.27906,40.404488,6.40159010887146
0.011560027,0.00013085958,0.013085959,[[0.478]],19.048948,1172.4802,0.9999883,1.1560028,100,18.553776,25.130123,3.979288,0.13801214,0.6309982,28.488054,18000,0.9999883,18.745223317612254,18.289307,9,20.0,11.78343,0.1178343,[[-0.549]],1.8315415,0.018315418,900,21.619455,18.745224,21.237549,7.33978009223938
0.011037025,0.0015158054,0.15158054,[[0.455]],19.069357,730.43024,0.99998856,1.1037024,100,18.506897,26.227972,3.8127234,0.18907562,0.7469992,35.82891,20000,0.99998856,18.698552433607937,17.931522,10,20.0,9.392299,0.09392299,[[-0.407]],1.4770828,0.014770829,1000,20.429104,18.698553,20.054876,8.237102031707764
