EpRewMean,ESSRenyi,InitialReturnStd,ESSClassic,TimestepsSoFar,Bound,StdIWNorm,MeanIW,InitialBound,InitialReturnMean,InitialReturnMax,Iteration,MaxIWNorm,ReturnStepMaxmin,MeanEntropy,MaxIW,MinIWNorm,MinIW,EpLenMean,EpThisIter,J_sample_variance,EpisodesSoFar,MeanIWNorm,InitialReturnMin,EmpiricalD2,TimeElapsed,ReturnMeanIW,StdIW,ReturnStepMax
-1261.383072208346,50.532043,99.110504,48.517124,50000,-1187.4,0.00992946,0.9639217,-1276.847,-1261.3829,-1056.0024,1,0.05517951,27.041744,1.4122,5.517951,0.00085243164,0.085243165,500.0,100,1336632.8,100,0.0096392175,-1538.656,1.9789424,8.579561948776245,-1165.646,0.992946,27.041744
-1207.9298219962097,0.5729832,79.53082,10.001033,100000,-766.827,0.013766175,0.45889884,-1222.2535,-1207.9298,-1038.1638,2,0.12113648,26.62385,1.4257601,12.113648,1.6600872e-06,0.00016600871,500.0,100,2974250.0,200,0.0045889886,-1425.1895,174.52518,23.855365991592407,-577.5996,1.3766176,26.62385
-1322.8565661665846,0.8002097,95.49919,14.456194,150000,-806.93286,0.010995821,0.4520229,-1338.7548,-1322.8566,-1090.1423,3,0.059881628,28.688265,1.4837435,5.988163,7.8298635e-06,0.0007829864,500.0,100,2488379.8,300,0.0045202286,-1581.853,124.96725,41.815940618515015,-629.2087,1.0995822,28.688265
-1434.8146889869606,0.6736387,92.690125,14.446947,200000,-983.2043,0.011951983,0.49114564,-1452.7844,-1434.8147,-1240.6013,4,0.07483621,28.8,1.5491443,7.483621,3.8194645e-05,0.0038194645,500.0,100,3686519.5,400,0.0049114563,-1787.9741,148.44753,56.74537014961243,-764.2618,1.1951983,28.8
-1610.6096344117918,0.29637584,130.15826,16.774044,250000,-984.3655,0.008546534,0.3836892,-1629.749,-1610.6097,-1246.5883,5,0.045677643,28.8,1.5312438,4.5677643,1.2130508e-07,1.21305075e-05,500.0,100,2045409.2,500,0.0038368918,-1904.3451,337.40942,74.92384552955627,-632.7996,0.8546534,28.8
-1722.3276223152252,0.5146045,133.39581,7.0180397,300000,-1161.8722,0.019406047,0.5331453,-1744.057,-1722.3276,-1432.1425,6,0.147188,28.8,1.4622424,14.7188,1.9464364e-06,0.00019464364,500.0,100,9444662.0,600,0.005331454,-2162.0415,194.32399,94.32779812812805,-858.96497,1.9406046,28.8
-1594.653090638671,0.64953965,119.104866,17.17638,350000,-729.57764,0.00746,0.33972505,-1613.5039,-1594.6531,-1367.6737,7,0.05514964,28.8,1.4290695,5.514964,1.0308571e-06,0.00010308571,500.0,100,1112993.2,700,0.0033972498,-1875.6321,153.95518,110.96662950515747,-495.67923,0.746,28.8
-1361.3776470482594,0.5800112,102.193855,17.65309,400000,-768.8324,0.00880041,0.40746433,-1377.2554,-1361.3777,-1065.9972,8,0.06818332,28.212826,1.4710511,6.8183317,5.7508796e-06,0.00057508796,500.0,100,1580589.1,800,0.0040746434,-1579.8062,172.41046,129.7422137260437,-560.35065,0.880041,28.212826
-1408.7024392971607,0.8786914,87.51884,7.7774134,450000,-749.9678,0.015411624,0.44755593,-1425.0809,-1408.7024,-1178.6436,9,0.119975396,28.8,1.4355692,11.9975395,6.26718e-07,6.26718e-05,500.0,100,3840476.5,900,0.004475559,-1629.6562,113.8056,148.01053595542908,-575.2407,1.5411624,28.8
-1253.6765567130353,0.61963993,88.277016,10.793297,500000,-727.8746,0.012234301,0.42555672,-1268.7211,-1253.6766,-1019.03094,10,0.09645189,25.980299,1.422403,9.645189,1.8440091e-06,0.00018440092,500.0,100,2517660.0,1000,0.0042555667,-1496.92,161.38405,168.52023363113403,-536.7523,1.2234302,25.980299
