ReturnLastEpisode,Iteration,ReturnMin,IWMax,Delta,TimeElapsed,TimestepsSoFar,MountainCar_mu1_higher,Bound,Regret,NumTrainableParams,MountainCar_mu0_higher,IWMin,ReturnStepMax,ReturnMean,ActionIn1,ReturnMax,GridSize,Regret/t,MountainCar_std1_higher,DenMISEMeanLog,MountainCar_std0_higher,IWLastEpisode,IWFirstEpisode,DenMISELogFirst,DenMISELogLast,IWMean,ReturnAbsMax
-0.069003396,1,-0.069003396,0.4836642,0.060792707,0.286760807,500,,0.28134257,1.0341234,2,,,0.35161948,-0.069003396,0.08701559,,1,1.0341234,0.14999999,1.8915925,0.14999999,0.4836642,0.4836642,1.8915925,1.8915925,0.4836642,0.069003396
-0.017160147,2,-0.069003396,,0.0060792705,0.6327869892,1000,,inf,2.0164037,,4,,0.35161948,-0.04308177,3.937743,,4,1.0082018,0.14999999,1.691772,0.14999999,,,1.5929602,1.7905837,,0.069003396
-93.439026,3,-93.439026,,0.0027018983,0.8690755367,1500,4,inf,96.42055,,,,477.60208,-31.175062,4.511087,,4,32.140182,0.14999999,1.123247,0.14999999,,,1.1874951,0.79712707,,93.439026
-0.14513429,4,-93.439026,,0.0015198176,1.0748212337,2000,4,inf,97.5308,,4,,477.60208,-23.41758,8.020861,,4,24.3827,0.14999999,0.03065759,0.14999999,,,0.899813,-2.3840642,,93.439026
-120.260345,5,-120.260345,5,0.0009726833,1.2970752716,2500,4,553.34875,218.75627,,,,600.3395,-42.786133,4.0190926,,4,43.75125,0.14999999,-0.091492295,0.14999999,,,0.6766695,0.3124824,1,120.260345
-0.02058652,6,-120.260345,6,0.0006754746,1.5897710323,3000,,494.17322,219.74197,,4,,600.3395,-35.658543,3.9559207,,4,36.62366,0.14999999,-0.007729938,0.14999999,,,0.4943479,0.62954247,1,120.260345
-92.68718,7,-120.260345,3.600962,0.0004962669,1.8326425552,3500,,487.9656,313.3943,,,,600.3395,-43.805492,-0.056304272,,4,44.77061,0.14999999,0.046070475,0.14999999,,2.2819514,0.3401972,0.60063,0.84041625,120.260345
-0.0053948746,8,-120.260345,8,0.0003799544,2.093296051,4000,4,494.98395,314.36478,,4,,600.3395,-38.33048,8.17082,,4,39.295597,0.14999999,0.10377188,0.14999999,,,0.48882747,0.74520504,1,120.260345
-112.99434,9,-120.260345,4.425095E-33,0.0001501055,2.2926399708,4500,,inf,428.32422,,2,,600.3395,-46.62646,2.3495488,,9,47.59158,0.14999999,0.051893618,0.14999999,,4.425095E-33,0.37104443,-0.11401538,4.9255647E-34,120.260345
-34.293274,10,-120.260345,1.1252633E-34,0.0001215854,2.7089567184,5000,2,inf,463.58264,,,,600.3395,-45.393143,1.910459,,9,46.35826,0.14999999,-0.32355154,0.14999999,,1.1252633E-34,0.26568392,-2.7543137,1.15483065E-35,120.260345
