DenMISELogLast,NumTrainableParams,ReturnStepMax,GridSize,MountainCar_mu0_higher,MountainCar_std0_higher,MountainCar_std1_higher,IWFirstEpisode,ReturnMin,ActionIn1,DenMISELogFirst,IWLastEpisode,Regret,Delta,IWMax,TimestepsSoFar,ReturnAbsMax,Regret/t,IWMean,DenMISEMeanLog,Bound,IWMin,Iteration,MountainCar_mu1_higher,ReturnMean,ReturnLastEpisode,ReturnMax,TimeElapsed
1.4356554,2,0.6396956,1,,0.14999999,0.14999999,0.6477113,-0.12783915,-0.5263288,1.4356554,0.6477113,1.0929592,0.060792707,0.6477113,500,0.12783915,1.0929592,0.6477113,1.4356554,0.5002578,,1,,-0.12783915,-0.12783915,,0.1844017506
-2.5827487,,0.6396956,4,4,0.14999999,0.14999999,,-0.12783915,3.9585683,1.2418954,,2.1007626,0.0060792705,,1000,0.12783915,1.0503813,,-0.6704266,inf,,2,,-0.085261285,-0.04268342,,0.5882167816
0.5442414,,566.6587,4,,0.14999999,0.14999999,,-111.68746,4.064367,0.8364303,,114.75335,0.0027018983,,1500,111.68746,38.251114,,-0.53584725,inf,,3,4,-37.285995,-111.68746,,0.8730916977
0.068195775,,566.6587,4,4,0.14999999,0.14999999,,-111.68746,8.232971,0.54874825,,115.7328,0.0015198176,,2000,111.68746,28.9332,,-0.6005981,inf,,4,4,-27.96808,-0.014336149,,1.1135385036
-0.6558062,,566.6587,4,,0.14999999,0.14999999,,-111.68746,4.032682,0.32560468,,219.4385,0.0009726833,5,2500,111.68746,43.8877,1,-0.7901546,513.9976,,5,4,-42.92258,-102.740585,,1.3051686287
0.7552224,,566.6587,4,4,0.14999999,0.14999999,,-111.68746,7.6883416,0.14328313,,220.40927,0.0006754746,6,3000,111.68746,36.734875,1,-0.56900185,446.36322,,6,4,-35.769756,-0.0056547425,,1.4956624508
-0.37717816,,566.6587,4,,0.14999999,0.14999999,2.751683,-111.68746,0.14716367,-0.010867544,,313.6835,0.0004962669,6.5925136,3500,111.68746,44.811928,1.3348852,-0.5747066,453.13095,,7,,-43.84681,-92.30909,,1.6757993698
0.761276,,566.6587,4,4,0.14999999,0.14999999,,-111.68746,3.9559627,0.1871308,,314.68115,0.0003799544,8,4000,111.68746,39.335144,1,-0.40015638,459.6985,,8,,-38.370026,-0.032530636,,1.8924882412
0.4261825,,566.6587,9,2,0.14999999,0.14999999,6.243772E-31,-111.68746,2.446376,0.069347754,1.9502277E-37,405.76233,0.0001501055,6.243772E-31,4500,111.68746,45.0847,6.938531E-32,-0.33602062,inf,,9,,-44.119583,-90.11608,,2.1988310814
-2.5643528,,566.6587,9,,0.14999999,0.14999999,,-111.68746,2.0631018,-0.036012765,,438.4957,0.0001215854,2.830883E-37,5000,111.68746,43.849567,2.830883E-38,-0.65367824,inf,,10,2,-42.88445,-31.768244,,2.6265177727
-0.7778217,,566.6587,9,2,0.14999999,0.14999999,,-111.68746,4.1675034,-0.13132295,6.091708E-34,439.49664,0.0001004838,2.6898034E-29,5500,111.68746,39.95424,2.445331E-30,-0.7516096,inf,,11,2,-38.98912,-0.03580527,,2.9466812611
-0.8695953,,566.6587,9,4,0.14999999,0.14999999,,-111.68746,6.086649,-0.21833432,5.2132923E-36,472.7916,8.443432E-05,2.6148017E-32,6000,111.68746,39.399296,2.1794358E-33,-0.84120226,inf,,12,2,-38.434177,-32.32987,,3.2272605896
-1.0143931,,566.6587,9,2,0.14999999,0.14999999,,-111.68746,6.117301,-0.29837704,,573.29785,0.000071944,9.9301964E-33,6500,111.68746,44.09983,8.055903E-34,-0.9284102,inf,,13,4,-43.134712,-99.54113,,3.5232870579
-0.8695857,,566.6587,9,,0.14999999,0.14999999,,-111.68746,2.0858662,-0.372485,,604.1478,6.203337E-05,13.999998,7000,111.68746,43.153416,0.9999999,-0.99302304,607.4724,,14,2,-42.188297,-29.88487,,3.9124760628
-0.4437732,,566.6587,9,2,0.14999999,0.14999999,,-111.68746,6.1612625,-0.44147786,,605.11914,0.000054038,15.000001,7500,111.68746,40.341274,1.0000001,-0.97458994,588.25494,,15,4,-39.376156,-0.0061738696,,4.2303111553
-3.6818929,,566.6587,9,2,0.14999999,0.14999999,1.1100112E-30,-111.68746,2.3800783,-0.5060164,,645.33655,4.74943E-05,16,8000,111.68746,40.333534,1,-1.1609794,590.7758,,16,,-39.368416,-39.252335,,4.485727787
-1.7888324,,566.6587,9,2,0.14999999,0.14999999,,-111.68746,3.9095974,-0.56664103,4.8885067E-31,676.5695,4.2071075E-05,17,8500,111.68746,39.798206,1,-1.2141972,594.0721,,17,2,-38.833088,-30.267786,,4.7175247669
-0.85285074,,566.6587,9,4,0.14999999,0.14999999,,-111.68746,6.6209307,-0.62379944,,704.0882,3.7526363E-05,18,9000,111.68746,39.116013,1,-1.2095971,544.59753,,18,2,-38.150894,-26.553629,,5.0824358463
-4.6010365,,566.6587,9,,0.14999999,0.14999999,,-111.68746,3.7199495,-0.67786664,,812.39307,3.368017E-05,9.5,9500,111.68746,42.757526,1,-1.402834,442.89172,,19,4,-41.792408,-107.33968,,5.4114151001
-2.3351185,,566.6587,9,,0.14999999,0.14999999,,-111.68746,2.0298004,-0.72915995,5.908749E-26,813.3785,3.0396353E-05,10,10000,111.68746,40.668922,1,-1.4576304,445.08118,,20,2,-39.703804,-0.02027541,,5.7650370598
-0.0018366913,,566.6587,9,2,0.14999999,0.14999999,,-111.68746,3.9988742,-0.7779501,1.2627982E-37,814.34674,2.7570388E-05,10.500001,10500,111.68746,38.778416,1,-1.396158,417.74347,,21,2,-37.813297,-0.0031635868,,6.0820577145
-0.25087532,,566.6587,9,2,0.14999999,0.14999999,1.5262611E-30,-111.68746,1.6882696,-0.8244701,9.263612E-36,839.7238,0.000025121,11.000001,11000,111.68746,38.169262,1.0000001,-1.3516446,418.1443,,22,,-37.204144,-24.411926,,6.3569059372
-1.2734138,,566.6587,9,2,0.14999999,0.14999999,,-111.68746,6.245867,-0.8689219,,860.64935,0.000022984,11.5,11500,111.68746,37.419537,1,-1.3555046,416.4748,,23,4,-36.45442,-19.96045,,6.6395859718
-0.80314064,,566.6587,9,,0.14999999,0.14999999,6.7722044,-111.68746,0.08200282,-0.9114815,,894.0248,2.110858E-05,11.640253,12000,111.68746,37.25103,1.0764765,-1.339487,412.36133,,24,,-36.28591,-32.410275,,6.9621527195
-4.3647814,,566.6587,9,,0.14999999,0.14999999,,-111.68746,4.151118,-0.7037455,,895.17334,1.9453666E-05,8.333334,12500,111.68746,35.80693,1.0000001,-1.4631493,371.1259,,25,4,-34.841812,-0.1834601,,7.3242926598
-0.16917965,,566.6587,9,,0.14999999,0.14999999,,-111.68746,1.7877505,-0.74296623,,896.16895,0.000017986,8.666668,13000,111.68746,34.468033,1.0000001,-1.4178993,372.46375,,26,2,-33.502914,-0.030429455,,7.6312446594
-0.9790705,,566.6587,9,4,0.14999999,0.14999999,,-111.68746,8.06583,-0.7807065,,897.1349,1.6678383E-05,13.500001,13500,111.68746,33.22722,1.0000001,-1.4060242,360.23975,,27,4,-32.2621,-0.0009151378,,7.9720351696
-1.2692295,,566.6587,16,2.6666667,0.14999999,0.14999999,,-111.68746,5.426899,-0.8170742,9.145705E-36,999.43085,9.122555E-06,3.5221249E-06,14000,111.68746,35.69396,1.267015E-07,-1.4072458,145495770000,,28,2.6666667,-34.72884,-101.330765,,8.2583796978
-2.6051672,,566.6587,16,2.6666667,0.14999999,0.14999999,,-111.68746,4.1197534,-0.8521655,1.3941327E-13,1053.7185,8.504261E-06,1.5694696E-06,14500,111.68746,36.335117,5.431319E-08,-1.4824346,145934500000,,29,1.3333334,-35.37,-53.322624,,8.9495539665
-2.512873,,566.6587,16,1.3333334,0.14999999,0.14999999,,-111.68746,4.190852,-0.88606703,,1103.9508,7.94676E-06,1.6153808E-05,15000,111.68746,36.79836,5.4250233E-07,-1.5495542,146357650000,,30,2.6666667,-35.83324,-49.267155,,9.1661634445
-3.2973964,,566.6587,16,1.3333334,0.14999999,0.14999999,4.0533058E-29,-111.68746,2.9959888,-0.91885686,2.9560593E-14,1120.4319,7.4423347E-06,3.97083E-07,15500,111.68746,36.142963,1.3724584E-08,-1.6376681,146765200000,,31,1.3333334,-35.177845,-15.51593,,9.4985160828
-2.7741263,,566.6587,16,4,0.14999999,0.14999999,,-111.68746,6.64416,-0.9506056,,1133.8458,6.984457E-06,4.1929317,16000,111.68746,35.432682,0.13218544,-1.703939,9257764,,32,2.6666667,-34.467564,-12.448821,,9.7373845577
-1.6775136,,566.6587,16,4,0.14999999,0.14999999,,-111.68746,5.482644,-0.98137724,1.1363479E-14,1240.8278,6.5675695E-06,1.8802239E-05,16500,111.68746,37.600838,5.742168E-07,-1.7292113,9281709,,33,1.3333334,-36.63572,-106.016685,,9.9549608231
