Regret/t,LQGmu1_actor,Iteration,LQGsigma_higher,ReturnLastEpisode,ReturnMean,Regret,LQGmu1_higher
0.053192113530695195,-0.894273,1,0.14999999,17.296807886469306,0.9917894430314969,0.053192113530695195,-1.0
0.10406737341141437,-1.0558555,2,0.14999999,17.195057366707868,0.9888722836346666,0.20813474682282873,-0.97979796
0.09801611468331473,-0.9309778,3,0.14999999,17.264086402772886,0.9892192594791678,0.2940483440499442,-0.959596
0.0821865621986353,-0.8667369,4,0.14999999,17.315302095255404,0.9901269173051241,0.3287462487945412,-0.93939394
0.09563215533155685,-1.0568889,5,0.14999999,17.20058547213676,0.9893559543961263,0.4781607766577842,-0.9191919
0.08020786690856596,-0.7829637,6,0.14999999,17.34691357520639,0.9902403746038666,0.48124720145139577,-0.8989899
0.06993802175810059,-0.7940599,7,0.14999999,17.341681049144693,0.9908292418716685,0.4895661523067041,-0.8787879
0.07187544043971394,-0.92402107,8,0.14999999,17.264562628788994,0.9907181513509339,0.5750035235177116,-0.85858583
0.05971584953648682,-0.66958416,9,0.14999999,17.38756087768933,0.9914153755999722,0.5374426458283814,-0.83838385
0.06653051250541005,-0.9731585,10,0.14999999,17.222137520774282,0.9910246265765247,0.6653051250541004,-0.8181818
0.058465067788445874,-0.76055676,11,0.14999999,17.372189379381197,0.9914870947369011,0.6431157456729046,-0.7979798
0.06605626980631325,-1.057641,12,0.14999999,17.200440507997147,0.99105181939184,0.7926752376757591,-0.7777778
0.059706118124347216,-0.7580978,13,0.14999999,17.366495702059247,0.9914159335937875,0.7761795356165138,-0.75757575
0.054752040593496636,-0.5682675,14,0.14999999,17.359650967307562,0.9916999976723914,0.7665285683089529,-0.7373737
0.05111578363415248,-0.79238987,15,0.14999999,17.349791813796667,0.9919084986448308,0.7667367545122872,-0.7171717
0.04693052053420921,-0.7594442,16,0.14999999,17.36584842596494,0.992148479327167,0.7508883285473473,-0.6969697
0.04215982706650077,-0.74272853,17,0.14999999,17.384171268416836,0.9924220282645355,0.7167170601305131,-0.67676765
0.039391876050608426,-0.7834378,18,0.14999999,17.357663291219563,0.9925807410521439,0.7090537689109517,-0.65656567
0.038052730767162195,-0.41647226,19,0.14999999,17.33605188433487,0.9926575269055525,0.7230018845760817,-0.6363636
0.041182437985439614,-0.9506092,20,0.14999999,17.24935312486729,0.9924780712164312,0.8236487597087923,-0.61616164
0.03786088694460637,-0.42559996,21,0.14999999,17.37857013387206,0.9926685271247357,0.7950786258367337,-0.5959596
0.040271356576553945,-0.38854584,22,0.14999999,17.25910878115255,0.9925303121229039,0.8859698446841868,-0.57575756
0.03740187103953752,-0.5621604,23,0.14999999,17.375726810774825,0.9926948468440631,0.860243033909363,-0.5555556
0.056269980396463914,-0.22178712,24,0.14999999,16.85976350439423,0.9916129598396521,1.350479529515134,-0.53535354
0.060843415567970995,-0.28161016,25,0.14999999,17.17939414031586,0.9913507215844052,1.5210853891992748,-0.5151515
0.06224141407262966,-0.3446924,26,0.14999999,17.252808623310905,0.9912705611196885,1.6182767658883712,-0.4949495
0.061753190869810716,-0.35436076,27,0.14999999,17.300940612403483,0.9912985555693915,1.6673361534848894,-0.47474748
0.058011076970059125,-0.52241796,28,0.14999999,17.393025998323235,0.991513126320524,1.6243101551616554,-0.45454547
0.057942901260388854,-0.3819112,29,0.14999999,17.29396601861038,0.9915170354781886,1.6803441365512768,-0.43434343
0.05645743620975357,-0.40509194,30,0.14999999,17.33662105025867,0.9916022112265049,1.6937230862926071,-0.41414142
0.05358920663016408,-0.6521001,31,0.14999999,17.382457680757522,0.9917666739317567,1.6612654055350866,-0.3939394
0.05557277450282738,-0.3528578,32,0.14999999,17.232936621444612,0.9916529372418104,1.7783287840904762,-0.37373737
0.05352445542659626,-0.45764446,33,0.14999999,17.3620217550128,0.9917703867301263,1.7663070290776766,-0.35353535
0.05576663041194904,-0.3072481,34,0.14999999,17.22024159507141,0.9916418216506909,1.8960654340062675,-0.33333334
0.0526659682067479,-0.44800445,35,0.14999999,17.402756546770092,0.9918196119147505,1.8433088872361765,-0.3131313
0.05431014044431463,-0.40101188,36,0.14999999,17.23814383124085,0.9917253359836974,1.9551650559953266,-0.2929293
0.0775522097064132,-0.15995653,37,0.14999999,16.43573329685804,0.9903926485260083,2.8694317591372887,-0.27272728
0.07455913753576472,-0.6510155,38,0.14999999,17.38618453277823,0.9905642696367105,2.8332472263590596,-0.25252524
0.07262162120455912,-0.50379413,39,0.14999999,17.351003999381255,0.9906753657566191,2.8322432269778055,-0.23232323
0.08814318359585523,-0.16459487,40,0.14999999,16.656515883143598,0.9897853679130815,3.525727343834209,-0.21212122
0.08980246599511212,-0.34782386,41,0.14999999,17.193826238034614,0.9896902255736746,3.6819011057995965,-0.1919192
0.12069586526785632,-0.11661276,42,0.14999999,15.962674764549632,0.9879188150649163,5.069226341249966,-0.17171717
0.11960130101490192,-0.36258847,43,0.14999999,17.276370397609185,0.9879815767766683,5.142855943640782,-0.15151516
0.1613057834776568,-0.07440193,44,0.14999999,15.395401470623884,0.9855902647088498,7.097454473016899,-0.13131313
0.17804150649554454,-0.15869918,45,0.14999999,16.435586680717396,0.9846306475633287,8.011867792299505,-0.11111111
0.33709098201209137,-0.0061022416,46,0.14999999,9.855682619743304,0.97551083818738,15.506185172556203,-0.09090909
0.35137082309661716,-0.14453045,47,0.14999999,16.341756487015196,0.9746920399600563,16.514428685541006,-0.07070707
0.34777937158119476,-0.33001813,48,0.14999999,17.17101884964366,0.9748979718130047,16.69340983589735,-0.05050505
