Regret/t,LQGmu1_actor,Regret,LQGmu1_higher,LQGsigma_higher,ReturnLastEpisode,Iteration,ReturnMean
0.1536321761572097,-1.0071009,0.1536321761572097,-1.0,0.14999999,17.19636782384279,1,0.9860302651286004
0.14657715422877793,-0.9866498,0.29315430845755586,-0.97979796,0.14999999,17.210477867699655,2,0.9864347962024783
0.09990311418349762,-0.8128973,0.29970934255049286,-0.959596,0.14999999,17.343444965907064,3,0.9891110599665426
0.0689815993247791,-0.6649207,0.2759263972991164,-0.93939394,0.14999999,17.373782945251378,4,0.9908840826075241
0.08525452069990251,-0.9989539,0.42627260349951257,-0.9191919,0.14999999,17.199653793799605,5,0.9899510022534459
0.06456177739447296,-0.7284756,0.38737066436683776,-0.8989899,0.14999999,17.388901939132676,6,0.9911375127640784
0.05984743718333314,-0.85958576,0.41893206028333196,-0.8787879,0.14999999,17.318438604083507,7,0.9914078304367354
0.051059746885677715,-0.78864014,0.4084779750854217,-0.85858583,0.14999999,17.36045408519791,8,0.9919117117611423
0.05441066040113382,-0.93193865,0.4896959436102044,-0.83838385,0.14999999,17.26878203147522,9,0.9917195722247057
0.048331578812296175,-0.7882544,0.4833157881229617,-0.8181818,0.14999999,17.356380155487244,10,0.9920681434167262
0.04456128040667002,-0.7949422,0.4901740844733702,-0.7979798,0.14999999,17.343141703649593,11,0.9922843302519112
0.04343460440988315,-0.85228294,0.5212152529185978,-0.7777778,0.14999999,17.318958831554774,12,0.9923489332333784
0.040859350108188044,-0.8207175,0.5311715514064446,-0.75757575,0.14999999,17.340043701512155,13,0.9924965968974664
0.041039996570912,-0.840246,0.574559951992768,-0.7373737,0.14999999,17.306611599413678,14,0.9924862387287322
0.03615390407252169,-0.60466653,0.5423085610878253,-0.7171717,0.14999999,17.382251390904944,15,0.9927664045829977
0.032492957082495,-0.60924935,0.51988731331992,-0.6969697,0.14999999,17.372421247767907,16,0.9929763212682057
0.03671119869080767,-0.3144011,0.6240903777437303,-0.67676765,0.14999999,17.24579693557619,17,0.9927344496163528
0.0328787024655581,-0.5573363,0.5918166443800459,-0.65656567,0.14999999,17.382273733363686,18,0.9929542028402777
0.03209007210622928,-0.8468041,0.6097113700183563,-0.6363636,0.14999999,17.33210527436169,19,0.9929994224709733
0.042636306549596624,-0.26242286,0.8527261309919325,-0.61616164,0.14999999,17.106985239026425,20,0.9923947071932572
0.039983501943059,-0.6226403,0.8396535408042389,-0.5959596,0.14999999,17.363072590187695,21,0.9925468175491365
0.0348383297928732,-0.578136,0.7664432554432103,-0.57575756,0.14999999,17.42321028536103,22,0.9928418388880235
0.03112848511782836,-0.56158054,0.7159551577100522,-0.5555556,0.14999999,17.40048809773316,23,0.9930545593395742
0.030226170839850575,-0.4595153,0.7254281001564138,-0.53535354,0.14999999,17.34052705755364,24,0.9931062975435867
0.027588122397862236,-0.56027067,0.6897030599465559,-0.5151515,0.14999999,17.38572504020986,25,0.9932575617891135
0.025529432198165017,-0.49332014,0.6637652371522904,-0.4949495,0.14999999,17.375937822794267,26,0.9933756059519402
0.02767047621623267,-0.39817324,0.7471028578382821,-0.47474748,0.14999999,17.26666237931401,27,0.9932528396665006
0.02731169470069807,-0.50976455,0.7647274516195459,-0.45454547,0.14999999,17.332375406218738,28,0.993273412001107
0.025824798760805612,-0.51444423,0.7489191640633628,-0.43434343,0.14999999,17.365808287556185,29,0.9933586697958255
0.21990536709812664,-0.01736334,6.597161012943799,-0.41414142,0.14999999,11.501758151119565,30,0.9822301968407039
0.2163435881902877,-0.35279396,6.706651233898919,-0.3939394,0.14999999,17.24050977904488,31,0.9824344272826672
0.2127688004267318,-0.38355803,6.8086016136554175,-0.37373737,0.14999999,17.248049620243503,32,0.9826394036452564
0.21548348197099032,-0.27564618,7.11095490504268,-0.35353535,0.14999999,17.04764670861274,33,0.9824837452998288
0.2074416393753486,-0.48664224,7.053015738761852,-0.33333334,0.14999999,17.40793916628083,34,0.9829448601275605
0.22872284056172656,-0.13544355,8.00529941966043,-0.3131313,0.14999999,16.397716319101423,35,0.9817246077659564
0.22343428861280237,-0.3947414,8.043634390060886,-0.2929293,0.14999999,17.311665029599546,36,0.9820278504235781
0.2196632991863561,-0.42271286,8.127542069895176,-0.27272728,0.14999999,17.26609232016571,37,0.9822440768815165
0.25608302360554536,-0.094386205,9.731154897010724,-0.25252524,0.14999999,15.746387172884454,38,0.9801557899308748
0.2631195497658944,-0.21953407,10.261662440869882,-0.23232323,0.14999999,16.819492456140843,39,0.9797523193941575
0.2698641484888544,-0.21103436,10.794565939554177,-0.21212122,0.14999999,16.817096501315707,40,0.9793655878160061
0.26889198239264306,-0.28925622,11.024571278098366,-0.1919192,0.14999999,17.119994661455813,41,0.9794213312848257
0.2666898423805258,-0.28396818,11.200973379982083,-0.17171717,0.14999999,17.173597898116284,42,0.9795476007809333
0.33229637721192734,-0.056632593,14.288744220112875,-0.15151516,0.14999999,14.262229159869209,43,0.9757857581873897
0.3306478116740364,-0.30118173,14.548503713657603,-0.13131313,0.14999999,17.090240506455274,44,0.975880286027865
0.3406062378477419,-0.17222679,15.327280703148386,-0.11111111,0.14999999,16.571223010509218,45,0.9753092753527672
0.5153564106286654,0.12121135,23.70639488891861,-0.09090909,0.14999999,8.97088581422978,46,0.9652891966382647
0.5448015847116646,-0.099825524,25.605674481448236,-0.07070707,0.14999999,15.450720407470374,47,0.9636008265646983
0.6913101020513664,0.009875543,33.18288489846559,-0.05050505,0.14999999,9.772789582982654,48,0.95520010882733
