Iteration,Regret,LQGmu1_higher,LQGmu1_actor,LQGsigma_higher,ReturnMean,ReturnLastEpisode,Regret/t
1,0.14724765063404988,-1.0,-1.1392742,0.14999999,0.9863963503076806,17.20275234936595,0.14724765063404988
2,0.1656233754384253,-0.97979796,-0.83061254,0.14999999,0.9900910729518799,17.331624275195626,0.08281168771921266
3,0.32009172004031683,-0.959596,-1.1217386,0.14999999,0.9887214885313395,17.19553165539811,0.10669724001343894
4,0.38061785470315,-0.93939394,-0.8994994,0.14999999,0.9893833449727186,17.28947386533717,0.0951544636757875
5,0.5319639225303021,-0.9191919,-1.0572116,0.14999999,0.9887389458425424,17.19865393217285,0.10639278450606042
6,0.6259596063507367,-0.8989899,-0.9357937,0.14999999,0.9888574196640794,17.256004316179567,0.1043266010584561
7,0.6433379115252436,-0.8787879,-0.82900757,0.14999999,0.9895696435818706,17.332621694825495,0.09190541593217764
8,0.7289350916381103,-0.85858583,-0.9329372,0.14999999,0.9896148574280526,17.264402819887135,0.09111688645476379
9,0.7624105449402521,-0.83838385,-0.845228,0.14999999,0.9899820938778016,17.31652454669786,0.08471228277113912
10,0.8490897569997955,-0.8181818,-0.93112594,0.14999999,0.9899708156135333,17.263320787940458,0.08490897569997954
11,0.806609386571715,-0.7979798,-0.7152275,0.14999999,0.9906348551575703,17.392480370428082,0.07332812605197409
12,0.7887565408124892,-0.7777778,-0.7596556,0.14999999,0.9910705440519281,17.367852845759227,0.0657297117343741
13,0.9131258959076369,-0.75757575,-0.9762649,0.14999999,0.9908119006002661,17.225630644904854,0.07024045353135669
14,0.9098387162238204,-0.7373737,-0.8021358,0.14999999,0.9911130458870255,17.353287179683818,0.06498847973027289
15,0.881976110664553,-0.7171717,-0.60583,0.14999999,0.9914679812283465,17.37786260555927,0.05879840737763686
16,0.8584163208898481,-0.6969697,-0.722674,0.14999999,0.991763129583967,17.373559789774706,0.053651020055615506
17,0.8246546574827605,-0.67676765,-0.6121111,0.14999999,0.9920579645929479,17.38376166340709,0.04850909749898591
18,0.7789934777588883,-0.65656567,-0.6327966,0.14999999,0.9923579463628985,17.395661179723874,0.04327741543104935
19,0.7542990948979664,-0.6363636,-0.5839393,0.14999999,0.9925630761259718,17.374694382860923,0.039699952363050864
20,0.7151333200208079,-0.61616164,-0.5850613,0.14999999,0.9927891819953532,17.38916577487716,0.035756666001040396
21,0.7174937870182028,-0.5959596,-0.4921034,0.14999999,0.9928803686461931,17.347639533002607,0.03416637081039061
22,0.76458633752301,-0.57575756,-0.3753242,0.14999999,0.9928466786449046,17.302907449495194,0.03475392443286409
23,0.7113343753371666,-0.5555556,-0.62605333,0.14999999,0.9930660790403442,17.403251962185845,0.030927581536398546
24,0.6799312220489249,-0.53535354,-0.6243144,0.14999999,0.9932149961246921,17.381403153288243,0.02833046758537187
25,0.6631331463231689,-0.5151515,-0.69278216,0.14999999,0.9933185019579744,17.366798075725757,0.026525325852926756
26,0.6659919075222724,-0.4949495,-0.7833295,0.14999999,0.9933706953345046,17.347141238800898,0.025615073366241248
27,0.6431683003370132,-0.47474748,-0.4918966,0.14999999,0.9934735637522576,17.37282360718526,0.023821048160630118
28,0.7755307613926732,-0.45454547,-0.3485609,0.14999999,0.9932512885784063,17.21763753894434,0.02769752719259547
29,0.8200484934472705,-0.43434343,-0.3686238,0.14999999,0.9932180312926145,17.305482267945404,0.02827753425680243
