LQGsigma_higher,Regret,LQGmu1_actor,Iteration,ReturnMean,LQGmu1_higher,TimeElapsed,Regret/t,ReturnLastEpisode
0.14999999,0.008752584211654035,-1.0831033,1,0.9563674157883459,-1.0,0.14205145835876465,0.008752584211654035,0.9563674157883459
0.14999999,0.017567085813135486,-1.1071414,2,0.9563364570934323,-0.97979796,0.15576410293579102,0.008783542906567743,0.9563054983985185
0.14999999,0.026047203090055815,-1.182313,3,0.9564375989699814,-0.959596,0.1832432746887207,0.008682401030018605,0.9566398827230796
0.14999999,0.034894952339152296,-1.0692216,4,0.9563962619152119,-0.93939394,0.21538114547729492,0.008723738084788074,0.9562722507509035
0.14999999,0.04362043573772034,-0.80412304,5,0.9563959128524558,-0.9191919,0.24423742294311523,0.00872408714754407,0.9563945166014319
0.14999999,0.052648696587857424,-1.0753883,6,0.956345217235357,-0.8989899,0.2769186496734619,0.008774782764642905,0.9560917391498629
0.14999999,0.06145446719646808,-0.7631799,7,0.9563407904005045,-0.8787879,0.306812047958374,0.008779209599495439,0.9563142293913893
0.14999999,0.06987357645967718,-0.7235091,8,0.9563858029425403,-0.85858583,0.32816267013549805,0.008734197057459647,0.9567008907367909
0.14999999,0.07855662778341621,-0.7495827,9,0.9563914858018426,-0.83838385,0.35489630699157715,0.008728514198157357,0.956436948676261
0.14999999,0.08718935602537692,-1.0435493,10,0.9564010643974623,-0.8181818,0.37350988388061523,0.008718935602537692,0.9564872717580393
0.14999999,0.09575209407529961,-0.7124651,11,0.9564152641749728,-0.7979798,0.3912477493286133,0.008704735825027237,0.9565572619500773
0.14999999,0.10419159984050075,-0.7692355,12,0.9564373666799583,-0.7777778,0.4171018600463867,0.00868263332004173,0.9566804942347988
0.14999999,0.11291655609436169,-0.80590487,13,0.9564341110696646,-0.75757575,0.44526195526123047,0.008685888930335514,0.956395043746139
0.14999999,0.12132994152853194,-0.6455825,14,0.9564535756051049,-0.7373737,0.4647254943847656,0.008666424394895138,0.9567066145658297
0.14999999,0.12980646624186287,-0.6070318,15,0.9564662355838759,-0.7171717,0.48453378677368164,0.008653764416124192,0.956643475286669
0.14999999,0.1387173393629625,-0.5650717,16,0.9564501662898148,-0.6969697,0.5035817623138428,0.008669833710185156,0.9562091268789004
0.14999999,0.14729175771677971,-0.88488805,17,0.9564557789578364,-0.67676765,0.5214214324951172,0.008664221042163512,0.9565455816461828
0.14999999,0.15585755062280005,-0.7385891,18,0.9564612471876222,-0.65656567,0.5401630401611328,0.00865875281237778,0.9565542070939796
0.14999999,0.164479160809887,-0.74704766,19,0.9564632020626376,-0.6363636,0.5552988052368164,0.008656797937362473,0.956498389812913
0.14999999,0.1729289954954234,-0.79813606,20,0.9564735502252288,-0.61616164,0.5754969120025635,0.00864644977477117,0.9566701653144636
0.14999999,0.1816385123090637,-0.72459066,21,0.9564705470329018,-0.5959596,0.5914335250854492,0.008649452967098271,0.9564104831863597
0.14999999,0.19002223962386267,-0.5267315,22,0.9564826254716426,-0.57575756,0.6136722564697266,0.008637374528357394,0.956736272685201
