LQGsigma_higher,ReturnLastEpisode,Regret/t,TimeElapsed,LQGmu1_actor,Iteration,LQGmu1_higher,ReturnMean,Regret
0.14999999,0.9463060392293517,0.01881396077064823,0.14393162727355957,-0.8852609,1,-1.0,0.9463060392293517,0.01881396077064823
0.14999999,0.9412629164453677,0.02133552216264023,0.16687536239624023,-1.2463037,2,-0.97979796,0.9437844778373597,0.04267104432528046
0.14999999,0.9470078921700841,0.020261050718398788,0.19342756271362305,-0.7872597,3,-0.959596,0.9448589492816012,0.06078315215519636
0.14999999,0.9471707464048584,0.019683101437584477,0.2179110050201416,-0.82759696,4,-0.93939394,0.9454368985624155,0.07873240575033791
0.14999999,0.9440374862359965,0.01996298390286828,0.24321460723876953,-1.0833967,5,-0.9191919,0.9451570160971317,0.0998149195143414
0.14999999,0.9431493613137816,0.020297593033426636,0.27341389656066895,-1.1622192,6,-0.8989899,0.9448224069665733,0.12178555820055981
0.14999999,0.9459484376129403,0.020136731512517065,0.3007054328918457,-0.97406256,7,-0.8787879,0.9449832684874828,0.14095712058761944
0.14999999,0.9454300923382098,0.020080878531176197,0.32874226570129395,-0.98768103,8,-0.85858583,0.9450391214688237,0.16064702824940957
0.14999999,0.9451062619783736,0.020073418474559554,0.35260534286499023,-0.985989,9,-0.83838385,0.9450465815254403,0.180660766271036
0.14999999,0.9450890691890744,0.020069169708196156,0.3786749839782715,-0.9902723,10,-0.8181818,0.9450508302918038,0.20069169708196155
0.14999999,0.9471150459450312,0.019881513739720944,0.40799736976623535,-0.84676623,11,-0.7979798,0.9452384862602791,0.21869665113693038
0.14999999,0.9475319510081791,0.019690391677395936,0.4359571933746338,-0.6696952,12,-0.7777778,0.945429608322604,0.23628470012875125
0.14999999,0.9461163549465741,0.019637565014013626,0.46373796463012695,-0.95425045,13,-0.75757575,0.9454824349859863,0.25528834518217713
0.14999999,0.9478561779239049,0.019468011947019446,0.4862635135650635,-0.590381,14,-0.7373737,0.9456519880529805,0.27255216725827225
0.14999999,0.9474718272992302,0.019346689330602802,0.5165462493896484,-0.66332895,15,-0.7171717,0.9457733106693971,0.29020033995904204
0.14999999,0.9475240940613521,0.01923726536860562,0.53981614112854,-0.7501762,16,-0.6969697,0.9458827346313943,0.30779624589768995
0.14999999,0.9481705532405095,0.019102687803363556,0.561424732208252,-0.69787645,17,-0.67676765,0.9460173121966363,0.32474569265718045
0.14999999,0.9479774435903583,0.018993791614823452,0.5797955989837646,-0.5216509,18,-0.65656567,0.9461262083851764,0.34188824906682214
0.14999999,0.9478262077417298,0.018904317964478546,0.5980377197265625,-0.7474143,19,-0.6363636,0.9462156820355213,0.35918204132509235
0.14999999,0.9474375771651934,0.018843223207994947,0.6175622940063477,-0.6242647,20,-0.61616164,0.9462767767920048,0.37686446415989894
0.14999999,0.9473342249713808,0.01879286853278658,0.6359536647796631,-0.74736285,21,-0.5959596,0.9463271314672133,0.39465023918851816
0.14999999,0.9476833177652831,0.018731223701056135,0.6572260856628418,-0.6465994,22,-0.57575756,0.9463887762989437,0.412086921423235
0.14999999,0.9459793038635996,0.018749026850418928,0.6789751052856445,-0.36551186,23,-0.5555556,0.9463709731495809,0.43122761755963535
0.14999999,0.9476333930808035,0.018696426019951324,0.7084560394287109,-0.59287745,24,-0.53535354,0.9464235739800485,0.4487142244788318
0.14999999,0.947525868945911,0.018652334221316832,0.7395660877227783,-0.43759272,25,-0.5151515,0.9464676657786829,0.4663083555329208
0.14999999,0.9485022060562482,0.018574082672179713,0.7878584861755371,-0.63786334,26,-0.4949495,0.94654591732782,0.48292614947667256
0.14999999,0.9470498831629575,0.018555417270878335,0.8210229873657227,-0.35248065,27,-0.47474748,0.9465645827291214,0.5009962663137151
0.14999999,0.9461491638061611,0.01857025366098407,0.844846248626709,-0.39402473,28,-0.45454547,0.9465497463390157,0.519967102507554
0.14999999,0.947807628374903,0.018526878418367275,0.8718576431274414,-0.56320727,29,-0.43434343,0.9465931215816326,0.537279474132651
0.14999999,0.9440684546003109,0.018611033984411336,0.894639253616333,-0.22247231,30,-0.41414142,0.9465089660155885,0.5583310195323401
0.14999999,0.943426075757806,0.018710482057243034,0.9253518581390381,-0.27587,31,-0.3939394,0.9464095179427569,0.5800249437745341
0.14999999,0.9471720274003834,0.018686653636692207,0.9556376934051514,-0.6956626,32,-0.37373737,0.9464333463633077,0.5979729163741506
0.14999999,0.9469630630023924,0.018670601617326005,0.9774880409240723,-0.3217945,33,-0.35353535,0.9464493983826738,0.6161298533717582
0.14999999,0.9476894829398901,0.018634128542113767,1.0095667839050293,-0.37748307,34,-0.33333334,0.9464858714578862,0.6335603704318681
0.14999999,0.9213760655221535,0.01935155156884899,1.0370519161224365,-0.048327833,35,-0.3131313,0.945768448431151,0.6773043049097146
0.14999999,0.9483778054650855,0.019279069429017474,1.062675952911377,-0.43385345,36,-0.2929293,0.9458409305709825,0.694046499444629
0.14999999,0.9478709585910545,0.019224203806853364,1.0873267650604248,-0.62741804,37,-0.27272728,0.9458957961931466,0.7112955408535745
0.14999999,0.9456885380157946,0.01922965796941526,1.1247999668121338,-0.3886045,38,-0.25252524,0.9458903420305846,0.7307270028377799
0.14999999,0.8758244002548656,0.021026220579049085,1.146759033203125,-0.052892134,39,-0.23232323,0.9440937794209509,0.8200226025829143
0.14999999,0.9469240031822617,0.020955464985016315,1.1844723224639893,-0.3618974,40,-0.21212122,0.9441645350149835,0.8382185994006526
0.14999999,0.9389788114748326,0.021081946046971216,1.206627368927002,-0.16563696,41,-0.1919192,0.9440380539530286,0.8643597879258199
