LQGmu1_actor,Regret/t,TimeElapsed,LQGsigma_higher,LQGmu1_higher,Iteration,ReturnLastEpisode,ReturnMean,Regret
-0.81994516,0.009000263516111273,0.3242201805114746,0.14999999,-1.0,1,0.9561197364838887,0.9561197364838887,0.009000263516111273
-1.116571,0.009202253774967084,0.3568122386932373,0.14999999,-0.97979796,2,0.9557157559661771,0.9559177462250329,0.018404507549934168
-1.0585846,0.009290106217432573,0.38570523262023926,0.14999999,-0.959596,3,0.9556541888976364,0.9558298937825674,0.02787031865229772
-0.7840565,0.009242864192228722,0.41544675827026367,0.14999999,-0.93939394,4,0.9560188618833828,0.9558771358077712,0.03697145676891489
-0.89920825,0.009232933489350902,0.4474341869354248,0.14999999,-0.9191919,5,0.9559267893221604,0.9558870665106489,0.046164667446754515
-0.90299886,0.009167629754854467,0.4808475971221924,0.14999999,-0.8989899,6,0.9562788889176277,0.9559523702451455,0.0550057785291268
-0.78467095,0.009133731599803383,0.5107111930847168,0.14999999,-0.8787879,7,0.9561896573305031,0.9559862684001965,0.06393612119862369
-0.9332377,0.009098503202383104,0.5427565574645996,0.14999999,-0.85858583,8,0.9562680955795588,0.9560214967976168,0.07278802561906483
-0.5822705,0.009082635970195367,0.5713531970977783,0.14999999,-0.83838385,9,0.9561643018873065,0.9560373640298047,0.08174372373175831
-0.9413733,0.009086447703189149,0.6246442794799805,0.14999999,-0.8181818,10,0.9559992466998668,0.9560335522968109,0.09086447703189149
-1.0048747,0.009085035676957398,0.6651017665863037,0.14999999,-0.7979798,11,0.9560490845853601,0.9560349643230425,0.09993539244653138
-0.8453814,0.009095229492740312,0.6979224681854248,0.14999999,-0.7777778,12,0.9559126385336476,0.9560247705072595,0.10914275391288375
-1.0334072,0.009146507954370263,0.7338361740112305,0.14999999,-0.75757575,13,0.9553581505060703,0.9559734920456295,0.11890460340681341
-0.85244346,0.009142389662535111,0.7540340423583984,0.14999999,-0.7373737,14,0.9560311481313218,0.9559776103374648,0.12799345527549155
-0.55346775,0.009155004063425258,0.8046057224273682,0.14999999,-0.7171717,15,0.9557883943241127,0.9559649959365746,0.13732506095137886
-0.5601799,0.009141286848231032,0.8518533706665039,0.14999999,-0.6969697,16,0.9561844713796823,0.9559787131517689,0.14626058957169652
-0.6734517,0.009141115546721205,0.9053921699523926,0.14999999,-0.67676765,17,0.955981625277436,0.9559788844532787,0.15539896429426048
-0.86726356,0.009150108987206751,0.9722435474395752,0.14999999,-0.65656567,18,0.9558170025245389,0.9559698910127933,0.16470196176972152
-0.66370213,0.009138498256902862,1.0145769119262695,0.14999999,-0.6363636,19,0.9561904948885671,0.9559815017430972,0.17363146688115438
-0.6757284,0.009139046593291473,1.0881929397583008,0.14999999,-0.61616164,20,0.9559705350153249,0.9559809534067085,0.18278093186582944
-0.7363278,0.00913166073900985,1.1641533374786377,0.14999999,-0.5959596,21,0.9561360563466226,0.9559883392609901,0.19176487551920685
-0.77979904,0.009129373023230237,1.2244977951049805,0.14999999,-0.57575756,22,0.9560386690081416,0.9559906269767697,0.20084620651106522
-0.21730411,0.009151437195038052,1.284088373184204,0.14999999,-0.5555556,23,0.95548315102519,0.955968562804962,0.2104830554858752
-0.69722146,0.009146243009478092,1.3893306255340576,0.14999999,-0.53535354,24,0.956093223258401,0.9559737569905219,0.21950983222747422
-0.4602491,0.009141897291194207,1.4636266231536865,0.14999999,-0.5151515,25,0.956082399947619,0.9559781027088057,0.2285474322798552
-0.6232444,0.009128818150823358,1.5729730129241943,0.14999999,-0.4949495,26,0.9563181603584479,0.9559911818491765,0.2373492719214073
-0.75342983,0.00912841424991178,1.6198937892913818,0.14999999,-0.47474748,27,0.9560020871737892,0.9559915857500881,0.24646718474761808
-0.507788,0.009131486574767077,1.6700379848480225,0.14999999,-0.45454547,28,0.9559055606541399,0.9559885134252328,0.25568162409347817
-0.19875361,0.00914165026852121,1.7107834815979004,0.14999999,-0.43434343,29,0.955693766306363,0.9559783497314788,0.2651078577871151
