TimestepsSoFar,Regret,IWMean,MinEpLen,Delta,ReturnMean,DenMISEMeanLog,ReturnStepMax,BoundBonus,NumTrainableParams,MountainCar_mu1_higher,DenMISELogLast,TimeElapsed,IWMax,DenMISELogFirst,ReturnMin,AvgEpLen,IWLastEpisode,ActionIn1,IWMin,MountainCar_std1_higher,ReturnAbsMax,GridSize,NumTrajectories,Iteration,IWFirstEpisode,MountainCar_std0_higher,MountainCar_mu0_higher,Bound,BoundMISE,Regret/t,ReturnLastEpisode,ReturnMax
999,14.610646,0.120682165,999,0.060792707,-9.610646,-0.90657604,9.610646,61.79007,2,,-0.90657604,0.440701961517334,0.120682165,-0.90657604,-9.610646,999.0,0.120682165,0.05673206,,1.5,9.610646,1,1,1,0.120682165,0.14999999,-1.0,60.630238,-1.1598336,14.610646,-9.610646,
1998,42.075356,1.2105404e-27,999,0.0060792705,-16.037678,-1.4298,22.46471,inf,,,-1.3738145,1.0140368938446045,2.4210808e-27,-1.4857856,-22.46471,999.0,,-0.28105652,,1.5,22.46471,4,2,2,2.4210808e-27,0.14999999,1.0,inf,-1.1634075e-26,21.037678,-22.46471,
2997,92.70898,6.889669e-35,999,0.0027018983,-25.902992,-1.8294328,45.63362,inf,,20.0,-1.8177682,1.4872016906738281,1.8709665e-34,-1.8912507,-45.63362,999.0,,19.817762,,1.5,45.63362,4,3,3,1.9593419e-35,0.14999999,-1.0,inf,-1.4637924e-33,30.902992,-45.63362,
3251,3.376667,1.5723788e-27,254,0.0015198176,4.1558332,-2.5546515,94.33231,inf,,20.0,-3.867261,1.6282036304473877,6.2895152e-27,-2.178933,-45.63362,812.75,6.2895152e-27,21.903955,,1.5,94.33231,4,4,4,,0.14999999,1.0,inf,1.4832613e-25,0.84416676,94.33231,94.33231
4250,112.94182,1.0,254,0.0009726833,-17.588364,-2.6883163,104.56515,481.23053,,20.0,-2.3304021,2.0693256855010986,5.0,-2.4020762,-104.56515,850.0,,15.983084,,1.5,104.56515,4,5,5,3.2655715e-35,0.14999999,-1.0,555.58777,74.357254,22.588364,-104.56515,94.33231
4567,35.12036,1.0,254,0.0006754746,-0.85339355,-2.9436638,104.56515,493.71924,,,-4.0019417,2.2301576137542725,6.0,-2.584398,-104.56515,761.1666666666666,,0.22269726,,1.5,104.56515,4,6,6,7.263225e-27,0.14999999,1.0,457.74863,-35.970608,5.8533936,82.82145,94.33231
5566,79.57741,1.0,254,0.00049626693,-6.3682013,-2.8125381,104.56515,356.40796,,20.0,-1.7940255,2.7007992267608643,3.5000002,-2.7385485,-104.56515,795.1428571428571,,20.34083,,1.5,104.56515,4,7,7,4.5717971e-35,0.14999999,-1.0,444.98483,88.57688,11.368201,-39.457043,94.33231
5746,-7.9881287,0.9029839,180,0.0003799544,5.998516,-2.6940033,104.56515,466.78934,,,-1.7404693,2.822155475616455,6.3623805,-2.87208,-104.56515,718.25,,-4.741287,,1.5,104.56515,4,8,8,0.8614907,0.14999999,-1.0,449.63568,-17.153667,-0.9985161,92.56554,94.33231
6745,12.280334,1.6103286e-12,180,0.00015010545,3.6355183,-3.011566,104.56515,6.4917936e+17,,10.0,-5.297248,3.305670738220215,1.4480729e-11,-2.8875897,-104.56515,749.4444444444445,1.4765676e-24,8.285904,,1.5,104.56515,9,9,9,1.4480729e-11,0.14999999,,6.4917936e+17,-1.5335087e-11,1.3644817,-15.26847,94.33231
7126,-81.066574,1.1477736e-11,180,0.00012158541,13.106657,-3.1812146,104.56515,1228159000000.0,,10.0,-3.7598057,3.538330316543579,6.329484e-11,-2.9929502,-104.56515,712.6,1.7559882e-12,10.448872,,1.5,104.56515,9,10,10,3.8103778e-34,0.14999999,1.0,1228159000000.0,-8.429991e-10,-8.106657,98.34689,98.34689
8125,-7.8948364,5.9176386e-05,180,0.00010048381,5.7177124,-3.2343702,104.56515,1110054400000.0,,20.0,-2.8128285,3.9999115467071533,0.0006509398,-3.0882602,-104.56515,738.6363636363636,3.9546743e-20,18.530571,,1.5,104.56515,9,11,11,3.078677e-38,0.14999999,,1110054400000.0,0.005582245,-0.7177124,-68.17172,98.34689
8282,-99.51883,2.1886895e-05,157,8.443432e-05,13.293236,-3.3239963,104.56515,399855600000.0,,10.0,-3.3528135,4.108124256134033,0.00025898177,-3.1752717,-104.56515,690.1666666666666,1.187411e-16,9.733405,,1.5,104.56515,9,12,12,4.0675218e-08,0.14999999,-1.0,399855600000.0,0.001814953,-8.293236,96.624,98.34689
8541,-188.33795,4.6392073e-05,157,7.1944036e-05,19.487535,-3.510849,104.56515,1913871100.0,,,-4.792597,4.263040065765381,0.0005999098,-3.2553144,-104.56515,657.0,3.172732e-14,3.0769112,,1.5,104.56515,9,13,13,0.0005999098,0.14999999,,1913871100.0,-0.00042202004,-14.487535,93.81911,98.34689
9540,-182.38937,1.0004599,157,6.203337e-05,18.027813,-3.7440164,104.56515,568.76025,,10.0,-5.811834,4.755958080291748,13.999998,-3.3293762,-104.56515,681.4285714285714,0.005328297,11.988882,,1.5,104.56515,9,14,14,2.2524522e-11,0.14999999,,646.28906,77.52883,-13.027813,-0.94855714,98.34689
9922,-275.69235,1.0000597,157,5.403797e-05,23.37949,-3.735682,104.56515,572.7964,,20.0,-3.3467023,4.975861549377441,14.999993,-3.398369,-104.56515,661.4666666666667,1.4565066e-05,19.037273,,1.5,104.56515,9,15,15,4.1980158e-38,0.14999999,,648.96576,76.16935,-18.37949,98.30298,98.34689
10262,-366.02634,0.9998632,157,4.74943e-05,27.876646,-3.6924214,104.56515,576.5464,,10.0,-2.768642,5.166882514953613,15.997463,-3.4629076,-104.56515,641.375,9.824293e-16,9.771916,,1.5,104.56515,9,16,16,5.4231116e-08,0.14999999,-1.0,650.5009,73.95452,-22.876646,95.333954,98.34689
10577,-448.75507,0.99911636,157,4.2071075e-05,31.397356,-3.7474105,104.56515,580.0469,,,-4.350332,5.358306646347046,16.984192,-3.5235322,-104.56515,622.1764705882352,2.5120684e-26,3.344915,,1.5,104.56515,9,17,17,0.00078446104,0.14999999,,579.29877,-0.7481312,-26.397356,87.728714,98.34689
11576,-443.3698,1.0,157,3.7526363e-05,29.631657,-3.8362265,104.56515,583.328,,10.0,-5.067132,5.832658767700195,18.0,-3.5806444,-104.56515,643.1111111111111,5.829443e-13,9.682578,,1.5,104.56515,9,18,18,6.858033e-34,0.14999999,1.0,529.5918,-53.73622,-24.631657,-0.3852477,98.34689
12575,-363.63226,1.0005772,157,3.368017e-05,24.13854,-3.8109846,104.56515,414.65787,,10.0,-3.0765743,6.335792779922485,9.499995,-3.6347117,-104.56515,661.8421052631579,2.0339752e-10,9.22151,,1.5,104.56515,9,19,19,3.0567597e-11,0.14999999,,512.9861,98.328224,-19.13854,-74.737526,98.34689
13216,-457.11902,1.0000596,157,3.0396353e-05,27.855951,-3.7474518,104.56515,416.718,,20.0,-2.3772652,6.65117073059082,10.0,-3.6860049,-104.56515,660.8,4.7353593e-11,19.592686,,1.5,104.56515,9,20,20,5.5970955e-38,0.14999999,,512.7026,95.9846,-22.855951,98.48671,98.48671
13781,-544.187,1.0000001,157,2.7570388e-05,30.913668,-3.6877782,104.56515,592.08624,,20.0,-2.329498,6.949620723724365,21.000002,-3.734795,-104.56515,656.2380952380952,1.7217182e-09,21.24614,,1.5,104.56515,9,21,21,,0.14999999,1.0,509.66296,-82.42326,-25.913668,92.06796,98.48671
14780,-429.4369,0.9999622,157,2.5120953e-05,24.51986,-3.6807723,109.75007,441.3709,,10.0,-3.249862,7.4151530265808105,11.000001,-3.781315,-109.75007,671.8181818181819,,12.040862,,1.5,109.75007,9,22,22,7.4564305e-08,0.14999999,-1.0,532.14105,90.770134,-19.51986,-109.75007,98.48671
