LQGmu1_higher,TimeElapsed,LQGsigma_higher,Iteration,ReturnLastEpisode,Regret/t,Regret,ReturnMean,LQGmu1_actor
-1.0,0.04499030113220215,0.14999999,1,0.955950394277282,0.009169605722717966,0.009169605722717966,0.955950394277282,-1.0270102
0.57575756,0.05928230285644531,0.14999999,2,0.39490106098121375,0.28969427237075207,0.5793885447415041,0.6754257276292479,0.68285155
-0.2929293,0.07293891906738281,0.14999999,3,0.9563007918722523,0.19606925095641728,0.5882077528692519,0.7690507490435827,-0.2626799
-0.67676765,0.08656024932861328,0.14999999,4,0.9562664612050009,0.14926532291606273,0.5970612916642509,0.8158546770839372,-0.8034471
-0.45454547,0.10037398338317871,0.14999999,5,0.9559292054473411,0.12125041724338197,0.6062520862169098,0.843869582756618,-0.51420164
-0.8787879,0.11471796035766602,0.14999999,6,0.9559079109686457,0.10257736254137735,0.6154641752482641,0.8625426374586226,-0.81811106
-0.75757575,0.12851762771606445,0.14999999,7,0.9562947204826177,0.08918420782366378,0.6242894547656465,0.8759357921763361,-0.8692859
-0.7373737,0.14254093170166016,0.14999999,8,0.9560506346052725,0.07916985252004674,0.6333588201603739,0.8859501474799532,-0.8064639
-0.27272728,0.1563265323638916,0.14999999,9,0.9556601910258746,0.07142429212605547,0.6428186291344993,0.8936957078739444,-0.31175685
-0.4949495,0.17423796653747559,0.14999999,10,0.9559058793819467,0.06520327497525526,0.6520327497525525,0.8999167250247446,-0.28363466
-0.53535354,0.19278907775878906,0.14999999,11,0.9562637226270668,0.06008082064777143,0.6608890271254857,0.9050391793522284,-0.64113057
-0.65656567,0.20834040641784668,0.14999999,12,0.9563302620992135,0.05580656375218935,0.6696787650262722,0.9093134362478105,-0.68538946
-0.3131313,0.22541141510009766,0.14999999,13,0.9563143243424236,0.05219111082183451,0.6784844406838486,0.9129288891781654,-0.34154928
-0.61616164,0.23785734176635742,0.14999999,14,0.9561154130275157,0.049106359118309496,0.6874890276563329,0.9160136408816903,-0.7660946
-0.4949495,0.2517824172973633,0.14999999,15,0.9561189685816183,0.04643267060498098,0.6964900590747146,0.9186873293950188,-0.49330792
-0.7979798,0.26877808570861816,0.14999999,16,0.9562285449489107,0.04408634463286274,0.7053815141258039,0.9210336553671371,-0.6913692
-0.959596,0.2853524684906006,0.14999999,17,0.9556305371632855,0.042051233938971665,0.7148709769625183,0.9230687660610282,-1.0421973
-0.47474748,0.30103302001953125,0.14999999,18,0.9563091927772709,0.04020454356584708,0.7236817841852474,0.9249154564341528,-0.50689006
-0.27272728,0.31541013717651367,0.14999999,19,0.9553810454066309,0.038601091514664024,0.7334207387786165,0.926518908485336,-0.10504858
-0.75757575,0.33245086669921875,0.14999999,20,0.9559437456041976,0.037129849658720945,0.7425969931744189,0.9279901503412791,-0.5441364
-0.7777778,0.3502936363220215,0.14999999,21,0.9561786579563626,0.03578753977228839,0.7515383352180562,0.9293324602277115,-0.7576166
-0.3939394,0.36391592025756836,0.14999999,22,0.956185401918543,0.03456695151361424,0.7604729332995133,0.9305530484863858,-0.28132653
-0.5151515,0.3759276866912842,0.14999999,23,0.9563853703813384,0.033443807083398905,0.7692075629181748,0.931676192916601,-0.47471064
-0.41414142,0.39632272720336914,0.14999999,24,0.9558979547078006,0.03243456700876559,0.7784296082103742,0.9326854329912343,-0.35606754
-0.97979796,0.4198019504547119,0.14999999,25,0.9557841847225841,0.031510616939511606,0.7877654234877901,0.9336093830604884,-0.9635021
-0.7171717,0.4430718421936035,0.14999999,26,0.9559109869132549,0.030652862945174428,0.7969744365745351,0.9344671370548256,-0.75901544
-0.85858583,0.4669654369354248,0.14999999,27,0.9558888031415133,0.029859467904926735,0.8062056334330219,0.9352605320950732,-0.9455112
-0.37373737,0.48816370964050293,0.14999999,28,0.9562594579190322,0.02910950626835677,0.8150661755139896,0.9360104937316432,-0.28742504
-0.23232323,0.503284215927124,0.14999999,29,0.9563613452619882,0.028407752767310394,0.8238248302520014,0.9367122472326896,-0.27913392
-0.6363636,0.5189287662506104,0.14999999,30,0.9563108855566367,0.027754464823178823,0.8326339446953647,0.9373655351768212,-0.676041
-0.61616164,0.5339827537536621,0.14999999,31,0.9561622461618542,0.027148119307532595,0.8415916985335105,0.9379718806924673,-0.55629385
-0.75757575,0.5492455959320068,0.14999999,32,0.9564670286734553,0.02657014593312672,0.8502446698600551,0.9385498540668732,-0.40570307
-0.6363636,0.5649130344390869,0.14999999,33,0.9559764300678525,0.026042067872490988,0.8593882397922026,0.9390779321275089,-0.34277633
-0.3939394,0.5800399780273438,0.14999999,34,0.9555732841749814,0.025556910459330034,0.8689349556172211,0.9395630895406699,-0.20461121
-0.15151516,0.5972964763641357,0.14999999,35,0.9461263832145278,0.025369387782934093,0.8879285724026933,0.9397506122170658,0.02032514
1.0,0.6130211353302002,0.14999999,36,0.303519731591262,0.043042467800317535,1.5495288408114312,0.9220775321996825,0.8465094
-0.7373737,0.6339831352233887,0.14999999,37,0.9561425564994208,0.04212179146789217,1.5585062843120103,0.9229982085321079,-0.679805
-0.8787879,0.6537258625030518,0.14999999,38,0.9563187445949535,0.041244935255712024,1.5673075397170568,0.9238750647442879,-0.5459926
-0.65656567,0.6689436435699463,0.14999999,39,0.956133963698234,0.04041778400048263,1.5762935760188228,0.9247022159995174,-0.44003952
-0.41414142,0.6823089122772217,0.14999999,40,0.956180086973778,0.03963083722612612,1.5852334890450448,0.9254891627738739,-0.36905563
-0.53535354,0.6966884136199951,0.14999999,41,0.9562210913230746,0.038881277993218784,1.5941323977219701,0.9262387220067813,-0.48754784
