LQGmu1_actor,ReturnLastEpisode,Regret/t,ReturnMean,LQGsigma_higher,TimeElapsed,Iteration,LQGmu1_higher,Regret
-1.0831033,0.9563674157883459,0.008752584211654035,0.9563674157883459,0.14999999,0.07393121719360352,1,-1.0,0.008752584211654035
0.4484142,0.5841295314459852,0.1948715263828344,0.7702484736171655,0.14999999,0.09620046615600586,2,0.57575756,0.3897430527656688
-0.49544427,0.9567209543970269,0.1327140327895473,0.8324059672104527,0.14999999,0.11502552032470703,3,-0.27272728,0.3981420983686419
0.8701723,0.36143600103583234,0.25045652433320237,0.7146634756667976,0.14999999,0.1331942081451416,4,1.0,1.0018260973328095
-0.5616988,0.9564355668939998,0.20210210608776197,0.763017893912238,0.14999999,0.15180468559265137,5,-0.67676765,1.0105105304388098
-0.6309439,0.9563005449343865,0.16988833091740388,0.7952316690825961,0.14999999,0.1741023063659668,6,-0.45454547,1.0193299855044233
-0.7631799,0.9563142293913893,0.1468765365875763,0.8182434634124237,0.14999999,0.19852471351623535,7,-0.8787879,1.028135756113034
-0.17805454,0.9564424456463131,0.1296016638083401,0.8355183361916598,0.14999999,0.2263634204864502,8,-0.3131313,1.0368133104667208
-0.8505928,0.95639430160979,0.11617100098410342,0.8489489990158965,0.14999999,0.2524101734161377,9,-0.93939394,1.0455390088569307
-0.63950884,0.9566679729528699,0.10539910359040609,0.8597208964095939,0.14999999,0.27307772636413574,10,-0.41414142,1.053991035904061
-0.73266715,0.9565496781934365,0.09659648706460221,0.8685235129353978,0.14999999,0.29518795013427734,11,-0.8181818,1.0625613577106243
-0.5874173,0.9566977491346828,0.08924863404799514,0.8758713659520049,0.14999999,0.3224060535430908,12,-0.5959596,1.0709836085759417
-0.32105637,0.9563177015912077,0.08306045438344108,0.8820595456165591,0.14999999,0.35174059867858887,13,-0.27272728,1.079785906984734
-0.3627543,0.9566648207176831,0.07773150616193221,0.887388493838068,0.14999999,0.37726759910583496,14,-0.45454547,1.0882410862670509
-0.18278939,0.9565361715594038,0.0731216609805098,0.8919983390194903,0.14999999,0.400693416595459,15,-0.2929293,1.096824914707647
-0.24183936,0.955427140715369,0.06915736087451738,0.8959626391254827,0.14999999,0.42386746406555176,16,-0.37373737,1.106517773992278
-0.37983754,0.9566155925913935,0.06558954008240497,0.8995304599175951,0.14999999,0.45487236976623535,17,-0.17171717,1.1150221814008845
-0.2941447,0.9563401555233461,0.062433445882085464,0.9026865541179147,0.14999999,0.4848823547363281,18,-0.21212122,1.1238020258775383
