Iteration,ReturnLastEpisode,Regret,Regret/t,TimeElapsed,LQGmu1_actor,LQGmu1_higher,ReturnMean,LQGsigma_higher
1,0.9266801305088734,0.038439869491126544,0.038439869491126544,0.06195974349975586,-0.89414436,-1.0,0.9266801305088734,0.14999999
2,0.22865283260725083,0.7749070368838757,0.38745351844193787,0.07752561569213867,0.7448665,0.5959596,0.5776664815580621,0.14999999
3,0.89521695802039,0.8448100788634857,0.2816033596211619,0.09300756454467773,-0.13233191,-0.3131313,0.6835166403788381,0.14999999
4,0.9304579976316586,0.8794720812318271,0.21986802030795677,0.13053202629089355,-0.68920875,-0.67676765,0.7452519796920433,0.14999999
5,0.92970771133431,0.9148843698975171,0.1829768739795034,0.15917515754699707,-0.51184857,-0.85858583,0.7821431260204965,0.14999999
6,0.9301554694991184,0.9498489003983986,0.15830815006639978,0.18352437019348145,-0.6817266,-0.7373737,0.8068118499336002,0.14999999
7,0.929143671166068,0.9858252292323306,0.14083217560461866,0.20868396759033203,-0.45176154,-0.65656567,0.8242878243953814,0.14999999
8,0.9293397595007558,1.0216054697315748,0.12770068371644686,0.23244524002075195,-0.78064954,-0.6969697,0.8374193162835533,0.14999999
9,0.929514573487216,1.0572108962443587,0.11746787736048431,0.2515125274658203,-0.79007477,-0.7777778,0.8476521226395158,0.14999999
10,0.9285782389681366,1.0937526572762222,0.10937526572762221,0.2789013385772705,-0.7799542,-0.6363636,0.8557447342723778,0.14999999
11,0.9292395654227723,1.1296330918534498,0.1026939174412227,0.3058655261993408,-0.53220105,-0.65656567,0.8624260825587773,0.14999999
12,0.9288431695616731,1.1659099222917768,0.0971591601909814,0.32536864280700684,-0.83269596,-0.75757575,0.8679608398090187,0.14999999
13,0.9302130189106954,1.2008169033810814,0.09237053102931395,0.3569021224975586,-0.70421016,-0.8181818,0.8727494689706862,0.14999999
14,0.9271409669801441,1.2387959364009373,0.08848542402863838,0.38717174530029297,-0.9014931,-0.8989899,0.8766345759713616,0.14999999
15,0.018754311278379773,2.1851616251225576,0.14567744167483718,0.4144127368927002,1.0409546,1.0,0.8194425583251629,0.14999999
16,0.9280530065003547,2.2222286186222027,0.13888928866388767,0.4314854145050049,-0.83023,-0.8787879,0.8262307113361124,0.14999999
17,0.9283321520092583,2.259016466612944,0.1328833215654673,0.4519078731536865,-0.7776948,-0.7373737,0.8322366784345326,0.14999999
18,0.9300630382060691,2.2940734284068753,0.12744852380038196,0.4751598834991455,-0.7697453,-0.7979798,0.8376714761996181,0.14999999
19,0.9266774621977937,2.3325159662090815,0.12276399822153061,0.4935302734375,-0.9022716,-0.85858583,0.8423560017784695,0.14999999
20,0.925092693231319,2.3725432729777625,0.11862716364888812,0.5128905773162842,-0.9642191,-0.8989899,0.846492836351112,0.14999999
21,0.9254206856347031,2.4122425873430595,0.11486869463538378,0.5354573726654053,-0.9507445,-0.75757575,0.8502513053646163,0.14999999
22,0.9295428310841866,2.447819756258873,0.1112645343754033,0.5549731254577637,-0.7029911,-0.6363636,0.8538554656245968,0.14999999
23,0.9240779399461126,2.48886181631276,0.1082113833179461,0.5740056037902832,-1.0007826,-0.8181818,0.856908616682054,0.14999999
24,0.9209640630227572,2.533017753290003,0.10554240638708345,0.5913422107696533,-1.0858904,-0.7979798,0.8595775936129167,0.14999999
25,0.924007241507067,2.574130511782936,0.10296522047131744,0.6133711338043213,-1.0003717,-0.7373737,0.8621547795286827,0.14999999
26,0.9305298590107967,2.6087206527721394,0.10033540972200536,0.6334519386291504,-0.57768196,-0.4949495,0.8647845902779948,0.14999999
27,0.9217571143285386,2.652083538443601,0.09822531623865188,0.6558692455291748,-1.0707927,-0.83838385,0.8668946837613483,0.14999999
28,0.9270867127147099,2.690116825728891,0.09607560091888898,0.6818752288818359,-0.41263306,-0.5151515,0.8690443990811112,0.14999999
29,0.9204827872764068,2.7347540384524844,0.09430186339491325,0.7036941051483154,-0.28830796,-0.5555556,0.8708181366050869,0.14999999
30,0.9283723193036434,2.771501719148841,0.0923833906382947,0.727658748626709,-0.8483885,-0.85858583,0.8727366093617055,0.14999999
31,0.9285951915766211,2.80802652757222,0.09058150088942646,0.7534031867980957,-0.8253339,-0.61616164,0.8745384991105738,0.14999999
32,0.9251575669484472,2.847988960623773,0.0889996550194929,0.7836410999298096,-0.42639524,-0.57575756,0.8761203449805073,0.14999999
33,0.9287310269756937,2.8843779336480795,0.08740539192872968,0.8084747791290283,-0.77304834,-0.7979798,0.8777146080712706,0.14999999
34,0.9235484062827604,2.925949527365319,0.08605733904015644,0.8355393409729004,-1.014323,-0.75757575,0.8790626609598436,0.14999999
35,0.9227923844749671,2.968277142890352,0.08480791836829578,0.8624250888824463,-1.0293237,-0.959596,0.8803120816317044,0.14999999
36,0.9269446491054724,3.0064524937848796,0.08351256927180221,0.8907904624938965,-0.895211,-0.85858583,0.8816074307281979,0.14999999
37,0.9293515756546511,3.042220918130228,0.08222218697649265,0.9189491271972656,-0.7665086,-0.6363636,0.8828978130235074,0.14999999
38,0.9271819799268338,3.0801589382033945,0.08105681416324723,0.9448187351226807,-0.9007819,-0.85858583,0.8840631858367529,0.14999999
39,0.9232266553113422,3.122052282892052,0.08005262263825774,0.975121259689331,-1.0350386,-0.7171717,0.8850673773617422,0.14999999
40,0.9309242034327322,3.1562480794593197,0.07890620198648299,1.0054137706756592,-0.46279266,-0.57575756,0.886213798013517,0.14999999
41,0.9304143059752185,3.190953773484101,0.07782814081668539,1.0350821018218994,-0.6192626,-0.6363636,0.8872918591833147,0.14999999
