Bound,ReturnAbsMax,Iteration,DenMISELogLast,DenMISELogFirst,ReturnMax,LQGsigma_higher,TimestepsSoFar,DenMISEMeanLog,ReturnStepMax,delta,IWMin,LQGmu1_actor,LQGmu1_higher,IWLastEpisode,TimeElapsed,ReturnMean,IWFirstEpisode,ReturnLastEpisode,IWMax,ReturnMin,IWMean
74.494,15.541302,1,-0.9269538,-0.9269538,15.541302,2.0611537e-09,20,-0.9269538,17.218443,0.060792707,,-1.0,-1.0,,0.11548542976379395,15.541302,,15.541302,,,
123.899086,17.196836,2,18.387915,-1.620101,17.196836,2.0611537e-09,40,8.383907,18.986399,0.001788021,,1.0,1.0,,13.83364486694336,16.369068,,17.196836,,,
145.38426,17.196836,3,17.98245,-2.025566,17.196836,2.0611537e-09,60,11.313111,18.986399,0.0001647499,,-0.9591837,-0.9591837,,29.121418237686157,10.912712,,,,,
159.48537,17.241331,4,17.694767,-2.3132482,17.241331,2.0611537e-09,80,12.692763,19.031418,2.9568439e-05,,0.9591837,0.9591837,,48.264227867126465,12.494867,,17.241331,,,
169.39722,17.241331,5,17.471624,-2.5363917,17.241331,2.0611537e-09,100,13.470021,19.031418,7.7690365e-06,,-0.9183673,-0.9183673,,75.79016971588135,10.141508,,0.72806853,,,
177.40742,17.272072,6,17.289303,-2.7187133,17.272072,2.0611537e-09,120,13.954633,19.061441,2.6039884e-06,,0.9183673,0.9183673,,103.37731790542603,11.329936,,17.272072,,,
183.6747,17.272072,7,17.135153,-2.872864,17.272072,2.0611537e-09,140,14.276864,19.061441,1.0330286e-06,,-0.877551,-0.877551,,136.6071765422821,9.91506,,1.4258019,,,
189.22174,17.298141,8,17.001621,-3.0063953,17.298141,2.0611537e-09,160,14.500619,19.087723,4.6369834e-07,,0.877551,0.877551,,165.9437620639801,10.837945,,17.298141,,,
193.7515,17.298141,9,16.883837,-3.1241784,17.298141,2.0611537e-09,180,14.660725,19.087723,2.2874956e-07,,-0.8367347,-0.8367347,,200.3212661743164,9.866306,,2.093198,,,
198.1225,17.333729,10,16.778477,-3.229539,17.333729,2.0611537e-09,200,14.777675,19.122946,1.2157327e-07,,0.8367347,0.8367347,,238.07943439483643,10.613048,,17.333729,,,
201.64868,17.333729,11,16.683167,-3.3248491,17.333729,2.0611537e-09,220,14.864257,19.122946,6.862711e-08,,-0.79591835,-0.79591835,,282.7977886199951,9.896431,,2.730258,,,
205.06253,17.354687,12,16.596155,-3.4118605,17.354687,2.0611537e-09,240,14.928821,19.144226,4.071675e-08,,0.79591835,0.79591835,,330.097767829895,10.517952,,17.354687,,,
207.93604,17.354687,13,16.516113,-3.491903,17.354687,2.0611537e-09,260,14.977035,19.144226,2.5188724e-08,,-0.75510204,-0.75510204,,378.2863128185272,9.9655695,,3.3369827,,,
210.77126,17.371971,14,16.442005,-3.5660112,17.371971,2.0611537e-09,280,15.012861,19.161047,1.6147375e-08,,0.75510204,0.75510204,,434.1073708534241,10.494598,,17.371971,,,
213.18886,17.371971,15,16.373013,-3.635004,17.371971,2.0611537e-09,300,15.039144,19.161047,1.0673956e-08,,-0.71428573,-0.71428573,,490.1441385746002,10.055849,,3.9133704,,,
215.42583,17.371971,16,16.308474,-3.6995425,17.371971,2.0611537e-09,320,15.057972,19.161047,7.246945e-09,,0.71428573,0.71428573,,543.1781122684479,10.512619,,17.364155,,,
217.50621,17.371971,17,16.247849,-3.7601671,17.371971,2.0611537e-09,340,15.070907,19.161047,5.037125e-09,,-0.67346936,-0.67346936,,611.0498051643372,10.1565485,,4.4594216,,,
219.812,17.400661,18,16.190691,-3.8173256,17.400661,2.0611537e-09,360,15.079136,19.189768,3.5747225e-09,,0.67346936,0.67346936,,683.2943511009216,10.559,,17.400661,,,
221.63756,17.400661,19,16.136623,-3.8713927,17.400661,2.0611537e-09,380,15.08357,19.189768,2.5843812e-09,,-0.63265306,-0.63265306,,749.6809093952179,10.265112,,4.9751377,,,
223.3557,17.400661,20,16.085331,-3.922686,17.400661,2.0611537e-09,400,15.08493,19.189768,1.8997601e-09,,0.63265306,0.63265306,,812.8084564208984,10.621684,,17.396559,,,
224.9778,17.400661,21,16.03654,-3.9714763,17.400661,2.0611537e-09,420,15.083776,19.189768,1.4176318e-09,,-0.59183675,-0.59183675,,871.0511176586151,10.375915,,5.460517,,,
226.51361,17.400661,22,15.99002,-4.0179963,17.400661,2.0611537e-09,440,15.080564,19.189768,1.0723672e-09,,0.59183675,0.59183675,,943.2706739902496,10.695077,,17.397497,,,
227.97147,17.400661,23,15.945568,-4.062448,17.400661,2.0611537e-09,460,15.075654,19.189768,8.2132107e-10,,-0.5510204,-0.5510204,,1013.0145649909973,10.487272,,5.91556,,,
229.37459,17.401875,24,15.903008,-4.1050076,17.401875,2.0611537e-09,480,15.069341,19.189768,6.3622796e-10,,0.5510204,0.5510204,,1081.8253452777863,10.77538,,17.401875,,,
230.69733,17.401875,25,15.862186,-4.1458297,17.401875,2.0611537e-09,500,15.061865,19.189768,4.980126e-10,,-0.5102041,-0.5102041,,1157.3560650348663,10.597976,,6.3402667,,,
231.96109,17.401875,26,15.822966,-4.1850505,17.401875,2.0611537e-09,520,15.053426,19.189768,3.9358672e-10,,0.5102041,0.5102041,,1232.0244841575623,10.858193,,17.363613,,,
233.1707,17.401875,27,15.785226,-4.2227907,17.401875,2.0611537e-09,540,15.0441885,19.189768,3.138326e-10,,-0.46938777,-0.46938777,,1314.9568231105804,10.705468,,6.7346373,,,
234.33037,17.401875,28,15.7488575,-4.259158,17.401875,2.0611537e-09,560,15.034286,19.189768,2.523089e-10,,0.46938777,0.46938777,,1395.4054853916168,10.943782,,17.37825,,,
246.87761,17.401875,29,15.713766,-4.2942495,17.401875,3.100083e-09,580,15.023834,19.189768,2.0440566e-10,,-1.0,-1.0,,1483.9295108318329,10.811192,,7.0986714,19.28125,,0.6648707
236.51477,17.401875,30,16.189611,-4.328151,17.401875,2.0611537e-09,600,15.046914,19.189768,1.6678366e-10,,-0.42857143,-0.42857143,,1565.6711566448212,11.024164,,17.200321,,,
237.54593,17.401875,31,15.647075,-4.360941,17.401875,2.0611537e-09,620,15.034542,19.189768,1.3699693e-10,,0.42857143,0.42857143,,1654.3228585720062,11.227747,,17.335243,,,
238.54005,17.401875,32,15.615326,-4.3926897,17.401875,3.100083e-09,640,15.0219345,19.189768,1.1323514e-10,,1.0,1.0,,1775.0987756252289,11.109141,,7.4323697,21.275864,,0.66487074
239.49966,17.401875,33,16.094301,-4.4234614,17.401875,2.0611537e-09,660,15.040039,19.189768,9.414505e-11,,-0.3877551,-0.3877551,,1881.446806192398,10.772501,,,,,
240.42697,17.401875,34,15.554702,-4.4533143,17.401875,2.0611537e-09,680,15.026201,19.189768,7.8705965e-11,,0.3877551,0.3877551,,1977.2545459270477,10.964879,,17.313364,,,
241.324,17.401875,35,15.525714,-4.4823017,17.401875,2.0611537e-09,700,15.012314,19.189768,6.614133e-11,,-0.3469388,-0.3469388,,2071.86345744133,10.872617,,7.735732,,,
242.19255,17.401875,36,15.497543,-4.510473,17.401875,2.0611537e-09,720,14.998403,19.189768,5.5855535e-11,,0.3469388,0.3469388,,2181.9616136550903,11.049793,,17.250937,,,
254.49759,17.401875,37,15.470144,-4.537872,17.401875,3.100083e-09,740,14.984494,19.189768,4.7388277e-11,,-0.9591837,-0.9591837,,2309.899835586548,10.967603,,8.008758,24.60021,,0.66487056
243.85085,17.401875,38,15.953223,-4.56454,17.401875,2.0611537e-09,760,14.997435,19.189768,4.0381247e-11,,-0.30612245,-0.30612245,,2416.3736782073975,11.132647,,17.239256,,,
245.12766,17.401875,39,15.4175005,-4.5905156,17.401875,3.100083e-09,780,14.982898,19.189768,3.455363e-11,,0.9591837,0.9591837,,2542.6193141937256,11.286331,,17.126373,25.929953,,0.66487056
245.41374,17.401875,40,15.90193,-4.6158333,17.401875,2.0611537e-09,800,14.993932,19.189768,2.968393e-11,,0.30612245,0.30612245,,2675.5655012130737,11.022375,,0.72806853,,,
246.16255,17.401875,41,15.36749,-4.640526,17.401875,2.0611537e-09,820,14.978953,19.189768,2.5596362e-11,,-0.26530612,-0.26530612,,2797.5782911777496,10.954792,,8.251448,,,
246.89116,17.401875,42,15.343392,-4.6646233,17.401875,2.0611537e-09,840,14.964106,19.189768,2.2150604e-11,,0.26530612,0.26530612,,2912.136344432831,11.10041,,17.070791,,,
247.60054,17.401875,43,15.319862,-4.6881537,17.401875,2.0611537e-09,860,14.949395,19.189768,1.9234047e-11,,-0.2244898,-0.2244898,,3036.1664550304413,11.039094,,8.4638,,,
248.29166,17.401875,44,15.296873,-4.7111435,17.401875,2.0611537e-09,880,14.934827,19.189768,1.6755803e-11,,0.2244898,0.2244898,,3164.545452594757,11.172531,,16.910324,,,
