ReturnLastEpisode,LQGsigma_higher,IWMean,MinEpLen,IWLastEpisode,DenMISEMeanLog,LQGmu1_actor,Bound,ReturnMean,AvgEpLen,NumTrajectories,DenMISELogLast,Iteration,TimeElapsed,IWMax,TimestepsSoFar,IWFirstEpisode,GridSize,Regret,LQGmu1_higher,IWMin,BoundMISE,ReturnStepMax,Delta,ReturnAbsMax,ReturnMax,DenMISELogFirst,BoundBonus,NumTrainableParams,ReturnMin,Regret/t
10.7942095,0.14999999,0.7056216,20,5.43168e-09,-0.6579668,-0.3323213,104.538284,15.2488165,20.0,18,-0.8074244,18,0.6027429103851318,4.364384,360,1.04699336e-20,5,-184.4787,-0.5,,12.83636,19.98662,6.254394e-05,18.196562,18.196562,-1.2315679,91.70193,,,-10.2488165
18.192661,0.14999999,0.76063776,20,8.0275265e-07,-0.6603807,0.71343935,81.22177,15.403755,20.0,19,-0.38124067,19,0.6286380290985107,6.1516128,380,0.06668848,5,-197.67136,0.5,,8.528424,19.98662,5.6133624e-05,18.196562,18.196562,-1.2856351,72.693344,,,-10.403755
8.261584,0.14999999,0.7113725,20,1.0526859e-13,-0.7350315,-0.4798388,80.923874,15.046648,20.0,20,-1.8603356,20,0.665550947189331,3.9029772,400,1.1592565e-20,5,-200.93295,-0.5,,12.941005,19.98662,5.066059e-05,18.196562,18.196562,-1.3334246,67.98287,,,-10.046648
18.189781,0.14999999,1.1031309,20,3.4216484e-21,-0.7415658,1.1126128,76.30747,15.1963215,20.0,21,-0.562613,21,0.6943330764770508,10.424762,420,10.424762,5,-214.12274,1.0,,5.245391,19.98662,4.5950645e-05,18.196562,18.196562,-1.3822148,71.06208,,,-10.1963215
3.268347,0.14999999,0.84528923,20,7.7625535e-25,-0.76948833,-0.45955914,72.1382,14.654139,20.0,22,-1.2958504,22,0.7273476123809814,4.8466206,440,8.52158e-21,5,-212.39105,-0.5,,15.376681,19.98662,4.1868254e-05,18.196562,18.196562,-1.0256611,56.76152,,,-9.654139
18.194874,0.14999999,0.8768664,20,5.204849e-09,-0.76202387,0.5580739,68.96717,14.8080845,20.0,23,-0.40934074,23,0.7576987743377686,6.2766056,460,0.053758934,5,-225.58594,0.5,,9.138483,19.98662,3.8306687e-05,18.196562,18.196562,-1.0701128,59.82869,,,-9.8080845
9.274457,0.14999999,0.9910224,20,2.351848e-23,-0.77388674,-0.98370415,68.94201,14.577516,20.0,24,-0.864102,24,0.786637544631958,5.99533,480,2.1814202e-37,5,-229.86038,-1.0,,18.02608,19.98662,3.518097e-05,18.196562,18.196562,-1.1103379,50.91593,,,-9.577516
18.18608,0.14999999,0.9053743,20,0.027670708,-0.7720493,-0.54184365,66.57215,14.721858,20.0,25,-0.6337651,25,0.8181676864624023,4.5112386,500,9.6610414e-21,5,-243.04645,-0.5,,16.47028,19.98662,3.242278e-05,18.196562,18.196562,-1.1511598,50.10187,,,-9.721858
18.186733,0.14999999,1.0508193,20,2.3416596e-05,-0.7700151,0.11307461,87.38424,14.8551235,20.0,26,-0.58935326,26,0.8468022346496582,6.3824453,520,1.4969309e-05,6,-256.23322,0.2,,15.914877,19.98662,2.5694297e-05,18.196562,18.196562,-1.1903806,71.46936,,,-9.8551235
18.101467,0.14999999,1.0494176,20,0.027625041,-0.7681854,0.6863123,81.72835,14.975358,20.0,27,-0.7015943,27,0.9594049453735352,11.948321,540,0.4125976,6,-269.33466,0.6,,9.337603,19.98662,2.382626e-05,18.196562,18.196562,-1.2281203,72.39075,,,-9.975358
