ReturnMean,Regret/t,TimestepsSoFar,ReturnAbsMax,AvgEpLen,IWMax,DenMISEMeanLog,TimeElapsed,MinEpLen,IWMin,NumTrainableParams,ReturnLastEpisode,Delta,DenMISELogFirst,Bound,GridSize,NumTrajectories,IWLastEpisode,LQGsigma_higher,Iteration,Regret,BoundBonus,ReturnMin,DenMISELogLast,ReturnStepMax,LQGmu1_actor,ReturnMax,IWMean,LQGmu1_higher,BoundMISE,IWFirstEpisode
3.0976868,1.9023132,20,3.0976868,20.0,2.746308e-38,0.9619692,0.02367091178894043,20,,1,3.0976868,0.060792707,0.9619692,inf,1,1,2.746308e-38,0.14999999,1,1.9023132,inf,,0.9619692,3.1695018,-0.892906,3.0976868,2.746308e-38,-1.0,8.5072017e-38,2.746308e-38
10.643121,-5.643121,40,18.188555,20.0,2.0,0.1494934,0.17937755584716797,20,,,18.188555,0.010132118,0.26882198,82.4501,2,2,2.0,0.14999999,2,-11.286242,68.113014,,0.030164823,19.978165,-0.9697506,18.188555,1.0,-1.0,14.337092,5.492608e-38
13.159203,-8.159203,60,18.191364,20.0,2.9999995,0.24452876,0.210402250289917,20,,,18.191364,0.004503164,-0.13664311,76.33598,2,3,5.4938237e-38,0.14999999,3,-24.477608,73.89424,,0.55238247,19.981525,0.8733205,18.191364,0.9999998,1.0,2.4417453,2.9999995
11.237235,-6.237235,80,18.191364,20.0,2.0,0.123026565,0.22347164154052734,20,,,5.471335,0.0025330295,0.26882195,73.15283,2,4,3.867195e-34,0.14999999,4,-24.94894,54.962868,,-0.07158094,19.981525,-1.0596561,18.191364,1.0,-1.0,18.18996,5.492608e-38
12.626978,-7.626978,100,18.191364,20.0,1.5563776e-07,0.15974648,0.23986196517944336,20,,,18.185951,0.0012158542,0.045678392,164905320000.0,3,5,2.6265011e-11,0.14999999,5,-38.13489,164905320000.0,,0.38827014,19.981525,0.060676835,18.191364,4.047928e-08,,3.3480626e-07,1.8548268e-09
13.367928,-8.367928,120,18.191364,20.0,6.0,-0.16804475,0.2650489807128906,20,,,17.07267,0.0008443432,-0.13664316,98.02767,3,6,6.0,0.14999999,6,-50.207565,84.570175,,-0.89539313,19.981525,-0.11171015,18.191364,1.0,,13.457498,2.2257922e-09
14.052725,-9.052725,140,18.191364,20.0,3.5000002,-0.25598878,0.28156352043151855,20,,,18.161509,0.0006203337,-0.29079384,78.70592,3,7,3.4999995,0.14999999,7,-63.369072,61.08883,,-0.55189604,19.981525,-0.069090165,18.191364,1.0,,17.617088,2.5967608e-09
14.561046,-9.561046,160,18.191364,20.0,2.6666665,-0.25305444,0.29976701736450195,20,,,18.119293,0.00047494302,-0.42432523,68.96128,3,8,1.2839761e-08,0.14999999,8,-76.488365,50.77266,,-0.108724445,19.981525,-1.0390296,18.191364,0.99999994,-1.0,18.188623,1.09852e-37
14.964442,-9.964442,180,18.191614,20.0,3.0,-0.21891707,0.3195195198059082,20,,,18.191614,0.00037526365,-0.5421083,69.33342,3,9,8.868374e-11,0.14999999,9,-89.67998,51.548927,,0.13339989,19.981665,0.21131484,18.191614,1.0,,17.78449,3.3386915e-09
15.149549,-10.149549,200,18.191614,20.0,4.844014,-0.29858702,0.33721327781677246,20,,,16.815495,0.00024317083,-0.6474688,550.88916,4,10,4.844014,0.14999999,10,-101.49548,541.6385,,-0.9304183,19.981665,0.22755635,18.191614,0.5492035,0.33333334,9.250644,0.0005717546
14.943842,-9.943842,220,18.191614,20.0,1.2133608,-0.38041523,0.3756284713745117,20,,,12.886798,0.00020096762,-0.7427218,551.03156,4,11,0.0049478337,0.14999999,11,-109.38226,547.8067,,-0.70406455,19.981665,-0.36215714,18.191614,0.17836894,-0.33333334,3.224864,1.8973977e-16
15.214902,-10.214902,240,18.196562,20.0,9.824427,-0.52465206,0.3994302749633789,20,,,18.196562,0.00016886865,-0.8297332,109.51433,4,12,9.824427,0.14999999,12,-122.57883,92.40601,,-1.3251529,19.98662,-0.36175132,18.196562,0.9828169,-0.33333334,17.108318,2.0698923e-16
15.444136,-10.444136,260,18.196562,20.0,4.9518514,-0.56201494,0.4231703281402588,20,,,18.194927,0.00014388807,-0.90977585,104.66208,4,13,0.00012943045,0.14999999,13,-135.77376,93.25362,,-0.8059591,19.98662,0.18340036,18.196562,0.76669544,0.33333334,11.408462,0.0007432385
15.466088,-10.466088,280,18.196562,20.0,6.302141,-0.58080655,0.4454765319824219,20,,,15.751474,0.00012406673,-0.9838267,86.076096,4,14,0.01191181,0.14999999,14,-146.52524,66.95852,,-0.52523327,19.98662,-0.33169177,18.196562,1.0517689,-0.33333334,19.117575,2.41473e-16
15.647666,-10.647666,300,18.196562,20.0,4.1362643,-0.58195025,0.466585636138916,20,,,18.189766,0.00010807594,-1.0528195,79.185585,4,15,0.0002416544,0.14999999,15,-159.715,67.47016,,-0.52178305,19.98662,0.4399439,18.196562,0.77279395,0.33333334,11.715424,0.00085753377
15.343386,-10.343386,320,18.196562,20.0,4.9666476,-0.6203252,0.49176549911499023,20,,,10.779163,9.49886e-05,-1.1173009,74.873924,4,16,1.1362535e-05,0.14999999,16,-165.49417,55.608215,,-0.9245818,19.98662,-0.41593468,18.196562,1.0599114,-0.33333334,19.265709,2.759539e-16
15.510854,-10.510854,340,18.196562,20.0,6.5747566,-0.62072575,0.5198252201080322,20,,,18.190321,7.011847e-05,-1.1779255,111.54052,5,17,3.8613273e-08,0.14999999,17,-178.68451,105.26114,,-0.59518117,19.98662,0.46785742,18.196562,0.5510401,0.5,6.2793818,0.05987881
15.2488165,-10.2488165,360,18.196562,20.0,4.364384,-0.6579668,0.5925664901733398,20,,,10.7942095,6.254394e-05,-1.2315679,104.538284,5,18,5.43168e-09,0.14999999,18,-184.4787,91.70193,,-0.8074244,19.98662,-0.3323213,18.196562,0.7056216,-0.5,12.83636,1.04699336e-20
15.403755,-10.403755,380,18.196562,20.0,6.1516128,-0.6603807,0.6233861446380615,20,,,18.192661,5.6133624e-05,-1.2856351,81.22177,5,19,8.0275265e-07,0.14999999,19,-197.67136,72.693344,,-0.38124067,19.98662,0.71343935,18.196562,0.76063776,0.5,8.528424,0.06668848
15.046648,-10.046648,400,18.196562,20.0,3.9029772,-0.7350315,0.6530487537384033,20,,,8.261584,5.066059e-05,-1.3334246,80.923874,5,20,1.0526859e-13,0.14999999,20,-200.93295,67.98287,,-1.8603356,19.98662,-0.4798388,18.196562,0.7113725,-0.5,12.941005,1.1592565e-20
15.1963215,-10.1963215,420,18.196562,20.0,10.424762,-0.7415658,0.6867926120758057,20,,,18.189781,4.5950645e-05,-1.3822148,76.30747,5,21,3.4216484e-21,0.14999999,21,-214.12274,71.06208,,-0.562613,19.98662,1.1126128,18.196562,1.1031309,1.0,5.245391,10.424762
14.654139,-9.654139,440,18.196562,20.0,4.8466206,-0.76948833,0.7172777652740479,20,,,3.268347,4.1868254e-05,-1.0256611,72.1382,5,22,7.7625535e-25,0.14999999,22,-212.39105,56.76152,,-1.2958504,19.98662,-0.45955914,18.196562,0.84528923,-0.5,15.376681,8.52158e-21
14.8080845,-9.8080845,460,18.196562,20.0,6.2766056,-0.76202387,0.7468760013580322,20,,,18.194874,3.8306687e-05,-1.0701128,68.96717,5,23,5.204849e-09,0.14999999,23,-225.58594,59.82869,,-0.40934074,19.98662,0.5580739,18.196562,0.8768664,0.5,9.138483,0.053758934
14.577516,-9.577516,480,18.196562,20.0,5.99533,-0.77388674,0.7738571166992188,20,,,9.274457,3.518097e-05,-1.1103379,68.94201,5,24,2.351848e-23,0.14999999,24,-229.86038,50.91593,,-0.864102,19.98662,-0.98370415,18.196562,0.9910224,-1.0,18.02608,2.1814202e-37
14.721858,-9.721858,500,18.196562,20.0,4.5112386,-0.7720493,0.803767204284668,20,,,18.18608,3.242278e-05,-1.1511598,66.57215,5,25,0.027670708,0.14999999,25,-243.04645,50.10187,,-0.6337651,19.98662,-0.54184365,18.196562,0.9053743,-0.5,16.47028,9.6610414e-21
14.8551235,-9.8551235,520,18.196562,20.0,6.3824453,-0.7700151,0.8354566097259521,20,,,18.186733,2.5694297e-05,-1.1903806,87.38424,6,26,2.3416596e-05,0.14999999,26,-256.23322,71.46936,,-0.58935326,19.98662,0.11307461,18.196562,1.0508193,0.2,15.914877,1.4969309e-05
14.975358,-9.975358,540,18.196562,20.0,11.948321,-0.7681854,0.953953742980957,20,,,18.101467,2.382626e-05,-1.2281203,81.72835,6,27,0.027625041,0.14999999,27,-269.33466,72.39075,,-0.7015943,19.98662,0.6863123,18.196562,1.0494176,0.6,9.337603,0.4125976
