DenMISELogLast,BoundMISE,ReturnAbsMax,MinEpLen,IWMax,NumTrajectories,TimeElapsed,DenMISELogFirst,LQGsigma_higher,ReturnMax,LQGmu1_higher,LQGmu1_actor,IWFirstEpisode,GridSize,Regret/t,TimestepsSoFar,ReturnStepMax,Iteration,BoundBonus,ReturnMin,Delta,DenMISEMeanLog,ReturnMean,IWLastEpisode,AvgEpLen,Regret,ReturnLastEpisode,IWMean,NumTrainableParams,Bound,IWMin
0.9619692,8.5072017e-38,3.0976868,20,2.746308e-38,1,0.027797937393188477,0.9619692,0.14999999,3.0976868,-1.0,-0.892906,2.746308e-38,1,1.9023132,20,3.1695018,1,inf,,0.060792707,0.9619692,3.0976868,2.746308e-38,20.0,1.9023132,3.0976868,2.746308e-38,1,inf,
0.030164823,14.337092,18.188555,20,2.0,2,0.17705965042114258,0.26882198,0.14999999,18.188555,-1.0,-0.9697506,5.492608e-38,2,-5.643121,40,19.978165,2,68.113014,,0.010132118,0.1494934,10.643121,2.0,20.0,-11.286242,18.188555,1.0,,82.4501,
0.55238247,2.4417453,18.191364,20,2.9999995,3,0.20985198020935059,-0.13664311,0.14999999,18.191364,1.0,0.8733205,2.9999995,2,-8.159203,60,19.981525,3,73.89424,,0.004503164,0.24452876,13.159203,5.4938237e-38,20.0,-24.477608,18.191364,0.9999998,,76.33598,
-0.07158094,18.18996,18.191364,20,2.0,4,0.2231581211090088,0.26882195,0.14999999,18.191364,-1.0,-1.0596561,5.492608e-38,2,-6.237235,80,19.981525,4,54.962868,,0.0025330295,0.123026565,11.237235,3.867195e-34,20.0,-24.94894,5.471335,1.0,,73.15283,
0.38827014,3.3480626e-07,18.191364,20,1.5563776e-07,5,0.23763370513916016,0.045678392,0.14999999,18.191364,,0.060676835,1.8548268e-09,3,-7.626978,100,19.981525,5,164905320000.0,,0.0012158542,0.15974648,12.626978,2.6265011e-11,20.0,-38.13489,18.185951,4.047928e-08,,164905320000.0,
-0.89539313,13.457498,18.191364,20,6.0,6,0.2651040554046631,-0.13664316,0.14999999,18.191364,,-0.11171015,2.2257922e-09,3,-8.367928,120,19.981525,6,84.570175,,0.0008443432,-0.16804475,13.367928,6.0,20.0,-50.207565,17.07267,1.0,,98.02767,
-0.55189604,17.617088,18.191364,20,3.5000002,7,0.2868523597717285,-0.29079384,0.14999999,18.191364,,-0.069090165,2.5967608e-09,3,-9.052725,140,19.981525,7,61.08883,,0.0006203337,-0.25598878,14.052725,3.4999995,20.0,-63.369072,18.161509,1.0,,78.70592,
-0.108724445,18.188623,18.191364,20,2.6666665,8,0.3058125972747803,-0.42432523,0.14999999,18.191364,-1.0,-1.0390296,1.09852e-37,3,-9.561046,160,19.981525,8,50.77266,,0.00047494302,-0.25305444,14.561046,1.2839761e-08,20.0,-76.488365,18.119293,0.99999994,,68.96128,
0.13339989,17.78449,18.191614,20,3.0,9,0.3255939483642578,-0.5421083,0.14999999,18.191614,,0.21131484,3.3386915e-09,3,-9.964442,180,19.981665,9,51.548927,,0.00037526365,-0.21891707,14.964442,8.868374e-11,20.0,-89.67998,18.191614,1.0,,69.33342,
-0.9304183,9.250644,18.191614,20,4.844014,10,0.34258294105529785,-0.6474688,0.14999999,18.191614,0.33333334,0.22755635,0.0005717546,4,-10.149549,200,19.981665,10,541.6385,,0.00024317083,-0.29858702,15.149549,4.844014,20.0,-101.49548,16.815495,0.5492035,,550.88916,
-0.70406455,3.224864,18.191614,20,1.2133608,11,0.38518333435058594,-0.7427218,0.14999999,18.191614,-0.33333334,-0.36215714,1.8973977e-16,4,-9.943842,220,19.981665,11,547.8067,,0.00020096762,-0.38041523,14.943842,0.0049478337,20.0,-109.38226,12.886798,0.17836894,,551.03156,
-1.3251529,17.108318,18.196562,20,9.824427,12,0.4047122001647949,-0.8297332,0.14999999,18.196562,-0.33333334,-0.36175132,2.0698923e-16,4,-10.214902,240,19.98662,12,92.40601,,0.00016886865,-0.52465206,15.214902,9.824427,20.0,-122.57883,18.196562,0.9828169,,109.51433,
-0.8059591,11.408462,18.196562,20,4.9518514,13,0.4251830577850342,-0.90977585,0.14999999,18.196562,0.33333334,0.18340036,0.0007432385,4,-10.444136,260,19.98662,13,93.25362,,0.00014388807,-0.56201494,15.444136,0.00012943045,20.0,-135.77376,18.194927,0.76669544,,104.66208,
