Bound,InitialReturnMean,InitialReturnStd,EpLenMean,TimeElapsed,MeanEntropy,J_sample_variance,StdIW,MinIW,Iteration,ReturnStepMaxmin,EmpiricalD2,ReturnStepMax,TimestepsSoFar,InitialBound,InitialReturnMin,MaxIWNorm,StdIWNorm,ESSClassic,MaxIW,MeanIW,InitialReturnMax,ReturnMeanIW,EpRewMean,EpisodesSoFar,MeanIWNorm,ESSRenyi,MinIWNorm,EpThisIter
38.57755,22.76,10.69871,22.76,0.7871649265289307,0.56511533,26814.973,2.4534779,0.0024614064,1,1.0,6.8022847,1.0,2276,22.066526,10.0,0.23213717,0.024534777,16.496143,23.213718,1.090486,69.0,40.386215,22.76,100,0.010904861,14.700943,2.4614063e-05,100
45.23444,33.87,22.113188,33.87,10.617531061172485,0.50413865,10058.476,1.3711683,0.019329283,2,1.0,5.275961,1.0,5663,32.60365,10.0,0.0753433,0.0137116825,34.939304,7.5343304,1.0048206,126.0,48.143173,33.87,200,0.010048205,18.953894,0.00019329283,100
95.1817,48.8,24.486322,48.8,22.022030353546143,0.38419828,223114.44,4.387682,0.0020446507,3,1.0,136.29645,1.0,10543,47.5437,13.0,0.4011957,0.04387682,8.046928,40.11957,1.2979773,125.0,109.84848,48.8,300,0.012979773,0.73369485,2.0446507e-05,100
124.2625,80.21,29.044893,80.21,33.794142961502075,0.48966852,290121.12,3.839268,0.0050907764,4,1.0,10.059282,1.0,18564,78.250175,25.0,0.36171108,0.038392685,11.418854,36.17111,1.3784437,195.0,130.47835,80.21,400,0.013784435,9.941067,5.090776e-05,100
83.41238,74.56,31.366007,74.56,45.129956007003784,0.5052599,29949.994,1.4388881,0.122258596,5,1.0,2.271613,1.0,26020,72.43937,22.0,0.12609553,0.014388881,32.844738,12.609554,1.0062824,211.0,86.60856,74.56,500,0.010062825,44.021584,0.0012225859,100
120.87912,90.26,39.70759,90.26,53.58824324607849,0.51041,85494.31,2.8393278,0.013300642,6,1.0,13.53598,1.0,35046,87.646904,21.0,0.19931862,0.02839328,20.301819,19.931862,1.4330417,260.0,130.49304,90.26,600,0.014330416,7.3877177,0.00013300643,100
136.75179,88.79,36.974937,88.79,64.77217555046082,0.41617554,1100556.6,8.490376,2.7286953e-05,7,1.0,115.372986,1.0,43925,86.49851,16.0,0.85287124,0.084903754,3.032538,85.287125,1.5014713,228.0,161.36505,88.79,700,0.015014711,0.86675406,2.7286953e-07,100
116.553055,95.49,32.363403,95.49,75.78354406356812,0.49342602,145182.58,5.2323613,0.0011324207,8,1.0,64.394165,1.0,53474,92.76634,37.0,0.32015643,0.052323617,10.662588,32.015644,1.8076417,271.0,138.40927,95.49,800,0.018076418,1.5529357,1.1324207e-05,100
111.22358,90.29,30.456621,90.29,86.68727469444275,0.5363079,57137.07,2.4510124,0.002476367,9,1.0,11.355688,1.0,62503,88.02866,35.0,0.20521554,0.024510123,21.987675,20.521555,1.3012283,225.0,118.84387,90.29,900,0.013012283,8.806159,2.4763669e-05,100
110.26686,91.79,28.281548,91.79,96.593576669693,0.35789758,105482.734,2.5889385,0.023001857,10,1.0,7.371536,1.0,71682,89.599014,49.0,0.21367294,0.025889385,13.639831,21.367294,1.0288913,218.0,116.21551,91.79,1000,0.010288913,13.565694,0.00023001856,100
139.29675,110.98,32.39104,110.98,107.69572877883911,0.4701064,42488.047,1.2059808,0.0117168,11,1.0,3.551,1.0,82780,108.80911,69.0,0.08671291,0.012059807,47.70381,8.671291,1.1518128,216.0,143.38759,110.98,1100,0.011518128,28.161081,0.000117168,100
130.18503,110.91,35.54549,110.91,121.848637342453,0.39340356,61765.31,2.015759,0.038635436,12,1.0,3.3835015,1.0,93871,108.39741,64.0,0.12834391,0.02015759,25.324646,12.834391,1.1738745,250.0,134.80676,110.91,1200,0.011738744,29.555182,0.00038635437,100
184.96646,123.12,31.752884,123.12,132.0959439277649,0.41116726,87365.04,2.0771441,0.032800168,13,1.0,6.2490315,1.0,106183,120.8888,72.0,0.118807055,0.02077144,31.393908,11.880706,1.4051024,222.0,190.54399,123.12,1300,0.014051023,16.00248,0.00032800168,100
3395.058,127.2,39.79447,127.2,143.92462468147278,0.36677086,1760899800.0,331.37454,5.0190734e-05,14,1.0,70392.41,1.0,118903,124.02408,76.0,33.307102,3.3137453,1.016874,3330.7104,33.58707,316.0,4237.679,127.2,1400,0.3358707,0.0014206078,5.019073e-07,100
187.05743,163.83,41.166504,163.83,160.7979998588562,0.4590486,94564.51,1.8480438,0.028712735,15,1.0,5.590227,1.0,135286,161.10634,96.0,0.12189171,0.018480439,27.872633,12.189171,1.1488179,271.0,193.49715,163.83,1500,0.011488178,17.888361,0.00028712733,100
219.12604,154.87,38.54054,154.87,171.77460932731628,0.4325288,337143.56,2.2264843,0.01609034,16,1.0,7.399272,1.0,150773,151.19156,94.0,0.19059576,0.022264842,24.747917,19.059576,1.27682,366.0,229.13197,154.87,1600,0.0127682,13.514843,0.00016090341,100
179.15233,171.52,44.337902,171.52,185.2246127128601,0.48022273,9583.805,0.46847597,0.3726151,17,1.0,1.2411913,1.0,167925,168.16316,103.0,0.026827889,0.00468476,83.624664,2.6827888,1.0586677,334.0,182.89212,171.52,1700,0.010586676,80.56776,0.0037261508,100
167.82306,161.89,43.658195,161.89,195.95387053489685,0.47228852,9489.496,0.43744758,0.2563642,18,1.0,1.2508715,1.0,184114,157.91005,94.0,0.025319876,0.0043744757,85.1757,2.5319877,1.048568,396.0,172.27432,161.89,1800,0.01048568,79.94426,0.0025636419,100
2854.46,166.39,40.117554,166.39,206.27269506454468,0.31327394,275435500.0,83.34171,2.3235175e-06,19,1.0,5076.924,1.0,200753,163.50554,101.0,5.6853714,0.8334172,3.365413,568.5372,15.55304,287.0,3059.9849,166.39,1900,0.1555304,0.019696968,2.3235174e-08,100
