IWLastEpisode,IWMin,Regret/t,ReturnMax,Delta,AvgEpLen,GridSize,MountainCar_mu0_higher,MountainCar_mu1_higher,IWFirstEpisode,Regret,ReturnMin,ReturnMean,ReturnStepMax,DenMISEMeanLog,TimeElapsed,DenMISELogFirst,Bound,ReturnAbsMax,MountainCar_std1_higher,Iteration,ReturnLastEpisode,TimestepsSoFar,IWMean,MinEpLen,NumTrainableParams,NumTrajectories,IWMax,ActionIn1,MountainCar_std0_higher,DenMISELogLast
1.6940084e-19,,5.0163627,,0.060792707,999.0,1,-1.0,-10.0,1.6940084e-19,5.0163627,-0.01636276,-0.01636276,0.16718078,-2.8073854,0.40239834785461426,-2.8073854,inf,0.01636276,1.5,1,-0.01636276,999,1.6940084e-19,999,2,1,1.6940084e-19,-12.333846,0.14999999,-2.8073854
3958971200000000.0,,5.989363,,0.0060792705,999.0,4,-1.0,-10.0,3.3880248e-19,11.978726,-1.9623638,-0.9893633,19.80091,-20.078888,0.9198305606842041,-3.5005326,inf,1.9623638,1.5,2,-1.9623638,1998,1979485600000000.0,999,,2,3958971200000000.0,-8.811342,0.14999999,-36.65724
7.06194e+23,,6.218376,,0.0027018983,999.0,4,-1.0,-10.0,5.082033e-19,18.655128,-1.9623638,-1.218376,19.80091,-32.21207,1.3239004611968994,-3.9059978,inf,1.9623638,1.5,3,-1.6764015,2997,2.3539798e+23,999,,3,7.06194e+23,-11.008358,0.14999999,-56.360653
0.13829711,,6.3592124,,0.0015198176,999.0,4,-1.0,-10.0,6.77604e-19,25.43685,-1.9623638,-1.3592125,19.80091,-23.871342,1.7269036769866943,-4.19368,inf,1.9623638,1.5,4,-1.781722,3996,2.3539878e+23,999,,4,9.415951e+23,-11.069101,0.14999999,1.6084275
0.1252307,,6.518694,,0.0009726833,999.0,4,-1.0,-10.0,8.4700586e-19,32.59347,-2.15662,-1.518694,21.457941,-18.841463,2.1506080627441406,-4.4168234,inf,2.15662,1.5,5,-2.15662,4995,2.353981e+23,999,,5,1.17699054e+24,-11.55258,0.14999999,1.5952641
52.986214,,6.5907507,,0.0006754746,999.0,4,-1.0,-10.0,1.0164051e-18,39.544502,-2.15662,-1.5907506,21.457941,-16.473799,2.5666921138763428,-4.599145,inf,2.15662,1.5,6,-1.9510332,5994,2.3539856e+23,999,,6,1.4123914e+24,-9.497904,0.14999999,-4.3932977
9.612842e+23,,6.731701,,0.00049626693,999.0,4,-1.0,-10.0,1.1858074e-18,47.12191,-2.5774052,-1.7317011,25.880108,-22.320797,2.9612629413604736,-4.7532954,inf,2.5774052,1.5,7,-2.5774052,6993,3.727243e+23,999,,7,1.6477857e+24,-10.561592,0.14999999,-57.207184
29.476955,,6.7747946,,0.0003799544,999.0,4,-1.0,-10.0,1.3552061e-18,54.198357,-2.5774052,-1.7747946,25.880108,-20.055058,3.372858762741089,-4.886827,inf,2.5774052,1.5,8,-2.0764484,7992,3.727067e+23,999,,8,1.8831875e+24,-10.614088,0.14999999,-3.8768828
0.54342806,,6.7455482,,0.00015010545,999.0,9,-1.0,-10.0,1.5246062e-18,60.709934,-2.5774052,-1.7455484,25.880108,-17.864277,3.7731497287750244,-5.00461,inf,2.5774052,1.5,9,-1.5115782,8991,3.7268923e+23,999,,9,2.118585e+24,-9.427367,0.14999999,-0.063543014
5.188903e+22,,6.75902,,0.00012158541,999.0,9,-1.0,-10.0,1.6940093e-18,67.590195,-2.5774052,-1.7590199,25.880108,-21.42202,4.260576248168945,-5.1099706,inf,2.5774052,1.5,10,-1.880263,9990,3.7786087e+23,999,,10,2.3539867e+24,-12.000659,0.14999999,-53.200306
373449250.0,,6.7734547,,0.00010048381,999.0,9,-1.0,-10.0,1.8634102e-18,74.508,-2.5774052,-1.7734548,25.880108,-21.34029,4.717068195343018,-5.205281,inf,2.5774052,1.5,11,-1.9178051,10989,3.7733017e+23,999,,11,2.5893856e+24,-12.529701,0.14999999,-20.306267
2.701795e+24,,6.7432404,,8.443432e-05,999.0,9,-1.0,-10.0,2.032815e-18,80.918884,-2.5774052,-1.7432404,25.880108,-24.387804,5.102432489395142,-5.292292,inf,2.5774052,1.5,12,-1.4108815,11988,6.020411e+23,999,,12,2.8247787e+24,-15.076921,0.14999999,-57.71489
1.5935885e+23,,6.7935553,,7.1944036e-05,999.0,9,-1.0,-10.0,2.2022102e-18,88.316216,-2.5774052,-1.793555,25.880108,-26.980225,5.528249025344849,-5.372335,inf,2.5774052,1.5,13,-2.3973305,12987,6.13287e+23,999,,13,3.0601802e+24,-9.071318,0.14999999,-57.826992
1.9007035e+24,,6.840026,,6.203337e-05,999.0,9,-1.0,-10.0,2.3716114e-18,95.76036,-2.5774052,-1.8400258,25.880108,-29.211775,5.961711883544922,-5.4464426,inf,2.5774052,1.5,14,-2.4441447,13986,7.480962e+23,999,,14,3.295579e+24,-12.666137,0.14999999,-57.9011
6.836769e+18,,6.891792,,5.403797e-05,999.0,9,-1.0,-10.0,2.5410116e-18,103.37688,-2.616518,-1.8917918,26.36336,-30.31002,6.3822667598724365,-5.5154357,inf,2.616518,1.5,15,-2.616518,14985,7.471869e+23,999,,15,3.530977e+24,-10.411745,0.14999999,-45.314754
1359.6946,,6.904725,,4.74943e-05,999.0,9,-1.0,-10.0,2.7104186e-18,110.4756,-2.616518,-1.9047251,26.36336,-28.922014,6.780965089797974,-5.579974,inf,2.616518,1.5,16,-2.0987248,15984,7.463142e+23,999,,16,3.7663697e+24,-11.159605,0.14999999,-7.757219
0.10643427,,6.935455,,4.2071075e-05,999.0,9,-1.0,-10.0,2.8798157e-18,117.90273,-2.616518,-1.9354548,26.36336,-27.165361,7.193173170089722,-5.640599,inf,2.616518,1.5,17,-2.427128,16983,7.454739e+23,999,,17,4.0017773e+24,-12.637449,0.14999999,1.2632029
2.8593652e+18,,6.970811,,3.7526363e-05,999.0,9,-1.0,-10.0,3.0492198e-18,125.474594,-2.616518,-1.9708108,26.36336,-28.133411,7.615323305130005,-5.6977572,inf,2.616518,1.5,18,-2.5718622,17982,7.446575e+23,999,,18,4.237164e+24,-11.118831,0.14999999,-44.287956
