DenMISELogLast,MountainCar_mu1_higher,NumTrajectories,IWLastEpisode,AvgEpLen,Regret/t,NumTrainableParams,ActionIn1,MountainCar_std0_higher,ReturnMin,ReturnStepMax,ReturnLastEpisode,Regret,IWMean,Bound,DenMISELogFirst,MinEpLen,MountainCar_std1_higher,IWMin,ReturnMax,TimeElapsed,IWFirstEpisode,GridSize,ReturnAbsMax,Iteration,ReturnMean,TimestepsSoFar,IWMax,Delta,MountainCar_mu0_higher,DenMISEMeanLog
-14.34222,-10.0,30,411662.62,999.0,6.6779222,,-11.556398,0.14999999,-2.8000343,28.00704,-1.2582428,200.33766,6.187129e+23,inf,-28.283524,999,1.5,,,12.871808290481567,7.248605e-06,16,2.8000343,30,-1.6779221,29970,7.6071156e+24,7.94676e-06,-1.0,-28.633205
-15.06248,-10.0,31,398784.06,999.0,6.658314,,-8.858443,0.14999999,-2.8000343,28.00704,-1.0700792,206.40775,6.178465e+23,inf,-28.316313,999,1.5,,,13.285922527313232,7.4902205e-06,16,2.8000343,31,-1.6583143,30969,7.860696e+24,7.4423347e-06,-1.0,-28.204342
-58.72778,-10.0,32,6.389311e+24,999.0,6.6529264,,-11.615128,0.14999999,-2.8000343,28.00704,-1.4859126,212.89365,8.1669544e+23,inf,-28.348063,999,1.5,,,13.700274467468262,7.731848e-06,16,2.8000343,32,-1.6529267,31968,8.1142754e+24,6.984457e-06,-1.0,-29.166533
-7.7512445,-10.0,33,1432.1486,999.0,6.6553698,,-11.894088,0.14999999,-2.8000343,28.00704,-1.7335533,219.62721,8.159214e+23,inf,-28.378834,999,1.5,,,14.133531093597412,7.9734655e-06,16,2.8000343,33,-1.65537,32967,8.367827e+24,6.5675695e-06,-1.0,-28.52637
-29.504734,-10.0,34,715610600000.0,999.0,6.640423,,-9.881669,0.14999999,-2.8000343,28.00704,-1.1471668,225.77438,8.151913e+23,inf,-28.408688,999,1.5,,,14.559521436691284,8.215093e-06,16,2.8000343,34,-1.6404228,33966,8.6214046e+24,6.186923e-06,-1.0,-28.563404
-17.950752,-10.0,35,16066134.0,999.0,6.630684,,-10.291244,0.14999999,-2.8000343,28.00704,-1.2995558,232.07393,8.144994e+23,inf,-28.437674,999,1.5,,,14.984217405319214,8.4567e-06,16,2.8000343,35,-1.6306838,34965,8.874979e+24,5.8384353e-06,-1.0,-28.267965
-6.4313807,-10.0,36,317.96368,999.0,6.6284447,,-11.470491,0.14999999,-2.8000343,28.00704,-1.5500778,238.62401,8.1384304e+23,inf,-28.465845,999,1.5,,,15.431009531021118,8.6983255e-06,16,2.8000343,36,-1.6284447,35964,9.128556e+24,5.5185833e-06,-1.0,-27.668737
-3.4458354,-10.0,37,20.827787,999.0,6.634261,,-11.1868925,0.14999999,-2.8000343,28.00704,-1.8436577,245.46767,8.132176e+23,inf,-28.493244,999,1.5,,,15.86447024345398,8.939946e-06,16,2.8000343,37,-1.6342613,36963,9.38211e+24,5.224312e-06,-1.0,-27.021004
0.6499904,-10.0,38,0.34642032,999.0,6.636327,,-8.597804,0.14999999,-2.8000343,28.00704,-1.7127602,252.18042,8.126241e+23,inf,-28.519913,999,1.5,,,16.289419412612915,9.18157e-06,16,2.8000343,38,-1.636327,37962,9.6356827e+24,4.9529667e-06,-1.0,-26.29939
-58.925606,-10.0,39,4.991914e+24,999.0,6.652149,,-10.988438,0.14999999,-2.8000343,28.00704,-2.2534008,259.43384,9.4005854e+23,inf,-28.545887,999,1.5,,,16.71791911125183,9.423178e-06,16,2.8000343,39,-1.6521493,38961,9.889279e+24,4.7022245e-06,-1.0,-27.14219
