ReturnMean,Iteration,NatGrad2Norm,J,BatchSize,TimestepsSoFar,AvgEpLen,NatGradInftyNorm,NumTrajectories,ReturnMax,VarJ,MinEpLen,AvgRet,StepSize
-94.57584696257175,1,3.3178053,-94.57584696257175,100,3127,31.27,2.365573,100,-49.34884157170744,0.3694545723684746,11,-122.83189992684625,0.01
-94.58222787161634,2,2.2962918,-94.58860878066098,100,3688,36.88,2.0853446,200,-49.34884157170744,0.2629647686249332,11,-125.91974526803598,0.01
-94.75045950338594,3,2.6233277,-95.08692276692508,100,2778,27.78,2.0680277,300,-46.5170922157837,0.31457568861598795,11,-120.82058895588015,0.01
-94.85549831874836,4,2.2961373,-95.1706147648356,100,4648,46.48,1.84468,400,-46.5170922157837,0.15058700528261157,11,-135.74544468637237,0.01
-94.96506277295967,5,1.6201617,-95.40332058980498,100,2506,25.06,1.2142175,500,-46.5170922157837,0.07564895149921994,10,-118.88086495974267,0.01
-94.84690104392402,6,2.4795902,-94.25609239874575,100,4344,43.44,1.9395074,600,-7.39207885946104,0.8408045048874824,11,-128.6242976046514,0.01
-94.84007359548228,7,3.3759348,-94.79910890483193,100,2594,25.94,2.716344,700,-7.39207885946104,0.19412672866967984,13,-118.9180492206765,0.01
-94.84155914015724,8,4.3699913,-94.85195795288179,100,2888,28.88,2.7595844,800,-7.39207885946104,0.21641300262580962,13,-121.69598366963803,0.01
-94.78649362457185,9,4.660524,-94.34596949988891,100,2554,25.54,4.065964,900,-7.39207885946104,0.16120671403323653,12,-117.98380844301457,0.01
-94.61629942761621,10,2.236732,-93.08455165501539,100,2985,29.85,1.8908639,1000,-7.39207885946104,0.8292301110799896,11,-119.43979860794026,0.01
-94.52292476798758,11,1.4475068,-93.58917817170126,100,3228,32.28,0.85730004,1100,-7.39207885946104,0.5388438780916203,12,-122.52399433564065,0.01
-94.50215259059443,12,1.8002132,-94.27365863926994,100,2835,28.35,1.433548,1200,-7.39207885946104,0.4322026748832796,11,-116.37989976756117,0.01
-94.59535964433601,13,2.6475928,-95.71384428923484,100,2409,24.09,2.5948129,1300,-7.39207885946104,0.06513188758019112,11,-118.26827834302698,0.01
-94.66256931361977,14,2.3857954,-95.53629501430872,100,3368,33.68,2.025167,1400,-7.39207885946104,0.06351516575420411,12,-126.67162334536754,0.01
-94.67165103674328,15,2.8118877,-94.79879516047252,100,2950,29.5,1.8722949,1500,-7.39207885946104,0.10348869047711513,11,-121.5474330256378,0.01
-94.67231264021827,16,1.6175545,-94.68223669234274,100,3063,30.63,1.317564,1600,-7.39207885946104,0.11145862425510918,11,-121.72136862437152,0.01
-94.6185803597056,17,3.1342661,-93.75886387150311,100,2778,27.78,2.3407886,1700,-7.39207885946104,0.34868120327600477,11,-119.4559112752753,0.01
-94.61575773637412,18,2.9621003,-94.56777313973913,100,3039,30.39,1.9514686,1800,-7.39207885946104,0.1956598160298742,12,-121.29163887249632,0.01
-94.51855491483403,19,1.4611385,-92.76890412711198,100,4239,42.39,1.3604811,1900,-7.39207885946104,1.0304936292524942,11,-126.06675829722438,0.01
-94.46791977070997,20,3.5604954,-93.50585203235298,100,3369,33.69,2.8684204,2000,-7.39207885946104,0.6480671294168537,12,-123.17408364707126,0.01
-94.46801522878525,21,1.8833126,-94.46992439029117,100,3099,30.99,1.197104,2100,-7.39207885946104,0.20347769919055905,10,-121.4667359932918,0.01
-94.47201706377265,22,2.873194,-94.55605559850815,100,2994,29.94,2.8505297,2200,-7.39207885946104,0.16886908351734392,11,-122.52754584993447,0.01
-94.388871964275,23,2.891795,-92.55967977532663,100,4013,40.13,2.7218266,2300,-7.39207885946104,1.1391244071701199,11,-124.41571249099984,0.01
