BatchSize,NatGradInftyNorm,NumTrajectories,ReturnMean,AvgRet,VarJ,TimestepsSoFar,Iteration,AvgEpLen,NatGrad2Norm,J,StepSize,MinEpLen,ReturnMax
100,2.365573,100,-94.57584696257175,-122.83189992684625,0.3694545723684746,3127,1,31.27,3.3178053,-94.57584696257175,0.0001,11,-49.34884157170744
100,1.9805992,200,-94.13213702683274,-127.44250227294,0.46889240923087017,3975,2,39.75,2.2107167,-93.68842709109376,0.0001,11,-37.252690515558186
100,2.0984426,300,-94.2573728921145,-119.41386046173555,0.40757519382052537,2693,3,26.93,2.6085646,-94.50784462267802,0.0001,11,-37.252690515558186
100,1.8448648,400,-94.46082041616496,-132.53248586275916,0.10985464174711052,4248,4,42.48,2.317974,-95.07116298831637,0.0001,12,-37.252690515558186
100,1.1418464,500,-94.534410467302,-118.3058224618564,0.0914847338921951,2518,5,25.18,1.532417,-94.82877067185011,0.0001,11,-37.252690515558186
100,2.031113,600,-94.44691795896479,-128.66525575559106,0.8644045851700213,4486,6,44.86,2.5972927,-94.00945541727877,0.0001,11,-8.245278847898332
100,2.6903584,700,-94.57470666526012,-118.97673067924404,0.11083338003718782,2526,7,25.26,3.3081365,-95.3414389030321,0.0001,11,-8.245278847898332
100,2.9101954,800,-94.65628062276396,-124.07600565137751,0.16231905066325716,3255,8,32.55,4.439151,-95.22729832529085,0.0001,13,-8.245278847898332
100,4.1142464,900,-94.66556340256047,-126.84236528279753,0.17899321428813691,3595,9,35.95,4.6654744,-94.73982564093235,0.0001,13,-8.245278847898332
100,2.1663713,1000,-94.53790202505834,-123.61447715102038,0.5565162596187783,3449,10,34.49,2.484351,-93.38894962753935,0.0001,11,-8.245278847898332
100,1.0546203,1100,-94.50726860653641,-124.90923582336949,0.24918444660454742,3727,11,37.27,1.6816821,-94.20093442131716,0.0001,12,-8.245278847898332
100,1.2828364,1200,-94.51941785509958,-122.67214113750963,0.20410992423824112,3396,12,33.96,1.6345795,-94.65305958929432,0.0001,12,-8.245278847898332
100,2.7013636,1300,-94.56897459842976,-125.04014831454235,0.14229973995973783,3414,13,34.14,2.7686982,-95.16365551839212,0.0001,11,-8.245278847898332
100,2.07942,1400,-94.59714697087276,-125.28752641041866,0.14471977818068407,3310,14,33.1,2.438914,-94.96338781263162,0.0001,11,-8.245278847898332
100,1.8013601,1500,-94.61792634138119,-125.60962700603756,0.3711059492804689,3346,15,33.46,2.669183,-94.90883752849933,0.0001,12,-8.245278847898332
100,1.3415475,1600,-94.63178091460381,-126.67707887032333,0.21232990299124616,3566,16,35.66,1.6004739,-94.83959951294305,0.0001,12,-8.245278847898332
100,2.3032527,1700,-94.64223541345078,-122.95298404756795,0.2627167023136991,3116,17,31.16,3.0087075,-94.809507395002,0.0001,12,-8.245278847898332
100,1.9795336,1800,-94.62477660514311,-120.00205908374578,0.4502280208366877,3173,18,31.73,2.98761,-94.32797686391297,0.0001,12,-8.245278847898332
100,1.3511939,1900,-94.5930798964696,-122.20694341774441,0.5205140876004758,3387,19,33.87,1.5199662,-94.0225391403464,0.0001,11,-8.245278847898332
100,2.7591717,2000,-94.58422183091939,-121.95031419557317,0.3683611866897693,3048,20,30.48,3.4658513,-94.41591858546509,0.0001,12,-8.245278847898332
100,1.1912718,2100,-94.58010236782594,-121.60977548525412,0.18541922690743617,2997,21,29.97,1.9658767,-94.4977131059573,0.0001,11,-8.245278847898332
100,2.9502783,2200,-94.5572237402939,-117.35970040806426,0.4128460995960662,2541,22,25.41,3.0025868,-94.07677256212109,0.0001,11,-8.245278847898332
100,2.9633968,2300,-94.57570603913126,-121.12351603757354,0.0968918050342566,2895,23,28.95,3.04247,-94.98231661355302,0.0001,13,-8.245278847898332
100,1.2363217,2400,-94.56447743820043,-121.81419142388728,0.2805025286883483,2949,24,29.49,1.7031131,-94.30621961679115,0.0001,11,-8.245278847898332
100,1.1851788,2500,-94.53131101443006,-124.5589139222257,0.34906641310199993,3687,25,36.87,1.6230882,-93.73531684394148,0.0001,11,-8.245278847898332
100,0.8545088,2600,-94.49064792911224,-120.73228622948383,0.8682777180495758,3273,26,32.73,1.4090481,-93.47407079616656,0.0001,11,-8.245278847898332
100,3.583822,2700,-94.45935945039889,-124.43795741874835,0.3517551549806962,3395,27,33.95,4.2190657,-93.64585900385151,0.0001,12,-8.245278847898332
100,1.8914896,2800,-94.4657420586048,-121.61999929929411,0.13256604455894686,2965,28,29.65,2.2229097,-94.63807248016501,0.0001,12,-8.245278847898332
100,2.9121203,2900,-94.47661918223025,-127.05103099278172,0.20644243672427776,3603,29,36.03,3.6073256,-94.7811786437423,0.0001,11,-8.245278847898332
100,1.9460742,3000,-94.48696477134307,-130.32745488340058,0.2529934115431244,3942,30,39.42,2.4831114,-94.78698685561518,0.0001,11,-8.245278847898332
100,1.8898861,3100,-94.507220683459,-117.4982896246555,0.14449118540241618,2402,31,24.02,2.4356136,-95.11489804693664,0.0001,13,-8.245278847898332
100,3.3053126,3200,-94.48769883113829,-126.98544519871879,0.4783337222034343,4067,32,40.67,3.5445826,-93.88252140919694,0.0001,11,-8.245278847898332
100,1.8682112,3300,-94.50605729995577,-124.67940900256515,0.1429300107369073,3279,33,32.79,2.5799322,-95.09352830211526,0.0001,12,-8.245278847898332
100,1.3663417,3400,-94.51168946692022,-129.48251668044813,0.2628784968852159,3962,34,39.62,1.5677876,-94.69755097674641,0.0001,11,-8.245278847898332
100,2.6711557,3500,-94.52062751705971,-121.13002533864426,0.2817204709343497,2814,35,28.14,3.0114088,-94.82452122180224,0.0001,11,-8.245278847898332
