ReturnMax,AvgEpLen,BatchSize,ReturnMean,NumTrajectories,Iteration,MinEpLen,AvgRet,VarJ,NatGradInftyNorm,J,NatGrad2Norm,StepSize,TimestepsSoFar
-49.34884157170744,31.27,100,-94.57584696257175,100,1,11,-122.83189992684625,0.3694545723684746,2.365573,-94.57584696257175,3.3178053,0.001,3127
-45.388164159296,36.82,100,-94.2667994988587,200,2,11,-124.8836446796231,0.4765225926104546,2.000525,-93.95775203514569,2.2573955,0.001,3682
-45.388164159296,25.8,100,-94.67993487886537,300,3,12,-119.70665623898867,0.07708380882801329,2.1546836,-95.50620563887867,2.6252174,0.001,2580
-45.388164159296,45.81,100,-94.83184125346317,400,4,12,-135.21278084870292,0.11486277818611806,1.8227222,-95.28756037725661,2.309738,0.001,4581
-45.388164159296,25.34,100,-94.89246468065375,500,5,11,-118.75134327301008,0.0866016892752998,1.1698521,-95.134958389416,1.5993068,0.001,2534
-35.10371602881874,45.69,100,-94.68979901373694,600,6,11,-128.9987136514743,0.7290024021201078,2.0635653,-93.67647067915294,2.569446,0.001,4569
-35.10371602881874,24.31,100,-94.7152685824798,700,7,13,-117.5432433955496,0.1279337554728009,2.7085521,-94.86808599493668,3.3455296,0.001,2431
-35.10371602881874,34.08,100,-94.74350328073675,800,8,12,-125.14241984990278,0.2430906200335707,2.7677455,-94.94114616853571,4.320972,0.001,3408
-35.10371602881874,39.76,100,-94.672510580534,900,9,11,-128.97614213198867,0.207425449337543,3.980862,-94.10456897891204,4.5611343,0.001,3976
-35.10371602881874,30.14,100,-94.5213937453538,1000,10,12,-120.55017181251895,0.5433609773336479,1.9462754,-93.16134222873197,2.3115456,0.001,3014
-35.10371602881874,37.02,100,-94.48632258311909,1100,11,12,-124.4166490765049,0.5392412988761153,0.9373323,-94.13561096077191,1.5095431,0.001,3702
-35.10371602881874,30.38,100,-94.53667070959733,1200,12,11,-120.59852521398166,0.12733814983225172,1.3060644,-95.09050010085802,1.7131625,0.001,3038
-35.10371602881874,33.57,100,-94.56590709698892,1300,13,12,-124.04259466393073,0.19514583551114847,2.6961937,-94.91674374568794,2.7617745,0.001,3357
-35.10371602881874,32.81,100,-94.63315898689474,1400,14,12,-125.74183361246709,0.07936272304878321,2.0185032,-95.50743355567036,2.3609085,0.001,3281
-35.10371602881874,30.93,100,-94.62745128064407,1500,15,11,-122.70558179142678,0.15443484030785185,1.8947192,-94.54754339313472,2.8116524,0.001,3093
-35.10371602881874,35.18,100,-94.66612328613401,1600,16,12,-126.8146135090531,0.0878477633704472,1.349141,-95.24620336848318,1.6068827,0.001,3518
-35.10371602881874,31.16,100,-94.70375346100731,1700,17,11,-123.73444327773223,0.17143799433846738,2.250522,-95.30583625898018,3.0009906,0.001,3116
-35.10371602881874,31.23,100,-94.66328904944159,1800,18,12,-119.01348731150777,0.29417795077160774,2.0280802,-93.97539405282394,2.978522,0.001,3123
-35.10371602881874,39.75,100,-94.63496527116213,1900,19,12,-126.0307982706431,0.3907836816527039,1.4565157,-94.12513726213187,1.6425313,0.001,3975
-35.10371602881874,28.51,100,-94.62129496274162,2000,20,11,-120.03993529200034,0.2814709432940228,2.793895,-94.3615591027522,3.5537033,0.001,2851
-35.10371602881874,29.16,100,-94.63654726397706,2100,21,12,-121.34849395953746,0.13731277483282942,1.1666112,-94.94159328868616,1.9232299,0.001,2916
-35.10371602881874,26.1,100,-94.5839885305215,2200,22,11,-116.97875969033221,0.6798369028249525,3.0620322,-93.48025512795424,3.1607482,0.001,2610
-35.10371602881874,35.31,100,-94.6136274447591,2300,23,11,-126.49662076631662,0.09365575695611403,2.9947767,-95.26568355798669,3.0921504,0.001,3531
-35.10371602881874,35.13,100,-94.60429255491528,2400,24,11,-125.46449236069813,0.2821880570929509,1.2568632,-94.38959008850718,1.7639436,0.001,3513
-35.10371602881874,41.58,100,-94.59378802814507,2500,25,12,-128.72555510456033,0.3313344363158127,1.0986537,-94.34167938566009,1.5452529,0.001,4158
-20.107992374298032,37.83,100,-94.58911953779598,2600,26,11,-127.08915511764306,0.682200946886541,0.8001327,-94.47240727906885,1.3226416,0.001,3783
-20.107992374298032,35.36,100,-94.59353585207502,2700,27,12,-127.20165676087689,0.1281803570482683,3.9247005,-94.70836002332987,4.6038485,0.001,3536
-20.107992374298032,31.15,100,-94.61079139984766,2800,28,12,-123.57920250269926,0.13678857755371435,1.8235286,-95.07669118970851,2.1311417,0.001,3115
-20.107992374298032,34.0,100,-94.63672895146411,2900,29,11,-125.80598170021955,0.12026464886048314,2.9155617,-95.36298039672548,3.6252396,0.001,3400
-20.107992374298032,38.49,100,-94.65620967396438,3000,30,11,-129.85810093826836,0.13284107003972173,1.8864024,-95.2211506264721,2.4883595,0.001,3849
-20.107992374298032,27.88,100,-94.66587294576664,3100,31,11,-121.07761530320313,0.15826309477880257,1.93853,-94.95577109983422,2.4409413,0.001,2788
-20.107992374298032,37.91,100,-94.685839385281,3200,32,12,-126.67122073384468,0.09902612906468447,3.2427628,-95.30479901022657,3.4392715,0.001,3791
-20.107992374298032,32.66,100,-94.69626086802917,3300,33,11,-124.41899362010173,0.15791081226156123,1.814134,-95.02974831597015,2.5271096,0.001,3266
-20.107992374298032,37.23,100,-94.70215955724898,3400,34,11,-128.29791475197925,0.19409505058051088,1.3433917,-94.89681630150231,1.5085552,0.001,3723
-20.107992374298032,26.87,100,-94.6999073952323,3500,35,12,-119.75016869494056,0.16797409574920355,2.6091821,-94.62333388666573,2.9502845,0.001,2687
-20.107992374298032,29.5,100,-94.7078486621268,3600,36,11,-122.67243588031938,0.2515683089573747,3.4188356,-94.98579300343421,3.5522106,0.001,2950
-20.107992374298032,29.89,100,-94.71343594790002,3700,37,11,-122.012857526758,0.12478952452886816,0.6918574,-94.9145782357363,1.1946824,0.001,2989
-20.107992374298032,45.95,100,-94.71822883081184,3800,38,12,-132.22198476407328,0.28967112470672307,4.671596,-94.89556549854908,4.9648004,0.001,4595
-20.107992374298032,38.53,100,-94.71109475744542,3900,39,11,-126.74562777189611,0.2681151222889235,1.6180313,-94.43999996952111,2.5755053,0.001,3853
-20.107992374298032,25.17,100,-94.72274104002086,4000,40,12,-118.68884959936315,0.07754971769515093,3.5675437,-95.17694606046304,3.7313008,0.001,2517
-20.107992374298032,34.73,100,-94.72552032606279,4100,41,11,-125.78788095704381,0.21418132548762386,1.3861502,-94.83669176773921,2.0476573,0.001,3473
-20.107992374298032,35.62,100,-94.7254700859586,4200,42,11,-126.47708862110441,0.24527499857961754,2.4187038,-94.72341024168809,2.7353313,0.001,3562
-20.107992374298032,26.54,100,-94.71365340750293,4300,43,11,-118.87587924649675,0.22539559018112584,1.0134277,-94.2173529123646,1.5560392,0.001,2654
-20.107992374298032,26.47,100,-94.72047253142277,4400,44,11,-119.76276615532115,0.16033299337073842,0.57489496,-95.01369485997571,0.7677335,0.001,2647
-20.107992374298032,30.68,100,-94.7264079858654,4500,45,11,-122.9456515365514,0.10385272929851647,0.67461056,-94.98756798134077,1.0185288,0.001,3068
-20.107992374298032,34.15,100,-94.72296449320895,4600,46,12,-121.71856841003691,0.45689330965412245,3.159571,-94.56800732366872,4.1635695,0.001,3415
-20.107992374298032,37.65,100,-94.71349918888995,4700,47,12,-127.2349013421536,0.32013943334105205,0.53499484,-94.2780951902165,0.6343831,0.001,3765
-20.107992374298032,21.75,100,-94.70811347319949,4800,48,11,-114.36461532528236,0.1427332305937628,3.1817534,-94.45498483574738,4.1337075,0.001,2175
-20.107992374298032,31.05,100,-94.72208645236284,4900,49,12,-123.75802427239616,0.10170927076039077,3.8390076,-95.3927894522037,4.2669554,0.001,3105
-20.107992374298032,37.31,100,-94.68557198577324,5000,50,11,-123.88137613541866,0.8999378018487312,2.3358023,-92.89636312288229,3.3189642,0.001,3731
