ReturnMean,J,NatGradInftyNorm,TimestepsSoFar,MinEpLen,VarJ,AvgEpLen,Iteration,NumTrajectories,AvgRet,BatchSize,StepSize,ReturnMax,NatGrad2Norm
-93.9297177855887,-93.9297177855887,1.1160872,3664,11,0.7020841386293543,36.64,1,100,-119.23582426717911,100,0.001,-25.93298452173805,1.543483
-94.61369837452895,-95.2976789634692,2.325865,3566,11,0.07616222013682795,35.66,2,200,-126.49985375204716,100,0.001,-25.93298452173805,2.9313316
-94.55293428615165,-94.43140610939705,1.9572059,3809,11,0.3139606040885615,38.09,3,300,-126.25002332282946,100,0.001,-25.93298452173805,3.280749
-94.7314013066132,-95.26680236799781,2.0263157,2615,11,0.08638429767921822,26.15,4,400,-119.79555197482782,100,0.001,-25.93298452173805,3.1140752
-94.55329479366274,-93.840868741861,2.4684134,3771,13,0.3578762801803312,37.71,5,500,-126.54478527884463,100,0.001,-25.93298452173805,3.1242142
-94.59713155305822,-94.81631535003552,1.5093795,2804,11,0.1513735743179935,28.04,6,600,-121.08611248152745,100,0.001,-25.93298452173805,2.2499595
-94.69595113419666,-95.28886862102729,2.8837898,2895,12,0.10211079069971676,28.95,7,700,-121.60641294394922,100,0.001,-25.93298452173805,3.598949
-94.64549656721836,-94.2923145983703,2.0679727,3526,12,0.22742375334605888,35.26,8,800,-126.53558676573459,100,0.001,-25.93298452173805,3.1417441
-94.65779901211175,-94.75621857125905,1.3727823,3812,10,0.19933492639234085,38.12,9,900,-128.87273208435315,100,0.001,-25.93298452173805,1.6955111
-94.65810056003359,-94.66081449132994,2.5264819,2926,12,0.3194651531994867,29.26,10,1000,-121.36231500265696,100,0.001,-25.93298452173805,2.9310715
-94.6126911963461,-94.15859755947139,2.0168467,4051,12,0.6488483041838952,40.51,11,1100,-123.83809001888437,100,0.001,-25.93298452173805,2.6165874
-94.56349563109204,-94.02234441329719,1.2742894,4649,11,0.5731674993954013,46.49,12,1200,-133.49617794009424,100,0.001,-25.93298452173805,1.6469175
-94.51933164349889,-93.98936379238121,1.4304289,2887,12,0.4318308050599805,28.87,13,1300,-116.58551443851802,100,0.001,-25.93298452173805,2.377261
-94.57493075624222,-95.29771922190542,1.5496327,3161,13,0.1303829325263625,31.61,14,1400,-124.28806713453776,100,0.001,-25.93298452173805,2.582042
-94.56903615045408,-94.48651166942008,3.5465698,2575,11,0.13078598607515093,25.75,15,1500,-118.4556733080961,100,0.001,-25.93298452173805,4.3470316
-94.60089265965979,-95.07874029774536,0.5540421,2505,11,0.10875640168847575,25.05,16,1600,-118.54655541518535,100,0.001,-25.93298452173805,0.9408002
-94.60351241301305,-94.64542846666538,2.1106932,3862,12,0.24020341625193586,38.62,17,1700,-129.30909143926516,100,0.001,-25.93298452173805,3.1941352
-94.66369631793762,-95.68682270165534,2.5667632,3826,12,0.0827797332862536,38.26,18,1800,-130.26407334456724,100,0.001,-25.93298452173805,3.5799022
-94.68179095642384,-95.00749444917581,1.5844951,3092,12,0.11689982523352488,30.92,19,1900,-123.16406937074964,100,0.001,-25.93298452173805,1.9586052
-94.69706970807533,-94.98736598945352,2.5388746,3690,12,0.14406344902794443,36.9,20,2000,-128.021128290158,100,0.001,-25.93298452173805,3.54635
-94.7155190265017,-95.084505395029,2.3865788,3740,10,0.1564368700419528,37.4,21,2100,-128.76650054663867,100,0.001,-25.93298452173805,3.1123283
-94.74499790673974,-95.3640543917387,0.8827278,3454,11,0.0799467916746957,34.54,22,2200,-126.33060096340236,100,0.001,-25.93298452173805,1.0104965
-94.73671221204586,-94.55442692878047,1.4673914,3878,11,0.176355898521979,38.78,23,2300,-129.11518925541102,100,0.001,-25.93298452173805,1.9845855
-94.75467500168944,-95.16781916349173,2.7933216,3424,11,0.40281929195555466,34.24,24,2400,-126.56575663958931,100,0.001,-25.93298452173805,3.957054
-94.77435354933876,-95.24663869292264,1.5468228,2542,12,0.08932731784741414,25.42,25,2500,-119.00603337838312,100,0.001,-25.93298452173805,1.6776739
-94.78513038910212,-95.05455138318607,1.1273977,2871,13,0.10350970926659304,28.71,26,2600,-121.09488307286425,100,0.001,-25.93298452173805,1.7511075
-94.78335885297474,-94.73729891366281,2.81466,3652,12,0.2536119249876348,36.52,27,2700,-127.35167679782158,100,0.001,-25.93298452173805,3.6435003
-94.78209298623646,-94.74791458430268,1.8003589,3274,11,0.1520373112427723,32.74,28,2800,-124.65888864012909,100,0.001,-25.93298452173805,3.2774336
-94.77936152647321,-94.70288065310284,4.0397663,4199,12,0.34531561197893623,41.99,29,2900,-128.8547602606245,100,0.001,-25.93298452173805,5.7875996
-94.78215488615542,-94.863162316939,2.5269275,2840,11,0.1697281424521378,28.4,30,3000,-121.38074735299507,100,0.001,-25.93298452173805,4.274203
-94.7667274647263,-94.30390482185268,3.0394733,3165,12,0.28703112149629517,31.65,31,3100,-122.65753334737246,100,0.001,-25.93298452173805,3.0472775
-94.75403647417585,-94.36061576711194,4.748804,4044,12,0.23799288753885758,40.44,32,3200,-128.5682758823308,100,0.001,-25.93298452173805,6.0833287
-94.75561823821364,-94.80623468742294,1.1489177,3616,11,0.1635025789443143,36.16,33,3300,-127.19915874070836,100,0.001,-25.93298452173805,1.2659411
-94.77106748442121,-95.28089260927129,1.8672081,3478,11,0.07429811045102826,34.78,34,3400,-126.47763492184384,100,0.001,-25.93298452173805,3.2749522
-94.75465548300778,-94.19664743495093,1.6348785,3341,12,0.35774406680848037,33.41,35,3500,-124.4012225382739,100,0.001,-25.93298452173805,2.2701762
-94.75978152646144,-94.93919304733912,1.9984742,3145,11,0.13747899964742788,31.45,36,3600,-123.60561412515041,100,0.001,-25.93298452173805,2.2246659
-94.76081745830366,-94.79811100462415,2.699646,3722,12,0.12006331018593792,37.22,37,3700,-127.44223042152751,100,0.001,-25.93298452173805,3.6820881
-94.77452502960872,-95.28170516789586,2.3529823,3579,11,0.10985673423455918,35.79,38,3800,-127.50558932130612,100,0.001,-25.93298452173805,2.9044793
-94.78616750269988,-95.22858148016385,1.8141963,2660,12,0.11780619859716518,26.6,39,3900,-120.16698069234434,100,0.001,-25.93298452173805,2.5896323
-94.76843480288672,-94.07685951017325,1.9548179,3829,12,0.6270171602758742,38.29,40,4000,-126.58284648337656,100,0.001,-25.93298452173805,2.5330613
