MinEpLen,TimestepsSoFar,BatchSize,ReturnMax,NatGradInftyNorm,NumTrajectories,AvgRet,Iteration,ReturnMean,VarJ,NatGrad2Norm,AvgEpLen,J,StepSize
11,2038,100,-10.061135392292874,1.6347436,4100,-113.75138831229074,41,-95.74958180903243,0.02121825301733496,2.4283674,20.38,-95.00803563706802,1.0
11,2229,100,-10.061135392292874,2.4144754,4200,-115.67217850128397,42,-95.73346115887956,0.016064829002938156,3.527663,22.29,-95.07251450261155,1.0
11,1966,100,-10.061135392292874,2.3566322,4300,-112.60678074307471,43,-95.707290510049,0.02510618361889451,3.202332,19.66,-94.6081232591655,1.0
11,2077,100,-10.061135392292874,0.9605166,4400,-112.60498426847285,44,-95.66104223267655,0.035990500529491654,1.2535597,20.77,-93.67236630566073,1.0
11,1922,100,-10.061135392292874,2.0882938,4500,-111.62037655634109,45,-95.62643061932336,0.0387183818457909,2.7764056,19.22,-94.10351963178312,1.0
11,1901,100,-10.061135392292874,2.58579,4600,-110.79488702628862,46,-95.58176290088916,0.058882544864575184,3.2738616,19.01,-93.57171557135025,1.0
11,1971,100,-10.061135392292874,2.930574,4700,-112.07098805311335,47,-95.55007920106617,0.04389300864492115,3.5181186,19.71,-94.09262900920825,1.0
11,1955,100,-10.061135392292874,2.9299824,4800,-111.73484100581692,48,-95.51664104233254,0.05091222408969547,4.0102496,19.55,-93.94504758185128,1.0
11,1802,100,-10.061135392292874,1.7241677,4900,-110.45590315952228,49,-95.48842470007516,0.03814600971983621,2.4928324,18.02,-94.13404027172209,1.0
11,2000,100,-10.061135392292874,1.8794614,5000,-112.49693499362137,50,-95.46306962684345,0.04096018798475006,2.6772072,20.0,-94.22067103848913,1.0
