MinEpLen,TimestepsSoFar,BatchSize,ReturnMax,NatGradInftyNorm,NumTrajectories,AvgRet,Iteration,ReturnMean,VarJ,NatGrad2Norm,AvgEpLen,J,StepSize
11,4192,100,-10.061135392292874,2.6918066,100,-127.66746032986275,1,-93.43026936126682,0.8280427300324236,3.2090635,41.92,-93.43026936126682,1.0
11,2575,100,-10.061135392292874,2.0622625,200,-119.27042353461097,2,-94.36071712424739,0.04289755428751306,3.0108845,25.75,-95.29116488722796,1.0
14,6666,100,-10.061135392292874,2.540097,300,-162.62690468302054,3,-95.59887196170759,0.023158962690348114,2.7723143,66.66,-98.07518163662806,1.0
14,4373,100,-10.061135392292874,2.125282,400,-139.84622148545913,4,-96.24962589573568,0.021955832718770954,3.2919486,43.73,-98.20188769781991,1.0
12,2743,100,-10.061135392292874,2.8138614,500,-121.27522873836125,5,-96.11856288601605,0.049213655863512236,3.4261637,27.43,-95.59431084713762,1.0
13,2351,100,-10.061135392292874,1.5906044,600,-119.3822054891304,6,-96.29522892846241,0.013623650209843923,2.0662575,23.51,-97.17855914069419,1.0
13,4298,100,-10.061135392292874,1.4785993,700,-138.66912344962583,7,-96.51939557020947,0.020906732912313698,1.657323,42.98,-97.86439542069178,1.0
13,2543,100,-10.061135392292874,1.6118226,800,-121.68152978592809,8,-96.63701644507164,0.018046579942901285,1.8959115,25.43,-97.46036256910682,1.0
12,2563,100,-10.061135392292874,1.6285439,900,-120.9821150524682,9,-96.66133296411356,0.010461132462720847,2.0498102,25.63,-96.85586511644892,1.0
13,2275,100,-10.061135392292874,2.372308,1000,-117.52992825853204,10,-96.62479669026577,0.010949225803657325,2.9942358,22.75,-96.29597022563561,1.0
13,2795,100,-10.061135392292874,1.7945191,1100,-124.30819709426811,11,-96.71305260470248,0.01747707148923557,1.8626068,27.95,-97.59561174906972,1.0
14,5417,100,-10.061135392292874,1.3813161,1200,-150.91581494698056,12,-96.81415861914148,0.025562332264737267,1.491079,54.17,-97.92632477797042,1.0
14,7652,100,-10.061135392292874,1.8261573,1300,-172.4845639896809,13,-96.8672211845917,0.03738543402742189,2.6751132,76.52,-97.5039719699943,1.0
12,2447,100,-10.061135392292874,1.4507129,1400,-119.18356773491062,14,-96.8237888530965,0.0211099654055546,1.7863914,24.47,-96.25916854365886,1.0
12,2348,100,-10.061135392292874,1.8111873,1500,-117.19966932745768,15,-96.72792153813799,0.02373517807103268,2.6753511,23.48,-95.38577912871908,1.0
12,2161,100,-10.061135392292874,2.8186896,1600,-115.67111146097167,16,-96.66065118103333,0.014294835261813344,2.96205,21.61,-95.65159582446326,1.0
11,2397,100,-10.061135392292874,1.8295789,1700,-117.53614987364637,17,-96.57717432793558,0.04771704459999486,2.7607706,23.97,-95.2415446783716,1.0
11,2044,100,-10.061135392292874,2.714581,1800,-113.14181356205874,18,-96.45771838473806,0.04304631973596336,3.3907773,20.44,-94.42696735038022,1.0
11,2144,100,-10.061135392292874,1.9579079,1900,-113.97952099856556,19,-96.34492198589426,0.02540431841547619,2.2004693,21.44,-94.31458680670613,1.0
11,2473,100,-10.061135392292874,0.8771763,2000,-117.94609317043528,20,-96.27793228543175,0.027247134783506027,1.4102479,24.73,-95.00512797664346,1.0
12,2338,100,-10.061135392292874,3.1781368,2100,-116.7472213228474,21,-96.22174687777968,0.022216050049157637,4.3968596,23.38,-95.09803872473826,1.0
11,1928,100,-10.061135392292874,4.8874655,2200,-112.49477005375378,22,-96.15859088854108,0.028718439586927123,5.043256,19.28,-94.83231511453084,1.0
12,2929,100,-10.061135392292874,1.4729052,2300,-123.85182452505784,23,-96.15787519856953,0.035817822669805655,1.828807,29.29,-96.14213001919539,1.0
12,2873,100,-10.061135392292874,1.9702063,2400,-124.44424322138127,24,-96.19395991064138,0.01950327621502827,2.8878717,28.73,-97.02390828829415,1.0
11,2919,100,-10.061135392292874,4.698113,2500,-124.42786152033521,25,-96.21304148791569,0.014248317809126079,5.3734584,29.19,-96.67099934249873,1.0
10,2095,100,-10.061135392292874,2.6084852,2600,-113.19171149374448,26,-96.12918208694656,0.05219948035487088,3.0207703,20.95,-94.03269706271846,1.0
11,2222,100,-10.061135392292874,1.8914632,2700,-114.54595259439196,27,-96.05636199001059,0.046355167894253306,2.209801,22.22,-94.1630394696755,1.0
10,2098,100,-10.061135392292874,1.7968527,2800,-113.69578115081161,28,-95.99929741975598,0.04283343890683861,2.4742532,20.98,-94.45855402288088,1.0
11,2111,100,-10.061135392292874,1.7167965,2900,-113.78516964978913,29,-95.94481335914546,0.028918167637485684,2.0871263,21.11,-94.4192596620512,1.0
11,2269,100,-10.061135392292874,3.948483,3000,-115.49568934787055,30,-95.899231412853,0.03614400615566891,4.176615,22.69,-94.57735497037169,1.0
11,2452,100,-10.061135392292874,2.6306968,3100,-118.10318265714768,31,-95.87943177779182,0.021961329344026868,3.4828272,24.52,-95.28544272595697,1.0
12,2622,100,-10.061135392292874,0.9816979,3200,-121.23182620427667,32,-95.89721809869309,0.012564351372888478,1.4505017,26.22,-96.44859404663222,1.0
11,2521,100,-10.061135392292874,2.5773864,3300,-119.5646333693871,33,-95.8991652178602,0.013991317468511033,2.9846714,25.21,-95.9614730312075,1.0
12,2613,100,-10.061135392292874,1.928926,3400,-120.86870832918078,34,-95.90907912804856,0.010318093724159238,2.3760564,26.13,-96.23623816426502,1.0
11,2309,100,-10.061135392292874,2.9452968,3500,-117.22709978262539,35,-95.90282857092936,0.012895490445309455,3.122077,23.09,-95.69030962887622,1.0
12,2325,100,-10.061135392292874,1.4307534,3600,-117.38219543885926,36,-95.89794912351941,0.0178303819660776,1.7660059,23.25,-95.72716846417097,1.0
12,2011,100,-10.061135392292874,2.5372617,3700,-113.5803164501391,37,-95.87592126339861,0.015358336532837392,3.6340141,20.11,-95.0829182990498,1.0
10,1965,100,-10.061135392292874,1.6977948,3800,-112.1402298072524,38,-95.83215739740139,0.03033149331737211,2.5505042,19.65,-94.21289435550419,1.0
11,1965,100,-10.061135392292874,2.0995204,3900,-112.42286687670979,39,-95.79648884720218,0.029384124392889722,2.251702,19.65,-94.44108393963212,1.0
11,2141,100,-10.061135392292874,0.9273268,4000,-114.33698226313065,40,-95.76812046333157,0.01740302890055065,1.4154875,21.41,-94.66175349237754,1.0
