MinEpLen,VarJ,NumTrajectories,AvgEpLen,StepSize,AvgRet,NatGradInftyNorm,NatGrad2Norm,Iteration,ReturnMax,ReturnMean,J,BatchSize,TimestepsSoFar
11,0.09639581092330542,100,32.6,1.0,-123.46724675443689,1.6774778,2.4009686,1,-82.19644013632856,-94.53544024789937,-94.53544024789937,100,3260
12,0.2848626776664279,200,18.81,1.0,-108.53925816977213,1.5856347,1.9520059,2,-62.63085746582194,-93.18259905506842,-91.8297578622375,100,1881
14,1.895824586499116,300,35.02,1.0,-105.88908491027614,1.5442679,1.764591,3,-39.845999717594765,-88.193400363404,-78.21500298007513,100,3502
12,0.5576198086748841,400,20.98,1.0,-108.06414772051818,2.0816433,3.5233443,4,-39.845999717594765,-88.59597614280639,-89.80370348101356,100,2098
11,0.07494807775756875,500,17.18,1.0,-109.080332385773,3.2868738,4.288399,5,-39.845999717594765,-89.59259273978826,-93.57905912771575,100,1718
10,0.07225598415344933,600,15.86,1.0,-107.37282273972367,3.5864499,4.30902,6,-39.845999717594765,-90.19727310567927,-93.2206749351343,100,1586
11,0.059929344085526214,700,15.74,1.0,-107.7725735384358,2.586562,3.9141595,7,-39.845999717594765,-90.69203407109545,-93.66059986359257,100,1574
11,0.07006728958468249,800,16.13,1.0,-108.01939072803451,3.029319,3.8302805,8,-39.845999717594765,-91.04775845837631,-93.53782916934233,100,1613
12,0.0834963621427439,900,16.79,1.0,-108.28227844748935,1.4290608,1.6923558,9,-39.845999717594765,-91.29041387713397,-93.23165722719531,100,1679
11,0.06811996811459003,1000,16.32,1.0,-108.77075893868954,2.3226063,2.4344847,10,-39.845999717594765,-91.56601048855045,-94.04637999129845,100,1632
11,0.06186729572318855,1100,16.02,1.0,-107.62090644334006,1.9275752,2.1750047,11,-39.845999717594765,-91.72380165263863,-93.30171329352044,100,1602
11,0.06440030203917008,1200,16.18,1.0,-107.69207541736074,0.7496723,1.014226,12,-39.845999717594765,-91.84890788714361,-93.22507646669861,100,1618
11,0.07413883202758031,1300,16.25,1.0,-108.33032084992092,1.474046,2.2103524,13,-39.845999717594765,-91.99326505037926,-93.725551009207,100,1625
11,0.05516395602651041,1400,16.02,1.0,-107.96062483032554,2.5350852,3.8235152,14,-39.845999717594765,-92.10762512289543,-93.5943060656057,100,1602
10,0.08676339098992582,1500,16.61,1.0,-108.26893827512887,0.8058478,1.2652985,15,-39.845999717594765,-92.19237932664699,-93.37893817916891,100,1661
10,0.04981691027966651,1600,15.62,1.0,-108.00127512906042,1.5379295,2.6373258,16,-39.845999717594765,-92.30363049921056,-93.97239808766415,100,1562
10,0.10212827632195025,1700,16.84,1.0,-107.83154011579377,2.3159328,3.0050244,17,-39.845999717594765,-92.33204540113987,-92.78668383200888,100,1684
11,0.06619834513884645,1800,16.39,1.0,-107.93688943318179,2.5218391,2.57393,18,-39.845999717594765,-92.38401434047088,-93.26748630909788,100,1639
11,0.08970233870685172,1900,16.11,1.0,-107.66137713230216,2.343924,2.655654,19,-39.845999717594765,-92.42971445169293,-93.25231645369004,100,1611
11,0.28714917004530727,2000,17.28,1.0,-107.6223497004691,1.8016362,2.3804579,20,-39.845999717594765,-92.42605077921358,-92.35644100210565,100,1728
11,0.06524738303529397,2100,16.59,1.0,-108.58145600331405,1.0098525,1.6020662,21,-39.845999717594765,-92.48471879168127,-93.65807904103522,100,1659
11,0.30324652707580096,2200,17.41,1.0,-107.8025940885834,2.036083,2.8612227,22,-39.845999717594765,-92.48282691536738,-92.44309751277568,100,1741
11,0.09722126385651904,2300,16.58,1.0,-108.09806582124463,1.806781,2.5253303,23,-39.845999717594765,-92.51603741773818,-93.24666846989572,100,1658
11,0.1007378246756625,2400,16.38,1.0,-107.81879281549483,1.2608538,1.5866164,24,-39.845999717594765,-92.54252687662839,-93.1517844311031,100,1638
10,0.08333572110540434,2500,16.4,1.0,-107.58284866186395,3.9919484,4.4962063,25,-39.845999717594765,-92.55826571397473,-92.93599781028706,100,1640
11,0.10003429348654283,2600,16.36,1.0,-107.09580198371637,0.878795,1.0874923,26,-39.845999717594765,-92.55749022221066,-92.53810292810878,100,1636
11,0.09625259204623703,2700,15.98,1.0,-106.81131630158427,2.6538088,3.105245,27,-39.845999717594765,-92.559195211537,-92.6035249340215,100,1598
10,0.07815944389807825,2800,16.02,1.0,-106.84077554909531,1.1017264,1.6014243,28,-39.845999717594765,-92.55993789417047,-92.57999032527468,100,1602
11,0.04223112611482891,2900,15.73,1.0,-106.82041584851599,2.4259593,3.3620064,29,-39.845999717594765,-92.56917804033796,-92.82790213302786,100,1573
11,0.13688648246327656,3000,16.23,1.0,-106.58888377210958,2.4120774,3.5493639,30,-39.845999717594765,-92.55725326461442,-92.21143476863129,100,1623
11,2.203392021575929,3100,24.12,1.0,-105.7285831822829,1.1090968,1.6838632,31,-23.86993038342028,-92.37351097023738,-86.86124213892639,100,2412
11,1.5435956592128843,3200,22.15,1.0,-106.37844472787127,3.3994663,4.444305,32,-19.683881018098788,-92.259809942997,-88.73507809854532,100,2215
11,0.05078335864112118,3300,15.41,1.0,-106.18472042577599,1.6836861,2.020256,33,-19.683881018098788,-92.26772546654081,-92.52102221994247,100,1541
11,0.09458556323921723,3400,16.23,1.0,-106.39910964059159,1.9538883,2.9574585,34,-19.683881018098788,-92.26092142223408,-92.03638796011232,100,1623
11,0.14550925071532858,3500,16.68,1.0,-106.87899593813681,2.4242847,2.6482813,35,-19.683881018098788,-92.2571532703237,-92.12903610537042,100,1668
11,0.045420141775926244,3600,15.5,1.0,-106.54863416602177,2.908843,3.6381068,36,-19.683881018098788,-92.2717484129322,-92.78257840422964,100,1550
11,0.051650405743176545,3700,15.39,1.0,-106.28006742378487,2.0678575,2.896698,37,-19.683881018098788,-92.28135194992397,-92.62707928162821,100,1539
11,0.04117887744363511,3800,15.1,1.0,-106.4753515056903,3.6148598,4.1536636,38,-19.683881018098788,-92.30173117121373,-93.0557623589347,100,1510
12,0.3495369679777772,3900,24.1,1.0,-110.68174280617268,1.7168435,2.1579113,39,-19.683881018098788,-92.23380046162914,-89.65243349741444,100,2410
16,0.7367378637181308,4000,46.92,1.0,-115.00261550439168,0.73905456,0.87277406,40,-19.683881018098788,-91.84480147342184,-76.67384093333732,100,4692
40,0.6574943866848649,4100,87.87,1.0,-139.8675974792998,1.4675165,1.8599625,41,-19.683881018098788,-91.37417180130485,-72.54898491662513,100,8787
17,0.8369711340140872,4200,62.72,1.0,-119.91176110064305,2.1940029,2.5052626,42,-19.683881018098788,-90.88831067946265,-70.96800468393234,100,6272
37,0.44099385971205296,4300,51.44,1.0,-111.60356615181892,1.1534108,1.5923867,43,-19.683881018098788,-90.4136515562081,-70.47796837951691,100,5144
17,0.6429878938933139,4400,45.8,1.0,-112.96766457375679,1.2610836,1.5538425,44,-19.683881018098788,-90.07304829319963,-75.42710798383524,100,4580
14,0.5553613964450063,4500,27.19,1.0,-108.97436056954795,1.7035478,2.00628,45,-19.683881018098788,-89.97499270635679,-85.66054688527252,100,2719
18,0.5666660994581959,4600,38.79,1.0,-110.81105258248841,1.5624452,1.9078397,46,-19.683881018098788,-89.72543207364687,-78.49520360170055,100,3879
16,0.9115019780955694,4700,68.76,1.0,-131.66922691767576,1.6348321,2.1019428,47,-19.683881018098788,-89.42611073596379,-75.65732920254132,100,6876
14,0.5483460428455385,4800,28.92,1.0,-109.85335667659227,1.2469003,1.3558416,48,-19.683881018098788,-89.3361892293426,-85.10987841814668,100,2892
12,0.35718482794838907,4900,20.13,1.0,-107.3917920398959,1.322303,2.0381403,49,-19.683881018098788,-89.3457606155484,-89.805187153427,100,2013
11,0.08955765730266696,5000,17.01,1.0,-106.88086743942071,1.9824082,3.1554005,50,-19.683881018098788,-89.39545874815695,-91.83066724597607,100,1701
