J,AvgRet,BatchSize,NatGradInftyNorm,AvgEpLen,ReturnMean,MinEpLen,Iteration,StepSize,ReturnMax,NumTrajectories,TimestepsSoFar,NatGrad2Norm,VarJ
-95.0095428966096,-124.34259361542283,100,1.241352,32.04,-95.0095428966096,12,1,1.0,-79.72730046187708,100,3204,1.5215114,0.09982817896570728
-93.67980003195265,-106.7709710346255,100,1.4967979,14.66,-94.34467146428113,11,2,1.0,-79.72730046187708,200,1466,1.9603547,0.05072912611379315
-94.00164217322474,-108.4148541329216,100,2.3559263,16.01,-94.23032836726233,11,3,1.0,-79.72730046187708,300,1601,3.372935,0.0612769753195676
-95.5768011388159,-112.97376082820132,100,2.9170773,18.89,-94.56694656015071,12,4,1.0,-79.72730046187708,400,1889,3.5114915,0.02081589638114041
-93.56364243476838,-107.90310834913821,100,2.3672194,15.99,-94.36628573507426,11,5,1.0,-79.72730046187708,500,1599,2.792301,0.05088140910104774
-94.26232770089813,-109.49492221736232,100,1.5364566,16.84,-94.3489593960449,10,6,1.0,-79.72730046187708,600,1684,2.1089523,0.04547633761517329
-93.575178448681,-109.21159395547556,100,3.008748,17.34,-94.2384192607072,11,7,1.0,-79.72730046187708,700,1734,3.2337914,0.06832399954675958
-93.12950021843041,-107.93225900730654,100,2.339633,16.53,-94.09980438042261,12,8,1.0,-79.72730046187708,800,1653,2.8898578,0.07024798764223257
-93.05582664108016,-108.11334872115918,100,1.9588357,16.81,-93.98380685382901,11,9,1.0,-79.72730046187708,900,1681,2.9905496,0.09443685279269927
-93.40589300040367,-108.32788291803602,100,1.1683513,16.63,-93.92601546848647,11,10,1.0,-79.72730046187708,1000,1663,1.9872262,0.0824545432219446
-93.59307988521773,-108.0497275719743,100,1.1853944,16.11,-93.89574859728022,10,11,1.0,-79.72730046187708,1100,1611,1.7470584,0.06378705178752965
-93.49940775586322,-107.86979659038433,100,1.7711645,16.03,-93.8627201938288,11,12,1.0,-79.72730046187708,1200,1603,2.3254137,0.06243893632368561
-93.65520420678779,-108.48611888064323,100,1.5401475,16.5,-93.84675742559489,11,13,1.0,-79.72730046187708,1300,1650,2.2936478,0.06679446815846714
-93.29341774293412,-108.24027865686703,100,1.0912763,16.68,-93.80723316254767,11,14,1.0,-79.72730046187708,1400,1668,1.5041103,0.06751509620993584
-93.48141210281757,-108.02737995037887,100,1.7336878,16.23,-93.78551175856568,11,15,1.0,-79.72730046187708,1500,1623,2.4963784,0.07474304738818476
-93.52329832928686,-108.02742330447595,100,2.0870502,16.16,-93.76912341923575,11,16,1.0,-79.72730046187708,1600,1616,3.1108246,0.06496682838914515
-93.5685208995977,-108.23221883857171,100,2.9545345,16.34,-93.75732327102173,11,17,1.0,-79.72730046187708,1700,1634,4.3842225,0.06520573486226194
-93.66120345085028,-107.88377005789336,100,3.3644087,15.85,-93.75198328101222,11,18,1.0,-79.72730046187708,1800,1585,3.7597969,0.05902126935230716
-92.9362948324858,-107.96535435708114,100,1.093933,16.84,-93.70905231003714,12,19,1.0,-79.72730046187708,1900,1684,1.5982678,0.06951499358050346
-93.33396291311465,-108.00432971106055,100,2.744776,16.36,-93.69029784019102,11,20,1.0,-79.72730046187708,2000,1636,4.220682,0.08208317965095954
-93.7250125622169,-108.15248730692106,100,1.4039038,16.05,-93.69195092219226,11,21,1.0,-79.72730046187708,2100,1605,1.6927329,0.057788757680180165
-93.55683815949314,-108.23441497044543,100,1.0636299,16.36,-93.68580943297866,11,22,1.0,-79.72730046187708,2200,1636,1.4252928,0.062034796246906374
-93.24837616826596,-108.12684756401326,100,1.5265715,16.63,-93.66679059538247,11,23,1.0,-79.72730046187708,2300,1663,2.4264898,0.07193981968383892
-93.2914456104945,-107.82271609699778,100,1.285495,16.23,-93.65115122101211,11,24,1.0,-79.72730046187708,2400,1623,2.0188477,0.0787047972023903
-93.09685236865056,-107.75969034970647,100,1.5001506,16.4,-93.62897926691765,10,25,1.0,-79.72730046187708,2500,1640,2.5882387,0.07479163333213154
-93.25818986327651,-107.94225966934471,100,3.0554957,16.41,-93.61471813600838,11,26,1.0,-79.72730046187708,2600,1641,3.4472172,0.08153054847303969
-93.8462374424967,-108.21201687886094,100,1.4111819,15.98,-93.62329292513758,11,27,1.0,-79.72730046187708,2700,1598,2.1118758,0.04813658162847397
-93.7752659460807,-108.33554080567299,100,2.1302476,16.21,-93.62872053302841,11,28,1.0,-79.72730046187708,2800,1621,2.88659,0.07456184298662417
-93.27972136268004,-107.62433552682874,100,2.4523315,16.03,-93.61668607887846,10,29,1.0,-79.72730046187708,2900,1603,2.6882358,0.058251291718594306
-93.24811065208067,-107.65635976308494,100,1.303655,16.11,-93.60440023131855,11,30,1.0,-79.72730046187708,3000,1611,2.0176632,0.062253121071403704
-93.38341630540916,-107.87711012803848,100,2.0449667,16.16,-93.59727171757953,11,31,1.0,-79.72730046187708,3100,1616,3.1480577,0.08992474327597537
-93.45704495708071,-107.82908009256367,100,0.80690217,16.05,-93.59288963131394,10,32,1.0,-79.72730046187708,3200,1605,1.0502436,0.08024744649765803
-93.75815189806161,-108.48280264672772,100,2.4411147,16.37,-93.59789757879113,10,33,1.0,-79.72730046187708,3300,1637,2.5690222,0.07584819049502943
-93.6460208008173,-107.48186094543688,100,1.4528886,15.44,-93.59931296767425,11,34,1.0,-79.72730046187708,3400,1544,2.1581903,0.06108851714626949
-93.78855015170952,-108.10163815660084,100,1.2394305,15.93,-93.60471974436098,11,35,1.0,-79.72730046187708,3500,1593,1.6702329,0.06557342630641681
-93.9031378886577,-108.26675109026617,100,4.2395024,15.95,-93.61300913725812,10,36,1.0,-79.72730046187708,3600,1595,5.319484,0.05825244434403516
-93.8222795387794,-107.72012242226953,100,2.7767115,15.47,-93.61866509405597,11,37,1.0,-79.72730046187708,3700,1547,3.0750616,0.049839620029721615
-94.25231553513844,-108.07544092162594,100,2.3533633,15.35,-93.63534010566342,11,38,1.0,-79.72730046187708,3800,1535,2.7414649,0.03819472637151737
-93.76025306825723,-107.63114603543694,100,1.5211837,15.46,-93.63854300214018,11,39,1.0,-79.72730046187708,3900,1546,1.9179381,0.040972095811992036
-94.5866920524088,-107.86046606492482,100,4.8397913,14.73,-93.66224672839691,10,40,1.0,-79.72730046187708,4000,1473,5.469256,0.03013042450071328
-94.25158807860103,-107.89502347827028,100,2.8608918,15.15,-93.67662090767016,11,41,1.0,-79.72730046187708,4100,1515,3.940063,0.05222601758534737
-93.9768508769458,-107.85927735460812,100,2.999537,15.46,-93.68376924027199,10,42,1.0,-79.72730046187708,4200,1546,4.9379873,0.04299722609556517
-94.20004285396826,-107.48268320758693,100,1.6161252,14.78,-93.69577560338118,11,43,1.0,-79.72730046187708,4300,1478,2.603929,0.04207815382374742
-94.26320425027521,-107.4739068366809,100,1.263713,14.7,-93.70867170899241,11,44,1.0,-79.72730046187708,4400,1470,2.1339507,0.030490197299985065
-94.46636983046865,-107.94040791845504,100,3.337073,14.96,-93.72550944502522,10,45,1.0,-79.72730046187708,4500,1496,4.9422984,0.03672099935565673
-94.92427488382764,-108.63967472295899,100,0.96261156,15.14,-93.75156956326006,11,46,1.0,-79.72730046187708,4600,1514,1.6377814,0.020535953259171368
-95.02618589640835,-109.16631270659954,100,1.485413,15.57,-93.77868905971003,11,47,1.0,-79.72730046187708,4700,1557,1.5687665,0.017767160620048388
-95.42037664203731,-109.5276773918479,100,1.4617063,15.48,-93.81289088434183,10,48,1.0,-79.72730046187708,4800,1548,1.9893875,0.020397911222785104
-94.99515655858458,-108.89964799302533,100,2.4379508,15.32,-93.83701875524474,11,49,1.0,-79.72730046187708,4900,1532,3.6630764,0.024003223470650214
-95.20396674308196,-109.62918741073028,100,1.4892216,15.84,-93.86435771500149,10,50,1.0,-79.72730046187708,5000,1584,1.990445,0.019175582232123366
