TimestepsSoFar,J,AvgEpLen,NatGrad2Norm,MinEpLen,AvgRet,StepSize,ReturnMean,BatchSize,Iteration,NumTrajectories,NatGradInftyNorm,VarJ,ReturnMax
3260,-94.53544024789937,32.6,2.4009686,11,-123.46724675443689,0.001,-94.53544024789937,100,1,100,1.6774778,0.09639581092330542,-82.19644013632856
2722,-95.37605697417195,27.22,1.8752114,12,-120.97626493028123,0.001,-94.95574861103567,100,2,200,1.4030439,0.09431895832569281,-82.19644013632856
2560,-94.73710049692359,25.6,2.1725345,11,-118.6689205424125,0.001,-94.88286590633165,100,3,300,1.937215,0.10433509087067055,-82.19644013632856
2840,-93.91974472395685,28.4,3.4219093,11,-120.11936936847262,0.001,-94.64208561073796,100,4,400,2.2653434,0.39828605973078923,-50.296136685151545
2849,-95.49547462148195,28.49,4.551603,11,-122.1881618864173,0.001,-94.81276341288674,100,5,500,3.4453652,0.1472970565817598,-50.296136685151545
3938,-94.12267903855265,39.38,4.121208,11,-127.64673056520368,0.001,-94.69774935049773,100,6,600,3.6056936,0.6721060725243941,-39.15638479302764
2850,-94.4806250167221,28.5,3.8485308,12,-120.2685589322632,0.001,-94.66673158852979,100,7,700,2.5876017,0.13876665363494828,-39.15638479302764
3224,-95.22940121620735,32.24,4.097196,11,-123.8147222034185,0.001,-94.7370652919895,100,8,800,3.1466336,0.10462904354839699,-39.15638479302764
3241,-95.09384613844927,32.41,1.557475,11,-124.79370809664591,0.001,-94.77670760826278,100,9,900,1.3683158,0.1279169372319941,-39.15638479302764
3233,-94.48270130445127,32.33,2.1563227,11,-123.80433753844036,0.001,-94.74730697788162,100,10,1000,2.049846,0.17426768275535154,-39.15638479302764
3786,-95.05207057998884,37.86,2.3567321,12,-129.1075991096252,0.001,-94.77501275989137,100,11,1100,2.1160743,0.08880671823614296,-39.15638479302764
3419,-94.39157611466504,34.19,1.2778376,12,-122.20350311354503,0.001,-94.74305970612251,100,12,1200,1.0809357,0.3815494722495537,-39.15638479302764
3311,-94.53753860432033,33.11,2.4783688,13,-124.72692876836558,0.001,-94.72725039059928,100,13,1300,1.5380144,0.19517268724206174,-39.15638479302764
3010,-94.05761434762064,30.1,4.180161,12,-121.80648075524783,0.001,-94.67941924467223,100,14,1400,2.967616,0.3782770560430378,-39.15638479302764
