TimestepsSoFar,J,AvgEpLen,NatGrad2Norm,MinEpLen,AvgRet,StepSize,ReturnMean,BatchSize,Iteration,NumTrajectories,NatGradInftyNorm,VarJ,ReturnMax
3748,-94.94534451409332,37.48,1.4609426,11,-128.76380005754956,0.001,-94.69714759596697,100,15,1500,0.8829882,0.13740221285874635,-39.15638479302764
2706,-95.05213487971649,27.06,2.8547368,11,-120.43748163278757,0.001,-94.7193343012013,100,16,1600,1.7046329,0.09628805195237292,-39.15638479302764
4737,-93.55433520561448,47.37,2.907988,12,-131.77095136734354,0.001,-94.65080494263738,100,17,1700,2.089317,0.6072755105869357,-28.8174586366583
4074,-94.37303753680784,40.74,2.6891472,12,-127.90808507066421,0.001,-94.63537342009128,100,18,1800,2.652611,0.5344796332608217,-28.8174586366583
2827,-95.28767455258232,28.27,2.760681,11,-121.74827429433348,0.001,-94.66970505864346,100,19,1900,2.3204954,0.13373853873349673,-28.8174586366583
2950,-94.7694026584176,29.5,2.4627113,11,-121.56735084632086,0.001,-94.67468993863216,100,20,2000,1.8504237,0.09557448427527136,-28.8174586366583
2738,-94.52050785576036,27.38,1.6872699,13,-119.94410286485923,0.001,-94.66734793468589,100,21,2100,0.99481755,0.1875555742597792,-28.8174586366583
3990,-94.9041430428152,39.9,2.7363799,11,-130.070014052019,0.001,-94.67811134869176,100,22,2200,1.8377471,0.1426297569615462,-28.8174586366583
4275,-94.07458906583506,42.75,2.2099013,12,-131.16869246792118,0.001,-94.65187124943712,100,23,2300,1.6957316,0.4620837298266919,-28.8174586366583
4077,-94.55065921133779,40.77,1.6919117,11,-130.53483264642722,0.001,-94.64765408118298,100,24,2400,1.2920405,0.19321485355220452,-28.8174586366583
2694,-94.85532073199116,26.94,4.6063805,11,-119.97921895643618,0.001,-94.65596074721532,100,25,2500,4.0166874,0.12932004435127195,-28.8174586366583
2876,-94.14172941631672,28.76,0.8471424,11,-120.65560638915451,0.001,-94.63618261910383,100,26,2600,0.601181,0.3777418156226049,-28.8174586366583
2873,-94.47102894051918,28.73,3.2428513,11,-117.65083943462962,0.001,-94.63006581619328,100,27,2700,2.5759804,0.3847394847017036,-28.8174586366583
2779,-94.90938196010356,27.79,1.9140637,11,-120.80475548077916,0.001,-94.6400413927615,100,28,2800,1.3981009,0.2556601720178853,-28.8174586366583
4214,-95.0717687566053,42.14,3.71337,12,-131.995942462363,0.001,-94.65492854323888,100,29,2900,2.7893124,0.164358901249822,-28.8174586366583
2862,-95.14594132279882,28.62,3.8398814,11,-122.13581640829943,0.001,-94.67129563589087,100,30,3000,2.6834044,0.10079209843564824,-28.8174586366583
4514,-94.79236536406093,45.14,1.9768378,12,-133.22542473348597,0.001,-94.67520111099314,100,31,3100,1.4596038,0.14079054501627256,-28.8174586366583
2543,-93.99127983571651,25.43,4.2647295,11,-117.38411141003694,0.001,-94.65382857114075,100,32,3200,3.2560415,0.3886472788193806,-28.8174586366583
2637,-94.68685911734255,26.37,2.1163192,11,-119.09627680492999,0.001,-94.65482949678322,100,33,3300,1.6831565,0.16574832793611458,-28.8174586366583
2955,-94.22162836080979,29.55,2.8749719,11,-120.96196649189929,0.001,-94.64208828690164,100,34,3400,1.7786552,0.13960039852311953,-28.8174586366583
4595,-94.50479031970428,45.95,2.6783736,13,-135.4756430192266,0.001,-94.63816548783886,100,35,3500,2.4706106,0.19520267789483337,-28.8174586366583
2996,-93.91611881971592,29.96,3.3434618,11,-120.64556214600401,0.001,-94.61810863594656,100,36,3600,2.4920318,0.44170099253274964,-28.8174586366583
3036,-94.74131393789358,30.36,2.8541129,12,-121.79418502080391,0.001,-94.62143850897215,100,37,3700,2.0212348,0.12594047617441897,-28.8174586366583
3475,-94.83480521402818,34.75,4.109394,11,-125.939215004057,0.001,-94.62705342226309,100,38,3800,3.6161478,0.12473453413088512,-28.8174586366583
2987,-94.91307966259618,29.87,2.2902067,13,-122.74597436528275,0.001,-94.6343874284255,100,39,3900,1.7415413,0.1539847770861443,-28.8174586366583
2834,-94.56994381948576,28.34,0.82514,11,-121.0837444625793,0.001,-94.632776338202,100,40,4000,0.54385203,0.14711191605232474,-28.8174586366583
4162,-94.0144264371823,41.62,2.8546476,12,-128.21197394368644,0.001,-94.61769463329908,100,41,4100,2.2084787,0.49445787032099586,-28.8174586366583
2894,-94.73186386866897,28.94,3.2326362,12,-121.52886374710909,0.001,-94.62041294842692,100,42,4200,2.668422,0.32526737980820863,-28.8174586366583
2780,-93.6346847758611,27.8,2.0289261,11,-119.38200388696157,0.001,-94.59748903743703,100,43,4300,1.4286569,0.26077169220029345,-28.8174586366583
4505,-94.96688007000311,45.05,2.1791873,11,-133.04700580054285,0.001,-94.60588428817717,100,44,4400,1.8581245,0.15844479179216922,-28.8174586366583
3476,-94.450647022482,34.76,2.1932561,12,-123.05113586870362,0.001,-94.60243457116172,100,45,4500,2.0067368,0.30304368146091226,-28.8174586366583
4669,-94.56697007680371,46.69,2.207753,12,-135.44211570975966,0.001,-94.60166360389307,100,46,4600,1.9730949,0.17858346840144446,-28.8174586366583
3078,-94.40165036314784,30.78,2.6561022,12,-120.37593454045864,0.001,-94.59740800302615,100,47,4700,1.9902439,0.7108670831992852,-19.3797514425417
2847,-94.7612045152035,28.47,1.9416018,12,-121.00136589079582,0.001,-94.60082043036317,100,48,4800,1.6547074,0.30052582749004414,-19.3797514425417
2680,-94.48961223776173,26.8,2.2055519,12,-119.44115728428889,0.001,-94.59855087541213,100,49,4900,1.5327165,0.1247809606754127,-19.3797514425417
4277,-94.31487872160415,42.77,3.2867382,12,-129.36287612971103,0.001,-94.59287743233597,100,50,5000,1.9897358,0.3149522411544103,-19.3797514425417
