NumTrajectories,AvgRet,StepSize,J,ReturnMax,NatGrad2Norm,NatGradInftyNorm,TimestepsSoFar,ReturnMean,BatchSize,MinEpLen,VarJ,AvgEpLen,Iteration
100,-119.23582426717911,0.01,-93.9297177855887,-25.93298452173805,1.543483,1.1160872,3664,-93.9297177855887,100,11,0.7020841386293543,36.64,1
200,-125.28896325796785,0.01,-94.55221729140891,-25.93298452173805,2.814486,2.1993499,3704,-94.24096753849882,100,11,0.2394449768905208,37.04,2
300,-117.42069578960032,0.01,-94.5431747937569,-25.93298452173805,3.1940477,2.0829365,2824,-94.34170329025152,100,11,0.4405462295114068,28.24,3
400,-117.76385282163501,0.01,-94.62496084981157,-25.93298452173805,3.1643012,2.0597925,2542,-94.41251768014153,100,11,0.21184798197340604,25.42,4
500,-121.77866421776021,0.01,-94.03761017867744,-25.93298452173805,3.0027962,2.3690782,3542,-94.33753617984871,100,10,0.4779662709718543,35.42,5
600,-117.45341690060405,0.01,-94.39101699000399,-25.93298452173805,2.23233,1.4328145,2484,-94.34644964820791,100,11,0.11527038813569983,24.84,6
700,-122.09798180527503,0.01,-94.14546825416699,-25.93298452173805,3.5090158,2.8255956,3084,-94.31773802048778,100,11,0.21925878815750083,30.84,7
800,-120.89468855023108,0.01,-93.78572129861276,-25.93298452173805,3.1384804,2.128481,3015,-94.25123593025343,100,12,0.40102964440376015,30.15,8
900,-130.31602403060558,0.01,-94.22112280906869,-25.93298452173805,1.7698959,1.3187014,4102,-94.24789002789954,100,12,0.29614563581798736,41.02,9
1000,-116.15977720989179,0.01,-94.61664045932481,-25.93298452173805,2.9565465,2.514631,2324,-94.28476507104207,100,12,0.07903577937458976,23.24,10
1100,-133.80681837207615,0.01,-93.25006171121947,-25.93298452173805,2.6609955,2.0600696,5433,-94.19070112924003,100,11,0.7288423615275395,54.33,11
1200,-129.6554670908431,0.01,-93.00793294457252,-25.93298452173805,1.6235359,1.3123761,4181,-94.09213711385105,100,12,0.3785944390799488,41.81,12
1300,-119.57050359264149,0.01,-93.75725271210293,-25.93298452173805,2.3959115,1.3879149,2937,-94.06637677525505,100,12,0.34885113277682306,29.37,13
1400,-123.74554268144489,0.01,-94.37755687173323,-25.93298452173805,2.628439,1.7842369,3286,-94.08860392500347,100,12,0.45091411382358465,32.86,14
1500,-125.70697628202683,0.01,-93.75816529811812,-25.93298452173805,4.3721185,3.610061,4082,-94.06657468321113,100,12,0.49617213243715996,40.82,15
1600,-123.75967450854881,0.01,-94.12392895207562,-25.93298452173805,1.0339495,0.66461915,3261,-94.07015932501517,100,11,0.2709236395292892,32.61,16
1700,-134.24439044783082,0.01,-92.87749285471618,-23.31474155626848,3.0950022,2.1598096,5308,-94.0000024738211,100,12,1.0364013417328313,53.08,17
1800,-135.65375647032482,0.01,-94.27214542821639,-23.31474155626848,3.8027823,2.82618,4797,-94.01512152684306,100,13,0.5156756300147298,47.97,18
1900,-136.12116648601466,0.01,-93.9413763435728,-23.31474155626848,2.140818,1.8636477,4823,-94.01124020140779,100,13,0.3232022530879539,48.23,19
2000,-126.5348411981665,0.01,-93.56581402663915,-23.31474155626848,3.975475,2.8479912,3758,-93.98896889266936,100,11,0.7609961897866622,37.58,20
2100,-138.05443858580153,0.01,-92.5689652663587,-23.31474155626848,3.2264328,2.5909665,5765,-93.92134967236885,100,12,1.1477390129638108,57.65,21
