ReturnMax,Iteration,NatGrad2Norm,BatchSize,StepSize,NumTrajectories,AvgRet,J,AvgEpLen,VarJ,TimestepsSoFar,NatGradInftyNorm,MinEpLen,ReturnMean
-10.061135392292874,1,3.2090635,100,0.1,100,-127.66746032986275,-93.43026936126682,41.92,0.8280427300324236,4192,2.6918066,11,-93.43026936126682
-10.061135392292874,2,2.853944,100,0.1,200,-138.63604508457817,-96.58867636159465,47.05,0.07935499914402938,4705,1.9229206,12,-95.00947286143074
-10.061135392292874,3,2.8285637,100,0.1,300,-145.90783921158175,-97.71833485742626,52.4,0.020766089961435457,5240,2.5872605,14,-95.9124268600959
-10.061135392292874,4,3.2018366,100,0.1,400,-124.98208386550206,-97.58798539456382,28.68,0.018012921709431823,2868,2.0378404,12,-96.33131649371288
-10.061135392292874,5,3.409634,100,0.1,500,-138.51589703607965,-97.12107637025207,45.74,0.03620022870289873,4574,2.8382385,12,-96.48926846902073
-10.061135392292874,6,2.0422068,100,0.1,600,-121.74782622651665,-97.28416573424491,25.8,0.014826234247712417,2580,1.5816681,12,-96.62175134655809
-10.061135392292874,7,1.6530079,100,0.1,700,-125.34639262333832,-97.37327392359616,29.35,0.019980451805895007,2935,1.4811753,14,-96.72911171470638
-10.061135392292874,8,1.8937807,100,0.1,800,-121.28098427747138,-97.21644018623721,25.42,0.018247819044327544,2542,1.5861547,13,-96.79002777364772
-10.061135392292874,9,2.0648792,100,0.1,900,-121.69281422854414,-97.27949303139789,25.68,0.021554035343337427,2568,1.6736907,13,-96.84441280228664
-10.061135392292874,10,2.9326537,100,0.1,1000,-120.93901652053083,-97.04548362125458,25.27,0.018239980892817042,2527,2.3628042,12,-96.86451988418342
-10.061135392292874,11,1.7752031,100,0.1,1100,-132.87318996483975,-97.70213269594016,38.39,0.01891000093764408,3839,1.7111902,13,-96.94066650343404
-10.061135392292874,12,1.4534682,100,0.1,1200,-131.30700271801408,-97.78521551962766,35.7,0.016983213846370256,3570,1.3380544,13,-97.01104558811684
-10.061135392292874,13,2.707834,100,0.1,1300,-185.98102195481556,-97.91394308718527,100.18,0.01941497639840674,10018,1.8197446,13,-97.08049924189133
-10.061135392292874,14,1.9514939,100,0.1,1400,-130.74791083044613,-97.160604519856,34.95,0.03011797585597839,3495,1.6305523,12,-97.08622104746023
-10.061135392292874,15,2.766063,100,0.1,1500,-124.08883617045092,-96.55846947552445,29.07,0.030199981237949557,2907,1.8553485,12,-97.05103760933119
-10.061135392292874,16,2.9886527,100,0.1,1600,-117.22449110750613,-96.0842870472456,22.64,0.017825720886236053,2264,2.8242214,11,-96.99061569920083
-10.061135392292874,17,2.9188683,100,0.1,1700,-121.69109632356782,-95.96578174284157,27.36,0.044011054965610905,2736,1.864278,12,-96.93033134882677
-10.061135392292874,18,3.3346865,100,0.1,1800,-114.68907648120621,-94.64663197019567,21.73,0.04298133130366125,2173,2.6731193,11,-96.80345916112503
-10.061135392292874,19,2.212596,100,0.1,1900,-115.63251612656074,-95.144299747288,22.16,0.025806477318318696,2216,2.0127656,11,-96.7161349814494
-10.061135392292874,20,1.4423391,100,0.1,2000,-120.27809902319846,-95.82097069844096,26.06,0.03430552989322835,2606,0.7699652,11,-96.67137676729898
-10.061135392292874,21,4.446679,100,0.1,2100,-117.87532499886805,-95.79809898215407,23.66,0.014730341857963798,2366,3.2529287,11,-96.62979211086352
-10.061135392292874,22,4.9882827,100,0.1,2200,-113.22407009290984,-95.12079444858972,19.69,0.03293044733565494,1969,4.8478823,11,-96.56120130803288
-10.061135392292874,23,1.7975204,100,0.1,2300,-123.13395186597059,-96.32974988812923,28.28,0.02743562944117798,2828,1.4042356,12,-96.55113820281969
-10.061135392292874,24,2.8918145,100,0.1,2400,-123.6120044978017,-97.18201321183822,27.77,0.026416041419421395,2777,1.9211962,12,-96.57742466152878
-10.061135392292874,25,5.4195743,100,0.1,2500,-119.57942792610226,-96.67084267546633,24.3,0.018764489990145006,2430,4.7470193,13,-96.58116138208628
-10.061135392292874,26,3.0991063,100,0.1,2600,-112.09070098624859,-94.59135848651943,19.12,0.028738015928477516,1912,2.6749558,11,-96.50463050148755
-10.061135392292874,27,2.3135757,100,0.1,2700,-115.01622866115287,-94.41200997752658,22.37,0.040951595926242756,2237,1.9568833,11,-96.42712603763717
-10.061135392292874,28,2.4693494,100,0.1,2800,-113.83385714873356,-94.4985161916468,21.06,0.0513627052849494,2106,1.7113588,11,-96.35824711456605
-10.061135392292874,29,2.1087127,100,0.1,2900,-113.18343227607424,-94.55644897215045,20.33,0.03135899007892404,2033,1.7368449,11,-96.29611614413794
