ReturnMax,ReturnMean,AvgEpLen,MinEpLen,BatchSize,Iteration,VarJ,NatGradInftyNorm,TimestepsSoFar,StepSize,AvgRet,NatGrad2Norm,NumTrajectories,J
-79.72730046187708,-95.0095428966096,32.04,12,100,1,0.09982817896570728,1.241352,3204,0.01,-124.34259361542283,1.5215114,100,-95.0095428966096
-79.72730046187708,-95.10181723642246,26.35,12,100,2,0.09300088130561582,1.4060681,2635,0.01,-119.95972857822537,1.8437767,200,-95.19409157623535
-32.09797758506902,-94.66623654136707,36.39,11,100,3,0.781100638114944,1.8527662,3639,0.01,-125.30616776872179,3.1273053,300,-93.79507515125628
-32.09797758506902,-94.85211140086905,44.45,11,100,4,0.10524970175664498,2.9368386,4445,0.01,-133.43652086479506,3.4884603,400,-95.40973597937499
-32.09797758506902,-94.89398575515833,24.77,11,100,5,0.07967320808589608,2.3362262,2477,0.01,-118.20379185164012,2.7028546,500,-95.06148317231548
-32.09797758506902,-94.90140866193234,40.25,12,100,6,0.15519801932305916,1.4802427,4025,0.01,-130.46610562135552,1.9442661,600,-94.93852319580238
-32.09797758506902,-94.93336867089005,35.8,12,100,7,0.1395890903046923,3.3360062,3580,0.01,-127.11546873775507,3.5419855,700,-95.12512872463626
-32.09797758506902,-94.97181733848383,24.66,11,100,8,0.07983232582171627,2.4774487,2466,0.01,-118.28164806945063,3.0977838,800,-95.24095801164036
-32.09797758506902,-94.95903755992464,32.74,12,100,9,0.11431806919959099,1.8098097,3274,0.01,-124.00882244132754,2.9816172,900,-94.85679933145124
-32.09797758506902,-94.93018320724045,28.06,11,100,10,0.1506191633523496,1.1283709,2806,0.01,-120.90807239355502,1.9939297,1000,-94.67049403308269
-32.09797758506902,-94.76337151291261,28.9,11,100,11,0.6864329388259879,1.3830295,2890,0.01,-119.51580171856644,1.6712384,1100,-93.0952545696343
-32.09797758506902,-94.6955198898326,29.78,12,100,12,0.35330695586493216,1.7729005,2978,0.01,-120.68850395886267,2.2500002,1200,-93.94915203595238
-32.09797758506902,-94.62454053193127,27.06,12,100,13,0.3543236252122894,1.623039,2706,0.01,-118.67121424815717,1.9851582,1300,-93.77278823711531
-32.09797758506902,-94.62844349387268,32.86,11,100,14,0.15912875127059273,1.3571982,3286,0.01,-122.86507453900661,1.722704,1400,-94.67918199911124
-32.09797758506902,-94.61553751101219,25.03,11,100,15,0.18737615891549564,1.7112702,2503,0.01,-117.63463660920802,2.4695408,1500,-94.43485375096502
-9.321585897780366,-94.54996686433883,34.27,11,100,16,1.0459219910612827,1.8402159,3427,0.01,-117.3945003586248,3.2952862,1600,-93.56640716423848
-9.321585897780366,-94.5502761119186,36.8,12,100,17,0.2268277385991275,3.0534365,3680,0.01,-127.32747023336955,4.6996713,1700,-94.55522407319489
-9.321585897780366,-94.51676803841501,24.73,11,100,18,0.16576490256776452,3.3782387,2473,0.01,-116.59484023244553,3.7864513,1800,-93.94713078885427
-9.321585897780366,-94.48819899797688,24.71,11,100,19,0.24674121746207536,0.87577444,2471,0.01,-116.73992412686943,1.4537976,1900,-93.97395627009026
-9.321585897780366,-94.4053410976752,33.91,12,100,20,0.889985980788007,2.2690482,3391,0.01,-121.34775446297768,3.8433301,2000,-92.8310409919435
-9.321585897780366,-94.3950169701807,26.38,12,100,21,0.39043795351769617,1.6279719,2638,0.01,-117.43934518330038,1.8261034,2100,-94.18853442029075
-9.321585897780366,-94.32828347597723,24.99,11,100,22,0.8688437763006316,0.8983117,2499,0.01,-115.13813858374716,1.1719215,2200,-92.92688009770447
-9.321585897780366,-94.31878570251426,25.34,11,100,23,0.1924283016460875,1.4900054,2534,0.01,-117.57453981278701,2.3477862,2300,-94.10983468632875
-9.321585897780366,-94.30193678656433,30.58,11,100,24,0.3430181198148628,1.2229153,3058,0.01,-118.46951307197074,1.8355469,2400,-93.91441171971596
-9.321585897780366,-94.26103860878595,24.37,12,100,25,0.28065179808521784,1.547483,2437,0.01,-115.58506359199261,2.3634713,2500,-93.27948234210467
-9.321585897780366,-94.24669588647248,27.73,11,100,26,0.22253537223996742,2.6417243,2773,0.01,-118.70976941592644,3.1109083,2600,-93.88812782863577
-9.321585897780366,-94.2722933465623,23.03,11,100,27,0.12524908946802488,1.3760815,2303,0.01,-116.30284092646451,2.19005,2700,-94.93782730889721
-9.321585897780366,-94.2812259739117,23.65,12,100,28,0.11595220898707949,2.2161098,2365,0.01,-116.46548219832498,2.9661932,2800,-94.52240691234596
-9.321585897780366,-94.31721784691523,24.42,11,100,29,0.0766698509108707,2.7251744,2442,0.01,-118.14748068596867,2.9532292,2900,-95.3249902910142
-9.321585897780366,-94.31162973405829,21.5,11,100,30,0.08803431323009717,1.1646357,2150,0.01,-113.85520354753866,1.8874453,3000,-94.14957446120657
-9.321585897780366,-94.31262826045277,30.19,11,100,31,0.2603218993459414,2.3054392,3019,0.01,-119.63110176189385,3.305004,3100,-94.34258405228738
-9.321585897780366,-94.30328729575928,20.65,12,100,32,0.1224083278347412,0.5824117,2065,0.01,-112.97599580315433,0.84282357,3200,-94.01371739026109
-9.321585897780366,-94.29007302605442,24.45,12,100,33,0.23424059889755536,2.5258255,2445,0.01,-116.3390576340874,2.6632595,3300,-93.86721639549901
-9.321585897780366,-94.27404391093968,26.86,11,100,34,0.3156087419220335,1.2680073,2686,0.01,-117.56347290078385,1.8887353,3400,-93.74508311215347
-9.321585897780366,-94.26862892894324,27.78,11,100,35,0.2783929926408108,1.2137597,2778,0.01,-118.33009579872332,1.6328894,3500,-94.08451954106425
-9.321585897780366,-94.27376654502079,26.3,11,100,36,0.1788844483887836,4.2082715,2630,0.01,-118.92761346168587,5.3762474,3600,-94.4535831077347
-9.321585897780366,-94.27284337668888,20.0,12,100,37,0.09864424771796466,2.8906076,2000,0.01,-112.54504220029663,3.0905666,3700,-94.23960931674031
-9.321585897780366,-94.28245042694991,20.97,12,100,38,0.08399984991074541,2.461467,2097,0.01,-113.93745187958282,2.8066676,3800,-94.63791128660834
-9.321585897780366,-94.29995378020817,21.51,11,100,39,0.06181564716798725,1.656392,2151,0.01,-114.83456776420772,2.0504546,3900,-94.96508120402149
-9.321585897780366,-94.30523041055191,20.13,11,100,40,0.06652595968278542,4.965841,2013,0.01,-112.99872750543433,5.5890813,4000,-94.51101899395776
-9.321585897780366,-94.2844609954872,20.02,12,100,41,0.098259698144085,2.7282507,2002,0.01,-111.62477652881675,3.846799,4100,-93.45368439289909
-9.321585897780366,-94.26255740025549,20.13,11,100,42,0.1411278818536173,3.0423987,2013,0.01,-111.64299094453368,4.938514,4200,-93.36450999575527
-9.321585897780366,-94.23392966736999,24.13,11,100,43,0.46011399878474835,1.7059882,2413,0.01,-114.63188325140612,2.3194466,4300,-93.0315648861788
