MinEpLen,TimestepsSoFar,NumTrajectories,J,AvgEpLen,ReturnMean,Iteration,AvgRet,BatchSize,NatGradInftyNorm,NatGrad2Norm,VarJ,ReturnMax,StepSize
11,3260,100,-94.53544024789937,32.6,-94.53544024789937,1,-123.46724675443689,100,1.6774778,2.4009686,0.09639581092330542,-82.19644013632856,0.0001
10,2565,200,-94.89993402803243,25.65,-94.7176871379659,2,-118.88820468673335,100,1.3814582,1.8581235,0.11303162558515414,-81.28412441711913,0.0001
11,2637,300,-95.2524434659716,26.37,-94.89593924730113,3,-119.99663538071054,100,1.9442534,2.238472,0.10073085219062115,-81.28412441711913,0.0001
12,2921,400,-94.89466688586408,29.21,-94.89562115694186,4,-121.45054266714544,100,2.1513922,3.476237,0.07509808700011887,-81.28412441711913,0.0001
12,2792,500,-95.04900865499565,27.92,-94.92629865655263,5,-121.11534800059883,100,3.381799,4.512893,0.211206547680669,-66.03257765790605,0.0001
12,4388,600,-92.92253532577178,43.88,-94.59233810142247,6,-130.3558863027123,100,3.4594798,3.9907598,0.8886174906367511,-40.439578226190996,0.0001
11,2422,700,-94.75472379490226,24.22,-94.61553605763388,7,-117.3159563024447,100,2.583688,3.896914,0.11773718608171686,-40.439578226190996,0.0001
13,2846,800,-95.11111991366386,28.46,-94.67748403963763,8,-119.851038122211,100,3.2057815,4.151142,0.16875278498130586,-40.439578226190996,0.0001
11,2984,900,-94.98733853422435,29.84,-94.71191231681392,9,-122.19800514232604,100,1.4468864,1.641239,0.0823302592835348,-40.439578226190996,0.0001
11,3359,1000,-94.51403164672449,33.59,-94.692124249805,10,-125.22055925968107,100,2.097658,2.206127,0.16311675712751794,-40.439578226190996,0.0001
11,3537,1100,-95.08127611002277,35.37,-94.72750169164297,11,-126.7411179278919,100,2.0546436,2.2918048,0.12611048785098986,-40.439578226190996,0.0001
11,4072,1200,-94.82281437131975,40.72,-94.73544441494937,12,-128.4659745605221,100,1.0535476,1.240513,0.24098605587296706,-40.439578226190996,0.0001
11,2965,1300,-94.79459703747573,29.65,-94.73999461668217,13,-121.67329766712594,100,1.5821321,2.4369469,0.23981138304867464,-40.439578226190996,0.0001
11,2885,1400,-94.60722949001125,28.85,-94.73051139334852,14,-121.48663619179425,100,2.817556,3.9890325,0.1217502892446451,-40.439578226190996,0.0001
12,3739,1500,-95.12142690664429,37.39,-94.75657242756824,15,-128.89214563194818,100,0.88633114,1.4417857,0.122378043776022,-40.439578226190996,0.0001
12,2661,1600,-95.38889377949904,26.61,-94.79609251206394,16,-120.39300201631795,100,1.637063,2.7509367,0.08777660244331771,-40.439578226190996,0.0001
