MinEpLen,StepSize,BatchSize,AvgRet,Iteration,ReturnMax,AvgEpLen,J,ReturnMean,NatGrad2Norm,NatGradInftyNorm,VarJ,NumTrajectories,TimestepsSoFar
11,0.1,100,-123.46724675443689,1,-82.19644013632856,32.6,-94.53544024789937,-94.53544024789937,2.4009686,1.6774778,0.09639581092330542,100,3260
11,0.1,100,-135.31555327780933,2,-24.473094261853454,55.42,-91.12968752202079,-92.83256388496007,2.3098555,1.5908266,1.318671807690397,200,5542
13,0.1,100,-169.44759171149676,3,-0.7297851851587509,152.27,-82.25716573663196,-89.3074311688507,1.731185,1.0823078,4.006625548887504,300,15227
13,0.1,100,-115.39919227704151,4,-0.7297851851587509,59.48,-82.56723457696015,-87.62238202087806,2.644218,2.0209963,3.1701534048544375,400,5948
13,0.1,100,-149.9233025938476,5,-0.7297851851587509,81.58,-89.05189041010024,-87.90828369872249,4.505491,3.0690944,1.2335044182138943,500,8158
12,0.1,100,-110.46604619794995,6,-0.7297851851587509,48.28,-80.45720116232432,-86.6664366093228,2.9455402,2.2073243,2.5133395089611654,600,4828
10,0.1,100,-109.6790045627455,7,-0.7297851851587509,33.47,-86.7656736828977,-86.68061333411922,4.309214,2.9668252,2.362488414950475,700,3347
13,0.1,100,-192.59908777621249,8,-0.7297851851587509,232.68,-73.0141787398503,-84.97230900983561,4.525088,3.6612177,4.473858738132594,800,23268
15,0.1,100,-104.88372517073239,9,14.8158230133764,115.87,-61.32887124474877,-82.3452603692704,1.8448297,1.2756915,5.465999272530415,900,11587
20,0.1,100,-140.20172118939854,10,14.8158230133764,244.42,-51.40835275949526,-79.25156960829288,1.5862756,1.5120245,5.702981967287765,1000,24442
21,0.1,100,-285.3060282951433,11,14.8158230133764,439.31,-65.04525538618938,-77.96008649719256,3.8230429,3.451088,6.709407612675557,1100,43931
15,0.1,100,-103.6631997372362,12,14.8158230133764,94.82,-64.459650042725,-76.83505012598692,1.6773827,1.1622235,5.097481508777584,1200,9482
14,0.1,100,-125.17425496837659,13,14.8158230133764,225.13,-52.63820463253802,-74.97375431879856,2.2262402,1.766541,6.71583740686605,1300,22513
18,0.1,100,-163.07888212369545,14,16.37992443936825,256.31,-53.39360935614017,-73.4323153928944,3.1541195,1.9496958,5.501146465012871,1400,25631
19,0.1,100,-114.97599203108604,15,22.132403720337397,139.72,-57.63209046486747,-72.37896706435926,1.2045959,0.8747367,4.794050697503902,1500,13972
16,0.1,100,-120.84516836812593,16,22.132403720337397,250.38,-45.94622327604713,-70.72692057758975,1.1831309,1.0851356,5.3352181810828645,1600,25038
17,0.1,100,-137.80415185557186,17,22.132403720337397,244.51,-48.44123706386622,-69.41599801795896,0.91318053,0.69144255,5.300214486548416,1700,24451
16,0.1,100,-113.33692820441887,18,22.132403720337397,157.06,-51.80786709885684,-68.4377685224533,2.8045557,1.9997643,6.20518644791304,1800,15706
28,0.1,100,-237.18309185768524,19,22.132403720337397,387.82,-55.417556121884125,-67.75249418558123,2.9085078,2.4182062,6.722050397011402,1900,38782
16,0.1,100,-104.35381074948958,20,22.132403720337397,119.51,-52.22028512325191,-66.97588373246475,1.8097633,1.3333654,6.174147069929482,2000,11951
20,0.1,100,-132.84392893522477,21,22.132403720337397,270.2,-43.16873934342743,-65.84221019012965,1.0398782,0.6749017,5.827765416219338,2100,27020
21,0.1,100,-125.63541660328414,22,22.132403720337397,281.19,-44.405731957475766,-64.8678248159181,1.8580678,1.5119737,5.3431873851672265,2200,28119
24,0.1,100,-206.60253060354864,23,22.132403720337397,384.85,-49.84648544053608,-64.21472310394496,2.495344,1.6161035,7.760649104547693,2300,38485
15,0.1,100,-113.09632156719103,24,22.132403720337397,202.99,-46.71472496076828,-63.48555651464594,1.8090317,1.1926726,6.410967929235767,2400,20299
18,0.1,100,-188.5802733677235,25,22.132403720337397,352.16,-47.69799361488012,-62.85405399865532,1.9475774,1.4281355,7.520558533769284,2500,35216
17,0.1,100,-111.85158301537508,26,22.132403720337397,211.26,-45.88567564902886,-62.20142406213122,1.1671247,0.94856846,6.714563689802407,2600,21126
24,0.1,100,-124.04269253818066,27,22.132403720337397,270.57,-41.90585675337289,-61.44973638402906,1.6847161,1.217781,6.23215609544623,2700,27057
42,0.1,100,-236.14006678460248,28,22.132403720337397,412.32,-53.936400668588185,-61.18140296562046,4.015055,3.4826448,7.588706029755286,2800,41232
16,0.1,100,-99.3713484553792,29,22.132403720337397,84.91,-60.31988511386717,-61.15169545349103,2.102739,1.6856717,3.974634798026478,2900,8491
20,0.1,100,-98.74919204401009,30,22.132403720337397,114.51,-52.6302537747391,-60.86764739753263,2.1270905,1.6643593,5.186228229171543,3000,11451
19,0.1,100,-107.71073243940413,31,22.132403720337397,110.87,-50.03002548565182,-60.518046690697766,1.9075843,1.367259,4.746241420515183,3100,11087
16,0.1,100,-103.8243411440584,32,22.132403720337397,104.43,-54.93877046670098,-60.34369430869787,3.1149313,2.985712,4.192271390350361,3200,10443
21,0.1,100,-132.8746018632515,33,22.132403720337397,241.22,-44.76463311787111,-59.87160154533948,0.9888631,0.8286248,5.235008732751854,3300,24122
21,0.1,100,-114.55278979573359,34,22.132403720337397,231.14,-43.02215275065853,-59.376029521966515,2.1814756,2.146424,4.969345575488101,3400,23114
50,0.1,100,-251.95865860858936,35,22.132403720337397,431.5,-54.88108101338263,-59.24760242172126,3.8356535,2.9725573,7.27909647897483,3500,43150
15,0.1,100,-106.26111626123527,36,22.132403720337397,119.88,-53.303371138701365,-59.08248488608183,3.5526044,2.9167275,5.482968120940025,3600,11988
