NatGrad2Norm,Iteration,NatGradInftyNorm,AvgEpLen,NumTrajectories,BatchSize,MinEpLen,StepSize,ReturnMax,VarJ,ReturnMean,AvgRet,TimestepsSoFar,J
1.543483,1,1.1160872,36.64,100,100,11,0.1,-25.93298452173805,0.7020841386293543,-93.9297177855887,-119.23582426717911,3664,-93.9297177855887
2.8061478,2,2.2516375,22.36,200,100,11,0.1,-25.93298452173805,0.10473570185133235,-94.01176296811018,-114.65397221185823,2236,-94.09380815063163
3.050333,3,1.9777257,18.92,300,100,11,0.1,-25.93298452173805,0.10636932941344716,-93.96373457520788,-111.08835560454838,1892,-93.86767778940326
2.9927137,4,1.9204965,17.19,400,100,10,0.1,-25.93298452173805,0.06739036194191703,-93.77728011865378,-108.66366131176403,1719,-93.21791674899151
2.8240824,5,2.362427,24.4,500,100,11,0.1,-13.729368645463179,1.5102758888994776,-92.60007859835348,-107.80134973322991,2440,-87.89127251715222
2.2220287,6,1.5810232,17.76,600,100,11,0.1,-13.729368645463179,0.19266587521033865,-92.5433954003253,-108.05116989298875,1776,-92.2599794101844
3.5146642,7,2.9632676,18.59,700,100,11,0.1,-13.729368645463179,0.29251487726092507,-92.5223792506816,-108.85506340524796,1859,-92.39628235281941
3.0265267,8,2.197785,21.81,800,100,11,0.1,-13.729368645463179,0.8086576972612585,-92.37391301763496,-110.45028876376027,2181,-91.33464938630857
1.5248847,9,1.258494,23.73,900,100,12,0.1,-13.729368645463179,0.19486474958249123,-92.39631481709876,-114.28168007641338,2373,-92.57552921280897
2.898614,10,2.4745533,20.79,1000,100,12,0.1,-13.729368645463179,0.32019614235819277,-92.29737887248544,-110.01044753918497,2079,-91.40695537096565
2.410643,11,1.95189,29.89,1100,100,13,0.1,-13.729368645463179,0.6161304226189095,-92.13428185847367,-117.40680075214861,2989,-90.50331171835602
1.4561766,12,1.2534572,29.23,1200,100,18,0.1,-13.729368645463179,0.24754889093893354,-92.167678184382,-119.60652928490286,2923,-92.5350377693735
2.1485538,13,1.3505492,27.34,1300,100,13,0.1,-13.729368645463179,0.6432119621203409,-92.07502187262257,-115.76575784358349,2734,-90.9631461315094
2.7013612,14,1.8048873,41.44,1400,100,14,0.1,-13.729368645463179,0.5777955967176733,-92.07157767866767,-129.94767408168568,4144,-92.02680315725405
3.984105,15,3.218506,32.77,1500,100,15,0.1,-13.729368645463179,0.5265560923788388,-92.00040505329079,-121.21242747851153,3277,-91.00398829801456
1.0591111,16,0.64819884,35.03,1600,100,20,0.1,-13.729368645463179,0.14849940780941137,-92.13327629968364,-127.25373861494874,3503,-94.1263449955763
3.3479018,17,2.169052,37.46,1700,100,22,0.1,-13.729368645463179,0.15511931351447594,-92.29986812056838,-130.67325763223974,3746,-94.9653372547241
3.4378576,18,2.343559,32.69,1800,100,19,0.1,-13.729368645463179,0.058524552279928435,-92.4890854394214,-126.82683434720731,3269,-95.70577985992283
1.929824,19,1.5967772,37.53,1900,100,20,0.1,-13.729368645463179,0.21804366046704574,-92.62353245572712,-130.80310066410118,3753,-95.04357874923002
3.4640508,20,2.5972517,37.66,2000,100,24,0.1,-13.729368645463179,0.10668590020852248,-92.75794898054234,-131.27264836813166,3766,-95.3118629520315
3.1134408,21,2.3288682,80.42,2100,100,28,0.1,-13.729368645463179,0.09575158239059281,-92.867823467602,-169.4662081126176,8042,-95.06531320879529
1.2005333,22,1.050265,261.36,2200,100,30,0.1,-13.729368645463179,0.11198472831360584,-92.95553185557117,-310.86104432728695,26136,-94.79740800292373
2.0426834,23,1.5645189,358.24,2300,100,43,0.1,-13.729368645463179,0.059506384097998126,-93.06389001925017,-386.9411278661548,35824,-95.44776962018813
3.943125,24,2.767326,416.33,2400,100,52,0.1,-13.729368645463179,0.23101309502329845,-93.08773042958126,-423.94563596947484,41633,-93.63605986719631
1.685764,25,1.5427904,144.18,2500,100,26,0.1,-13.729368645463179,0.13182690402262498,-93.13589479271637,-216.67336185083357,14418,-94.2918395079591
1.4376355,26,0.9784079,304.79,2600,100,32,0.1,-13.729368645463179,0.2941280009358192,-93.173936344772,-340.78867938145754,30479,-94.12497514616268
3.448992,27,2.7169337,211.54,2700,100,26,0.1,-13.729368645463179,0.10971962725465124,-93.23649472009367,-270.55666552011934,21154,-94.86301247845734
3.3081996,28,1.7867348,72.83,2800,100,25,0.1,-13.729368645463179,0.21524544120640463,-93.27849766151412,-161.59163271503144,7283,-94.41257707986637
6.0629363,29,4.2515373,100.48,2900,100,25,0.1,-13.729368645463179,0.12315569645945482,-93.33621002492058,-181.5419061909921,10048,-94.95215620030069
4.1972666,30,2.5249443,35.13,3000,100,18,0.1,-13.729368645463179,0.1464115722964487,-93.38628126629659,-127.27264943891774,3513,-94.83834726620191
2.7792113,31,2.7635424,31.56,3100,100,16,0.1,-13.729368645463179,0.04330515377576425,-93.47029919029308,-125.11551832000563,3156,-95.99083691018679
6.067599,32,4.804803,28.58,3200,100,17,0.1,-13.729368645463179,0.1573724681909925,-93.49937974489744,-121.20198939226871,2858,-94.40087693763287
1.0885531,33,0.9467011,29.4,3300,100,18,0.1,-13.729368645463179,0.07967415116923049,-93.56472641079579,-123.53301200226637,2940,-95.6558197195431
3.2887394,34,1.8512906,28.88,3400,100,16,0.1,-13.729368645463179,0.1015061546020512,-93.61413622298839,-122.54673399104765,2888,-95.2446600253439
2.6510653,35,1.8448001,39.87,3500,100,19,0.1,-13.729368645463179,0.09378344142621986,-93.68230676259464,-133.32737127119097,3987,-96.00010510920731
2.3436167,36,2.0912092,33.94,3600,100,17,0.1,-13.729368645463179,0.04658753015871474,-93.76371771630531,-129.11201481881506,3394,-96.61310109617844
3.5865073,37,2.5542076,27.14,3700,100,15,0.1,-13.729368645463179,0.03408985666899022,-93.83665336583942,-122.23215427571084,2714,-96.46233674906813
2.8130019,38,2.206201,33.89,3800,100,18,0.1,-13.729368645463179,0.05649008706941653,-93.89655832663153,-128.49158058160774,3389,-96.11304187593947
2.4871683,39,1.8148046,34.59,3900,100,20,0.1,-13.729368645463179,0.1806111550090663,-93.91472999157975,-127.3528026713074,3459,-94.60525325961166
2.6155264,40,2.0042763,30.94,4000,100,21,0.1,-13.729368645463179,0.3123010217722761,-93.88748633954452,-121.66364681069648,3094,-92.82498391017089
5.5377855,41,4.1814113,30.51,4100,100,18,0.1,-13.729368645463179,0.5097333677481635,-93.85188897979397,-120.73077160636785,3051,-92.42799458977242
1.8319355,42,1.2195565,21.13,4200,100,12,0.1,-13.729368645463179,0.23178622833939821,-93.8128898787101,-111.37032327518558,2113,-92.21392673427079
3.185613,43,2.3984323,20.71,4300,100,12,0.1,-13.729368645463179,0.18486429874635935,-93.78336058767115,-111.3471342821503,2071,-92.54313036403582
1.1898116,44,1.1010891,23.04,4400,100,15,0.1,-13.729368645463179,0.08034471183721358,-93.81340129864458,-116.6018034286724,2304,-95.10515187050132
2.4901862,45,2.1377947,22.83,4500,100,14,0.1,-13.729368645463179,0.08396547722309036,-93.83992383269221,-116.30610645241742,2283,-95.00691533078746
4.4209423,46,4.1725574,23.16,4600,100,12,0.1,-13.729368645463179,0.05015706375616202,-93.87562741567783,-117.17004465658967,2316,-95.48228865003091
2.213404,47,1.7030193,30.52,4700,100,17,0.1,-13.729368645463179,0.0412574946564777,-93.93898260215784,-126.01683173056087,3052,-96.85332118023895
1.3516408,48,0.9111164,34.21,4800,100,18,0.1,-13.729368645463179,0.041201821382946896,-94.00179089516956,-129.77029944315728,3421,-96.95378066672023
2.4384882,49,1.6676689,34.02,4900,100,14,0.1,-13.729368645463179,0.05409346541307889,-94.0578841985029,-129.3710844139125,3402,-96.75036275850368
2.5267847,50,2.265709,30.35,5000,100,16,0.1,-13.729368645463179,0.035765764641743795,-94.1181725801643,-126.12063441774022,3035,-97.07230328157254
