NumTrajectories,AvgRet,StepSize,Iteration,ReturnMean,NatGradInftyNorm,AvgEpLen,TimestepsSoFar,BatchSize,NatGrad2Norm,ReturnMax,MinEpLen,VarJ,J
100,-127.66746032986275,0.001,1,-93.43026936126682,2.6918066,41.92,4192,100,3.2090635,-10.061135392292874,11,0.8280427300324236,-93.43026936126682
200,-122.08655259469471,0.001,2,-92.95188908493277,1.6848686,40.23,4023,100,2.5593345,-9.727838703888818,13,1.5236594351622852,-92.47350880859875
300,-119.12825732614496,0.001,3,-93.12545099326879,1.9297533,32.02,3202,100,2.0841806,-9.727838703888818,13,0.7817998684212486,-93.47257480994084
400,-120.15708399932991,0.001,4,-93.49557590107402,1.9714901,27.37,2737,100,3.333275,-9.727838703888818,12,0.2775805046474272,-94.60595062448972
500,-120.90691891192313,0.001,5,-93.72785041983437,2.7056088,32.77,3277,100,3.281268,-9.727838703888818,11,0.34131585606168263,-94.65694849487576
600,-116.94090826767689,0.001,6,-93.91585269786985,1.2787006,23.79,2379,100,1.7937919,-9.727838703888818,13,0.13030258286150645,-94.85586408804727
700,-131.14005473635004,0.001,7,-94.01589734641735,1.3660147,41.56,4156,100,1.7053641,-9.727838703888818,12,0.4030820122821304,-94.61616523770235
800,-121.58967345337891,0.001,8,-94.22958941479231,1.4873023,27.46,2746,100,1.9020946,-9.727838703888818,11,0.08160729214293236,-95.72543389341696
900,-119.74417445072862,0.001,9,-94.26732045037684,1.6334054,27.27,2727,100,1.899662,-9.727838703888818,13,0.2928751886337555,-94.5691687350533
1000,-118.25512708718641,0.001,10,-94.27982389341997,2.6185625,30.57,3057,100,3.2719388,-9.727838703888818,11,0.5114856457238557,-94.392354880808
1100,-120.20420080463104,0.001,11,-94.31582478724819,1.6269884,28.27,2827,100,1.6772861,-9.727838703888818,11,0.19745300633882487,-94.67583372553045
1200,-132.07900756716117,0.001,12,-94.39333554495848,1.4742002,41.48,4148,100,1.5826905,-9.727838703888818,11,0.09174602183075732,-95.24595387977148
1300,-137.01092144375195,0.001,13,-94.42427706344179,1.6650169,48.64,4864,100,2.4097786,-9.727838703888818,12,0.20577187248574794,-94.79557528524148
1400,-120.35157428810395,0.001,14,-94.43236454201785,1.3881077,27.81,2781,100,1.6878797,-9.727838703888818,12,0.20375925019872265,-94.53750176350682
1500,-128.05170098797873,0.001,15,-94.41986241915147,1.6726321,39.39,3939,100,2.297835,-9.727838703888818,11,0.37617895372485116,-94.24483269902188
1600,-125.44606222260757,0.001,16,-94.43850319749936,2.7847185,34.61,3461,100,2.9528797,-9.727838703888818,11,0.2731146923587233,-94.71811487271785
1700,-129.30951402991693,0.001,17,-94.44704326976881,2.1311636,40.07,4007,100,2.9560356,-9.727838703888818,13,0.3682197646494374,-94.5836844260803
1800,-134.3547052506804,0.001,18,-94.45766480157779,2.734776,51.14,5114,100,3.4740658,-9.727838703888818,13,0.5733824205779364,-94.6382308423305
1900,-124.41095624222446,0.001,19,-94.52085094410337,1.9646479,31.28,3128,100,2.2227454,-9.727838703888818,11,0.04439370914757497,-95.65820150956358
2000,-130.34749841263726,0.001,20,-94.54348757440725,0.77389485,40.39,4039,100,1.2798971,-9.727838703888818,12,0.32679996464325506,-94.97358355018072
2100,-126.0299625918388,0.001,21,-94.61051835578253,3.4436908,32.63,3263,100,4.58071,-9.727838703888818,13,0.08889316570892394,-95.95113398328853
2200,-118.587251854078,0.001,22,-94.63537178884371,4.881614,25.27,2527,100,5.0886755,-9.727838703888818,11,0.1720016584253059,-95.15729388312866
2300,-124.7330890797898,0.001,23,-94.59315656359956,1.5115608,39.02,3902,100,1.6778961,-9.727838703888818,11,0.8869469270261493,-93.66442160822825
2400,-122.09497670111492,0.001,24,-94.62896706283192,1.9207529,28.36,2836,100,2.8083985,-9.727838703888818,12,0.10161143348490662,-95.45260854517572
2500,-128.60598682815868,0.001,25,-94.57150447664802,4.4337983,39.99,3999,100,4.93064,-9.727838703888818,12,0.5446220454827289,-93.19240240823423
2600,-117.76647286948985,0.001,26,-94.58392941603081,2.5867124,24.5,2450,100,2.9535103,-9.727838703888818,11,0.08063755313861702,-94.89455290060096
2700,-119.44520061012068,0.001,27,-94.59677901606949,1.9627295,26.16,2616,100,2.3282797,-9.727838703888818,11,0.14442843682619086,-94.93086861707486
2800,-119.98303457873743,0.001,28,-94.56217329990052,1.3082854,32.47,3247,100,2.1744251,-9.727838703888818,12,0.6214580286976615,-93.62781896333816
2900,-125.08493725058423,0.001,29,-94.55522291278314,1.7089477,34.97,3497,100,2.2246375,-9.727838703888818,11,0.3396926059289281,-94.36061207349685
3000,-124.50218425413892,0.001,30,-94.54606131821889,3.734923,33.26,3326,100,4.0122643,-9.727838703888818,11,0.16966930662061575,-94.2803750758555
3100,-127.39666221934449,0.001,31,-94.50893258155646,2.2634234,38.91,3891,100,3.2414017,-9.727838703888818,11,0.760307414129996,-93.39507048168387
3200,-117.99103257989059,0.001,32,-94.48124598726253,1.1666127,35.73,3573,100,1.5462595,-9.727838703888818,12,0.9760333966204618,-93.62296156414979
3300,-118.92756850820064,0.001,33,-94.47802735801992,2.437567,26.41,2641,100,2.7129207,-9.727838703888818,11,0.18458275536808652,-94.37503122225706
3400,-128.38087084272712,0.001,34,-94.49860370163275,1.9170177,36.92,3692,100,2.3625925,-9.727838703888818,12,0.17334715897709668,-95.17762304085669
3500,-125.0679776459693,0.001,35,-94.51404196376978,3.007704,32.76,3276,100,3.1861691,-9.727838703888818,12,0.14405101880220275,-95.03894287642896
3600,-123.49786771929405,0.001,36,-94.5341286154033,1.3764433,31.47,3147,100,1.865129,-9.727838703888818,11,0.12548989071833913,-95.2371614225761
3700,-119.84787210766497,0.001,37,-94.52003445113417,2.41618,28.31,2831,100,3.529286,-9.727838703888818,12,0.5606207609023015,-94.01264453744493
3800,-124.669715378448,0.001,38,-94.52765221272128,1.47439,32.78,3278,100,2.3642423,-9.727838703888818,10,0.1751417414363211,-94.80950939144448
3900,-126.0101333474324,0.001,39,-94.54121077559712,1.8560971,32.93,3293,100,2.012796,-9.727838703888818,11,0.13036372112774944,-95.05643616487966
4000,-124.28289500740244,0.001,40,-94.54754236655867,1.1712277,32.91,3291,100,1.5911055,-9.727838703888818,11,0.2562202920929047,-94.79447441405875
4100,-123.28380541997888,0.001,41,-94.55787380851211,1.5929182,31.08,3108,100,2.4700677,-9.727838703888818,12,0.19574093813686755,-94.97113148664988
4200,-123.63834418384049,0.001,42,-94.56985572857731,2.4225183,31.33,3133,100,3.7011728,-9.727838703888818,13,0.1790581561151016,-95.06111445125049
4300,-120.22720328296079,0.001,43,-94.56962214050259,2.318711,28.5,2850,100,3.283131,-9.727838703888818,12,0.479403256201689,-94.55981144136479
