MinEpLen,J,Iteration,ReturnMean,StepSize,VarJ,AvgRet,NumTrajectories,TimestepsSoFar,ReturnMax,NatGradInftyNorm,BatchSize,NatGrad2Norm,AvgEpLen
12,-94.50114395500012,41,-94.56172368814197,0.0001,0.27990875265295967,-122.21316104621992,4100,3064,-3.065836683705623,1.6379194,100,2.51207,30.64
13,-94.83752282122913,42,-94.56829033416784,0.0001,0.2362627843400928,-125.39271208050877,4200,3348,-3.065836683705623,2.376323,100,3.5889502,33.48
11,-94.64824528853607,43,-94.57014975171128,0.0001,0.17361369634126247,-118.91313117263721,4300,2612,-3.065836683705623,2.3328586,100,3.2335296,26.12
11,-95.4235190391319,44,-94.58954450824358,0.0001,0.08404695156989404,-122.19071315524778,4400,2832,-3.065836683705623,0.91954625,100,1.3464621,28.32
12,-95.26990485167859,45,-94.60466362698658,0.0001,0.13371164289569448,-132.59125507838834,4500,4221,-3.065836683705623,2.3347101,100,3.0359304,42.21
12,-93.76930799952072,46,-94.58650372204167,0.0001,0.6519818940717932,-126.29277299819934,4600,4067,-3.065836683705623,2.742178,100,3.2976427,40.67
12,-93.98266688916077,47,-94.57365612985272,0.0001,0.8224161007499059,-123.54801621655223,4700,3681,-3.065836683705623,2.6689856,100,3.3262382,36.81
12,-94.72279091628312,48,-94.57676310457002,0.0001,0.11534094572447902,-123.29368147936893,4800,3303,-3.065836683705623,2.8568714,100,3.864209,33.03
12,-94.30800171919631,49,-94.57127817833789,0.0001,0.5070658746308169,-123.31109029355484,4900,3397,-3.065836683705623,1.7123182,100,2.9258459,33.97
12,-94.5348165367579,50,-94.57054894550629,0.0001,0.3676997770409438,-124.96962430492368,5000,3350,-3.065836683705623,1.7752277,100,2.6422312,33.5
