J,AvgRet,ReturnMax,NatGradInftyNorm,TimestepsSoFar,StepSize,NatGrad2Norm,MinEpLen,AvgEpLen,Iteration,BatchSize,ReturnMean,VarJ,NumTrajectories
-93.43026936126682,-127.66746032986275,-10.061135392292874,2.6918066,4192,0.01,3.2090635,11,41.92,1,100,-93.43026936126682,0.8280427300324236,100
-93.55023980340145,-120.87060918334718,-10.061135392292874,1.7567328,3639,0.01,2.7091432,12,36.39,2,100,-93.49025458233413,1.059690535440839,200
-93.9714402852236,-124.46235878828173,-10.061135392292874,2.0635393,3483,0.01,2.2735476,12,34.83,3,100,-93.65064981663062,0.23667178247429027,300
-95.28695993065921,-121.36792102978715,-10.061135392292874,2.0312324,3098,0.01,3.3492813,11,30.98,4,100,-94.05972734513776,0.31016338559438755,400
-95.66032561140875,-123.09087540837051,-10.061135392292874,2.8635638,3251,0.01,3.4651647,13,32.51,5,100,-94.37984699839197,0.13672830780267914,500
-95.1632171576014,-120.40676437218207,-10.061135392292874,1.3626982,2705,0.01,1.9231489,13,27.05,6,100,-94.51040869159354,0.10866257262416458,600
-95.14942707962065,-131.5132250716006,-10.061135392292874,1.3256432,4124,0.01,1.637225,11,41.24,7,100,-94.60169703274026,0.33178528276866087,700
-95.77371421673074,-119.57815098922278,-10.061135392292874,1.5472931,2531,0.01,1.8982524,11,25.31,8,100,-94.74819918073906,0.06031421675072455,800
-95.0916616328517,-121.09137567468439,-10.061135392292874,1.5801135,3216,0.01,1.9243754,11,32.16,9,100,-94.78636167541825,0.7092923083895069,900
-95.7801048337155,-121.4164176797768,-10.061135392292874,2.4195082,2947,0.01,3.0716522,11,29.47,10,100,-94.88573599124797,0.10661957873042174,1000
-95.68141466771782,-125.68596304167738,-10.061135392292874,1.6573963,3263,0.01,1.7076894,11,32.63,11,100,-94.9580704163816,0.07408926094356691,1100
-95.95395178837747,-135.2999458490011,-10.061135392292874,1.4085044,4486,0.01,1.535288,11,44.86,12,100,-95.04106053071459,0.060117423614653484,1200
-93.5365233885783,-140.66189100774426,-10.061135392292874,1.8336589,5978,0.01,2.3070838,11,59.78,13,100,-94.92532690439641,0.9992104354960888,1300
-94.89394074278569,-125.77218000174148,-10.061135392292874,1.424678,3391,0.01,1.6170042,11,33.91,14,100,-94.92308503570993,0.21298290105893977,1400
-94.30349073167437,-137.3886693836423,-10.061135392292874,1.5454547,4932,0.01,2.1435962,12,49.32,15,100,-94.88177874877424,0.6205793165468416,1500
-95.16606146802127,-128.07903928662995,-10.061135392292874,2.88407,3679,0.01,3.0437486,12,36.79,16,100,-94.89954641872717,0.2488342269389312,1600
-95.83444955949393,-130.28951095520478,-10.061135392292874,2.019482,3822,0.01,2.9233456,11,38.22,17,100,-94.95454072112523,0.11710391614795915,1700
-95.49062883766084,-129.0886186628837,-10.061135392292874,2.8248594,3632,0.01,3.5840433,11,36.32,18,100,-94.98432339426608,0.11053156017392343,1800
-95.036906849081,-135.9336172647906,-10.061135392292874,1.9019151,4657,0.01,2.1077762,11,46.57,19,100,-94.98709094451951,0.1012767634868592,1900
-94.71278749325498,-133.76453507714535,-10.061135392292874,0.7302406,4398,0.01,1.2702926,11,43.98,20,100,-94.97337577195628,0.16185042344960623,2000
-95.93290221548155,-125.79606333308254,-10.061135392292874,3.440134,3235,0.01,4.5997963,12,32.35,21,100,-95.01906750736224,0.09901398708208395,2100
-94.47633523461535,-117.13309204748793,-10.061135392292874,4.8672976,2441,0.01,5.0500646,12,24.41,22,100,-94.99439785860102,0.1240614570874496,2200
-94.64457121207805,-125.09622190455147,-10.061135392292874,1.5219307,3346,0.01,1.8192313,13,33.46,23,100,-94.97918800440436,0.3650653346739705,2300
-95.33002417045924,-126.71763947525336,-10.061135392292874,1.923384,3405,0.01,2.801256,11,34.05,24,100,-94.99380617799,0.0873602299412503,2400
-94.47795361129984,-124.61117872235911,-10.061135392292874,4.5055633,3344,0.01,5.0253487,11,33.44,25,100,-94.97317207532238,0.600382496441895,2500
-94.83345973556871,-118.79744292615645,-10.061135392292874,2.6642025,2559,0.01,3.0465484,11,25.59,26,100,-94.96779852379339,0.08900189468521573,2600
-95.73855968910475,-123.73139972843586,-10.061135392292874,1.954725,2959,0.01,2.3378413,11,29.59,27,100,-94.99634523361973,0.07818808408249148,2700
-95.10816988378745,-121.22227820306485,-10.061135392292874,1.5273784,2795,0.01,2.1816642,11,27.95,28,100,-95.00033897112573,0.183510395117085,2800
-94.51891579725299,-124.06004520865554,-10.061135392292874,1.8673406,3297,0.01,2.4372385,12,32.97,29,100,-94.98373817202668,0.4849424415464342,2900
-95.28740318171167,-128.28702342583512,-10.061135392292874,3.7192652,3567,0.01,3.962282,11,35.67,30,100,-94.99386033901617,0.15572586004091413,3000
-94.18745070622155,-122.0461142533523,-10.061135392292874,2.305936,3612,0.01,3.3664994,12,36.12,31,100,-94.96784712505504,1.034802461100025,3100
-94.07905478650198,-123.99015660825943,-10.061135392292874,1.1750085,3516,0.01,1.5920211,13,35.16,32,100,-94.94007236447527,0.6202671982820911,3200
-95.2461881893413,-123.80091479153567,-10.061135392292874,2.4764884,3133,0.01,2.7640395,11,31.33,33,100,-94.9493486015924,0.196016347086043,3300
-96.18420142441688,-130.52925699612413,-10.061135392292874,1.9373214,3780,0.01,2.3689156,11,37.8,34,100,-94.98566780226373,0.06890344288519099,3400
-95.60210427706788,-125.03580121604239,-10.061135392292874,2.9725065,3118,0.01,3.1127927,12,31.18,35,100,-95.00328027297242,0.1710535428502994,3500
-96.0599009141992,-133.43977753743903,-10.061135392292874,1.4265063,4187,0.01,1.8590391,11,41.87,36,100,-95.03263084633983,0.06376250114081829,3600
-95.10629525261163,-123.65274715387653,-10.061135392292874,2.5569408,3066,0.01,3.6415668,11,30.66,37,100,-95.03462177623906,0.39248284754057505,3700
-94.9072616677669,-122.11445090954852,-10.061135392292874,1.4910575,2909,0.01,2.2687662,11,29.09,38,100,-95.03127019443718,0.2241717240389808,3800
-95.24806470978886,-117.67532705823301,-10.061135392292874,2.0051675,2403,0.01,2.10468,11,24.03,39,100,-95.03682902816415,0.07359657415926088,3900
-96.02577258250214,-123.10595820346538,-10.061135392292874,0.960044,2860,0.01,1.4731892,11,28.6,40,100,-95.0615526170226,0.051503797904762914,4000
-95.44559986472352,-123.4526053434048,-10.061135392292874,1.6478757,3067,0.01,2.433699,11,30.67,41,100,-95.07091962306409,0.1631632997537518,4100
-96.0229552635864,-126.06351564523034,-10.061135392292874,2.3973875,3253,0.01,3.61317,12,32.53,42,100,-95.0935871383146,0.06361225346992634,4200
-95.75584990113266,-121.88764447117447,-10.061135392292874,2.425225,2780,0.01,3.3202026,11,27.8,43,100,-95.10898859791504,0.15402998773612406,4300
-95.28292021158072,-121.86049281931162,-10.061135392292874,0.95821726,2860,0.01,1.4024208,12,28.6,44,100,-95.1129415891347,0.30601132108707263,4400
-95.99264001174747,-123.61052336881043,-10.061135392292874,2.2725382,2911,0.01,2.9820588,11,29.11,45,100,-95.13249044297054,0.04970740991595199,4500
